Key	KBKFinancing_Id	ActualDate	Val	Id
3219	1984	20160101000000	4160,0	7fd6345bfa0a4ef4a3a70809da44231b
5224	1984	20150101000000	4061,0	30f47972dd134b9d95183ed7504256a3
6405	1984	20120101000000	8368,0	ff7f338e406d4c4799f85db43476257d
7867	1984	20130101000000	3566,0	55b21974c96745ca8baa86911d8cb4dc
9847	1984	20110101000000	3000,0	c94ec493108c40f08236bc137407cc0c
12016	1984	20140101000000	3863,0	ec47051893a54597b42bf5335b098369
4180	1911	20120101000000	16000,0	cdf258d703ec4858a72f21beaa81b416
5765	1911	20140101000000	7825,0	9572bb024d044b80a1fe4cf19e8f20a0
6370	1911	20110101000000	8700,0	69df905822df4a82bf435cc8ff13337b
6759	1911	20160101000000	7925,0	599ee5edd9574529ace167a130a75b71
8701	1911	20150101000000	7330,0	7783d7b331fa4428ab509e2113dd634e
8747	1911	20130101000000	8915,0	bc7cdd9b95274b0bb32e9f6b2604d8ee
4352	2913	20150101000000	1680,0	73167c55e8c74d76a88e26c450d1946f
5205	2913	20160101000000	1760,0	665bcbef0eff4c95bfb93e0579270e79
6278	2913	20140101000000	1600,0	6777ab6f51a0495d85605a96f67f7813
9365	2913	20130101000000	1550,0	66c4b585617e474a9ed5af3248d08b66
11144	2913	20120101000000	1470,0	88af302cf8e94494a538de22b142c0e1
12224	2913	20110101000000	1400,0	d0064ffcbd1b45aa907dfaae60bf4c6e
3277	1929	20110101000000	31832,4	685d14835d054753a98509fb47738ffe
4058	1929	20140101000000	73772,0	f61d5b6f41ed4b98888e1ef5057b9e86
4506	1929	20130101000000	68157,3	3c11fbb225de482195de2ab21072f1d5
7764	1929	20160101000000	84484,8	512ddc292ce64524a84b836e68312065
9023	1929	20150101000000	79438,0	98f1759ab67c4d89ad6fa6bd3f077c59
9305	1929	20120101000000	56562,5	7713ecbaf513444db637ada877d3a41f
6258	2173	20150101000000	15849,0	5f9e97c2637349f8b4cd5a2fdf1f9d1f
7713	2173	20140101000000	15255,0	f1a686c2239240d5830b81ef60be9fe8
7883	2173	20160101000000	16443,0	f3e22941a0f6409a890686fb67c17b26
9060	2173	20130101000000	14462,0	794842c0edba42f0ae1ca7b941b9ca2e
9654	2173	20120101000000	2377,0	f2d1da9c33c34d38b942b73829f195c5
11354	2173	20110101000000	12730,0	a3f9498623a3477b97e2e339d77148ed
3936	3345	20160101000000	700,0	0b0cc244b13a482882851b874a4ddefe
4424	3345	20120101000000	0,0	c4487c34f6f1472b8665289c712fbe49
5267	3345	20130101000000	400,0	fe59b3e0b3cc419599a13fd1ed3698db
7506	3345	20150101000000	600,0	916bc7608a654ac3809f7be68a6cc14d
10834	3345	20140101000000	500,0	13f7a09624634a14b7b4d696d223dab6
11555	3345	20110101000000	200,0	2bd4c10f306044d18015e8cea2453dcb
5240	1757	20120101000000	300,0	3bcf41fa21444aea81523f2eba43cdfa
4677	1954	20150101000000	14343,0	67d65ea6df3f406c990a2efeedcc2d20
4820	1954	20160101000000	14860,1	83709ec0a77840f48f1f330af28f13dc
6767	1954	20110101000000	11800,0	8ee391e7b9b245d383ab67d08c323be9
7782	1954	20120101000000	9276,5	024f94f435314d19988184072a981827
8946	1954	20130101000000	11009,5	3ed87c5d040949eebb1ca4baa68b5b9a
10857	1954	20140101000000	13660,0	3b3380d1448e47a88b58d70bd379bfd7
12570	3663	20120101000000	2465,9	2a4199ed8b4d4163bfc3695b11a136ae
12581	3661	20120101000000	15650,0	2ba9c7abc25d45deaafd8e9fe7f6cf98
12589	3667	20120101000000	1200,0	fc7c4560333f45b7bd0aa45cc93fd4f2
3950	2269	20140101000000	15900,0	b021a65fbb4443198bbb1be79b3538a0
5189	2269	20110101000000	0,0	84ea5f18773f45bb922c3da496794e63
6834	2269	20160101000000	18700,0	712fedfbaf164cc0ae376971469dcb0d
7516	2269	20150101000000	17300,0	15bf1180c1514b82aa157c21a0416200
11065	2269	20130101000000	14500,0	48a6730eb0bb45e89271dbf934565b1d
11125	2269	20120101000000	0,0	72df450891914baa946bdd99e9580cbd
5152	2310	20110101000000	304658,6	a923c83c4cc947ff8d5b3cad35a87ebc
8175	2310	20120101000000	174817,1	3e56f377fbc443fb85748f594df19af5
8319	2310	20160101000000	323412,4	354337be7b994bffa6c4940acfe07cf2
10189	2310	20130101000000	249866,5	42a72c3554304a968cb7c54e11576cd3
10818	2310	20150101000000	296961,3	acda69fad1c54d12a5b0d6259cc070e3
11613	2310	20140101000000	272610,7	03583b50d6d441f5872bea93029d760b
3690	2578	20160101000000	15827,0	2a263c5b17f049f7add614e504d855b8
6379	2578	20130101000000	13671,0	324cc388bd9a49db81b15d16f6cd949a
8467	2578	20120101000000	35866,0	8935149da2164effbd4497edc0e18c60
9368	2578	20150101000000	15073,0	c4e3853c9d4545159472af3f851f02a6
11640	2578	20140101000000	14355,0	84258bf1a851419eba85eb52592c524e
11940	2578	20110101000000	12400,0	6452d457bb884267a9baf32ae69cf3d5
