Key	Name	Id
1	Государственная программа	{51541901461245DA9B3AE6D0380322DD}
2	Подпрограмма	{5FF55B708D9943E787BAFF89892D18F9}
3	ФЦП	{0758DF680E194AC2A94A8093FACA93DF}
