№ строки	Название объекта	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы Межшкольный учебный комбинат №15 "Мещанский"	129010 г. Москва, Протопоповский переулок, дом.5	Бюджетное	Межшкольный учебный комбинат	Межшкольный учебный комбинат	680-39-55	http://www.polygon-pro.ru
2	Государственное бюджетное образовательное учреждение города Москвы межшкольный учебный комбинат № 19 "Гагаринский"	119333, г.Москва, ул.Губкина, дом 6	Бюджетное	Межшкольный учебный комбинат	Межшкольный учебный комбинат	(499) 135-54-00	http://it.mosuzedu.ru
3	Государственное бюджетное образовательное учреждение города Москвы Межшкольный учебный комбинат № 25 "Центральный"	105062 г. Москва, Лялин пер., д.3а	Бюджетное	Межшкольный учебный комбинат	Межшкольный учебный комбинат	(495) 916-22-42	http://www.muk25.ru
