№ строки	Название	Адрес	Площадь,га	Телефон	Места захоронений	Статус кладбища
50	Долгопрудненское (Южное) кладбище	Московская обл., Долгопрудный, Лихачевский пр., д. 1	27.0	408-80-98	Открытый колумбарий, захоронение урной в землю	Закрытое
51	Домодедовское кладбище	Московская обл., Домодедовский р-н, п/о Чурилково, д. Истомиха	100.5	223-56-82	Захоронение урной в землю	Открытое
52	Донское кладбище	Ул. Орджоникидзе, д. 4	7.0	954-12-89	Открытый колумбарий, закрытый колумбарий, захоронение урной в землю, захоронение урной в саркофаг	Закрытое
53	Жохово кладбище	Поселение Кленовское, д. Жохово	0.5	232-40-21	захоронение урной в землю	Закрытое
54	Захарьинское кладбище	д. Захарьино, ул. Шоссейная, Южное Бутово	10.05	717-69-18	Захоронение урной в землю	Закрытое
55	Зеленоградское (Центральное) кладбище	Зеленоград, пр-д 4921, д. 3, стр. 1, д. Ржавки	20.925	(499) 735-85-33	Открытый колумбарий, захоронение урной в землю	Закрытое
56	Зеленоградское (Северное) кладбище	Зеленоград, пр-д 710, д. 19, стр. 1	14.74	(499) 735-85-33	Открытый колумбарий, захоронение урной в землю	Закрытое
57	Ивановское кладбище	Ул. Сталеваров, д. 30	10.4	791-05-39	захоронение урной в землю	Закрытое
58	Ивановское кладбище	Поселение Сосенское, д. Ямонтово	1.04	448-67-88	захоронение урной в землю	Закрытое
59	Изваринское кладбище	Поселение Внуковское, с. Изварино	1.3800000000000001	448-67-88	захоронение урной в землю	Закрытое
60	Измайловское кладбище	Измайловский пр., вл. 30	2.2356000000000003	791-05-39	захоронение урной в землю	Закрытое
61	Калитниковское кладбище	Б. Калитниковский пр., д. 11	16.275000000000002	670-50-09	Открытый колумбарий, захоронение урной в землю	Закрытое
62	Капотненское кладбище	1-й Капотненский пр., д. 11	2.2066	355-30-29	захоронение урной в землю	Закрытое
63	Качаловское кладбище	Северное Бутово, МКР-5, ул. Старокачаловская, вл. 8а	1.0	(916) 929-89-74	Захоронение урной в землю	Закрытое
64	Кленово кладбище	Поселение Кленовское, д. Кленово	2.15	232-40-21	захоронение урной в землю	Закрытое
65	Клоково кладбище	Поселение Первомайское, д. Клоково	0.2	952-47-37, 952-29-63	захоронение урной в землю	Закрытое
66	Котляковское кладбище	Ул. Деловая, д. 20а	37.764500000000005	325-23-10	Захоронение урной в землю	Закрытое
67	Красное кладбище	Поселение Краснопахорское, с. Красное	1.1	232-40-21	захоронение урной в землю	Закрытое
68	Кузнецово кладбище	Поселение Новофедоровское, д. Кузнецово	1.1	952-47-37, 952-29-63	захоронение урной в землю	Закрытое
69	Кузьминское кладбище	ул. Академика Скрябина, д. 19	42.8555	378-60-82	Открытый колумбарий, захоронение урной в землю, захоронение урной в саркофаг	Закрытое
70	Кузьминское (мусульманское) кладбище	ул. Академика Скрябина, д. 19	2.3832	378-60-82	Открытый колумбарий, захоронение урной в землю, захоронение урной в саркофаг	Закрытое
71	Кунцевское кладбище	ул. Рябиновая, д. 1	16.828400000000002	440-69-84	Открытый колумбарий, захоронение урной в землю	Закрытое
