№ строки	Название	Адрес	Административный округ, район	Адрес начала маршрута	Вид использования	Вид трассы	Протяженность (км)	Балансодержатель	Эксплуатирующая организация лыжной трассы
90	Битцевский лесопарк	Красного маяка ул., вл. 28 – пересечение Севастопольского просп., и ул. Миклухо-Маклая, вл. 65	ЮЗАО, Ясенево	Красного маяка ул., вл. 28 – пересечение Севастопольского просп., и ул. Миклухо-Маклая, вл. 65	проектируемая	прогулочная	6.00000000000	ГПБУ «Управление особо охраняемыми природными территориями по ЮЗАО и ЦАО города Москвы»	ГПБУ «Управление особо охраняемыми природными территориями по ЮЗАО и ЦАО города Москвы»
91	Битцевский лесопарк	Новоясеневский тупик, вл. 1	ЮЗАО, Ясенево	Новоясеневский тупик, вл. 1	проектируемая	Прогулочная	5.00000000000	ГПБУ «Управление особо охраняемыми природными территориями по ЮЗАО и ЦАО города Москвы»	ГПБУ «Управление особо охраняемыми природными территориями по ЮЗАО и ЦАО города Москвы», ГУ "ЦФКиС ЮЗАО"
92	Ульяновский лесопарк, между ул. Рассказовская, д. 31 и Киевким шоссе	 ул. Рассказовская, д. 31	Внуково ЗАО	 ул. Рассказовская, д. 31	существует	Спортивная	3.00000000000	ФГУ "Звенигородское лесничество"	ГУ "ЦФКиС ЗАО"
93	Природно исторический парк "Москворецкий" (малое вело кольцо)	ул. Крылатские холмы , д. 1	Крылатское ЗАО	ул. Крылатские холмы , д. 1	существует	Прогулочная	3.00000000000	ЗАО "Лата трек"	ЗАО "Лата трек"
94	Природно исторический парк "Москворецкий", Гребной канал	ул. Крылатская, д. 2, стр. 5	Крылатское ЗАО	ул. Крылатская, д. 2, стр. 5	существует	Прогулочная	7.50000000000	КП ОУСЦ  "Крылатское"	КП ОУСЦ  "Крылатское"
95	Природно исторический парк "Москворецкий", между улицей Тимошенко, дом 1 и МКАД	ул. Маршала Тимошенко, д. 1	Кунцево ЗАО	ул. Маршала Тимошенко, д. 1	существует	Прогулочная	25.00000000000	Серебряноборческое лесничество	ГОУ ДОДСН ДЮСШ № 93 "На Можайке", ГУ "ЦФКиС ЗАО"
96	Природно исторический парк "Москворецкий", между Крылатским мостом и ул. Новозаводской	Парк культуры и отдыха Фили, Б. Филёвская, д. 32, к. 3	Филёвский парк ЗАО	Парк культуры и отдыха Фили, Б. Филёвская, д. 32, к. 3	существует	Прогулочная	9.00000000000	ГУК города Москвы ПКиО "Фили"	ГУК города Москвы ПКиО "Фили"
97	Природный заказник "Воробьевы горы"	Воробьёвы горы, ул. Косыгина, д. 28	ЗАО, Раменки	Воробьёвы горы, ул. Косыгина, д. 28	существует	Спортивная	4.00000000000	УДО РГШ Столица	ГУ "ЦФКиС ЗАО", УДО РГШ Столица, ГПБУ "Управление ООПТ по ЗАО"
98	Природный заказник Долина реки Сетунь между Аминьевским шоссе и ул. Нежинской	ул. Кременчугская, д. 36	ЗАО, Очаково-Матвеевское	ул. Кременчугская, д. 36	существует	Прогулочная	2.00000000000	ГПБУ "Управление ООПТ по ЗАО"	ГПБУ "Управление ООПТ по ЗАО", ГУ "ЦФКиС ЗАО"
99	Подходы к Олимпийской деревне-80	Мичуринский проспект 2, Олимпийская деревня-80	ЗАО, Тропарево-Никулино	Мичуринский проспект 2, Олимпийская деревня-80	существует	Спортивная	2.00000000000	ГУ Мосзеленхоз	КП С/К Олимпийская деревня-80
