№ строки	Название	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
3003	Магазин	Россия, Москва, Кастанаевская улица, 17	Общество с ограниченной ответственностью "МИИРА"	7875 ДПРУ	20080822	20130822	Невостребована
3004	Магазин	Россия, Москва, Кастанаевская улица, 17	Общество с ограниченной ответственностью "Алко-РИТЕЙЛ"	11919 ДПРУ	20100326	20150326	Действует
3005	Кафе	Россия, Москва, Кусковская улица, 1б	Общество с ограниченной ответственностью "АВГАС  ИНВЕСТ"	12059 ДПРУ	20110825	20150420	Действует
3006	Магазин	Россия, Москва, Реутовская улица, 10а	Общество с ограниченной ответственностью "Агроаспект"	5552 ДПРУ	20070926	20170926	Действует
3007	Кафе	Россия, Москва, Большая Татарская улица, 36	Общество с ограниченной ответственностью "ЛИДЕР-ВКУС"	10900 ДПРУ	20091113	20141113	Действует
3008	Магазин	Россия, Москва, Реутовская улица, 10б	Общество с ограниченной ответственностью "Агроаспект"	950 ДПРУ	20060609	20160609	Действует
3009	Кафе	Россия, Москва, Нижегородская улица, 8с2	Общество с ограниченной ответственностью "АНТА-Медика"	8138 ДПРУ	20090108	20130929	Действует
3010	Универсам	Россия, Москва, Суздальская улица, 12а	Общество с ограниченной ответственностью "КОПЕЙКА-МОСКВА"	6096 ДПРУ	20071123	20121123	Действует
3011	Кафе	Россия, Москва, Суздальская улица, 12а	Общество с ограниченной ответственностью "СДС-МЕДИА"	554 ДТУ	20110705	20140705	Действует
3012	Кафе	Россия, Москва, Бережковская набережная, 12	Общество с ограниченной ответственностью "Кодорком"	939 ДТУ	20111014	20141014	Действует
3013	Магазин	Россия, Москва, Бережковская набережная, 12	Общество с ограниченной ответственностью "ЯБЛОЧКО"	7702 ДПРУ	20080825	20130825	Приостановлена
3014	Магазин	Россия, Москва, Реутовская улица, 10г	Закрытое акционерное общество  Торговый  Дом "Димарус"	1175 ПРВСВ	20051011	20141011	Действует
3015	Магазин	Россия, Москва, Реутовская улица, 10г	Общество с ограниченной ответственностью "ДЕЛОР ЛГ"	7853 ДПРУ	20080820	20160820	Действует
3016	Магазин	Россия, Москва, Кутузовский проспект, 43	Общество с ограниченной ответственностью "Дивскан"	5530 ДПРУ	20070921	20150921	Действует
3017	Магазин	Россия, Москва, Садовническая улица, 78с1	Общество с ограниченной ответственностью "СТ-РЕНАЛ"	8581 ДПРУ	20081210	20131210	Действует
3018	Кафе	Россия, Москва, улица Старый Гай, 7	Общество с ограниченной ответственностью "Минутка"	10069 ДПРУ	20090811	20140811	Действует
3019	Магазин	Россия, Москва, улица Большая Якиманка, 22	Общество с ограниченной ответственностью "Столичная торговая компания"	6779 ДПРУ	20080229	20160228	Действует
3020	Кафе	Россия, Москва, улица Большая Якиманка, 22	Общество с ограниченной ответственностью "ИНТЕРКОМ"	10526 ДПРУ	20090924	20140924	Действует
3021	Кафе	Россия, Москва, Нижняя Радищевская улица, 10с1	Общество с ограниченной ответственностью "Таганка"	12213 ДПРУ	20100423	20150423	Действует
3022	Ресторан	Россия, Москва, Новокосинская улица, 36	Общество с ограниченной ответственностью "ОРИОН"	13296 ДПРУ	20120215	20131214	Действует
3023	Универсам	Россия, Москва, Новорогожская улица, 11к2	Закрытое акционерное общество "ДИСКОНТцентр"	10948 ДПРУ	20091110	20141110	Действует
3024	Магазин	Россия, Москва, Новокосинская улица, 38а	Общество с ограниченной ответственностью "ФРЕГАТ-Т"	501 ДТУ	20110614	20140614	Действует
3025	Магазин	Россия, Москва, Кусковская улица, 31к1	Общество с ограниченной ответственностью "АБК-110"	2716 ДПРУ	20061023	20141023	Действует
3026	Кафе	Россия, Москва, 3-й Кадашевский переулок, 2	Общество с ограниченной ответственностью "Юниверсал Рест"	13206 ДПРУ	20101119	20151119	Действует
3027	Кафе	Россия, Москва, Большая Татарская улица, 5	Общество с ограниченной ответственностью "Кофе Хаус. Эспрессо и Капучино Бар"	11190 ДПРУ	20091217	20141217	Действует
3028	Магазин	Россия, Москва, Новокосинская улица, вл32ас1	Общество с ограниченной ответственностью "Возрождение"	8105 ДПРУ	20080925	20130925	Действует
3029	Магазин	Россия, Москва, Новокосинская улица, вл32ас1	Общество с ограниченной ответственностью "Панта"	11781 ДПРУ	20100311	20150311	Действует
3030	Столовая	Россия, Москва, улица Пречистенка, 20	Федеральное государственное унитарное предприятие "Главное производственно-коммерческое управление по обслуживанию дипломатического корпуса при Министерстве иностранных дел Российской Федерации"	8416 ДПРУ	20081114	20141128	Действует
3031	Магазин	Россия, Москва, Студенческая улица, 19к1	Общество с ограниченной ответственностью "ПМ Сервис"	5524 ДПРУ	20070921	20151009	Действует
3032	Магазин	Россия, Москва, улица Плющиха, 26/2	Закрытое акционерное общество "Т и К ПРОДУКТЫ"	12312 ДПРУ	20100526	20150526	Действует
3033	Кафе	Россия, Москва, Студенческая улица, 19к1	Общество с ограниченной ответственностью "ЭДВАНС и Ко"	11611 ДПРУ	20100126	20130126	Действует
3034	Ресторан "Третьяков"	Россия, Москва, Кадашевская набережная, 6/1/2с3	Общество с ограниченной ответственностью ООО "ИнвестФинансПроект"	9283 ДПРУ	20090325	20140325	Аннулирована
3035	Кафе	Россия, Москва, Берсеневская набережная, 14с5	Общество с ограниченной ответственностью "СТРЕЛКА"	12321 ДПРУ	20100526	20150526	Действует
3036	Кафе	Россия, Москва, Пятницкий переулок, 10с1	Общество с ограниченной ответственностью "Интерьер"	44710 ПРИУ	20051231	20131231	Действует
3037	Кафе "Рюмочная"	Россия, Москва, Пятницкий переулок, 10с1	Закрытое акционерное общество "Фирма ЭНЕЙ"	7596 ДПРУ	20080709	20160709	Действует
3038	Ресторан	Россия, Москва, Нижняя Радищевская улица, 2	Государственное бюджетное учреждение культуры города Москвы "Дом русского зарубежья имени Александра Солженицына"	1780 ДТУ	20120515	20130515	Действует
3039	Магазин	Россия, Москва, Перовская улица, 39к1	Общество с ограниченной ответственностью "Смарт"	2087 ДТУ	20120727	20170727	Действует
3040	Магазин	Россия, Москва, Полимерная улица, 5с2	Общество с ограниченной ответственностью "Садко"	7856 ДПРУ	20080820	20130820	Действует
3041	Магазин	Россия, Москва, Салтыковская улица, 26с5	Общество с ограниченной ответственностью "Терравин"	758 ДТУ	20110812	20160812	Действует
3042	Кафе	Россия, Москва, улица Сергия Радонежского, 8	Общество с ограниченной ответственностью "Рестлайн"	12663 ДПРУ	20100813	20150813	Действует
3043	Магазин	Россия, Москва, Свободный проспект, 30	Общество с ограниченной ответственностью "Магазин"Продукты"	13203 ДПРУ	20101118	20151118	Действует
3044	Магазин	Россия, Москва, Пресненская набережная, 10блокb	Общество с ограниченной ответственностью "Винарио"	1017 ДТУ	20111103	20141103	Действует
3045	Супермаркет №1	Россия, Москва, Пресненская набережная, 10блокb	Общество с ограниченной ответственностью "ЭНКА ТЦ"	243 ДТУ	20110505	20160505	Действует
