№ строки	Название	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
1	Магазин	Россия, Московская область, Наро-Фоминский район, Наро-Фоминск	Общество с ограниченной ответственностью "Калашников"	2158 ДТУ	20120815	20130815	Действует
2	Магазин	Россия, Москва, улица Захарьинские Дворики, 3	Общество с ограниченной ответственностью "Капитан у руля"	1215 ДТУ	20111221	20161221	Действует
3	Магазин	Россия, Москва, улица Брусилова, 15	Общество с ограниченной ответственностью "Комфорт"	1176 ДТУ	20111216	20161216	Действует
4	Магазин	Россия, Москва, улица Брусилова, 27к2	Общество с ограниченной ответственностью "Азимут"	12572 ДПРУ	20100730	20150730	Действует
5	Магазин	Россия, Москва, улица Маршала Савицкого, 22к2	Общество с ограниченной ответственностью "Альянс-групп"	1133 ДТУ	20111207	20161207	Действует
6	Магазин	Россия, Москва, улица Маршала Савицкого, 22к2	Общество с ограниченной ответственностью "Фактор"	893 ДТУ	20110923	20160923	Действует
7	Кафе	Россия, Москва, улица Маршала Савицкого, 16к1	Общество с ограниченной ответственностью "Эллин-трейд"	12423 ДПРУ	20100618	20150618	Действует
8	Магазин	Россия, Москва, улица Маршала Савицкого, 18к1	Общество с ограниченной ответственностью "АНВЛАГ"	12547 ДПРУ	20100723	20150723	Действует
9	Магазин	Россия, Москва, улица Маршала Савицкого, 28к1	Общество с ограниченной ответственностью "Альянс-групп"	1404 ДТУ	20120202	20150202	Действует
10	Магазин	Россия, Москва, улица Маршала Савицкого, 12	Общество с ограниченной ответственностью "Пульс"	13290 ДПРУ	20101202	20151202	Действует
11	Магазин	Россия, Москва, улица Маршала Савицкого, 16	Общество с ограниченной ответственностью "ЭксКапитал"	12420 ДПРУ	20100616	20150616	Действует
12	Магазин	Россия, Москва, улица Маршала Савицкого, 8	Общество с ограниченной ответственностью "ВИКТОРИ"	11531 ДПРУ	20100126	20150126	Действует
13	Магазин	Россия, Москва, улица Маршала Савицкого, 20	Общество с ограниченной ответственностью "Каскад"	1121 ДТУ	20111209	20161209	Действует
14	Магазин	Россия, Москва, улица Маршала Савицкого, 24	Общество с ограниченной ответственностью "Комфорт-С"	12928 ДПРУ	20110510	20150928	Действует
15	Магазин	Россия, Москва, поселок Липки, Дачная улица, 7	Общество с ограниченной ответственностью "Лучи"	12288 ДПРУ	20100506	20130506	Действует
16	Магазин	Россия, Москва, Чечерский проезд, 102а	Общество с ограниченной ответственностью "Тебриз"	8323 ДПРУ	20081029	20131029	Действует
17	Склад-магазин	Россия, Москва, Варшавское шоссе, вл248с10	Общество с ограниченной ответственностью "Отдохни-77"	13273 ДПРУ	20101210	20161210	Действует
18	Магазин	Россия, Москва, Чечерский проезд, 92	Общество с ограниченной ответственностью "Скорпион"	496 ДТУ	20110624	20130624	Действует
19	Ресторан	Россия, Москва, Южнобутовская улица, 117	Общество с ограниченной ответственностью "Бумеранг"	9579 ДПРУ	20090519	20140519	Действует
20	Магазин	Россия, Москва, Южнобутовская улица, 52	Общество с ограниченной ответственностью "Искра"	12377 ДПРУ	20100625	20130625	Действует
21	Магазин	Россия, Москва, 2-я Мелитопольская улица, 21к2	Общество с ограниченной ответственностью "Алкомас"	9233 ДПРУ	20090313	20140313	Приостановлена
22	Магазин	Россия, Москва, 2-я Мелитопольская улица, 21к2	Общество с ограниченной ответственностью "МС Групп"	1185 ПРЗЮЗ	20051227	20161227	Действует
23	Магазин	Россия, Москва, Южнобутовская улица, 29	Общество с ограниченной ответственностью "АЛЬТЭКС"	696 ДТУ	20110729	20130729	Действует
24	Универсам	Россия, Москва, Южнобутовская улица, 29	Общество с ограниченной ответственностью "РичФор"	8369 ДПРУ	20090911	20131105	Действует
25	Магазин	Россия, Москва, 2-я Мелитопольская улица, 3а	Открытое акционерное общество "Седьмой Континент"	1867 ДТУ	20120718	20170718	Действует
26	Кафе	Россия, Москва, Южнобутовская улица, 42	Общество с ограниченной ответственностью "Калабуха"	2776 ДПРУ	20061027	20131027	Действует
27	Магазин	Россия, Москва, Южнобутовская улица, 23	Общество с ограниченной ответственностью "Клайм Трейд"	13017 ДПРУ	20101022	20131022	Действует
28	Магазин	Россия, Москва, улица Адмирала Лазарева, 62	Общество с ограниченной ответственностью "Елакс"	13064 ДПРУ	20101019	20151019	Действует
29	Магазин	Россия, Москва, улица Адмирала Лазарева, 62	Общество с ограниченной ответственностью "Центр"	11503 ДПРУ	20100119	20130119	Действует
30	Кафе	Россия, Москва, Чечерский проезд, вл3с1	Общество с ограниченной ответственностью "Кафе-Алиса. ру"	155 ДТУ	20110421	20140421	Действует
31	Магазин	Россия, Москва, улица Адмирала Лазарева, 58	Общество с ограниченной ответственностью "СОРТС-Торкас"	8850 ДПРУ	20090209	20140209	Действует
32	Магазин	Россия, Москва, улица Адмирала Лазарева, 43	Общество с ограниченной ответственностью "ОмегаПрезент"	11612 ДПРУ	20100127	20150127	Действует
33	Магазин	Россия, Москва, улица Бунинская Аллея, 2	Общество с ограниченной ответственностью "ЮРГА"	3414 ДПРУ	20061220	20141220	Действует
34	Универсам	Россия, Москва, улица Адмирала Лазарева, 52	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	12004 ДПРУ	20100402	20150402	Действует
35	Магазин	Россия, Москва, Синельниковская улица, 47	Общество с ограниченной ответственностью "Марков и КО"	11899 ДПРУ	20100326	20150326	Действует
36	Кафе	Россия, Москва, Синельниковская улица, 47	Общество с ограниченной ответственностью "Драфт"	7436 ДПРУ	20080619	20130619	Действует
37	Магазин	Россия, Москва, улица Адмирала Лазарева, 54к1	Общество с ограниченной ответственностью "ГЕРМАН"	12449 ДПРУ	20100615	20130615	Действует
38	Магазин	Россия, Москва, Южнобутовская улица, 17	Общество с ограниченной ответственностью "ПРОДТЕХСНАБ"	2704 ДТУ	20121107	20171107	На выдаче
39	Бар "Чашка"	Россия, Москва, улица Академика Семенова, 3	Общество с ограниченной ответственностью "КРЦ  "Виктория"	12557 ДПРУ	20100727	20150727	Действует
40	Магазин	Россия, Москва, Изюмская улица, 50	Общество с ограниченной ответственностью "АЛИГАР"	1147 ДПРУ	20060628	20140628	Действует
41	Магазин	Россия, Москва, Изюмская улица, 53к2	Общество с ограниченной ответственностью "Радуга"	760 ДТУ	20110803	20160803	Действует
42	Магазин	Россия, Москва, улица Адмирала Лазарева, 52к3	Общество с ограниченной ответственностью "Пивновъ"	11481 ДПРУ	20100113	20130113	Действует
43	Магазин	Россия, Москва, улица Адмирала Лазарева, 40	Общество с ограниченной ответственностью "ТОРГОВЫЙ ДОМ МЖК БУТОВО"	832 ПРЗЮЗ	20050621	20140621	Действует
44	Универсам	Россия, Москва, Веневская улица, 15	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	5819 ДПРУ	20071031	20171031	Действует
45	Универсам	Россия, Москва, Скобелевская улица, 24	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	12012 ДПРУ	20100408	20150408	Действует
46	Магазин	Россия, Москва, улица Адмирала Лазарева, 38	Общество с ограниченной ответственностью "Ассорти"	13104 ДПРУ	20101103	20151103	Действует
47	Кафе	Россия, Москва, Скобелевская улица, 20	Общество с ограниченной ответственностью "ДОСУГ-ИНТЕРПРАЙЗ"	4907 ДПРУ	20070702	20150720	Действует
48	Магазин	Россия, Москва, Скобелевская улица, 20	Общество с ограниченной ответственностью "ПОЛИСТИЛЬ"	51 ДТУ	20110318	20150413	Действует
49	Магазин	Россия, Москва, Ливенская улица, 11	Общество с ограниченной ответственностью "Лучи"	12290 ДПРУ	20100506	20130506	Действует
50	Магазин	Россия, Москва, Скобелевская улица, 23	Закрытое акционерное общество "ДИСКОНТцентр"	9213 ДПРУ	20090311	20140311	Действует
51	Магазин	Россия, Москва, улица Адмирала Лазарева, 36	Общество с ограниченной ответственностью "Рассвет"	11162 ДПРУ	20091223	20141223	Действует
52	Магазин	Россия, Москва, улица Адмирала Лазарева, 36	Общество с ограниченной ответственностью "КАСЯ"	12757 ДПРУ	20100824	20130824	Действует
53	Универсам	Россия, Москва, бульвар Адмирала Ушакова, 7	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	725 ДТУ	20110729	20160729	Действует
54	Бар	Россия, Москва, Скобелевская улица, 23к1	Общество с ограниченной ответственностью "Скиф"	4020 ДПРУ	20070214	20150214	Действует
55	Универсам	Россия, Москва, улица Адмирала Лазарева, 24	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	4073 ДПРУ	20070305	20170305	Действует
56	Кафе	Россия, Москва, улица Адмирала Лазарева, 24	Общество с ограниченной ответственностью "ДЖЕЙН"	8233 ДПРУ	20081013	20131013	Действует
57	Ресторан	Россия, Москва, улица Адмирала Лазарева, 24	Общество с ограниченной ответственностью "АВЭМ"	12094 ДПРУ	20100421	20150421	Действует
58	Кафе	Россия, Москва, бульвар Адмирала Ушакова, 5	Общество с ограниченной ответственностью "Бут"	1229 ДТУ	20111229	20161229	Действует
59	Магазин	Россия, Москва, Изюмская улица, 47к2	Общество с ограниченной ответственностью "Эспаньола"	6394 ДПРУ	20110408	20170111	Действует
60	Магазин	Россия, Москва, Изюмская улица, 47к2	Закрытое акционерное общество "Фирма "ЮНИСТРОЙ"	12735 ДПРУ	20100831	20150831	Действует
61	Супермаркет	Россия, Москва, улица Адмирала Лазарева, 2	Общество с ограниченной ответственностью "Виктория - Московия"	3436 ДПРУ	20061225	20141225	Действует
62	Кафе	Россия, Москва, улица Адмирала Лазарева, 2	Общество с ограниченной ответственностью "Джапан Фудс"	5400 ДПРУ	20070907	20170926	Действует
63	Магазин	Россия, Москва, улица Адмирала Лазарева, 22	Закрытое акционерное общество "КАЛИТТА"	10725 ДПРУ	20091013	20141013	Действует
64	Супермаркет	Россия, Москва, Изюмская улица, 36	Общество с ограниченной ответственностью "БИЛЛА"	940 ДТУ	20111014	20161014	Действует
65	Магазин	Россия, Москва, бульвар Адмирала Ушакова, 18	Общество с ограниченной ответственностью "Лучи"	12289 ДПРУ	20100506	20130506	Действует
66	Магазин	Россия, Москва, Скобелевская улица, 19к1	Общество с ограниченной ответственностью "Гросс 7"	1095 ДТУ	20111122	20141122	Действует
67	Магазин	Россия, Москва, Скобелевская улица, 19к1	Общество с ограниченной ответственностью "ГУСАР - 2"	8290 ДПРУ	20081023	20131023	Действует
68	Магазин "Продукты"	Россия, Москва, Изюмская улица, 45к1	Общество с ограниченной ответственностью "БАДО"	7687 ДПРУ	20080725	20130725	Действует
69	Бар	Россия, Москва, бульвар Адмирала Ушакова, 12	Общество с ограниченной ответственностью "Авангард"	10899 ДПРУ	20091105	20141105	Действует
70	Кафе	Россия, Москва, бульвар Адмирала Ушакова, 12	Общество с ограниченной ответственностью "Декор"	10160 ДПРУ	20090806	20140806	Действует
71	Кафе	Россия, Москва, Веневская улица, 4	Общество с ограниченной ответственностью "БРИГ"	11015 ДПРУ	20091116	20141116	Действует
72	Магазин "Продукты"	Россия, Москва, Плавский проезд, 6	Общество с ограниченной ответственностью "ЗВЕЗДА"	1250 ДПРУ	20060704	20140704	Действует
73	Ресторан	Россия, Москва, Скобелевская улица, 14	Общество с ограниченной ответственностью "КОМПАНИЯ ТРЕЙД КЛАБ"	12675 ДПРУ	20100818	20130818	Действует
74	Кафе	Россия, Москва, Скобелевская улица, 14	Общество с ограниченной ответственностью "КОМПАНИЯ ТРЕЙД КЛАБ"	653 ДТУ	20110720	20140720	Действует
75	Магазин	Россия, Москва, Скобелевская улица, 14	Общество с ограниченной ответственностью "Витанж"	9280 ДПРУ	20090320	20150320	Приостановлена
76	Магазин	Россия, Москва, аллея Витте, 2	Закрытое акционерное общество "КАЛИТТА"	12356 ДПРУ	20100521	20150521	Действует
77	Магазин	Россия, Москва, Южнобутовская улица, 117	Закрытое акционерное общество "Вегат Плюс"	1112 ПРЗЮЗ	20051216	20131216	Действует
78	Кафе	Россия, Москва, Чечерский проезд, 52	Общество с ограниченной ответственностью "ЭкоМаркет-Ф"	13100 ДПРУ	20101116	20151116	Действует
79	Магазин	Россия, Москва, Южнобутовская улица, 81	Общество с ограниченной ответственностью "Агроаспект"	8387 ДПРУ	20081107	20131107	Действует
80	Магазин	Россия, Москва, Чечерский проезд, 56к2	Общество с ограниченной ответственностью "КЕДР и Ко"	12357 ДПРУ	20100521	20130521	Действует
81	Магазин	Россия, Москва, Южнобутовская улица, 77	Общество с ограниченной ответственностью "Эля"	10831 ДПРУ	20091218	20141128	Действует
82	Магазин	Россия, Москва, Южнобутовская улица, 113	Общество с ограниченной ответственностью "Берегиня"	626 ДТУ	20110708	20130708	Действует
83	Магазин	Россия, Москва, Южнобутовская улица, 80	Общество с ограниченной ответственностью "Торговый Дом ЛЮДМИЛА"	9363 ДПРУ	20090408	20150413	Действует
84	Кафе	Россия, Москва, Южнобутовская улица, 97	Общество с ограниченной ответственностью  "ФИРМА "КВАД"	13691 ДПРУ	20110225	20160225	Действует
85	Магазин "Продукты"	Россия, Москва, Варшавское шоссе, 214	Общество с ограниченной ответственностью "Лагуна-М"	11674 ДПРУ	20100203	20130203	Действует
86	Магазин	Россия, Москва, улица Академика Понтрягина, 11	Общество с ограниченной ответственностью "Русские просторы+"	10240 ДПРУ	20090904	20140904	Действует
87	Магазин	Россия, Москва, Южнобутовская улица, 65	Общество с ограниченной ответственностью "М-КАЙЫР"	1690 ДПРУ	20060803	20140803	Действует
88	Кафе	Россия, Москва, Южнобутовская улица, 75	Общество с ограниченной ответственностью "Зеленый мыс-Елена"	12697 ДПРУ	20100826	20130826	Действует
89	Магазин	Россия, Москва, Южнобутовская улица, 69	Общество с ограниченной ответственностью "Лабиринт-М"	2023 ДТУ	20120717	20170717	Действует
90	Ресторан	Россия, Москва, Южнобутовская улица, 69	Общество с ограниченной ответственностью "Вавилон Инвест"	8371 ДПРУ	20081105	20131105	Действует
91	Магазин "Продукты"	Россия, Москва, Южнобутовская улица, 62	Общество с ограниченной ответственностью "ЛАГУНА+"	13675 ДПРУ	20110214	20160214	Действует
92	Магазин	Россия, Москва, Чечерский проезд, 26	Общество с ограниченной ответственностью "Дамар"	2893 ДПРУ	20061110	20131110	Действует
93	Магазин	Россия, Москва, Южнобутовская улица, 55	Общество с ограниченной ответственностью "Ориент-Сервис Плюс"	10663 ДПРУ	20091007	20171007	Действует
94	Универсам	Россия, Москва, Южнобутовская улица, 58	Общество с ограниченной ответственностью "ТОРГОВЫЙ ДОМ МЖК "БУТОВО"	1581 ДТУ	20120328	20150328	Действует
95	Магазин	Россия, Москва, Южнобутовская улица, 58	Общество с ограниченной ответственностью "ЛАЗЕРОН"	12706 ДПРУ	20100827	20130827	Действует
96	Кафе	Россия, Москва, Липецкая улица, 7а	Общество с ограниченной ответственностью "Абриколь"	1136 ДТУ	20111206	20121206	Действует
97	Универсам	Россия, Москва, Липецкая улица, 7а	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	3185 ДПРУ	20061220	20161220	Действует
98	Магазин	Россия, Москва, Лебедянская улица, 28к2	Общество с ограниченной ответственностью "Орион"	8439 ДПРУ	20081114	20131114	Действует
99	Магазин	Россия, Москва, Бирюлевская улица, 49к4с2	Общество с ограниченной ответственностью "АРИЭЛЬ"	13772 ДПРУ	20110303	20160303	Действует
100	Магазин	Россия, Москва, Бирюлевская улица, 49к4с2	Общество с ограниченной ответственностью "АМАГЕР ОФ"	263 ПРЮВЮ	20040914	20150914	Действует
101	Магазин	Россия, Москва, Бирюлевская улица, 52к1	Общество с ограниченной ответственностью "КЛИПСАР МЧ"	1681 ДТУ	20120420	20150420	Действует
102	Магазин	Россия, Москва, Бирюлевская улица, 47а	Общество с ограниченной ответственностью "ВЕЛА гранд"	8017 ДПРУ	20080909	20130909	Действует
103	Кафе	Россия, Москва, Бирюлевская улица, 47а	Общество с ограниченной ответственностью "ВЕЛА гранд"	8087 ДПРУ	20080919	20130919	Действует
104	Магазин	Россия, Москва, Медынская улица, 12с3	Общество с ограниченной ответственностью "ПИНТА"	12036 ДПРУ	20100416	20130416	Действует
105	Магазин	Россия, Москва, Медынская улица, 12с3	Общество с ограниченной ответственностью "ТОЧКА ВКУСА"	7568 ДПРУ	20080704	20130704	Невостребована
106	Магазин	Россия, Москва, Лебедянская улица, 22к4	Общество с ограниченной ответственностью ООО "Кедр"	8425 ДПРУ	20081215	20131215	Действует
107	Магазин	Россия, Москва, Востряковский проезд, 3к1	Общество с ограниченной ответственностью "МАКС +"	13187 ДПРУ	20101124	20131124	Действует
108	Магазин	Россия, Москва, Лебедянская улица, 38	Общество с ограниченной ответственностью "Радуга"	12434 ДПРУ	20100611	20130611	Действует
109	Магазин	Россия, Москва, Московская кольцевая автодорога, 25-й километр, вл4с10	Общество с ограниченной ответственностью "Анда"	10903 ДПРУ	20091105	20141105	Невостребована
110	Магазин М-8	Россия, Москва, Московская кольцевая автодорога, 25-й километр, вл4с10	Общество с ограниченной ответственностью "СЛ и компания"	7045 ДПРУ	20080411	20130411	Действует
111	Магазин	Россия, Москва, Московская кольцевая автодорога, 25-й километр, вл4с10	Общество с ограниченной ответственностью "Руслан"	10875 ДПРУ	20091127	20141127	Действует
112	Магазин	Россия, Москва, Лебедянская улица, 14к1с2	Открытое акционерное общество "Седьмой Континент"	1793 ДТУ	20120615	20170615	Действует
113	Кафе	Россия, Москва, Лебедянская улица, 14к2	Общество с ограниченной ответственностью "ТАИС В"	11687 ДПРУ	20100217	20150217	Действует
114	Магазин	Россия, Москва, Варшавское шоссе, 154а	Общество с ограниченной ответственностью "Роза и Карамель"	10797 ДПРУ	20091028	20141028	Приостановлена
115	Магазин	Россия, Москва, Медынская улица, 7	Открытое акционерное общество "Седьмой Континент"	10638 ДПРУ	20091109	20141109	Действует
116	Магазин	Россия, Москва, Харьковская улица, 2	Открытое акционерное общество "Седьмой Континент"	1868 ДТУ	20120718	20170718	Действует
117	Магазин	Россия, Москва, Харьковская улица, 4к3	Общество с ограниченной ответственностью "Агроаспект"	3811 ДПРУ	20070119	20170123	Действует
118	Магазин	Россия, Москва, Лебедянская улица, 17к1	Закрытое акционерное общество "МОСТОРГ-36"	8001 ДПРУ	20080905	20130905	Действует
119	Кафе	Россия, Москва, Бирюлевская улица, 38с3	Общество с ограниченной ответственностью "Родина"	1925 ДПРУ	20060825	20140825	Действует
120	Магазин	Россия, Москва, Бирюлевская улица, 38с3	Общество с ограниченной ответственностью "ИМПЕРИАЛ"	215 ДТУ	20110427	20140427	Действует
121	Кафе	Россия, Москва, улица Газопровод, 6ас2	Общество с ограниченной ответственностью "АММТ"	13414 ДПРУ	20101229	20121229	Действует
122	Магазин	Россия, Москва, Бирюлевская улица, 38	Общество с ограниченной ответственностью "Отдохни-77"	8180 ДПРУ	20081003	20161003	Действует
123	Кафе	Россия, Москва, Дорожная улица, 40	Закрытое акционерное общество "Эколекс компани"	8983 ДПРУ	20090123	20140123	Действует
124	Магазин	Россия, Москва, улица Газопровод, 6а	Общество с ограниченной ответственностью "Агроаспект"	10415 ДПРУ	20090918	20140918	Действует
125	Магазин	Россия, Москва, Бирюлевская улица, 37а	Общество с ограниченной ответственностью "Агроаспект"	6829 ДПРУ	20080313	20130313	Действует
126	Магазин	Россия, Москва, улица Газопровод, 15	Общество с ограниченной ответственностью "Регина"	10859 ДПРУ	20091113	20141113	Действует
127	Универсам "Авоська"	Россия, Москва, Медынская улица, 6б	Общество с ограниченной ответственностью "Авоська-два"	3053 ДПРУ	20061122	20171122	Действует
128	Магазин	Россия, Москва, Харьковский проезд, 9к1	Общество с ограниченной ответственностью "МЕГАС-СЕРВИС"	11279 ДПРУ	20091225	20151225	Действует
129	Магазин	Россия, Москва, Дорожная улица, 34к2	Общество с ограниченной ответственностью "ПИШИ - ЧИТАЙ"	7861 ДПРУ	20080822	20160822	Действует
130	Ресторан "Замок Огня"	Россия, Москва, Варшавское шоссе, 152к2	Общество с ограниченной ответственностью "ЛИДЕР"	9870 ДПРУ	20090626	20140626	Невостребована
131	Магазин	Россия, Москва, Варшавское шоссе, 152к2	Общество с ограниченной ответственностью "Агроаспект"	3338 ДПРУ	20061219	20161219	Действует
132	Кафе	Россия, Москва, Варшавское шоссе, 152к2	Общество с ограниченной ответственностью ФИРМА "ТАТЬЯНА"	1954 ДТУ	20120629	20170629	Действует
133	Магазин	Россия, Москва, улица Инессы Арманд, 6а	Общество с ограниченной ответственностью "ИНЕССА"	3233 ДПРУ	20061214	20141214	Действует
134	Магазин	Россия, Москва, Медынская улица, 2к1с2	Общество с ограниченной ответственностью "Фирма Мишелин"	7652 ДПРУ	20080718	20130718	Действует
135	Склад-магазин	Россия, Москва, Ступинский проезд, 1ас2	Общество с ограниченной ответственностью "Мозель-М"	5317 ДПРУ	20070824	20130824	Действует
136	Магазин	Россия, Москва, Бирюлевская улица, 31к1	Общество с ограниченной ответственностью Фирма "БАЗИС"	1021 ПРЮВЮ	20050701	20130701	Действует
137	Магазин	Россия, Москва, Московская кольцевая автодорога, 38-й километр	Федеральное государственное унитарное предприятие "ЯСЕНЬ" Службы внешней разведки Российской Федерации"	7863 ДПРУ	20080820	20130820	Действует
138	Гипермаркет	Россия, Москва, улица Подольских Курсантов, 26	Общество с ограниченной ответственностью "Зельгрос"	1197 ДТУ	20111215	20161215	Действует
139	Магазин	Россия, Москва, Медынская улица, 2к2с2	Закрытое акционерное общество "Элина - Центр"	6626 ДПРУ	20080131	20130131	Аннулирована
140	Магазин	Россия, Москва, Булатниковский проезд, вл6с2	Общество с ограниченной ответственностью "Фирма "СИЯНИЕ"	5163 ДПРУ	20070803	20150803	Действует
141	Магазин	Россия, Москва, Медынская улица, 2к2с2	Общество с ограниченной ответственностью "Юлия"	140 ДТУ	20110412	20130412	Действует
142	Кафе	Россия, Москва, Булатниковский проезд, вл6с2	Общество с ограниченной ответственностью "Айсель"	11327 ДПРУ	20100128	20150128	Действует
143	Магазин	Россия, Москва, улица Газопровод, 1к3	Общество с ограниченной ответственностью "КОДЕС-ТОРГ"	7536 ДПРУ	20080627	20130627	Действует
144	Магазин	Россия, Москва, Россошанская улица, 6	Закрытое акционерное общество "Аматус"	1978 ДТУ	20120705	20170705	Действует
145	Магазин	Россия, Москва, Касимовская улица, вл22	Общество с ограниченной ответственностью "ТК ОДИССЕЙ"	9586 ДПРУ	20090522	20140522	Действует
146	Магазин	Россия, Москва, Касимовская улица, вл22	Закрытое акционерное общество "ТАНДЕР"	1168 ДТУ	20111220	20161220	Действует
147	Магазин	Россия, Москва, Касимовская улица, 31к2	Общество с ограниченной ответственностью "ИНТЭКОМ - 2000"	4338 ДПРУ	20070330	20130330	Действует
148	Магазин	Россия, Москва, Касимовская улица, 29	Общество с ограниченной ответственностью "ТК ОДИССЕЙ"	2024 ДПРУ	20060825	20140825	Действует
149	Магазин	Россия, Москва, Бирюлевская улица, 21к1	Открытое акционерное общество "Седьмой Континент"	7570 ДПРУ	20080705	20130705	Действует
150	Магазин	Россия, Москва, улица Газопровод, 1к6	Общество с ограниченной ответственностью "АНЧАР-92"	364 ПРЮВЮ	20041029	20151029	Действует
151	Магазин	Россия, Москва, улица Газопровод, 1к6а	Общество с ограниченной ответственностью "ТЕЛЛУРИ"	9483 ДПРУ	20090529	20140529	Действует
152	Магазин	Россия, Москва, Россошанская улица, 2с1	Закрытое акционерное общество "Торкас"	5910 ДПРУ	20071101	20171101	Действует
153	Магазин	Россия, Москва, Скобелевская улица, 12	Общество с ограниченной ответственностью "МИРАМАКС"	3225 ДПРУ	20061214	20141214	Действует
154	Магазин	Россия, Москва, Изюмская улица, 39к1	Общество с ограниченной ответственностью "Инициатива М"	1599 ДТУ	20120410	20170410	Действует
155	Магазин	Россия, Москва, Скобелевская улица, 1к1	Закрытое акционерное общество ТОРГОВЫЙ ДОМ "КРОСНА"	5878 ДПРУ	20090512	20151026	Действует
156	Магазин	Россия, Московская область, Ленинский район, Видное	Общество с ограниченной ответственностью "Покровский дворик"	2253 ДТУ	20120829	20150829	Действует
157	Магазин	Россия, Москва, Изюмская улица, 37к3	Общество с ограниченной ответственностью "Ризолит"	747 ДТУ	20110809	20160809	Действует
158	Магазин	Россия, Москва, Изюмская улица, 26	Общество с ограниченной ответственностью "НЬЮСТИК"	901 ДТУ	20110929	20140929	Действует
159	Магазин "Медок"	Россия, Москва, Скобелевская улица, 1	Общество с ограниченной ответственностью "ВИТА"	179 ПРЗЮЗ	20040813	20130813	Приостановлена
160	Магазин	Россия, Москва, улица Грина, 1г	Закрытое акционерное общество "ДИСКОНТцентр"	1967 ДТУ	20120703	20170703	Действует
161	Магазин	Россия, Москва, улица Грина, 10	Общество с ограниченной ответственностью "Отдохни-77"	12315 ДПРУ	20100527	20130527	Действует
162	Кафе	Россия, Москва, Коктебельская улица, 11с3	Общество с ограниченной ответственностью "Фирма Абшерон"	12511 ДПРУ	20100820	20150820	Действует
163	Магазин	Россия, Москва, бульвар Дмитрия Донского, 16	Общество с ограниченной ответственностью "Арома Маркет"	6006 ДПРУ	20071202	20171202	Действует
164	Магазин	Россия, Москва, бульвар Дмитрия Донского, 15	Общество с ограниченной ответственностью "Агроаспект"	44168 ПРИУ	20050909	20130909	Действует
165	Универсам	Россия, Москва, улица Поляны, 8	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	12336 ДПРУ	20100526	20150526	Действует
166	Магазин	Россия, Москва, Коктебельская улица, 4к1	Общество с ограниченной ответственностью "Мир Сладостей"	3537 ДПРУ	20090903	20150102	Действует
167	Ресторан	Россия, Москва, улица Грина, 3а	Общество с ограниченной ответственностью "АМО"	3565 ДПРУ	20070104	20130104	Действует
168	Кафе	Россия, Москва, Коктебельская улица, 4а	Общество с ограниченной ответственностью "КРЕОР"	4711 ДПРУ	20070531	20130531	Действует
169	Магазин	Россия, Москва, Коктебельская улица, 4а	Общество с ограниченной ответственностью "ГРАНДА-1"	6526 ДПРУ	20080116	20130116	Действует
170	Ресторан	Россия, Москва, бульвар Дмитрия Донского, 11	Общество с ограниченной ответственностью "Ресторанная Объединенная Сеть и Новейшие Технологии Евроамериканского Развития РЕСТОРАНТС"	1461 ДТУ	20120216	20130216	Действует
171	Кафе	Россия, Москва, бульвар Дмитрия Донского, 11	Общество с ограниченной ответственностью "ГУРМАН"	3982 ДПРУ	20070208	20150208	Действует
172	Кафе	Россия, Москва, улица Грина, 11б	Общество с ограниченной ответственностью "Индиго"	10607 ДПРУ	20091007	20141007	Действует
173	Магазин	Россия, Москва, улица Грина, 11б	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	673 ДТУ	20110722	20160722	Действует
174	Магазин "Кристалл"	Россия, Москва, бульвар Дмитрия Донского, 10	Общество с ограниченной ответственностью "ГРИАДА-ХОЛД"	912 ПРЗЮЗ	20050804	20130804	Действует
175	Универсам	Россия, Москва, улица Грина, 7	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	5981 ДПРУ	20071201	20121201	Действует
176	Магазин	Россия, Москва, Коктебельская улица, 2к1	Общество с ограниченной ответственностью "ФЕНИКС - АС"	10056 ДПРУ	20090807	20140807	Действует
177	Магазин	Россия, Москва, Куликовская улица, 9	Общество с ограниченной ответственностью "Агроаспект"	9887 ДПРУ	20090630	20140630	Действует
178	Кафе	Россия, Москва, Куликовская улица, 9	Общество с ограниченной ответственностью "СВАН"	602 ДТУ	20110706	20140706	Действует
179	Кафе	Россия, Москва, бульвар Дмитрия Донского, 9а	Общество с ограниченной ответственностью "КВАДРА"	1847 ДТУ	20120608	20170608	Действует
180	Супермаркет	Россия, Москва, бульвар Дмитрия Донского, 9а	Общество с ограниченной ответственностью "Виктория - Московия"	440 ДТУ	20110603	20160603	Действует
