№ строки	Название	Адрес	Район	Административный округ
64	Ярмарка выходного дня на Гусятников пер., вл. 1-3	Гусятников пер. 3/1 с. 1	Басманный	ЦАО
65	Ярмарка выходного дня на ул. Аэрофлотская, вл. 8А	Аэрофлотская ул. 8	Внуково	ЗАО
66	Ярмарка выходного дня на 2-й Новокузнецкий пер.	2-й Новокузнецкий пер.	Замоскворечье	ЦАО
67	Ярмарка выходного дня на Панкратьевский пер.	Панкратьевский пер.	Красносельский	ЦАО
68	Ярмарка выходного дня на ул. Щепкина, вл. 32-38	ул. Щепкина 38 с. 2	Мещанский	ЦАО
69	Ярмарка выходного дня на ул. Верземнека, вл. 3-7	ул. Верземнека 3	Мещанский	ЦАО
70	Ярмарка выходного дня на Тишинская пл, вл. 6	Тишинская пл. 6	Пресненский	ЦАО
71	Ярмарка выходного дня на ул. Школьная	Школьная ул. 48	Таганский	ЦАО
72	Ярмарка выходного дня на 5-й Котельнический пер.	5-й Котельнический пер.	Таганский	ЦАО
73	Ярмарка выходного дня на Сытинский пер.	1-й Волконский пер.	Тверской	ЦАО
74	Ярмарка выходного дня на Долгоруковская ул. вл. 40	Долгоруковская ул. 40	Тверской	ЦАО
75	Ярмарка выходного дня на ул. Донская, вл. 19-29	Донская ул. 29 с. 2	Якиманка	ЦАО
76	Ярмарка выходного дня на ул. Б.Полянка, вл.  28	ул. Большая Полянка 28 к. 1	Якиманка	ЦАО
77	Ярмарка выходного дня на Комсомольском пр-те, д. 22-24 (дублёр)	Комсомольский просп. 22	Хамовники	ЦАО
78	Ярмарка выходного дня на Бескудниковский б-р,   вл. 12	Бескудниковский бульв. 12	Бескудниковский	САО
79	Ярмарка выходного дня на ул. Маршала Федоренко, вл. 14, к.3	ул. Маршала Федоренко 14 к. 3	Западное Дегунино	САО
80	Ярмарка выходного дня на ул. Зеленоградская, вл 15	Зеленоградская ул.	Ховрино	САО
81	Ярмарка выходного дня на Ст. Петровско-Разумовский пр-д,         вл. 1/23	Старый Петровско-Разумовский пр. 1/23 с. 1	Савеловский	САО
82	Ярмарка выходного дня на ул. Флотская,  вл. 25	Флотская ул. 25Б	Головинский	САО
83	Ярмарка выходного дня на ул. Новокосинская,         вл. 14	Новокосинская ул. 14 к. 7	Новокосино	ВАО
84	Ярмарка выходного дня на ул. Суздальская,  вл. 11	Суздальская ул. 11Б	Новокосино	ВАО
85	Ярмарка выходного дня на проезд Березовой рощи, вл. 3	пр. Берёзовой Рощи 3 с. 1	Хорошевский	САО
86	Ярмарка выходного дня на Дмитровское шоссе, вл.131	Дмитровское шоссе 131 к. 1	Дмитровский	САО
87	Ярмарка выходного дня на ул. Снежная,  вл. 18	Снежная ул. 18	Свиблово	СВАО
88	Ярмарка выходного дня на ул. Бажова (на площадке в сквере)	ул. Бажова 8	Ростокино	СВАО
89	Ярмарка выходного дня на ул. Тайнинская, вл. 24	Тайнинская ул. 24	Лосиноостровский	СВАО
90	Ярмарка выходного дня на ул. Шереметьевская, вл. 2,стр. 1	Шереметьевская ул. 2 с. 1	Марьина роща	СВАО
91	Ярмарка выходного дня на ул. Лескова, вл. 14 (площадь у кинотеатра «Будапешт»)	ул. Лескова 14	Бибирево	СВАО
92	Ярмарка выходного дня на Ярославское шоссе, вл. 114	Ярославское шоссе 114	Ярославский	СВАО
93	Ярмарка выходного дня на ул. Сухонская, вл. 9	Сухонская ул.	Северное Медведково	СВАО
94	Ярмарка выходного дня на ул. Инженерная, вл. 1-3	Инженерная ул. 1	Алтуфьевский	СВАО
95	Ярмарка выходного дня на ул. П.Корчагина,  вл. 2	ул. Павла Корчагина 2	Алексеевский	СВАО
96	Ярмарка выходного дня на 9-я Северная линия, вл. 21	9-я Северная линия 21	Северный	СВАО
97	Ярмарка выходного дня на Дмитровское шоссе, микр.   № 9	Дмитровское шоссе 165Е к. 7	Северный	СВАО
98	Ярмарка выходного дня на ул. Руставели, вл. 3	ул. Руставели	Бутырский	СВАО
99	Ярмарка выходного дня на ул. Уссурийская,  вл. 7	Уссурийская ул. 7	Гольяново	ВАО
100	Ярмарка выходного дня на ул. Хабаровская, вл. 12/23	Хабаровская ул. 12/23	Гольяново	ВАО
101	Ярмарка выходного дня на Измайловский проспект,       вл. 91	Измайловский просп. 91 к. 1	Восточное Измайлово	ВАО
102	Ярмарка выходного дня на ул. Челябинская,  вл. 15	Челябинская ул. 15	Ивановское	ВАО
103	Ярмарка выходного дня на ул. Молостовых,  вл. 13	ул. Молостовых 13 к. 1	Ивановское	ВАО
104	Ярмарка выходного дня на ул. 2-я Сокольническая, вл. 3	2-я Сокольническая ул. 3	Сокольники	ВАО
105	Ярмарка выходного дня, Окская ул., вл.3-5	Окская ул. 3 к. 1	Рязанский	ЮВАО
106	Ярмарка выходного дня Новосходненское шоссе, вл. 166	Новосходненское шоссе 166	Молжаниновский	САО
107	Ярмарка выходного дня на ул. Зои и Александра Космодемьянских вл. 23	ул. Зои и Александра Космодемьянских 23	Коптево	САО
108	Ярмарка выходного дня на улице Полярная, вл.10	Полярная ул. 10	Южное Медведково	СВАО
109	Ярмарка выходного дня на Старокирочном пер. 1/47	Старокирочный пер. 5 с. 1	Басманный	ЦАО
