№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы гимназия № 1597	109444, г. Москва, ул. Ташкентская, д. 6	Бюджетное	Общеобразовательное учреждение	Гимназия	376-43-59	http://gim1597.ru/
2	Государственное бюджетное образовательное учреждение города Москвы гимназия № 1596	119633 г.Москва, ул. Приречная,д.1	Бюджетное	Общеобразовательное учреждение	Гимназия	(495) 733-54-10; (495) 733-54-13; (495) 731-10-01; (495) 733-56-72; (495) 733-86-04	http://gym1596.mskzapad.ru/
3	Государственное бюджетное образовательное учреждение города Москвы гимназия № 1506	127282, г. Москва, ул. Широкая, д.1А	Бюджетное	Общеобразовательное учреждение	Гимназия	(499) 476-00-89; (499) 476-38-56	http://gym1506sv.mskobr.ru
4	Государственное бюджетное образовательное учреждение города Москвы гимназия № 1599	109457, г. Москва, ул. Зеленодольская, д. 32, корп. 6	Бюджетное	Общеобразовательное учреждение	Гимназия	(499) 172-06-05	http://www.gym1599.ru
5	Государственное бюджетное  образовательное учреждение города Москвы гимназия № 1554	127490, г. Москва, ул. Пестеля, д.5,9А	Бюджетное	Общеобразовательное учреждение	Гимназия	(499) 203-17-90	http://www.gum1554.svao.mskobr.ru
6	Государственное бюджетное образовательное учреждение города Москвы гимназия № 1588	121357 г.Москва, ул. Инициативная, д. 1	Бюджетное	Общеобразовательное учреждение	Гимназия	444-25-71	http://gym1588.mskzapad.ru
7	Государственное бюджетное образовательное учреждение города Москвы Гимназия №1516	107589, г. Москва, ул. Хабаровская, д. 4а	Бюджетное	Общеобразовательное учреждение	Гимназия	460-43-77	http://www.gogi1516.ru/index/index.htm
8	Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1257	115093 г. Москва, ул. Павловская, дом 8-а	Бюджетное	Общеобразовательное учреждение	Гимназия	952-63-70	http://sch1257.ru
9	Государственное бюджетное образовательное учреждение города Москвы гимназия № 1562 имени Артема Боровика	109341, г.Москва, ул. Братиславская, дом 4	Бюджетное	Общеобразовательное учреждение	Гимназия	349-00-11	http://gimn1562.uvuo.ru
10	Государственное бюджетное образовательное учреждение города Москвы гимназия № 1519	123181, г. Москва, ул. Маршала Катукова, д. 21, корп. 2	Бюджетное	Общеобразовательное учреждение	Гимназия	(495) 757-37-15; (495) 757-37-16; (495) 757-37-17; (495) 757-37-18; (495) 757-91-84; (495) 750-99-90	http://www.dsovp552.mskobr.ru
