№ строки	Название	Адрес	Дата начала строительства	Дата окончания строительства
1	Места стоянки легковых такси (1 и 2 этап)	УДС Суздальская ул. д.24	02.05.2012 4:00	31.12.2012 4:00
2	Места стоянки легковых такси (1 и 2 этап)	УДС Каховка ул. д.29а	02.05.2012 4:00	31.12.2012 4:00
3	Места стоянки легковых такси (1 и 2 этап)	УДС Севастопольский просп. д.11е	02.05.2012 4:00	31.12.2012 4:00
4	Места стоянки легковых такси (1 и 2 этап)	УДС Севастопольский просп. д.24б	02.05.2012 4:00	31.12.2012 4:00
5	Места стоянки легковых такси (1 и 2 этап)	УДС Алтуфьевское ш. д.86 к.1	02.05.2012 4:00	31.12.2012 4:00
6	Места стоянки легковых такси (1 и 2 этап)	УДС Алтуфьевское ш. д.88а	02.05.2012 4:00	31.12.2012 4:00
7	Места стоянки легковых такси (1 и 2 этап)	УДС Лескова ул. д.18а	02.05.2012 4:00	31.12.2012 4:00
8	Места стоянки легковых такси (1 и 2 этап)	УДС Хачатуряна ул. д.8	02.05.2012 4:00	31.12.2012 4:00
9	Места стоянки легковых такси (1 и 2 этап)	УДС Зелёный просп., д.22	02.05.2012 4:00	31.12.2012 4:00
10	Места стоянки легковых такси (1 и 2 этап)	УДС Дмитровское ш., д.26	02.05.2012 4:00	31.12.2012 4:00
11	Места стоянки легковых такси (1 и 2 этап)	УДС Масловка Нижняя ул., д.10	02.05.2012 4:00	31.12.2012 4:00
12	Места стоянки легковых такси (1 и 2 этап)	УДС Хорошёвское ш., д.37	02.05.2012 4:00	31.12.2012 4:00
13	Места стоянки легковых такси (1 и 2 этап)	УДС Преображенская пл., д.11	02.05.2012 4:00	31.12.2012 4:00
14	Места стоянки легковых такси (1 и 2 этап)	УДС Коровинское ш., д.16	02.05.2012 4:00	31.12.2012 4:00
15	Места стоянки легковых такси (1 и 2 этап)	УДС Путейская ул., д.2 к.2	02.05.2012 4:00	31.12.2012 4:00
16	Места стоянки легковых такси (1 и 2 этап)	УДС Череповецкая ул., д.1	02.05.2012 4:00	31.12.2012 4:00
17	Места стоянки легковых такси (1 и 2 этап)	УДС Городецкая ул., д.5а	02.05.2012 4:00	31.12.2012 4:00
18	Места стоянки легковых такси (1 и 2 этап)	УДС Линии Октябрьской Железной Дороги ул., д.1 с.4	02.05.2012 4:00	31.12.2012 4:00
19	Места стоянки легковых такси (1 и 2 этап)	УДС Зелёный просп., д.21	02.05.2012 4:00	31.12.2012 4:00
20	Места стоянки легковых такси (1 и 2 этап)	УДС Савеловского вокзала пл., д.2	02.05.2012 4:00	31.12.2012 4:00
21	Места стоянки легковых такси (1 и 2 этап)	УДС Будённого просп., д.53	02.05.2012 4:00	31.12.2012 4:00
22	Места стоянки легковых такси (1 и 2 этап)	УДС Первомайская ул. д.106-110	02.05.2012 4:00	31.12.2012 4:00
23	Места стоянки легковых такси (1 и 2 этап)	УДС Б. Академическая ул. д.35	02.05.2012 4:00	31.12.2012 4:00
24	Места стоянки легковых такси (1 и 2 этап)	УДС Дмитровское ш. д.89	02.05.2012 4:00	31.12.2012 4:00
25	Места стоянки легковых такси (1 и 2 этап)	УДС Зеленоградская ул. д.15	02.05.2012 4:00	31.12.2012 4:00
26	Места стоянки легковых такси (1 и 2 этап)	УДС Коровинское ш. д.23	02.05.2012 4:00	31.12.2012 4:00
27	Места стоянки легковых такси (1 и 2 этап)	УДС Михалковская ул. д.4	02.05.2012 4:00	31.12.2012 4:00
28	Места стоянки легковых такси (1 и 2 этап)	УДС Литовский б-р д.22	02.05.2012 4:00	31.12.2012 4:00
29	Места стоянки легковых такси (1 и 2 этап)	УДС Выход из станции метро Динамо возле Московской аллеи напротив Ленинградский просп., д. 36 стр.39	02.05.2012 4:00	31.12.2012 4:00
30	Места стоянки легковых такси (1 и 2 этап)	УДС Ленинградский просп. д.37 к.6	02.05.2012 4:00	31.12.2012 4:00
31	Места стоянки легковых такси (1 и 2 этап)	УДС Ленинградское ш. д.25	02.05.2012 4:00	31.12.2012 4:00
32	Места стоянки легковых такси (1 и 2 этап)	УДС Мира просп. д.97	02.05.2012 4:00	31.12.2012 4:00
33	Места стоянки легковых такси (1 и 2 этап)	УДС Фестивальная ул. д.2б	02.05.2012 4:00	31.12.2012 4:00
34	Места стоянки легковых такси (1 и 2 этап)	УДС Фестивальная ул. д.7	02.05.2012 4:00	31.12.2012 4:00
35	Места стоянки легковых такси (1 и 2 этап)	УДС в кармане возле входа на платформу Петровско-Разумовское, напртоив остановки Мосгортранса	02.05.2012 4:00	31.12.2012 4:00
36	Места стоянки легковых такси (1 и 2 этап)	УДС Дмитровское ш. д.13	02.05.2012 4:00	31.12.2012 4:00
37	Места стоянки легковых такси (1 и 2 этап)	УДС Ботаническая ул. д.29 к.1	02.05.2012 4:00	31.12.2012 4:00
38	Места стоянки легковых такси (1 и 2 этап)	УДС Плещеева ул. д.4	02.05.2012 4:00	31.12.2012 4:00
39	Места стоянки легковых такси (1 и 2 этап)	УДС Зеленый просп. д.81	02.05.2012 4:00	31.12.2012 4:00
40	Места стоянки легковых такси (1 и 2 этап)	УДС Зеленый просп. д.54-56	02.05.2012 4:00	31.12.2012 4:00
41	Места стоянки легковых такси (1 и 2 этап)	УДС Зеленый просп. д.79а	02.05.2012 4:00	31.12.2012 4:00
42	Места стоянки легковых такси (1 и 2 этап)	УДС Сокольническая пл., д.9а	02.05.2012 4:00	31.12.2012 4:00
43	Места стоянки легковых такси (1 и 2 этап)	УДС Ленинградское ш., д.11	02.05.2012 4:00	31.12.2012 4:00
44	Места стоянки легковых такси (1 и 2 этап)	УДС Щёлковское ш., д.100	02.05.2012 4:00	31.12.2012 4:00
45	Места стоянки легковых такси (1 и 2 этап)	УДС Юшуньская Малая ул. вл.1в с.2	02.05.2012 4:00	31.12.2012 4:00
46	Места стоянки легковых такси (1 и 2 этап)	УДС Череповецкая ул., д.17	02.05.2012 4:00	31.12.2012 4:00
47	Места стоянки легковых такси (1 и 2 этап)	УДС Менжинского ул., д.36	02.05.2012 4:00	31.12.2012 4:00
48	Места стоянки легковых такси (1 и 2 этап)	УДС Рижская пл., д.3	02.05.2012 4:00	31.12.2012 4:00
49	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., р-н Силино, вдоль ул. Болдов ручей	14.06.2012 4:00	31.12.2012 4:00
50	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., пересечение Центральный пр-т - Проезды 4900-4914	14.06.2012 4:00	31.12.2012 4:00
