№ строки	Название	Адрес	Площадь (га)	Телефон	Типы захоронений	Статус кладбища
1	Алабушевское кладбище	Зеленоград, проезд № 5557	34.00000000000	8-499-735-85-33	"	Открытое
2	Алексеевское кладбище	Проспект Мира, вл. 132	2.32290000000	(916) 993-44-30	Захоронение урной в землю	Закрытое
3	Алтуфьевское кладбище	85-й км. МКАД	1.43100000000	977-80-90	Захоронение урной в землю	Закрытое
4	Анкудиново кладбище	Поселение Марушкинское, д. Анкундиново	7.90000000000	952-47-37, 952-29-63	"	Закрытое
5	Бабушкинское кладбище	Ярославское ш., вл. 52	11.08800000000	(499) 188-42-46	Захоронение урной в землю	Закрытое
6	Белоусово кладбище	Поселение Новофедоровское, д. Белоусово	0.50000000000	952-47-37, 952-29-63	"	Закрытое
7	Богородское кладбище	Поселение Роговское, д. Богородское	0.13000000000	232-40-21	"	Закрытое
8	Богородское кладбище	ул. Краснобогатырская, д. 81	2.20320000000	791-05-39	"	Закрытое
9	Богоявление кладбище	Поселение Вороновское, с. Богоявление	0.40000000000	232-40-21	"	Закрытое
10	Большое Покровское кладбище	Поселение Марушкинское, д. Б. Покровское	1.10000000000	952-47-37, 952-29-63	"	Закрытое
11	Большое Свинорье кладбище	Поселение Марушкинское, д. Большое Свинорье	7.50000000000	952-47-37, 952-29-63	"	Закрытое
12	Борисовское кладбище	Ул. Борисовские Пруды, д. 4	1.05060000000	644-75-14	Захоронение урной в землю	Закрытое
13	Бусиновское кладбище	Ул. Бусиновская Горка, вл. 1	1.07720000000	486-55-98	Открытый колумбарий, захоронение урной в землю	Закрытое
14	Бутовское кладбище	Южное Бутово, 36-й км Курской ж/д	9.55580000000	773-56-33	Захоронение урной в землю	Закрытое
15	Былово кладбище	Поселение Краснопахорское, с. Былово	0.20000000000	232-40-21	"	Закрытое
16	Ваганьковское кладбище	Ул. Сергея Макеева, д. 15	48.23610000000	253-80-17	Открытый колумбарий, закрытый колумбарий, захоронение урной в землю, захоронение урной в саркофаг	Закрытое
17	Ваганьковское, Армянский участок кладбище	Ул. Декабрьская, д. 10	2.07360000000	253-80-17	Захоронение урной в землю	Закрытое
18	Валуевское кладбище	Поселение Филимонковское, д. Нижневалуево	0.40000000000	448-67-88	"	Закрытое
19	Варварино кладбище	Поселение Краснопахорское, д. Варварино	0.60000000000	232-40-21	"	Закрытое
20	Васюнино кладбище	Поселение Роговское, д. Васюнино	0.35000000000	232-40-21	"	Закрытое
21	Ватутинское кладбище	Поселение Десеновское, п. Ватутинки	3.40000000000	448-67-88	"	Закрытое
22	Введенское кладбище	Ул. Наличная, д. 1	17.02930000000	360-65-00	Открытый колумбарий, захоронение урной в землю, захоронение урной в саркофаг	Закрытое
23	Вешняковское кладбище	Ул. Юности, д. 17	1.50000000000	375-29-61	"	Закрытое
24	Владыкинское кладбище	Ул. Стационная, вл. 8а	1.44320000000	977-80-90	Открытый колумбарий, захоронение урной в землю	Закрытое
25	Вороново кладбище	Поселение Вороновское, с. Вороново	1.70000000000	232-40-21	"	Закрытое
26	Ворсино кладбище	Поселение Вороновское, д. Ворсино	0.30000000000	232-40-21	"	Закрытое
27	Востряковское (Центральное) кладбище	Ул. Озерная, д. 47	57.05590000000	437-47-00	Захоронение урной в землю	Закрытое
28	Востряковское (Северное) кладбище	Ул. Озерная, д. 47	25.85440000000	437-47-00	Захоронение урной в землю	Закрытое
29	Головинское кладбище	Головинское ш., д. 13а	15.00000000000	450-59-27	Захоронение урной в землю, захоронение урной в саркофаг	Закрытое
30	Гольяновское кладбище	Ул. Курганская, д. 11	1.97370000000	791-05-39	Открытый колумбарий	Закрытое
31	Губцево кладбище	Поселение Первомайское, д. Губцево	8.10000000000	952-47-37, 952-29-63	"	Закрытое
32	Даниловское (Центральное) кладбище	4-й Рощинский пр., д. 30	20.27440000000	952-29-63	Открытый колумбарий, захоронение урной в землю	Закрытое
33	Даниловское (мусульманское) кладбище	2-й Рощинский пр., д. 10	4.05710000000	952-29-63	Открытый колумбарий, захоронение урной в землю	Закрытое
34	Девятское кладбище	Поселение Рязановское, д. Девятское	5.96000000000	232-40-21	"	Закрытое
35	Долгопрудненское (Центральное) кладбище	Московская обл., Долгопрудный, Лихачевский пр., д. 1	59.60000000000	408-80-98	Открытый колумбарий, захоронение урной в землю	Закрытое
36	Долгопрудненское (Южное) кладбище	Московская обл., Долгопрудный, Лихачевский пр., д. 1	27.00000000000	408-80-98	Открытый колумбарий, захоронение урной в землю	Закрытое
37	Домодедовское кладбище	Московская обл., Домодедовский р-н, п/о Чурилково, д. Истомиха	100.50000000000	223-56-82	Захоронение урной в землю	Открытое
38	Донское кладбище	Ул. Орджоникидзе, д. 4	7.00000000000	954-12-89	Открытый колумбарий, закрытый колумбарий, захоронение урной в землю, захоронение урной в саркофаг	Закрытое
39	Жохово кладбище	Поселение Кленовское, д. Жохово	0.50000000000	232-40-21	"	Закрытое
40	Захарьинское кладбище	д. Захарьино, ул. Шоссейная, Южное Бутово	10.05000000000	717-69-18	Захоронение урной в землю	Закрытое
41	Зеленоградское (Центральное) кладбище	Зеленоград, пр-д 4921, д. 3, стр. 1, д. Ржавки	20.92500000000	(499) 735-85-33	Открытый колумбарий, захоронение урной в землю	Закрытое
42	Зеленоградское (Северное) кладбище	Зеленоград, пр-д 710, д. 19, стр. 1	14.74000000000	(499) 735-85-33	Открытый колумбарий, захоронение урной в землю	Закрытое
43	Зосимова пустынь кладбище	Поселение Новофедоровское, п. Зосимова пустынь	0.60000000000	952-47-37, 952-29-63	"	Закрытое
