№ строки	Название объекта	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 112	109316, г.Москва, Волгоградский проспект, д.27	Бюджетное	Вечернее (сменное) общеобразовательное учреждение	Вечерняя (сменная) общеобразовательная школа	676-03-11	http://schuvv112.mskobr.ru
2	Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 182	117449, г.Москва, ул. Гримау, дом 11а	Бюджетное	Вечернее (сменное) общеобразовательное учреждение	Вечерняя (сменная) общеобразовательная школа	126-06-73	http://sch182.mosuzedu.ru
3	Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 115	117485, г. Москва, улица Бутлерова, дом 5Б, строение 1	Бюджетное	Вечернее (сменное) общеобразовательное учреждение	Вечерняя (сменная) общеобразовательная школа	334-99-10	http://vsch115.mosuzedu.ru
4	Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 148	107564, г. Москва, ул. 2-я Гражданская, дом 8.	Бюджетное	Вечернее (сменное) общеобразовательное учреждение	Вечерняя (сменная) общеобразовательная школа	(499) 169-42-70	http://www.school-36.taba.ru
5	Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 90	125130, г. Москва, 4-й Новоподмосковный пер., д. 2а	Бюджетное	Вечернее (сменное) общеобразовательное учреждение	Вечерняя (сменная) общеобразовательная школа	450-95-10	http://extern90.ru/
6	Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 166	117152 Севастопольский проспект, 5а	Бюджетное	Вечернее (сменное) общеобразовательное учреждение	Вечерняя (сменная) общеобразовательная школа	(499) 123-15-96; (499) 127-66-53	http:www.sch166.edusite.ru
7	Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 185	111024, г.Москва ул. Авиамоторная, 30А	Бюджетное	Вечернее (сменное) общеобразовательное учреждение	Вечерняя (сменная) общеобразовательная школа	(495) 362-32-21	http://school-ext185.ru
