№ строки	Название	Адрес	Дата начала строительства	Дата окончания строительства
95	Лифты	Дмитровское ш., д.147, к.2	13.04.2012	31.12.2012
96	Лифты	Кирова пр., д.2	10.04.2012	31.12.2012
97	Лифты	Кирова пр., д.4	10.04.2012	31.12.2012
98	Лифты	Совхозная ул., д.3	12.04.2012	31.12.2012
99	Лифты	Совхозная ул., д.3	06.12.2011	31.12.2012
100	Лифты	40 лет Октября  просп., д.3	12.04.2012	31.12.2012
101	Лифты	40 лет Октября  просп., д.40	08.12.2011	31.12.2012
102	Лифты	Краснодонская ул., д.53	12.04.2012	31.12.2012
103	Лифты	Окская ул., д.16, к.2	06.12.2011	31.12.2012
104	Лифты	Ставропольская ул., д.32	23.07.2012	31.12.2012
105	Лифты	Ореховый б-р, д.39, к.1	10.04.2012	31.12.2012
106	Лифты	Мусы Джалиля ул., д.38, к.1	10.04.2012	31.12.2012
107	Лифты	Тихорецкий б-р, д.14, к.2	23.07.2012	31.12.2012
108	Лифты	Мусы Джалиля ул., д.5, к.1	10.04.2012	31.12.2012
109	Лифты	Тихорецкий б-р, д.14, к.1	23.07.2012	31.12.2012
110	Лифты	Тихорецкий б-р, д.12, к.2	10.04.2012	31.12.2012
111	Лифты	Академика Скрябина ул., д.10	10.04.2012	31.12.2012
112	Лифты	Хлобыстова ул., д.8, к.2	10.04.2012	31.12.2012
113	Лифты	Ташкентская ул., д.14, к.1	12.04.2012	31.12.2012
114	Лифты	Мусы Джалиля ул., д.4, к.2	10.04.2012	31.12.2012
115	Лифты	Шипиловская ул., д.50, к.2	23.07.2012	31.12.2012
116	Лифты	Мусы Джалиля ул., д.2, к.1	12.04.2012	31.12.2012
117	Лифты	Мусы Джалиля ул., д.34, к.2	23.07.2012	31.12.2012
118	Лифты	Мусы Джалиля ул., д.34, к.2	10.04.2012	31.12.2012
119	Лифты	Ореховый б-р, д.39, к.2	10.04.2012	31.12.2012
120	Лифты	Мусы Джалиля ул., д.7, к.4	12.04.2012	31.12.2012
121	Лифты	Мусы Джалиля ул., д.5, к.2	10.04.2012	31.12.2012
122	Лифты	Мусы Джалиля ул., д.5, к.4	10.04.2012	31.12.2012
123	Подъемные платформы и работы по ММГН	Новомарьинская ул., д.5, к.1	20.07.2012	27.07.2012
124	Лифты	Задонский пр., д.16, к.2	07.08.2012	31.12.2012
125	Лифты	Шипиловская ул., д.55	23.07.2012	31.12.2012
126	Лифты	Шипиловская ул., д.55	06.12.2011	31.12.2012
127	Лифты	Мусы Джалиля ул., д.7, к.6	10.04.2012	31.12.2012
128	Лифты	Кустанайская ул., д.6, к.2	12.04.2012	31.12.2012
129	Лифты	3-й квартал Капотни, д.12	12.04.2012	31.12.2012
130	Лифты	3-й квартал Капотни, д.12	23.07.2012	31.12.2012
131	Лифты	Серпуховский Вал ул., д.9	10.04.2012	31.12.2012
132	Лифты	Пересветов пер., д.5	23.07.2012	31.12.2012
133	Лифты	Вернадского просп., д.89, к.1	12.04.2012	31.12.2012
134	Лифты	Карамзина пр. д.9 к.1	10.04.2012	31.12.2012
135	Лифты	Ореховый б-р, д.11, к.1	10.04.2012	31.12.2012
136	Подъемные платформы и работы по ММГН	Городецкая ул., д.8, к.3	20.07.2012	31.12.2012
137	Лифты	Елецкая ул., д.23	07.08.2012	31.12.2012
138	Лифты	Ореховый пр., д.15	06.12.2011	31.12.2012
139	Лифты	Булатниковский пр., д.14, к.6	10.04.2012	31.12.2012
140	Лифты	Булатниковский пр., д.16, к.1	06.12.2011	31.12.2012
141	Лифты	Михневский пр., д.4	12.04.2012	31.12.2012
142	Лифты	Лебедянская ул., д.19	06.12.2011	31.12.2012
143	Подъемные платформы и работы по ММГН	Липецкая ул., д.17	18.07.2012	31.12.2012
144	Лифты	Липецкая ул., д.17	12.04.2012	31.12.2012
145	Лифты	Липецкая ул., д.11	08.12.2011	31.12.2011
146	Лифты	Липецкая ул., д.15	06.12.2011	31.12.2012
147	Лифты	Шипиловский пр., д.61, к.2	23.07.2012	31.12.2012
148	Лифты	Домодедовская ул., д.38, к.1	07.08.2012	31.12.2012
149	Лифты	Каширское ш., д.132, к.1	07.08.2012	31.12.2012
150	Лифты	Каширское ш., д.130	07.08.2012	31.12.2012
151	Лифты	Ясеневая ул., д.10, к.2	23.07.2012	31.12.2012
152	Капитальный ремонт	Сиреневый б-р, д.1, к.4	15.08.2012	31.12.2012
153	Лифты	Прядильная 2-я ул., д.5	16.12.2011	31.12.2012
154	Лифты	Парковая 7-я ул., д.15, к.1	12.04.2012	31.12.2012
155	Лифты	Парковая 9-я ул., д.42	12.04.2012	31.12.2012
156	Лифты	Уральская ул., д.6, к.8	12.04.2012	31.12.2012
157	Лифты	Уральская ул., д.23, к.2	16.12.2011	31.12.2012
158	Лифты	Байкальская ул., д.38, к.3	16.12.2011	31.12.2012
159	Утепление фасадов	Фортунатовская ул., д.15	08.12.2011	30.05.2012
160	Лифты	Щербаковская ул., д.58а	12.04.2012	31.12.2012
161	Лифты	Щербаковская ул., д.58а	19.07.2012	31.12.2012
162	Лифты	Мастеровая ул., д.8	10.04.2012	31.12.2012
163	Лифты	Первомайская ул., д.5	12.04.2012	31.12.2012
164	Лифты	Первомайская Нижняя ул., д.8	16.12.2011	31.12.2012
165	Лифты	Братская ул., д.23, к.1	12.04.2012	31.12.2012
166	Лифты	Зелёный просп., д.26	19.07.2012	31.12.2012
167	Лифты	Утренняя ул., д.22, к.2	08.12.2011	31.12.2012
168	Капитальный ремонт	Свободный просп., д.24	15.08.2012	31.12.2012
169	Капитальный ремонт	Свободный просп., д.22	15.08.2012	31.12.2012
170	Лифты	Чешихинский пр., д.4	12.04.2012	31.12.2012
171	Лифты	Энергетическая ул., д.8, к.1	12.04.2012	31.12.2012
172	Лифты	Энергетическая ул., д.12, к.2	23.07.2012	31.12.2012
173	АУУ / УУТЭ	Красноказарменная ул., д.19	09.08.2012	31.12.2012
174	Лифты	Синичкина 2-я ул., д.22	23.07.2012	31.12.2012
175	Капитальный ремонт	Симоновский Вал ул., д.8	15.08.2012	31.12.2012
176	Лифты	Синичкина 2-я ул., д.11	23.07.2012	31.12.2012
177	Лифты	Синичкина 2-я ул., д.26	23.07.2012	31.12.2012
178	Лифты	Авиамоторная ул., д.30	10.04.2012	31.12.2012
179	Лифты	Измайловское ш., д.6	12.04.2012	31.12.2012
180	Лифты	Будённого просп., д.25	10.04.2012	31.12.2012
181	Утепление фасадов	Измайловское ш., д.45	18.05.2012	31.12.2012
182	Лифты	Нагатинская ул., д.30	23.07.2012	31.12.2012
183	Лифты	Кожуховский 1-й пр., д.1/7	10.04.2012	31.12.2012
184	Лифты	Нагатинская ул., д.32	23.07.2012	31.12.2012
185	Капитальный ремонт	Симоновский Вал ул., д.26, к.3	15.08.2012	31.12.2012
186	Капитальный ремонт	Симоновский Вал ул., д.10	15.08.2012	31.12.2012
187	Капитальный ремонт	Симоновский Вал ул., д.26, к.1	15.08.2012	31.12.2012
188	Капитальный ремонт	Симоновский Вал ул., д.14	15.08.2012	31.12.2012
189	Лифты	Кожуховский 1-й пр., д.19, к.1	07.08.2012	31.12.2012
190	Лифты	Велозаводская ул., д.11/1	08.12.2011	31.12.2012
191	АУУ / УУТЭ	Велозаводская ул., д.11/1	09.08.2012	31.12.2012
192	Лифты	Велозаводская ул., д.11/1	12.04.2012	31.12.2012
193	Лифты	Андропова просп., д.33, к.2	10.04.2012	31.12.2012
194	Лифты	Трофимова ул., д.18	12.04.2012	31.12.2012
195	Лифты	Нагатинская наб., д.40/1	10.04.2012	31.12.2012
196	Лифты	Нагатинская наб., д.64	10.04.2012	31.12.2012
197	Лифты	Коломенская ул., д.9	08.12.2011	31.12.2012
198	Лифты	Шоссейная ул. (рн. Печатники), д.58, к.4	10.04.2012	31.12.2012
199	Лифты	Шоссейная ул. (рн. Печатники), д.58, к.2	23.07.2012	31.12.2012
200	Лифты	Шоссейная ул. (рн. Печатники), д.46, к.2	12.04.2012	31.12.2012
201	Лифты	Генерала Белова ул., д.45, к.1	10.04.2012	31.12.2012
202	Лифты	Ореховый б-р, д.23, к.1	10.04.2012	31.12.2012
203	Лифты	Генерала Белова ул., д.45, к.3	07.08.2012	31.12.2012
204	Лифты	Ясеневая ул., д.19, к.3	23.07.2012	31.12.2012
205	АУУ / УУТЭ	Рудневой ул., д.6	09.08.2012	31.12.2012
206	Лифты	Тайнинская ул., д.8	10.04.2012	31.12.2012
207	Лифты	Осташковский пр., д.8	13.04.2012	31.12.2012
208	Лифты	Тайнинская ул., д.14	10.04.2012	31.12.2012
209	Лифты	Малыгина ул., д.9	06.12.2011	31.12.2012
210	Лифты	Проходчиков ул., д.4	06.12.2011	31.12.2012
211	Лифты	Ротерта ул., д.10, к.5	13.04.2012	31.12.2012
212	Лифты	Анадырский пр., д.61	12.04.2012	31.12.2012
213	Лифты	Ярославское ш., д.111, к.2	30.07.2012	31.12.2012
214	Подъемные платформы и работы по ММГН	Анадырский пр., д.63	20.07.2012	31.12.2012
215	Лифты	Анадырский пр., д.67	12.04.2012	31.12.2012
216	Лифты	Ярославское ш., д.118, к.2	30.07.2012	31.12.2012
217	Лифты	Анадырский пр., д.73	12.04.2012	31.12.2012
218	Лифты	Ярославское ш., д.8, к.1	10.04.2012	31.12.2012
219	Лифты	Короленко ул., д.6а	12.04.2012	31.12.2012
220	Лифты	Халтуринская ул., д.10, к.1	19.07.2012	31.12.2012
221	Лифты	Халтуринская ул., д.4, к.2	19.07.2012	31.12.2012
222	Лифты	Черкизовская Большая ул., д.20, к.1	12.04.2012	31.12.2012
223	Лифты	Сыромятническая Верхняя ул., д.2	12.04.2012	31.12.2012
224	Подъемные платформы и работы по ММГН	Николоямский пер., д.2	13.08.2012	31.12.2012
225	Лифты	Старослободская ул., д.14	12.04.2012	31.12.2012
226	Лифты	Библиотечная ул., д.13	10.04.2012	31.12.2012
227	Лифты	Сокольнический Вал ул., д.40	19.07.2012	31.12.2012
228	Лифты	Библиотечная ул., д.17	10.04.2012	31.12.2012
229	Лифты	Волочаевская ул., д.13	12.04.2012	31.12.2012
230	Лифты	Татищева ул., д.3	10.04.2012	31.12.2012
231	Лифты	Мытная ул., д.48	23.07.2012	31.12.2012
232	Лифты	Люсиновская ул., д.53	12.04.2012	31.12.2012
233	Лифты	Каширское ш., д.4, к.3	10.04.2012	31.12.2012
234	Лифты	Варшавское ш., д.55, к.1	10.04.2012	31.12.2012
235	Лифты	Шоссейная ул. (рн. Печатники), д.58, к.3	10.04.2012	31.12.2012
236	Лифты	Шоссейная ул. (рн. Печатники), д.46, к.1	06.12.2011	31.12.2012
237	Лифты	Шоссейная ул. (рн. Печатники), д.22	23.07.2012	31.12.2012
238	Лифты	Гурьянова ул., д.5	23.07.2012	31.12.2012
239	Лифты	Гурьянова ул., д.1	12.04.2012	31.12.2012
240	Подъемные платформы и работы по ММГН	Шоссейная ул. (рн. Печатники), д.51	20.07.2012	27.07.2012
241	Лифты	Полбина ул., д.24	12.04.2012	31.12.2012
242	Подъемные платформы и работы по ММГН	Полбина ул., д.12	20.07.2012	27.07.2012
243	Лифты	Саратовская ул., д.3, к.1	10.04.2012	31.12.2012
244	Лифты	Грайвороновская ул., д.14, к.1	12.04.2012	31.12.2012
245	Лифты	Грайвороновская ул., д.18, к.2	23.07.2012	31.12.2012
246	Лифты	Бакинская ул., д.29	07.08.2012	31.12.2012
247	Лифты	Кавказский б-р, д.29, к.4	08.12.2011	31.12.2012
248	Лифты	Маршала Захарова ул., д.10, к.2	10.04.2012	31.12.2012
249	Лифты	Шипиловский пр., д.41, к.2	23.07.2012	31.12.2012
250	Лифты	Маршала Захарова ул., д.10, к.1	10.04.2012	31.12.2012
251	Лифты	Шипиловский пр., д.41, к.3	23.07.2012	31.12.2012
252	Лифты	Маршала Захарова ул., д.8, к.3	10.04.2012	31.12.2012
253	Лифты	Шипиловский пр., д.41, к.4	23.07.2012	31.12.2012
254	Лифты	Домодедовская ул., д.6, к.2	07.08.2012	31.12.2012
255	Лифты	Маршала Захарова ул., д.7	10.04.2012	31.12.2012
256	Лифты	Каширское ш., д.80, к.2	12.04.2012	31.12.2012
257	Лифты	Каширское ш., д.86, к.2	12.04.2012	31.12.2012
258	Лифты	Каширское ш., д.86, к.3	12.04.2012	31.12.2012
259	Лифты	Каширское ш., д.102, к.2	07.08.2012	31.12.2012
260	Лифты	Каширское ш., д.98, к.2	07.08.2012	31.12.2012
261	Лифты	Батайский пр., д.9	23.07.2012	31.12.2012
262	Лифты	Вавилова ул. д.95	11.07.2012	31.12.2012
263	Лифты	Гарибальди ул. д.15 к.2	11.07.2012	31.12.2012
264	Лифты	Панфёрова ул. д.5 к.2	12.04.2012	31.12.2012
265	Лифты	Вавилова ул. д.70 к.3	11.07.2012	31.12.2012
266	Лифты	Молодёжная ул. д.4	12.04.2012	31.12.2012
267	Лифты	Университетский просп. д.6 к.2	12.04.2012	31.12.2012
268	АУУ / УУТЭ	Космонавта Волкова ул., д.27	09.08.2012	31.12.2012
269	Лифты	Матроса Железняка б-р, д.3	12.04.2012	31.12.2012
270	Капитальный ремонт	Академическая Большая ул., д.14	15.08.2012	31.12.2012
271	Лифты	Степана Супруна ул., д.3/5	17.07.2012	31.12.2012
272	Лифты	Лихачёвский 3-й пер., д.2, к.3	13.04.2012	31.12.2012
273	Капитальный ремонт	Лихоборские Бугры ул., д.6	28.02.2012	31.12.2012
274	Лифты	Академическая Большая ул., д.71	12.04.2012	31.12.2012
275	Лифты	Черепановых пр., д.64, к.2	06.12.2011	31.12.2012
276	Лифты	Айвазовского ул. д.5 к.1	12.04.2012	31.12.2012
277	Лифты	Введенского ул. д.12 к.1	11.07.2012	31.12.2012
278	Лифты	Литовский б-р д.34	12.04.2012	31.12.2012
279	Лифты	Обручева ул. д.47	12.04.2012	31.12.2012
280	Лифты	Новочерёмушкинская ул. д.62 к.1	12.04.2012	31.12.2012
281	Лифты	Немчинова ул., д.4	06.12.2011	31.12.2012
282	Лифты	Яблочкова ул., д.41а	10.04.2012	31.12.2012
283	Лифты	Яблочкова ул., д.35б	10.04.2012	31.12.2012
284	Лифты	Яблочкова ул., д.35а	10.04.2012	31.12.2012
285	Капитальный ремонт объектов ГУВД	Магистральная 3-я ул., д.26б	09.08.2012	31.12.2012
286	Капитальный ремонт объектов ГУВД	Магистральная 3-я ул., д.26б	19.03.2012	31.12.2012
287	Капитальный ремонт объектов ГУВД	Магистральная 3-я ул., д.20б	15.03.2012	31.12.2012
288	Лифты	Красногвардейский 2-й пр., д.6б	10.04.2012	31.12.2012
289	Лифты	Красногвардейский 2-й пр., д.6в	10.04.2012	31.12.2012
290	Лифты	Филёвский б-р, д.17	06.12.2011	31.12.2012
291	Лифты	Берзарина ул., д.16	10.04.2012	31.12.2012
292	Лифты	Сеславинская ул., д.32, к.2	23.07.2012	31.12.2012
293	Лифты	Берзарина ул., д.3, к.2	19.07.2012	31.12.2012
294	Лифты	Айвазовского ул. д.2	10.04.2012	31.12.2012
295	Лифты	Угличская ул., д.2	13.04.2012	31.12.2012
296	Лифты	Дубнинская ул., д.4, к.1	17.07.2012	31.12.2012
297	Лифты	Дубнинская ул., д.4, к.1	10.04.2012	31.12.2012
298	Капитальный ремонт	Песчаный пер., д.8	15.08.2012	31.12.2012
299	Лифты	Лихачёвский 3-й пер., д.7, к.3	06.12.2011	31.12.2012
300	Лифты	Годовикова ул., д.1, к.1	30.07.2012	31.12.2012
301	Ремонт фасадов	Мира просп., д.81	10.09.2012	31.12.2012
302	Лифты	Лазоревый пр., д.4	10.04.2012	31.12.2012
303	Лифты	Седова ул., д.13, к.2	30.07.2012	31.12.2012
304	Лифты	Седова ул., д.13, к.2	12.04.2012	31.12.2012
305	Лифты	Маломосковская ул., д.3, к.2	12.04.2012	31.12.2012
306	АУУ / УУТЭ	Космонавтов ул., д.4	09.08.2012	31.12.2012
307	Капитальный ремонт	Мира просп., д.163, к.1	15.08.2012	31.12.2012
308	Капитальный ремонт	Ленинградский просп., д.10	25.10.2011	31.12.2012
309	Лифты	Ружейный пер., д.4	11.07.2012	31.12.2012
310	Капитальный ремонт	Масловка Нижняя ул., д.5	15.08.2012	31.12.2012
311	Ремонт фасадов ЦАО и исторической часть города	Вспольный пер., д.17	28.06.2012	31.12.2012
312	Ремонт фасадов ЦАО и исторической часть города	Плотников пер., д.3	26.06.2012	31.12.2012
313	Ремонт фасадов ЦАО и исторической часть города	Денежный пер., д.4	26.06.2012	31.12.2012
314	Лифты	Гагаринский пер., д.26	10.04.2012	31.12.2012
315	Лифты	Спиридоновка ул., д.19	10.04.2012	31.12.2012
316	Лифты	Спиридоновка ул., д.19	12.04.2012	31.12.2012
317	Лифты	Власьевский Малый пер., д.3	12.04.2012	31.12.2012
318	Лифты	Власьевский Малый пер., д.6	12.04.2012	31.12.2012
319	Лифты	Тверская-Ямская 2-я ул., д.54	12.04.2012	31.12.2012
320	Лифты	Спиридоновка ул., д.12	12.04.2012	31.12.2012
321	Ремонт фасадов ЦАО и исторической часть города	Спиридоновка ул., д.10	28.06.2012	31.12.2012
322	Ремонт фасадов ЦАО и исторической часть города	Остоженка ул., д.47	28.06.2012	31.12.2012
323	Лифты	Спиридоновка ул., д.8	12.04.2012	31.12.2012
324	Лифты	Хлебный пер., д.9	10.04.2012	31.12.2012
325	Ремонт фасадов ЦАО и исторической часть города	Афанасьевский Большой пер., д.22	29.06.2012	31.12.2012
326	Лифты	Трёхпрудный пер., д.8	10.04.2012	31.12.2012
327	Ремонт фасадов ЦАО и исторической часть города	Никитский б-р, д.25	28.06.2012	31.12.2012
328	Лифты	Академика Миллионщикова ул., д.14, к.1	07.08.2012	31.12.2012
329	Лифты	Кожевнический 2-й пер., д.1	08.12.2011	31.12.2012
330	Лифты	Нагатинская наб., д.18	23.07.2012	31.12.2012
331	Лифты	Чертановская ул., д.34, к.1	23.07.2012	31.12.2012
332	Лифты	Сумской пр., д.21, к.1	12.04.2012	31.12.2012
333	Подъемные платформы и работы по ММГН	Чертановская ул., д.32, к.1	20.07.2012	31.12.2012
334	Подъемные платформы и работы по ММГН	Чертановская ул., д.30, к.1	20.07.2012	31.12.2012
335	Лифты	Сумской пр., д.21, к.2	12.04.2012	31.12.2012
336	Лифты	Сумской пр., д.21, к.4	12.04.2012	31.12.2012
337	Лифты	Чертановская ул., д.33, к.2	23.07.2012	31.12.2012
338	Лифты	Чертановская ул., д.39, к.2	23.07.2012	31.12.2012
339	Лифты	Чертановская ул., д.31, к.2	23.07.2012	31.12.2012
340	Лифты	Чертановская ул., д.41, к.3	12.04.2012	31.12.2012
341	Лифты	Балаклавский просп. д.20 к.3	12.04.2012	31.12.2012
342	Лифты	Балаклавский просп. д.20 к.2	12.04.2012	31.12.2012
343	Лифты	Красного Маяка ул., д.4, к.2	10.04.2012	31.12.2012
344	Лифты	Сумской пр., д.13, к.1	23.07.2012	31.12.2012
345	Лифты	Сумской пр., д.13, к.1	12.04.2012	31.12.2012
346	Лифты	Кировоградская ул., д.24, к.4	10.04.2012	31.12.2012
347	Лифты	Сивашская ул. д.6 к.2	17.07.2012	31.12.2012
348	Лифты	Чертановская ул., д.11, к.2	12.04.2012	31.12.2012
349	Лифты	Азовская ул. д.4	11.07.2012	31.12.2012
350	Лифты	Кировоградская ул., д.24, к.3	10.04.2012	31.12.2012
351	Лифты	Кировоградская ул., д.24, к.1	07.08.2012	31.12.2012
352	Лифты	Кировоградская ул., д.24, к.1	12.04.2012	31.12.2012
353	Лифты	Сумская ул., д.6, к.3	12.04.2012	31.12.2012
354	Лифты	Сумская ул., д.6, к.2	12.04.2012	31.12.2012
355	Лифты	Кировоградская ул., д.16, к.1	07.08.2012	31.12.2012
356	Лифты	Чертановская ул., д.61, к.2	23.07.2012	31.12.2012
357	Лифты	Академика Янгеля ул., д.4	10.04.2012	31.12.2012
358	Лифты	Сумской пр., д.5, к.1	12.04.2012	31.12.2012
359	Лифты	Черноморский б-р, д.7а	12.04.2012	31.12.2012
360	Лифты	Фруктовая ул., д.16	12.04.2012	31.12.2012
361	Подъемные платформы и работы по ММГН	Кировоградская ул., д.10, к.1	20.07.2012	31.12.2012
362	Лифты	Кировоградская ул., д.10, к.1	07.08.2012	31.12.2012
363	Лифты	Симферопольский б-р д.2в	12.04.2012	31.12.2012
364	Лифты	Болотниковская ул., д.4, к.2	06.12.2011	31.12.2012
365	Лифты	Болотниковская ул., д.4, к.1	06.12.2011	31.12.2012
366	Лифты	Болотниковская ул., д.4, к.1	06.12.2011	31.12.2012
367	Лифты	Академика Миллионщикова ул., д.31	07.08.2012	31.12.2012
368	Подъемные платформы и работы по ММГН	Академика Миллионщикова ул., д.31	20.07.2012	31.12.2012
369	Лифты	Академика Миллионщикова ул., д.31	12.04.2012	31.12.2012
370	Лифты	Академика Миллионщикова ул., д.31	06.12.2011	31.12.2012
371	Лифты	Коломенский пр., д.8, к.1	12.04.2012	31.12.2012
372	Лифты	Коломенский пр., д.8, к.3	12.04.2012	31.12.2012
373	Лифты	Коломенский пр., д.8, к.2	12.04.2012	31.12.2012
374	Лифты	Сокольническая 2-я ул., д.6	16.12.2011	31.12.2012
375	Лифты	Бакинская ул., д.4	10.04.2012	31.12.2012
376	Лифты	Кировоградская ул., д.44а, к.2	12.04.2012	31.12.2012
377	Подъемные платформы и работы по ММГН	Кировоградская ул., д.44, к.2	20.07.2012	31.12.2012
378	Лифты	Кировоградская ул., д.44а, к.1	12.04.2012	31.12.2012
379	АУУ / УУТЭ	Варшавское ш., д.154, к.2	09.08.2012	31.12.2012
380	Лифты	Харьковский пр., д.7, к.1а	23.07.2012	31.12.2012
381	Лифты	Булатниковская ул., д.6	10.04.2012	31.12.2012
382	Лифты	Булатниковская ул., д.5, к.6	07.08.2012	31.12.2012
383	Подъемные платформы и работы по ММГН	Медынская ул., д.2, к.1	20.07.2012	31.12.2012
384	Адаптация квартиры	Медынская ул., д.2, к.1	16.07.2012	31.12.2012
385	Лифты	Востряковский пр., д.21, к.4	10.04.2012	31.12.2012
386	Лифты	Рябиновая ул., д.4	13.04.2012	31.12.2012
387	Лифты	Багрицкого ул., д.51, к.2	23.07.2012	31.12.2012
388	Лифты	Загорского пр., д.5	12.04.2012	31.12.2012
389	Лифты	Загорского пр., д.5	23.07.2012	31.12.2012
390	Лифты	Рублёвское ш., д.11	23.07.2012	31.12.2012
391	Подъемные платформы и работы по ММГН	Озёрная ул., д.29, к.3	23.07.2012	31.12.2012
392	Лифты	Ленинский просп. д.62/1	12.04.2012	31.12.2012
393	Лифты	Ленинский просп. д.68/10	12.04.2012	31.12.2012
394	Лифты	Новодевичий пр., д.4	11.07.2012	31.12.2012
395	Лифты	Кржижановского ул. д.8 к.2	12.04.2012	31.12.2012
396	Лифты	Профсоюзная ул. д.19	12.04.2012	31.12.2012
397	Лифты	Усачёва ул., д.29, к.2	12.04.2012	31.12.2012
398	Лифты	Кржижановского ул. д.8 к.1	12.04.2012	31.12.2012
399	Лифты	Профсоюзная ул. д.5/9	12.04.2012	31.12.2012
400	Лифты	Академика Волгина ул. д.31 к.3	11.07.2012	31.12.2012
401	Лифты	Профсоюзная ул. д.132 к.1	12.04.2012	31.12.2012
402	Лифты	Профсоюзная ул. д.132 к.1	17.07.2012	31.12.2012
403	Лифты	Хамовнический Вал ул., д.14	10.04.2012	31.12.2012
404	Лифты	Профсоюзная ул. д.152 к.4	17.07.2012	31.12.2012
405	Лифты	Профсоюзная ул. д.136 к.3	12.04.2012	31.12.2012
406	Лифты	Профсоюзная ул. д.132 к.5	12.04.2012	31.12.2012
407	Лифты	Профсоюзная ул. д.130 к.3	17.07.2012	31.12.2012
408	Лифты	Староконюшенный пер., д.43	10.04.2012	31.12.2012
409	Ремонт фасадов ЦАО и исторической часть города	Гоголевский б-р, д.27	28.06.2012	31.12.2012
410	Лифты	Туристская ул., д.2, к.5	10.04.2012	31.12.2012
411	Лифты	Свободы ул., д.51, к.1	08.12.2011	31.12.2012
412	Ремонт фасадов ЦАО и исторической часть города	Трубниковский пер., д.8/15, стр.3	27.06.2012	31.12.2012
413	Лифты	Мусы Джалиля ул., д.26, к.1	12.04.2012	31.12.2012
414	Лифты	Мусы Джалиля ул., д.32, к.1	10.04.2012	31.12.2012
415	Лифты	Академика Пилюгина ул. д.12 к.1	12.04.2012	31.12.2012
416	Лифты	Академика Пилюгина ул. д.8 к.1	12.04.2012	31.12.2012
417	Утепление фасадов	Иерусалимская ул., д.2	02.08.2012	31.12.2012
418	Ремонт фасадов ЦАО и исторической часть города	Кривоколенный пер., д.10, стр.2	28.06.2012	31.12.2012
419	Лифты	Академика Анохина ул., д.34, к.1	12.04.2012	31.12.2012
420	Лифты	Лебедянская ул., д.14	06.12.2011	31.12.2012
421	Капитальный ремонт	Бехтерева ул., д.7, к.1	15.08.2012	31.12.2012
422	Ремонт фасадов ЦАО и исторической часть города	Николопесковский Малый пер., д.9/1, стр.1	02.07.2012	31.12.2012
423	Фасады с облегченной кладкой	Мичуринский просп., д.6, к.1	14.08.2012	31.12.2012
424	Ремонт фасадов ЦАО и исторической часть города	Земляной Вал ул., д.18/22, стр.1	01.06.2012	27.08.2012
425	Ремонт фасадов ЦАО и исторической часть города	Сухаревский Большой пер., д.15, стр.1	26.06.2012	31.12.2012
426	Ремонт фасадов ЦАО и исторической часть города	Сухаревский Большой пер., д.13, стр.1	26.06.2012	31.12.2012
427	Ремонт фасадов ЦАО и исторической часть города	Сухаревский Большой пер., д.15, стр.2	26.06.2012	31.12.2012
428	Ремонт фасадов ЦАО и исторической часть города	Мясницкая ул., д.13, стр.3	28.06.2012	31.12.2012
429	Лифты	Дубосековская ул., д.7	12.04.2012	31.12.2012
430	Капитальный ремонт	Басманный пер., д.4	21.10.2012	31.12.2012
431	Ремонт фасадов ЦАО и исторической часть города	Чистопрудный б-р, д.15, стр.1	28.06.2012	31.12.2012
432	Лифты	Профсоюзная ул. д.13/12	12.04.2012	31.12.2012
433	Ремонт фасадов ЦАО и исторической часть города	Харитоньевский Большой пер., д.14	28.06.2012	31.12.2012
434	Лифты	Чичерина ул., д.2/9	30.07.2012	31.12.2012
435	Ремонт фасадов ЦАО и исторической часть города	Покровка ул., д.41, стр.3	28.06.2012	31.12.2012
436	Ремонт фасадов ЦАО и исторической часть города	Подсосенский пер., д.18/5, стр.1	22.06.2012	31.12.2012
437	Ремонт фасадов ЦАО и исторической часть города	Ордынка Большая ул., д.16	28.06.2012	31.12.2012
438	Лифты	Бакинских Комиссаров 26-ти ул., д.6, к.2	23.07.2012	31.12.2012
439	Ремонт фасадов ЦАО и исторической часть города	Озерковский пер., д.7, стр.1	27.06.2012	31.12.2012
440	Ремонт фасадов ЦАО и исторической часть города	Харитоньевский Малый пер., д.7, стр.2	28.06.2012	31.12.2012
441	Ремонт фасадов ЦАО и исторической часть города	Харитоньевский Малый пер., д.7, стр.3	28.06.2012	31.12.2012
442	Ремонт фасадов ЦАО и исторической часть города	Садовая-Самотёчная ул., д.6, стр.1	01.06.2012	27.08.2012
443	Ремонт фасадов ЦАО и исторической часть города	Петровский б-р, д.23	28.06.2012	31.12.2012
444	Лифты	Грузинская Малая ул., д.29	10.04.2012	31.12.2012
445	Ремонт фасадов ЦАО и исторической часть города	Земляной Вал ул., д.1/4, стр.2	01.06.2012	27.08.2012
446	Лифты	Хользунова пер., д.6	12.04.2012	31.12.2012
447	Ремонт фасадов ЦАО и исторической часть города	Ордынка Большая ул., д.31/12, стр.1	28.06.2012	31.12.2012
448	Фасады с облегченной кладкой	Краснопрудный Малый туп., д.2	23.07.2012	31.12.2012
449	Лифты	Холмогорская ул., д.2, к.2	10.04.2012	31.12.2012
450	Лифты	Филёвская Малая ул., д.50	23.07.2012	31.12.2012
