№ строки	Название	Адрес	Дата начала строительства	Дата окончания строительства
1560	Утепление фасадов	Зеленоград г., к.919	25.11.2011	31.12.2012
1561	Утепление фасадов	Зеленоград г., к.903	25.11.2011	31.12.2012
1562	Лифты	Кулакова ул., д.4, к.1	10.04.2012	31.12.2012
1563	Лифты	Лебедянская ул., д.30	06.12.2011	31.12.2012
1564	Утепление фасадов	Зеленоград г., к.904	25.11.2011	31.12.2012
1565	Лифты	Лебедянская ул., д.24	12.04.2012	31.12.2012
1566	Лифты	Перекопская ул. д.26 к.1	12.04.2012	31.12.2012
1567	Лифты	Судостроительная ул., д.32	12.04.2012	31.12.2012
1568	Лифты	Шипиловский пр., д.61	10.04.2012	31.12.2012
1569	Ремонт фасадов ЦАО и исторической часть города	Остоженка ул., д.40	28.06.2012	31.12.2012
1570	Лифты	Волков пер., д.7/9	12.04.2012	31.12.2012
1571	Лифты	Ленинградский просп., д.33	12.04.2012	31.12.2012
1572	Лифты	Болотниковская ул., д.10а	12.04.2012	31.12.2012
1573	Лифты	Михневский пр., д.10, к.1	12.04.2012	31.12.2012
1574	Лифты	Домодедовская ул., д.18, к.1	10.04.2012	31.12.2012
1575	Лифты	Станиславского ул., д.18, с.2	10.04.2012	31.12.2012
1576	Лифты	Космодамианская наб., д.40/42	10.04.2012	31.12.2012
1577	Капитальный ремонт объектов ГУВД	Автомоторная ул., д.4/6	19.03.2012	31.12.2012
1578	Ремонт фасадов ЦАО и исторической часть города	Архангельский пер., д.11/16, стр.4	28.06.2012	31.12.2012
1579	Ремонт фасадов ЦАО и исторической часть города	Гусятников пер., д.4, к.4	26.06.2012	31.12.2012
1580	Ремонт фасадов ЦАО и исторической часть города	Козловский Б. пер., д.3/2, стр.1	28.06.2012	31.12.2012
1581	Ремонт фасадов ЦАО и исторической часть города	Козловский М. пер., д.2/20, стр.3	28.06.2012	31.12.2012
1582	Ремонт фасадов ЦАО и исторической часть города	Козловский М. пер., д.6, стр.1	28.06.2012	31.12.2012
1583	Ремонт фасадов ЦАО и исторической часть города	Маросейка ул., д.13, стр.3	28.06.2012	31.12.2012
