№ строки	Название объекта	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Родничок"	121353 Сколковское шоссе, д.32, корп.1	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	735-34-60	http://rodnichok.mskzapad.ru
2	Государственное бюджетное образовательное учреждение города Москвы Центр психолого-педагогической реабилитации и коррекции "Солнечный луч"	109429, г. Москва, Капотня, 1-й квартал, д, 15	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(495) 657-46-32	-
3	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Давыдково"	121352 г.Москва, Славянский бульвар, д. 11, корпус 3	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	445-07-49	http://davidkovo.mskzapad.ru
4	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Строгино"	123181, г. Москва, ул. Кулакова д. 2, к. 2	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(495) 942-99-36; (495) 757-13-53	http://cpprik.mskobr.ru
5	Государственное бюджетное образовательное учреждение города Москвы Центр психолого-педагогической реабилитации и коррекции "Преодоление"	109507, г. Москва, Самаркандский б-р, д. 11, к.3	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	377-96-70	http://psicentre.ru
6	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Ясенево"	117574, г. Москва, Новоясеневский пр-т, д. 12, корп. 4	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	423-48-89	http://center-yasenevo.mosuzedu.ru/
7	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Логотон"	124575, г. Москва, Зеленоград, корп. 929-а	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(499) 732-61-11; (499) 732-13-55	http://logoton.pc.mskobr.ru/
8	Государственное бюджетное образовательное учреждение города Москвы Центр психолого-педагогической реабилитации и коррекции "Радуга жизни"	109431,  Москва, улица Привольная, дом 56	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(499) 742-13-80; (499) 742-10-60; (499) 742-19-71; (499) 742-14-81	http://raduga.uvuo.ru
9	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Ирида"	127204, г. Москва, линия  Северная 7-ая , д. 13, стр. 1	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(499) 975-69-81; (499) 975-69-87; (499) 975-69-89	
10	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Восточный"	105318, г.Москва ул.Щербаковская д.20-24	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(499) 369-73-13	http://www.cpprik.ru
11	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Рублево"	121500, г.Москва, ул. Василия Ботылева, д. 31	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(499) 727-18-55	http://rublevo.mskzapad.ru
12	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Благо"	121151 г.Москва, Кутузовский проспект, д. 24	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(499) 243-64-83; (499) 243-50-27; (499) 243-04-23	http://blago.mskzapad.ru
13	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Детская личность"	111673 Новокосинская улица, д. 12б	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	702-83-11	http://www.detlich.ru
14	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Исток"	105423 3-я Парковая улица, д. 50А	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(499) 165-42-21; (499) 165-57-27; (499) 166-68-58	http://istokhelp.ru
15	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Крестьянская застава"	109044, г. Москва, Крутицкий вал, д. 24	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(499) 178-45-01; (499) 178-25-17	http://gou-cpprk.ru
16	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "На Снежной"	129323, г. Москва, ул. Снежная, д. 9, стр. 1	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(499) 189-67-71	http://centrpsy.ru/
