№ строки	Название объекта	Адрес	Регистрационный знак аттракциона	Допуск к эксплуатации	Вид парка
1	Аттракцион Детское колесо обозрения / Kiddi wheel	ГУК Измайловский ПКиО	1404-77	допущен	городские парки
2	Аттракцион Горка Акула / Double Coaster	ГУК Измайловский ПКиО	1464-77	допущен	городские парки
3	Аттракцион Кунгуру / Happy Kangaroo	ГУК Измайловский ПКиО	1399-77	допущен	городские парки
4	Аттракцион Шоколадные чашки / Choco cups	ГУК Измайловский ПКиО	1403-77	допущен	городские парки
5	Аттракцион Самолетики / Red baron	ГУК Измайловский ПКиО	1401-77	допущен	городские парки
6	Аттракцион Игрушечная цепочка / Toy swing	ГУК Измайловский ПКиО	1398-77	допущен	городские парки
7	Аттракцион Мини конвой	ГУК Измайловский ПКиО	1402-77	допущен	городские парки
8	Аттракцион Колесо обозрения	ГУК Измайловский ПКиО	0537-77	допущен	городские парки
9	Аттракцион Автодром	ГУК Измайловский ПКиО	1469-77	допущен	городские парки
10	Аттракцион Калипсо	ГУК Измайловский ПКиО	0090-77	допущен	городские парки
11	Аттракцион Летающая ферма	ГУК ПКиО Фили	0375-77	допущен	городские парки
12	Аттракцион Сумасшедший пилот	ГУК ПКиО Фили	0376-77	допущен	городские парки
13	Аттракцион Колокольчик	ГУК ПКиО Фили	0340-77	допущен	городские парки
14	Аттракцион Кенгуру	ГУК ПКиО Фили	0374-77	допущен	городские парки
15	Аттракцион Мини-полип	ГУК ПКиО Фили	0377-77	допущен	городские парки
16	Аттракцион Юнга	ГУК ПКиО Фили	0341-77	допущен	городские парки
17	Аттракцион Mini Jet 6	Московский Зоопарк	0123-77	допущен	городские парки
18	Аттракцион Веселая карусель с лошадями	Московский Зоопарк	01291-77	допущен	городские парки
19	Аттракцион Автодром Mini	Московский Зоопарк	0127-77	допущен	городские парки
20	Аттракцион Поезд-Цирк	Московский Зоопарк	0107-77	допущен	городские парки
21	Аттракцион Дилижанс поезд	Московский Зоопарк	0106-77	допущен	городские парки
22	Аттракцион Спутник	ГУК ПКиО Кузьминки	0865-77	допущен	окружные парки
23	Аттракцион Калипсо	ГУК ПКиО Кузьминки	0918-77	допущен	окружные парки
24	Аттракцион Вертолет	ГУК ПКиО Кузьминки	0344-77	допущен	окружные парки
25	Аттракцион Симулятор	ГУК Измайловский ПКиО	0143-77	допущен	городские парки
26	Аттракцион Свадебная карусель	ГУК Измайловский ПКиО	01219-77	допущен	городские парки
27	Аттракцион Цепочная карусель	ГУК ПКиО Сокольники	0811-77	допущен	городские парки
28	Аттракцион Автомобили сталкивающиеся	ГУК ПКиО Сокольники	0051-77	допущен	городские парки
29	Аттракцион Осьминог MINI POLYP	ГУК ПКиО Сокольники	0056-77	допущен	городские парки
30	Аттракцион Кенгуру (CANGURO)	ГУК ПКиО Сокольники	0749-77	допущен	городские парки
31	Аттракцион Волшебный Байк	ГУК ПКиО Сокольники	0774-77	допущен	городские парки
32	Аттракцион FLYNG FARM	ГУК ПКиО Сокольники	0053-77	допущен	городские парки
33	Аттракцион Мини Ботик	ГУК ПКиО Сокольники	0775-77	допущен	городские парки
34	Аттракцион Колобок	ГУК ПКиО Сокольники	0716-77	допущен	городские парки
35	Аттракцион Калипсо	ГУК ПКиО Сокольники	0730-77	допущен	городские парки
36	Аттракцион Мини Джет	ГУК Бабушкинский ПКиО	1453-77	допущен	окружные парки
37	Аттракцион Вальс	ГУК Бабушкинский ПКиО	0273-77	допущен	окружные парки
38	Аттракцион Корабль на волнах	ГУК Перовский ПКиО	01425-77	допущен	окружные парки
39	Аттракцион Американская горка Гусеница	ГУК Перовский ПКиО	01426-77	допущен	окружные парки
40	Аттракцион Мини-джет КАСКАД	ГУК Перовский ПКиО	01428-77	допущен	окружные парки
41	Аттракцион Автодром	ГУК Перовский ПКиО	0756-77	допущен	окружные парки
42	Аттракцион Ракушки	ГУК Перовский ПКиО	01427-77	допущен	окружные парки
43	Аттракцион Фирменный поезд	ГУК Перовский ПКиО	0863-77	допущен	окружные парки
44	Аттракцион Полет	ГУК Перовский ПКиО	0654-77	допущен	окружные парки
45	Аттракцион Цепочная карусель Космос	ГУК Перовский ПКиО	0653-77	допущен	окружные парки
46	Аттракцион Прыгалка	ГУК Перовский ПКиО	01055-77	допущен	окружные парки
47	Аттракцион Качалка багги	ГУК Лианозовский ПКиО	01207-77	Допущен	окружные парки
48	Аттракцион Деревенский поезд / Hillbilly train	ГУК Измайловский ПКиО	1434-77	допущен	городские парки
49	Аттракцион Качалка трамвай	ГУК Лианозовский ПКиО	01203-77	Допущен	окружные парки
50	Аттракцион Качалка турбо	ГУК Лианозовский ПКиО	01204-77	Допущен	окружные парки
51	Аттракцион Качалка скутер	ГУК Лианозовский ПКиО	01218-77	Допущен	окружные парки
52	Аттракцион Качалка лиса	ГУК Лианозовский ПКиО	01202-77	Допущен	окружные парки
53	Аттракцион Космос	ГУК Измайловский ПКиО	0818-77	допущен	городские парки
54	Аттракцион Каноэ ривер	ГУК Измайловский ПКиО	0252-77	допущен	городские парки
55	Аттракцион Бамперные лодки	ГУК Измайловский ПКиО	0748-77	допущен	городские парки
56	Аттракцион Солнышко	ГУК Измайловский ПКиО	0819-77	допущен	городские парки
57	Аттракцион Клоун	ГУК Измайловский ПКиО	0088-77	допущен	городские парки
58	Аттракцион Танки	ГУК Измайловский ПКиО	0096-77	допущен	городские парки
59	Аттракцион Рыбка	ГУК Измайловский ПКиО	0867-77	не допущен	городские парки
60	Аттракцион Качалка Слоненок	ГУК Измайловский ПКиО	0866-77	не допущен	городские парки
61	Аттракцион Автодром	ГУК Измайловский ПКиО	0785-77	допущен	городские парки
62	Аттракцион Вальс	ГУК Измайловский ПКиО	0147-77	допущен	городские парки
63	Аттракцион Родео	ГУК Измайловский ПКиО	0251-77	допущен	городские парки
64	Аттракцион Полет	ГУК Измайловский ПКиО	0803-77	допущен	городские парки
65	Аттракцион Кенгуру	ГУК Измайловский ПКиО	0776-77	допущен	городские парки
66	Аттракцион Дракон	ГУК Измайловский ПКиО	0802-77	допущен	городские парки
67	Аттракцион Колесо обозрения	ГУК Измайловский ПКиО	0541-77	допущен	городские парки
68	Аттракцион Карусель семейная / Merry go round	ГУК Измайловский ПКиО	1016-77	допущен	городские парки
69	Аттракцион Бамперные лодки	ГУК Измайловский ПКиО	1013-77	допущен	городские парки
70	Аттракцион Mini Dance Party	ГУК Измайловский ПКиО	1463-77	допущен	городские парки
71	Аттракцион Летающие слоны / Elefante Rides	ГУК Измайловский ПКиО	1462-77	допущен	городские парки
72	Аттракцион Автодром	ГУК Измайловский ПКиО	1322-77	допущен	городские парки
73	Аттракцион Детская железная дорога	ГУК Измайловский ПКиО	1014-77	допущен	городские парки
74	Аттракцион Малая семейная карусель / Merry go round	ГУК Измайловский ПКиО	1397-77	допущен	городские парки
75	Аттракцион Бамперные лодки	ГУК ПКиО Таганский	1380-77	Не допущен	окружные парки
76	Аттракцион Сказочный Поезд	ГУК ПКиО Таганский	1395-77	Не допущен	окружные парки
77	Аттракцион Вихрь	ГУК Лианозовский ПКиО	0403-77	допущен	окружные парки
78	Аттракцион Орбита	ГУК Лианозовский ПКиО	0402-77	допущен	окружные парки
79	Аттракцион Веселые горки	ГУК Лианозовский ПКиО	0409-77	не допущен	окружные парки
80	Аттракцион Вальс	ГУК Лианозовский ПКиО	0835-77	допущен	окружные парки
81	Аттракцион Автодром	ГУК Лианозовский ПКиО	0496-77	не допущен	окружные парки
82	Аттракцион Летающая тарелка	ГУК Лианозовский ПКиО	0906-77	допущен	окружные парки
83	Аттракцион Электролодки	ГУК Лианозовский ПКиО	01058-77	допущен	окружные парки
84	Аттракцион Солнышко	ГУК Лианозовский ПКиО	0410-77	допущен	окружные парки
85	Аттракцион Север	ГУК Лианозовский ПКиО	0495-77	допущен	окружные парки
86	Аттракцион Юнга	ГУК Лианозовский ПКиО	0482-77	допущен	окружные парки
87	Аттракцион Корсар	ГУК Лианозовский ПКиО	0834-77	допущен	окружные парки
88	Аттракцион Сказочный поезд	ГУК Лианозовский ПКиО	0884-77	допущен	окружные парки
89	Аттракцион Джет	ГУК Лианозовский ПКиО	0883-77	допущен	окружные парки
90	Аттракцион Каноэ-Ривер	ГУК Лианозовский ПКиО	01229-77	допущен	окружные парки
91	Аттракцион Падающая звезда	ГУК Лианозовский ПКиО	01230-77	допущен	окружные парки
92	Аттракцион Авто поезд малыш	ГУК Лианозовский ПКиО	01391-77	Не допущен	окружные парки
93	Аттракцион Три лошади манеж	ГУК Лианозовский ПКиО	01198-77	Допущен	окружные парки
94	Аттракцион Цепочка	ГУК Лианозовский ПКиО	0408-77	допущен	окружные парки
95	Аттракцион качалка Ретро автомобиль	ГУК ПКиО Сокольники	01285-77	допущен	городские парки
96	Аттракцион Самолет	ГУК ПКиО Сокольники	1394-77	допущен	городские парки
97	Аттракцион Наутилус	ГУК ПКиО Сокольники	0118-77	допущен	городские парки
98	Аттракцион Стелс  F-117	ГУК ПКиО Сокольники	0117-77	допущен	городские парки
99	Аттракцион Башня	ГУК ПКиО Сокольники	0120-77	допущен	городские парки
100	Аттракцион Детская фабрика	ГУК ПКиО Сокольники	0116-77	допущен	городские парки
101	Аттракцион Джипы	ГУК ПКиО Сокольники	0128-77	допущен	городские парки
102	Аттракцион Мини-Гималайя	ГУК ПКиО Сокольники	0058-77	допущен	городские парки
103	Аттракцион Гусеница (FamiiY Coaster)	ГУК ПКиО Сокольники	0052-77	допущен	городские парки
104	Аттракцион Слоны	ГУК ПКиО Сокольники	0059-77	допущен	городские парки
105	Аттракцион Merry go round	ЦПКиО им. Горького	0624-77	допущен	городские парки
106	Аттракцион Мини-поезд	ЦПКиО им. Горького	0885-77	допущен	городские парки
107	Аттракцион Цепочная карусель	ЦПКиО им. Горького	0759-77	допущен	городские парки
108	Аттракцион Калейдоскоп	ЦПКиО им. Горького	0662-77	допущен	городские парки
109	Аттракцион Мини-джет 5В	ЦПКиО им. Горького	01005-77	допущен	городские парки
110	Аттракцион Мини-конвой	ЦПКиО им. Горького	01255-77	допущен	городские парки
111	Аттракцион Качалка Городской автомобиль	ГУК ПКиО Сокольники	0922-77	допущен	городские парки
112	Аттракцион голубая лента	ГУК ПКиО Сокольники	0114-77	допущен	городские парки
113	Аттракцион качалка Маленький Санта Клаус	ГУК ПКиО Сокольники	01260-77	допущен	городские парки
114	Аттракцион Швецарский поезд	ГУК ПКиО Сокольники	0862-77	допущен	городские парки
115	Аттракцион качалка Пеликановый кот	ГУК ПКиО Сокольники	01284-77	допущен	городские парки
116	Аттракцион паровозик RIO GRANDE	ГУК ПКиО Сокольники	01424-77	допущен	городские парки
117	Аттракцион Манеж	ГУК ПКиО Сокольники	0801-77	допущен	городские парки
118	Аттракцион Лебеди	ГУК ПКиО Сокольники	0067-77	допущен	городские парки
119	Аттракцион Цепочка	ГУК ПКиО Сокольники	0065-77	допущен	городские парки
120	Аттракцион Самолетики	ГУК ПКиО Сокольники	0131-77	допущен	городские парки
121	Аттракцион качалка Детский экспресс	ГУК ПКиО Сокольники	1283-77	допущен	городские парки
122	Аттракцион качалка Школьный автобус	ГУК ПКиО Сокольники	0787-77	допущен	городские парки
123	Аттракцион Mini Jet-6 (Замок)	ГУК ПКиО Сокольники	01422-77	допущен	городские парки
124	Аттракцион качалка Мото Ф4	ГУК ПКиО Сокольники	0789-77	допущен	городские парки
125	Аттракцион качалка Пожарная машина	ГУК ПКиО Сокольники	0946-77	допущен	городские парки
126	Аттракцион Диско	ГУК ПКиО Сокольники	0731-77	допущен	городские парки
127	Аттракцион Круговой обзор-М	ГУК ПКиО Сокольники	0055-77	допущен	городские парки
128	Аттракцион Река приключений (VENTURE RIVER)	ГУК ПКиО Сокольники	0894-77	допущен	городские парки
129	Аттракцион Железная дорога Поросята	ГУК ПКиО Сокольники	01221-77	не допущен	городские парки
130	Аттракцион Качалка мини-f	ГУК Лианозовский ПКиО	01201-77	Допущен	окружные парки
131	Аттракцион Качалка веселый паровозик	ГУК Лианозовский ПКиО	01211-77	Допущен	окружные парки
132	Аттракцион Качалка карета	ГУК Лианозовский ПКиО	01228-77	Допущен	окружные парки
133	Аттракцион Качалка вертолет	ГУК Лианозовский ПКиО	01206-77	Допущен	окружные парки
134	Аттракцион Юнга	ГУК Бабушкинский ПКиО	0277-77	допущен	окружные парки
135	Аттракцион Орбита	ГУК Бабушкинский ПКиО	0274-77	допущен	окружные парки
136	Аттракцион Лесная сказка	ГУК Бабушкинский ПКиО	0352-77	допущен	окружные парки
137	Аттракцион Веселый светофор	ГУК Бабушкинский ПКиО	0353-77	допущен	окружные парки
138	Аттракцион Драконы	ГУК Бабушкинский ПКиО	0354-77	допущен	окружные парки
