№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное автономное образовательное учреждение высшего профессионального образования города Москвы "Московский институт открытого образования"	125167, г. Москва, Авиационный пер., д. 6	Автономное	Образовательное учреждение высшего профессионального образования	Институт	(495) 680-53-36	http://179.ru/
2	Государственное бюджетное образовательное учреждение высшего профессионального образования города Москвы "Московская государственная академия делового администрирования"	124460, г. Москва, Зеленоград, корп. 1140	Бюджетное	Образовательное учреждение высшего профессионального образования	Академия	(499) 710-79-73	http://miba.ru/
3	Государственное бюджетное образовательное учреждение высшего профессионального образования города Москвы "Московский городской психолого - педагогический университет"	127051 г. Москева, ул. Сретенка, д. 29	Бюджетное	Образовательное учреждение высшего профессионального образования	Университет	308-06-42	http://www.mgppu.ru/
4	Государственное автономное научное учреждение города Москвы "Институт гуманитарного развития мегаполиса"	105318 г. Москва, Семеновская пл., д. 4	Автономное	Образовательное учреждение высшего профессионального образования	Институт	(495) 694-52-26,(495) 694-11-89	http://igrm.info
5	Институт экономики и культуры	109439 Волгоградский проспект, д. 138 корпус 3	Негосударственное	Образовательное учреждение высшего профессионального образования	Институт	(495) 956-89-00,(495) 956-89-55	
6	Межотраслевой институт повышения квалификации кадров по новым направлениям развития техники и технологии МГТУ имени Н. Э. Баумана	105005 2-я Бауманская улица, д.5		Образовательное учреждение высшего профессионального образования	Институт	263-69-61	
7	Московский городской университет управления Правительства Москвы	107045 Сретенка улица, 28		Образовательное учреждение высшего профессионального образования	Университет	957-91-38	
8	Негосударственное образовательное учреждение высшего профессионального образования "Институт управления и информатики"	125252 Зорге улица, д. 24 корпус Б	Негосударственное	Образовательное учреждение высшего профессионального образования	Институт	(499) 198-43-29	
9	Государственное бюджетное образовательное учреждение высшего профессионального образования города Москвы "Московский городской педагогический университет"	129226 г. Москва, 2-й Сельскохозяйственный проезд, д. 4, кор. 1	Бюджетное	Образовательное учреждение высшего профессионального образования	Университет	(495) 482-20-11; (499) 488-62-13; (499) 488-78-01	http://mhpi.ru/
10	Государственное бюджетное научное учреждение города Москвы "Научно-исследовательский институт развития профессионального образования"	101000 Потаповский переулок, 16 стр.10	Бюджетное	Образовательное учреждение высшего профессионального образования	Институт	(925) 865-94-11	http://www.mosniirpo.ru/
