№ строки	Кадастровый номер	Адрес	Площадь (кв.м.)	Разрешение на использование
28	77:05:0010003:82	ул Бирюлевская    (г Москва, ул Бирюлевская, вл 28)	16348.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ И СООРУЖЕНИЙ КОЛЛЕДЖА
29	77:04:0004002:13	ул Маршала Чуйкова    (г Москва, ул Маршала Чуйкова, вл 24)	4254.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ НАРКОЛОГИЧЕСКОГО ДИСПАНСЕРА
30	77:10:0002006:3	мкр 8-Й    (г Москва, 8-й микрорайон г Зеленограда, корпус 844)	17944.00000000000	эксплуатации здания и сооружений с целью организации учебно-воспитательного процесса детей
31	77:03:0005009:7	б-р Сиреневый    (г Москва,  Сиреневый бульвар, вл 15, стр 1)	341.00000000000	отделения связи
32	77:08:0004008:7	ул Штурвальная    (г Москва, ул Штурвальная, вл 7, корпус 2)	17899.00000000000	земельные участки, предназначенные для размещения объектов образования, физической культуры и спорта (1.2.7)
33	77:06:0004008:14	кв-л Новые Черемушки 32а    (адресные ориентиры: квартал 32-А, корпус 14 Новых Черемушек)	14827.00000000000	эксплуатации имущественного комплекса школы без права изменения функционального назначения
34	77:02:0010001:2	ул Стартовая    (г Москва, ул Стартовая, вл 29)	9574.00000000000	эксплуатации зданий детского сада
35	77:07:0007001:86	наб Тараса Шевченко    (г. Москва, наб. Тараса Шевченко, вл. 29)	5700.00000000000	земельные участки, предназначенные для размещения объектов культуры, искусства (1.2.7)
36	77:05:0010008:2	ул ДОЛЬСКАЯ    (г Москва, ул Дольская, вл 1)	941236.00000000000	ИСПОЛЬЗОВАНИЯ ЗЕМЕЛЬ МУЗЕЯ-ЗАПОВЕДНИКА
37	77:01:0001050:113	ул Остоженка    (г Москва, ул Остоженка, вл 16/1-1А, стр 1,4,5, вл 18, стр 1)	2200.00000000000	проектирования, реконструкции и реставрации зданий Мультимедийного комплекса актуальных искусств
38	77:08:0008004:9	ул Маршала Катукова    (г Москва, ул Маршала Катукова, вл 2, корпус 2)	8751.00000000000	ЭКСПЛУАТАЦИИ ДЕТСКОГО  САДА № 1197
39	77:02:0022014:5	проезд Мурманский    (г Москва, проезд Мурманский, вл 10)	2498.00000000000	использования территории и эксплуатации здания колледжа для обучения студентов
40	77:01:0005004:8	пер 7-й Ростовский    (г. Москва, 7-й Ростовский переулок, вл. 16)	3101.00000000000	эксплуатации здания в учебно-воспитательных целях
41	77:01:0004040:9	проезд Шмитовский    (г Москва, проезд Шмитовский, вл 26, стр 1)	10151.00000000000	ЭКСПЛУАТАЦИИ МЕДИЦИНСКОГО УЧИЛИЩА
42	77:04:0001018:92	пр-кт Волгоградский    (г. Москва, Волгоградский проспект, вл. 27)	1496.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
43	77:07:0006004:104	пер 2-й Мосфильмовский    (г Москва, пер 2-й Мосфильмовский, вл 8, стр 1)	8263.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ УПРАВЛЕНИЯ
44	77:05:0005009:195	ул Каспийская    (г Москва, ул Каспийская, вл 10А)	8190.00000000000	эксплуатации существующего здания центра детского творчества с прилегающей территорией
45	77:05:0003005:111	ул Артековская    (г Москва, ул Артековская, вл 3)	11217.00000000000	эксплуатации здания и строения школы с прилегающей территорией
46	77:05:0005009:188	б-р Кавказский    (г Москва, б-р Кавказский, вл 25Г)	186.00000000000	эксплуатации газорегуляторного пункта № 354
47	77:03:0006024:13	ул Молостовых    (г Москва, ул Молостовых, вл 10-В)	9200.00000000000	эксплуатации земельных участков общеобразовательных школ.
48	77:03:0005010:21	ул Парковая 5-я    (г Москва, ул 5-я Парковая, вл 58, стр 1)	8741.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ЦЕНТРА ОБРАЗОВАНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
49	77:08:0007003:1	ш Волоколамское    (г. Москва, Волоколамское шоссе, вл. 80, корп. 1)	1023.00000000000	ЭКСПЛУАТАЦИИ ПРЕДПРИЯТИЙ ТРАНСПОРТА
50	77:03:0002020:9	ул Краснобогатырская    (г Москва, ул Краснобогатырская, вл 13, стр 1)	1600.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ ПОД ОУВД МО БОГОРОДСКОЕ
51	77:06:0002014:1	ул Шверника    (г Москва, ул Шверника, вл 16а)	3619.00000000000	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
52	77:07:04003:053	Ярцевская улица, вл. 11, корп. 4	0.00000000000	ЭКСПЛУАТАЦИИ МИТИНСКОГО РЕГУЛИРУЮЩЕГО ВОДОПРОВОДНОГО  УЗЛА
53	77:03:0005014:50	ул 7-я Парковая    (г Москва, ул 7-я Парковая, вл 1А)	8352.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
54	77:08:0005002:69	проезд Цветочный    (г Москва, проезд Цветочный, вл 2)	2521.00000000000	ЭКСПЛУАТАЦИИ ВЕТЕРИНАРИИ
55	77:03:0001008:7	б-р Маршала Рокоссовского    (г Москва, б-р Маршала Рокоссовского, вл 34/2)	9701.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
56	77:10:0004003:38	мкр 5-Й    (г Москва, 5-й микрорайон г Зеленограда)	554.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ НАСОСНОЙ СТАНЦИИ
57	77:09:0005001:57	ул Верещагина    (г Москва, ул Верещагина, вл 7/34)	4284.00000000000	ИСПОЛЬЗОВАНИЯ ЗДАНИЙ И ТЕРРИТОРИИ В ЦЕЛЯХ ЗДРАВООХРАНЕНИЯ
58	77:09:0002013:38	ул Клязьминская    (г Москва, ул Клязьминская, вл 7А)	8045.00000000000	ОСУЩЕСТВЛЕНИЯ УЧЕБНО-ВОСПИТАТЕЛЬНОЙ ДЕЯТЕЛЬНОСТИ
59	77:08:0006009:5	ш Волоколамское    (г. Москва, Волоколамское шоссе, вл. 88, корп. 2)	5150.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА № 734
60	77:08:0006003:9	ул Долгова    (г. Москва, ул. Долгова, вл. 14А)	7373.00000000000	объекты размещения учреждений дошкольного воспитания (1.2.17)
61	77:01:0003055:50	пр-кт Мира    (г Москва, пр-кт Мира, вл 71, стр 3)	950.00000000000	эксплуатации школы
62	77:08:0010007:3	ул Генерала Глаголева    (г Москва, ул Генерала Глаголева, вл 6, корпус 4)	4246.00000000000	ЭКСПЛУАТАЦИИ ДЕТСКИХ ЯСЛЕЙ-САДА
63	77:01:0003053:23	ул Большая Переяславская    (г Москва, ул Большая Переяславская, вл 8А, стр 1)	4710.00000000000	эксплуатации зданий и сооружений под учебно-воспитательные цели и благоустройства территории
64	77:06:0005009:88	ул Перекопская    (г Москва, ул Перекопская, вл 9)	1271.00000000000	эксплуатации здания историко-культурного назначения
65	77:01:0001065:16	ул Большая Никитская    (г Москва, ул Большая Никитская, вл 46)	6464.00000000000	реставрации и последующей эксплуатации концертного зала
66	77:06:0007005:80	ул Генерала Тюленева    (г Москва, ул Генерала Тюленева, вл 5, корпус 2)	8228.00000000000	эксплуатация имущественного комплекса детского сада без права изменения функционального назначения.
67	77:07:0002003:1	проезд Береговой    (г Москва, Береговой проезд, вл 2, корпус 2)	380.00000000000	эксплуатации существующих зданий и сооружений и для выполнения основной производственной деятельности
68	77:06:0012014:7	ул Изюмская	1122.00000000000	ЭКСПЛУАТАЦИИ части индивидуального жилого дома
69	77:08:0003001:1004	ул Вилиса Лациса    (г. Москва, ул. Вилиса Лациса, вл. 4)	24976.00000000000	земельные участки, предназначенные для размещения объектов здравоохранения (1.2.7)
70	77:01:0002010:142	ул Большая Ордынка    (г Москва, ул Большая Ордынка, вл 29/10, стр 2)	453.00000000000	эксплуатации здания под административные цели
71	77:02:0006001:51	проезд Ясный    (г Москва, проезд Ясный, вл 7А)	7225.00000000000	эксплуатации здания детского сада
72	77:02:0001008:23	ул Псковская    (г Москва, ул Псковская, вл 12, корпус 3)	16280.00000000000	эксплуатации здания школы
73	77:02:0002003:46	ул Корнейчука    (г. Москва, ул. Корнейчука, вл. 22А)	9858.00000000000	эксплуатации здания детского сада
74	77:01:0001051:67	пер 1-й Обыденский    (г Москва, пер 1-й Обыденский, вл 3/6)	412.00000000000	эксплуатации зданий историко-культурного назначения
75	77:05:0005008:12	б-р Кавказский    (г Москва, б-р Кавказский, вл 37, корпус 2)	16008.00000000000	эксплуатации здания школы с прилегающей территорией
76	77:02:0003005:37	ш Алтуфьевское    (г Москва, ш Алтуфьевское, вл 60б)	18326.00000000000	эксплуатации здания школы
77	77:05:0012003:81	ул Алма-Атинская    (г Москва, ул Алма-Атинская, вл 8, корпус 2)	7706.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ И СООРУЖЕНИЙ ДЕТСКОГО САДА
