№ строки	Кадастровый номер	Адрес	Площадь (кв.м.)	Разрешение на использование
1495	77:02:0014011:87	проезд 1-й Ботанический    (г Москва, проезд 1-й Ботанический, вл 1Б, стр 1)	4184.00000000000	использования территории и эксплуатации здания учебно-воспитательного комплекса.
1496	77:06:0001007:35	пр-кт Ленинский    (г Москва, пр-кт Ленинский, вл 88А)	5617.00000000000	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
1497	77:09:0001009:89	ш Ленинградское    (г. Москва, р-н Левобережный, Ленинградское ш., вл. 106А)	7577.00000000000	осуществления учебно-воспитательной деятельности
1498	77:09:0001013:35	ул Флотская    (г Москва, ул Флотская, вл 9)	4728.00000000000	эксплуатации поликлиники
1499	77:05:0008001:52	ул Подольских Курсантов    (г Москва, ул Подольских Курсантов, вл 2, корпус 2, стр 1,2)	5662.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ ПОЛИКЛИНИКИ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
1500	77:09:0002029:76	ул Дубнинская    (г Москва, ул Дубнинская, вл 9)	10200.00000000000	ЭКСПЛУАТАЦИИ ДЕТСКОГО САДА
1501	77:02:0020002:148	ул Яблочкова    (г Москва, ул Яблочкова, вл 41, корпус 4)	8998.00000000000	эксплуатации здания детского сада
1502	77:05:0009003:25	ул БУЛАТНИКОВСКАЯ    (г Москва, ул Булатниковская, вл 2-Б)	8917.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ СПОРТИВНОЙ ШКОЛЫ
1503	77:07:0015005:1204	ул Чоботовская    (г. Москва, ул. Чоботовская, вл. 3, к. 1)	2654.21000000000	земельные участки, предназначенные для размещения административных зданий (п. 1.2.7)
1504	77:02:0015001:3309	улица Лётчика Бабушкина, вл. 23, стр.1	0.00000000000	земельные участки, предназначенные для размещения административных зданий (п. 1.2.7)
1505	77:05:0012003:129	ул Ключевая    (г Москва, ул Ключевая, вл 10, корпус 4)	9377.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
1506	77:02:0017004:22	ул Ботаническая    (г Москва, ул Ботаническая, вл 21-а)	1142.00000000000	эксплуатации здания электротяговой подстанции городского пассажирского транспорта
1507	77:04:0004024:1002	ул Перерва    (г. Москва, ул. Перерва, вл. 61)	5227.00000000000	эксплуатация здания детского сада (земельные участки, предназначенные для размещения объектов образования)
1508	77:04:0002012:83	ул Ферганская    (г Москва, ул Ферганская, д 10, корпус 2)	2358.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ ДЕТСКОЙ ПОЛИКЛИННИКИ
1509	77:04:0004025:1003	ул Братиславская    (г. Москва, ул. Братиславская, вл. 18, корп. 4)	8791.02000000000	эксплуатация здания, расположенного на земельном участке с функциональным, строительным и ландшафтным назначением, согласно утвержденному градостроительному зонированию под детский сад
1510	77:08:0010007:73	б-р Генерала Карбышева    (г. Москва, бульвар Генерала Карбышева, вл. 3)	3629.00000000000	эксплуатации здания поликлиники
1511	77:04:0004024:1003	ул Братиславская    (г. Москва, ул. Братиславская, вл. 17, корп. 2)	7796.21000000000	эксплуатация здания, расположенного на земельном участке с функциональным, строительным и ландшафтным назначением, согласно утвержденному градостроительному зонированию. Земельный участок предназначен для размещения административных и офисных зданий, объ
1512	77:02:0002009:68	проезд Шенкурский    (г Москва, проезд Шенкурский, вл 3)	2228.00000000000	эксплуатации здания дома культуры
1513	77:09:0005005:110	ул Зорге    (г Москва, ул Зорге, вл 8)	4675.00000000000	осуществления учебно-воспитательной деятельности
1514	77:10:0006005:134	мкр 18-Й    (г Москва, 18-й микрорайон г Зеленограда, корпус 1816)	17860.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ ШКОЛЫ С ЦЕЛЬЮ ОРГАНИЗАЦИИ УЧЕБНО-ВОСПИТАТЕЛЬНОГО ПРОЦЕССА ДЕТЕЙ
1515	77:03:0006021:44	ул Фрязевская    (г Москва, ул Фрязевская, вл 11А)	9286.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
1516	77:03:0009004:63	ул Новокосинская    (г Москва, ул Новокосинская, вл 14Б)	9541.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
1517	77:05:0009003:86	ул Медынская    (г. Москва, Медынская улица, вл. 14Б)	9500.00000000000	объекты размещения административно-управленческих учреждений (1.2.17)
1518	77:09:0002005:20	ул Долгопрудная    (г Москва, ул Долгопрудная, вл 10А)	4352.00000000000	эксплуатации для осуществления музыкальной учебно-воспитательной деятельности
1519	77:06:0007004:49	ул Академика Виноградова    (г Москва, ул Академика Виноградова, вл 7)	4469.00000000000	эксплуатации имущественного комплекса детской музыкальной школы
1520	77:03:0003024:29	пер ЗЕЛЬЕВ    (г Москва, пер Зельев, вл 3А)	9297.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
1521	77:05:0004008:7	ул Новинки    (г Москва, ул Новинки, вл 8)	16444.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
1522	77:01:0001032:19	пер Потаповский    (г. Москва, Потаповский пер./Сверчков пер., вл. 8/12, стр. 2)	1800.00000000000	для эксплуатации административного здания и благоустройства территории без права коммерческого использования
1523	77:01:0004007:150	пер Тихвинский    (г Москва, Тихвинский переулок, вл 7А, стр 1)	3269.00000000000	эксплуатации здания под размещение центра восстановительного лечения для детей № 6 и благоустройство территории
1524	77:07:0005001:1005	Большая Филёвская улица, вл. 41, стр. 6	0.00000000000	эксплуатации здания под размещение центра восстановительного лечения для детей № 6 и благоустройство территории
1525	77:07:0010004:9	ул Мосфильмовская    (г Москва, ул Мосфильмовская, вл 27/А)	3217.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОЙ ПОЛИКЛИНИКИ № 67
1526	77:06:0001004:24	пр-кт Ломоносовский    (г Москва, пр-кт Ломоносовский, вл 13)	11782.00000000000	эксплуатации имущественного комплекса школы без права изменения функционального назначения
1527	77:04:0004025:10	ул ЛЮБЛИНСКАЯ	5300.00000000000	ЭКСПЛУАТАЦИИ ПОМЕЩЕНИЙ В КАПИТАЛЬНЫХ ПРИСТРОЙКАХ К ЖИЛОМУ ДОМУ ЦЕНТРА
1528	77:07:0008002:47	ш МОЖАЙСКОЕ    (г Москва, ш Можайское, вл 38, корпус 5)	5776.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
1529	77:06:0006003:126	ул Академика Волгина    (г Москва, ул Академика Волгина, вл 11)	16344.00000000000	эксплуатации имущественного комплекса школы без права изменения функционального назначения
1530	77:06:0003010:41	ул Академика Пилюгина    (г Москва, ул Академика Пилюгина, вл 14Б)	4378.00000000000	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
1531	77:05:0002003:48	ул Автозаводская    (г Москва, ул Автозаводская, вл 17, корпус 2)	2250.00000000000	эксплуатации здания для размещения судебных участков Мировых Судей
1532	77:05:0008006:14	ш ВАРШАВСКОЕ    (г Москва, ш Варшавское, д 143 А)	13689.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
1533	77:04:0004006:36	проезд Спортивный    (г Москва, проезд Спортивный, вл 3 А)	16013.00000000000	эксплуатации здания школы и прилегающей территории
1534	77:07:0009006:12	ул Кременчугская    (г Москва, ул Кременчугская, вл 11-13, стр 4,5,6)	21525.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ И СООРУЖЕНИЙ ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
1535	77:07:0008001:82	ш МОЖАЙСКОЕ    (г Москва, ш Можайское, вл 50)	12380.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ
1536	77:03:0006024:37	ул Молостовых    (г Москва, ул Молостовых, вл 8-А)	9393.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОДРАЗДЕЛЕНИЯ МИЛИЦИИ
1537	77:01:0001051:98	пер Обыденский 2-й    (г Москва, пер 2-й Обыденский, вл 6/3, стр 1		Аренда
1538	77:05:0006001:98	проезд Сумской    (г Москва, проезд Сумской, вл 12А)	9709.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
1539	77:06:0004005:1	ул Цюрупы    (г Москва, ул Цюрупы, вл 30/63, стр 1)	3987.00000000000	эксплуатации имущественного комплекса поликлиники без права изменения функционального назначения
1540	77:02:0023015:43	пер Кулаков    (г Москва, пер Кулаков, вл 7, корпус 1)	9586.00000000000	эксплуатации здания детского сада
1541	77:02:0001010:23	ул Новгородская    (г Москва, ул Новгородская, вл 29)	9356.00000000000	эксплуатации дошкольного образовательного учреждения
1542	77:06:0012018:14	ул Железногорская 3-я    (г Москва, ул 3-я Железногорская, вл 11А)	2700.00000000000	эксплуатации имущественного комплекса школы без права изменения функционального назначения
1543	77:02:0008005:86	ул Каргопольская    (г Москва, ул Каргопольская, вл 8)	10352.00000000000	ЭКСПЛУАТАЦИИ здания школы
1544	77:04:0003015:1000	ул Перерва    (г. Москва, ул. Перерва, вл. 8, стр. 1, 2)	9400.00000000000	эксплуатация зданий, расположенных на земельном участке с функциональным, строительным и ландшафтным назначением, согласно утвержденному градостроительному зонированию под торгово-производственный комплекс. Земельный участок, предназначенный для размещен
1545	77:02:0019010:102	ул Касаткина    (г Москва, ул Касаткина, вл 7)	53474.00000000000	эксплуатации зданий больницы
1546	77:01:0003042:116	пер 1-й Коптельский    (г Москва, пер Коптельский 1-й, вл 3, стр 1)	3890.00000000000	эксплуатации здания скорой помощи
1547	77:05:0004009:30	ул Судостроительная    (г Москва, ул Судостроительная, вл 31, корпус 2)	10106.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
1548	77:04:0004027:1000	б-р Перервинский    (г. Москва, Перервинский бульвар, вл. 21, корп. 2)	8753.18000000000	эксплуатация здания, расположенного на земельном участке с функциональным, строительным и ландшафтным назначением, согласно утвержденному градостроительному зонированию под детский сад
1549	77:03:0009001:26	ул Суздальская    (г Москва, ул Суздальская, вл 18А)	8505.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА БЕЗ ПРАВА ПЕРЕПРОФИЛИРОВАНИЯ
1550	77:07:0009003:45	ул Кременчугская    (г Москва, ул Кременчугская, вл 46)	14259.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ
1551	77:06:0011004:27	ул Коктебельская    (г Москва, ул Коктебельская, вл 6, стр 1, 2)	4669.00000000000	эксплуатации имущественного комплекса поликлиники без права изменения функционального назначения
1552	77:04:0004026:43	б-р Мячковский    (г Москва, б-р Мячковский, вл 18, корпус 3)	22402.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ОБЩЕОБРАЗОВАТЕЛЬНОГО УЧРЕЖДЕНИЯ
1553	77:09:0004021:72	пр-кт Ленинградский    (г Москва, пр-кт Ленинградский, вл 16)	4754.00000000000	эксплуатации больницы
1554	77:06:0007001:13	пр-кт Ленинский    (г Москва, пр-кт Ленинский, вл 125, корпус 4)	15173.00000000000	эксплуатации имущественного комплекса школы без права изменения функционального назначения
1555	77:05:0011009:10	ул Воронежская    (г Москва, ул Воронежская, дом 46, корпус 5)	21505.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
1556	77:10:0001004:1	мкр 11-й    (г Москва, 11-й микрорайон г Зеленограда, корпус 1137)	3400.00000000000	эксплуатации части здания с целью размещения реабилитационного центра
1557	77:05:0005009:101	ул Ереванская    (г Москва, ул Ереванская, вл 19)	11335.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ЦЕНТРА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
1558	77:01:0004046:20	проезд Мукомольный    (г Москва, проезд Мукомольный, вл 4, стр 1)	1601.00000000000	эксплуатации здания школьно-базовой столовой и благоустройства территории
1559	77:05:0011003:163	ш Каширское    (г Москва, ш Каширское, вл 146Г)	307.00000000000	эксплуатации газорегуляторного пункта № 380
1560	77:04:0004024:16	ул БЕЛОРЕЧЕНСКАЯ    (г Москва, ул Белореченская,вл 26, корпус 1)	2561.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОЛИКЛИНИКИ
1561	77:03:0003021:2	ш Открытое    (г. Москва, Открытое шоссе, владение 4, строение 1)	4125.00000000000	для эксплуатации здания кинотеатра
1562	77:07:0001003:13	ул КРЫЛАТСКИЕ ХОЛМЫ    (г Москва, ул Крылатские Холмы)	59024.88000000000	УЧАСТОК 2 - 0,2773 ГА И УЧАСТОК 3 - 1.0634 ГА ДЛЯ ВОССОЗДАНИЯ АНСАМБЛЯ ЗДАНИЙ ХРАМА И ЧАСОВНИ НА ИСТОЧНИКЕ
1563	77:01:0006026:97	ул Большая Коммунистическая    (г Москва, ул Большая Коммунистическая, вл 19, стр 1)	300.00000000000	эксплуатации здания под художественные мастерские
1564	77:08:0002008:1019	Митинская улица, вл. 34, корп.1, стр.1	0.00000000000	эксплуатации здания под художественные мастерские
1565	77:01:03008:013	Новая Басманная улица, вл. 4-6, стр. 1	0.00000000000	эксплуатации газорегуляторного пункта № 279
1566	77:05:0011003:125	ул ДОМОДЕДОВСКАЯ    (г Москва, ул Домодедовская, вл 29, корпус 1, стр 1,2)	3134.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ ПОЛИКЛИНИКИ И РЕНТГЕНОХРАНИЛИЩА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
1567	77:04:0002016:37	ул Зеленодольская    (г Москва, ул Зеленодольская, вл 33, корпус 2)	19912.00000000000	эксплуатации прилегающей территории общеобразовательной школы
1568	77:06:0012014:11	ул Северодонецкая 2-я	300.00000000000	эксплуатации индивидуального жилого дома
1569	77:01:0006034:35	ул Новорогожская    (г Москва, ул Новорогожская, вл 18, стр 1)	11437.00000000000	эксплуатации здания школы и благоустройства территории
1570	77:05:0006006:50	ул Днепропетровская    (г Москва, ул Днепропетровская, вл 10А)	5372.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ПОД СПОРТИВНО-ОЗДОРОВИТЕЛЬНЫЙ КОМПЛЕКС С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
1571	77:08:0010001:1000	     (г. Москва, территория природно-исторического парка Москворецкий СЗАО г. Москвы)	37779.29000000000	природоохранные и эколого-просветительские цели
1572	77:02:0011003:1011	ул Осташковская    (г. Москва, ул. Осташковская, вл. 13, стр. 1)	31.27000000000	объекты размещения помещений и технических устройств газорегуляторных пунктов (ГРП) (1.2.10)
1573	77:08:0010003:23	ул ГЕНЕРАЛА ГЛАГОЛЕВА    (г Москва, ул Генерала Глаголева, вл 28, корпус 1)	11825.00000000000	эксплуатации детского сада № 637
1574	77:09:0002023:22	ул Дегунинская	2637.00000000000	ЭКСПЛУАТАЦИИ поликлиника ДЕТСКАЯ
1575	77:05:0008001:84	ул ПОДОЛЬСКИХ КУРСАНТОВ    (г Москва, ул Подольских Курсантов, вл 18 Б)	14734.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД УЧЕБНО-ВОСПИТАТЕЛЬНЫЕ ЦЕЛИ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
1576	77:04:0004016:7766	Краснодонская улица, вл. 53А, стр.1	0.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
1577	77:07:0006002:11	ул Поклонная    (г Москва, ул Поклонная, вл 8, корпус 3)	1486.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ПОД ПОЛИКЛИНИКУ
1578	77:06:0003014:37	ул Академика Челомея    (г Москва, ул Академика Челомея, вл 6А)	12919.00000000000	эксплуатации имущественного комплекса  школы без изменения  функционального назначения
1579	77:01:0001033:44	пер Малый Златоустинский    (г Москва, пер Малый Златоустинский, вл 10, стр 3 А, Б)	3638.34000000000	эксплуатации зданий историко-культурного назначения
1580	77:04:0004023:81	ул Люблинская    (г. Москва, ул. Люблинская, вл. 177)	8913.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
1581	77:05:0006004:134	ул Кировоградская    (г Москва, ул Кировоградская, вл 5 А)	9260.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИЕЙ
1582	77:04:0001017:19	ул Авиамоторная    (г. Москва, ул. Авиамоторная, вл. 45)	1733.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ СПЕЦИАЛИЗИРОВАННОГО ДОШКОЛЬНОГО УЧРЕЖДЕНИЯ
1583	77:04:0004019:111	проезд Батайский    (г. Москва, Батайский проезд, вл. 45)	14691.00000000000	эксплуатации здания школы
1584	77:04:0004007:91	ул 7-я Текстильщиков    (г Москва, ул 7-я Текстильщиков, вл 4А)	5621.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА
1585	77:06:0005018:16	пр-кт Балаклавский    (г Москва, пр-кт Балаклавский, вл 22)	5438.00000000000	эксплуатации имущественного комплекса яслей-сада без права изменения функционального назначения
1586	77:06:0002009:56	ул Шверника    (г Москва, ул Шверника, вл 17)	11817.00000000000	эксплуатации имущественного комплекса детского сада без права изменения функционального назначения
1587	77:03:0003007:19	проезд Попов    (г Москва, Попов проезд, вл 2, стр 1)	1404.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЙ ИСТОРИКО-КУЛЬТУРНОГО НАЗНАЧЕНИЯ
1588	77:01:0002016:22	пер Толмачевский М.    (г. Москва, М. Толмачевский пер., вл. 4, стр. 1)	1450.00000000000	для эксплуатации зданий историко-культурного назначения
1589	77:06:0003013:1018	ул Новаторов    (г. Москва, ул. Новаторов, вл. 28, стр. 1)	33.27000000000	объекты размещения помещений и технических устройств газорегуляторных пунктов (ГРП) (1.2.10)
1590	77:02:0022015:87	ул Бочкова	9119.00000000000	ЭКСПЛУАТАЦИИ здания дошкольного образовательного учреждения
1591	77:09:0002027:26	ул 800-летия Москвы    (г Москва, ул 800-летия Москвы, вл 22, корпус 2)	19936.00000000000	ЭКСПЛУАТАЦИИ РОДИЛЬНОГО ДОМА
1592	77:01:0004026:33	ул Сергея Макеева    (г. Москва, улица Сергея Макеева, вл. 15, стр. 1)	3200.00000000000	для эксплуатации Ваганьковского кладбища
1593	77:06:0012015:1072	2-я Горловская улица, вл. 20, стр.1	0.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА КОМПЕНСИРУЮЩЕГО ВИДА № 1889
1594	77:08:0003006:5	ул Героев Панфиловцев    (г Москва, ул Героев Панфиловцев, вл 47, корп 2, стр 1)	343.00000000000	ЭКСПЛУАТАЦИИ ЦЕНТРАЛЬНОГО ТЕПЛОВОГО ПУНКТА № 75
1595	77:04:0004007:1003	ул Чистова    (г. Москва, ул. Чистова, вл. 23а, Текстильщики, кв. 104)	6035.11000000000	проектирование и новое капитальное строительство детского образовательного учреждения на 125 мест на сносе существующего ДОУ № 1374 (земельные участки, предназначенные для размещения административных и офисных зданий, объектов образования, науки, здравоо
1596	77:03:0005014:40	ул Парковая 8-я    (г Москва, ул Парковая 8-я, вл 10/17, стр 1)	1043.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
1597	77:08:0004017:4	проезд Донелайтиса    (г Москва, проезд Донелайтиса, вл 16, стр 1)	548.00000000000	эксплуатации центрального теплового пункта №94
1598	77:07:0012002:13	ул Верейская    (г Москва, ул Верейская, вл 10, корпус 4)	27126.00000000000	ЭКСПЛУАТАЦИИ КОМПЛЕКСА ЗДАНИЙ И СТРОЕНИЙ ГРУППОВЫХ  ОЧИСТНЫХ СООРУЖЕНИЙ ПРОМЫШЛЕННЫХ И ЛИВНЕВЫХ СТОКОВ
1599	77:08:0004002:15	б-р Яна Райниса    (г Москва, б-р Яна Райниса, вл 43, стр 1)	782.00000000000	ЭКСПЛУАТАЦИИ ЦЕНТРАЛЬНОГО ТЕПЛОВОГО ПУНКТА № 82
1600	77:10:0002005:60	     (г. Москва, Зеленоград, корпус 901А)	200.00000000000	земельные участки, предназначенные для размещения объектов, необходимых для эксплуатации, содержания, строительства, реконструкции, ремонта, развития наземных и подземных зданий, строений, сооружений, устройств энергетики (1.2.13)
1601	77:01:0005020:1	     (АДРЕСНЫЕ ОРИЕНТИРЫ: НА ТЕРРИТОРИИ СПОРТКОМПЛЕКСА ЛУЖНИКИ - ЛУЖНИКИ, 24, СТР.37)	60.00000000000	эксплуатации насосной станции
1602	77:06:0011001:90	ул Ратная    (г Москва, ул Ратная, вл 14А)	9572.00000000000	эксплуатации имущественного комплекса школы без права изменения функционального назначения
1603	77:03:0004002:31	ш Измайловское    (г Москва, ш Измайловское, вл 3, стр 1)	938.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ИНСТИТУТА ПОД ОБРАЗОВАТЕЛЬНЫЕ ЦЕЛИ
1604	77:05:0011003:156	ш КАШИРСКОЕ    (г Москва, ш Каширское, вл 124, корпус 2)	2900.00000000000	ЭКСПЛУАТАЦИИ ПОМЕЩЕНИЙ (В ЗДАНИИ) ДОСУГОВОГО ЦЕНТРА ПО РАБОТЕ С ДЕТЬМИ, ПОДРОСТКАМИ, МОЛОДЕЖЬЮ
1605	77:04:0004019:145	б-р Новочеркасский    (г Москва, б-р Новочеркасский, вл 17, стр 1)	14093.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ УЧЕБНО-ВОСПИТАТЕЛЬНОГО КОМПЛЕКСА
1606	77:09:0001006:85	проезд Валдайский    (г Москва, проезд Валдайский, вл 3)	10675.00000000000	осуществления учебно-воспитательной деятельности
1607	77:05:0005010:77	пр-кт Пролетарский    (г Москва, пр-кт Пролетарский, вл 17, корпус 3)	9363.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ И СООРУЖЕНИЙ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
1608	77:09:0001026:8	ул Михалковская    (г Москва, ул Михалковская, вл 38, стр 1-4)	9433.00000000000	эксплуатации прочих земель учреждений культуры и искусства
1609	77:01:0003041:65	ул Садовая-Спасская    (г Москва, ул Садовая-Спасская, вл 1/2, стр 4, 4Б)	5750.00000000000	эксплуатации зданий историко-культурного назначения
1610	77:02:0003004:1007	проезд Черского    (г. Москва, пр. Черского, вл. 12А)	42.00000000000	объекты размещения помещений и технических устройств газорегуляторных пунктов (ГРП) (1.2.10)
1611	77:01:0002006:67	ул Новокузнецкая    (г Москва, ул Новокузнецкая, вл 42, стр 2, 5)	1027.60000000000	эксплуатации зданий историко-культурного назначения
1612	77:09:0004009:74	ул Степана Супруна    (г Москва, ул Степана Супруна, вл 12, стр 1)	1455.00000000000	эксплуатации детского сада.
1613	77:02:0003004:58	ул Бегичева    (г Москва, ул Бегичева, вл 10)	2379.00000000000	эксплуатации административного здания
1614	77:08:0010010:3	пр-кт Маршала Жукова    (г Москва, пр-кт Маршала Жукова, вл 49, корпус 2)	4174.00000000000	эксплуатации здания детского сада
1615	77:02:0008003:57	б-р Северный    (г Москва, б-р Северный, вл 1А)	16983.00000000000	эксплуатации здания школы
1616	77:04:0004009:27	пр-кт 40 лет Октября    (г Москва, пр-кт 40 лет Октября, вл 4, корпус 3)	5542.00000000000	эксплуатации здания детского сада
1617	77:01:0001048:45	пер Афанасьевский Б.    (г Москва, пер Большой Афанасьевский, вл 8)	585.70000000000	эксплуатации зданий историко-культурного назначения
1618	77:06:0002003:44	ул Губкина    (г Москва, ул Губкина, вл 6)	4680.00000000000	эксплуатации имущественного комплекса комбината
1619	77:09:0002026:5	б-р Бескудниковский    (г Москва, б-р Бескудниковский, пер Бескудниковский, вл 5/15)	5449.00000000000	ЭКСПЛУАТАЦИИ ПОЛИКЛИНИКИ
1620	77:06:0001002:91	ул Фотиевой    (г. Москва, ул. Фотиевой, вл. 6, стр. 1, 3)	8955.02000000000	земельные участки, предназначенные для размещения зданий, объектов  здравоохранения и социального обеспечения (1.2.7)
1621	77:09:0003018:104	ул Зои и Александра Космодемьянских    (г Москва, ул Зои и Александра Космодемьянских, вл 6а)	9909.00000000000	осуществления образовательной деятельности
1622	77:05:0003004:117	б-р Чонгарский    (г. Москва, Чонгарский бульвар, вл. 12)	7761.00000000000	эксплуатации здания школы с прилегающим земельным участком
1623	77:10:0001002:10	проезд Западный 2-й    (г. Москва, Зеленоград, 2-й Западный проезд, дом 7, строение 1)	10878.00000000000	земельные участки, предназначенные для размещения объектов, необходимых для эксплуатации, содержания, строительства, реконструкции, ремонта, развития наземных и подземных зданий, строений, сооружений, устройств энергетики (1.2.13)
1624	77:05:0011002:197	ул Шипиловская    (г Москва, ул Шипиловская, вл 8, корпус 2)	8012.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩЕГО ЗДАНИЯ ДЕТСКОГО САДА С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
1625	77:05:0009003:161	проезд Востряковский    (Москва г, проезд Востряковский, вл 5Б)	20048.00000000000	ЭКСПЛУАТАЦИИ СУЩЕСТВУЮЩИХ ЗДАНИЙ,СТРОЕНИЙ И СООРУЖЕНИЙ ШКОЛЫ С ПРИЛЕГАЮЩИМ ЗЕМЕЛЬНЫМ УЧАСТКОМ
1626	77:08:0004004:5	б-р Яна Райниса    (г Москва, б-р Яна Райниса, вл 23, стр 1)	274.00000000000	ЭКСПЛУАТАЦИИ ЦЕНТРАЛЬНОГО ТЕПЛОВОГО ПУНКТА № 88
1627	77:03:0002003:23	ш ОТКРЫТОЕ    (г Москва, ш Открытое, вл 27)	10863.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ДЕТСКОГО САДА И ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ (БЕЗ ПРАВА ИЗМЕНЕНИЯ ФУНКЦИОНАЛЬНОГО НАЗНАЧЕНИЯ)
1628	77:10:0006006:23	ул Заводская    (г. Москва, Зеленоград, улица Заводская, дом 14Б и дом 14Б, строение 1)	8728.00000000000	земельные участки, предназначенные для размещения объектов социального обеспечения (1.2.7)
1629	77:03:0006023:96	ул Сталеваров    (г Москва, ул Сталеваров, вл 16А, стр 1)	15175.00000000000	ЭКСПЛУАТАЦИИ ЗДАНИЯ ШКОЛЫ И БЛАГОУСТРОЙСТВА ПРИЛЕГАЮЩЕЙ ТЕРРИТОРИИ
