№ строки	Название	Административный округ
1	Бескудниковский	САО
2	Головинский	САО
3	Войковский	САО
4	Савеловский	САО
5	Аэропорт	САО
6	Царицыно	ЮАО
7	Академический	ЮЗАО
8	Южное Медведково	СВАО
9	Новогиреево	ВАО
10	Нагатино-Садовники	ЮАО
11	Печатники	ЮВАО
12	Марьина роща	СВАО
13	Фили-Давыдково	ЗАО
14	Раменки	ЗАО
15	Дорогомилово	ЗАО
16	Филевский парк	ЗАО
17	Марьино	ЮВАО
18	Обручевский	ЮЗАО
19	Черемушки	ЮЗАО
20	Коптево	САО
21	Бабушкинский	СВАО
22	Свиблово	СВАО
23	Хамовники	ЦАО
24	Ломоносовский	ЮЗАО
25	Мещанский	ЦАО
26	Якиманка	ЦАО
27	Измайлово	ВАО
28	Даниловский	ЮАО
29	Алтуфьевский	СВАО
30	Орехово-Борисово Южное	ЮАО
31	Лефортово	ЮВАО
32	Зюзино	ЮЗАО
33	Чертаново Северное	ЮАО
34	Бутырский	СВАО
35	Гагаринский	ЮЗАО
36	Москворечье-Сабурово	ЮАО
37	Нагатинский затон	ЮАО
38	Южное Тушино	СЗАО
39	Покровское-Стрешнево	СЗАО
40	Беговой	САО
41	Донской	ЮАО
42	Щукино	СЗАО
43	Котловка	ЮЗАО
44	Таганский	ЦАО
45	Нижегородский	ЮВАО
46	Хорошево-Мневники	СЗАО
47	Замоскворечье	ЦАО
48	Чертаново Центральное	ЮАО
49	Орехово-Борисово Северное	ЮАО
50	Сокол	САО
51	Зябликово	ЮАО
52	Преображенское	ВАО
53	Арбат	ЦАО
54	Южнопортовый	ЮВАО
55	Нагорный	ЮАО
56	Пресненский	ЦАО
57	Хорошевский	САО
58	Кузьминки	ЮВАО
59	Текстильщики	ЮВАО
60	Соколиная гора	ВАО
61	Братеево	ЮАО
62	Капотня	ЮВАО
63	Выхино-Жулебино	ЮВАО
64	Новокосино	ВАО
65	Молжаниновский	САО
66	Митино	СЗАО
67	Строгино	СЗАО
68	Очаково-Матвеевское	ЗАО
69	Коньково	ЮЗАО
70	Марфино	СВАО
71	Красносельский	ЦАО
72	Басманный	ЦАО
73	Тверской	ЦАО
74	Останкинский	СВАО
75	Тимирязевский	САО
76	Рязанский	ЮВАО
77	Вешняки	ВАО
78	Ростокино	СВАО
79	Богородское	ВАО
80	Перово	ВАО
81	Проспект Вернадского	ЗАО
82	Восточное Измайлово	ВАО
83	Отрадное	СВАО
84	Восточное Дегунино	САО
85	Левобережный	САО
86	Северное Тушино	СЗАО
87	Ивановское	ВАО
88	Гольяново	ВАО
89	Сокольники	ВАО
90	Северное Бутово	ЮЗАО
91	Можайский	ЗАО
92	Бирюлево Западное	ЮАО
93	Старое Крюково	ЗелАО
94	Ясенево	ЮЗАО
95	Некрасовка	ЮВАО
96	Кунцево	ЗАО
97	Солнцево	ЗАО
98	Кунцево	ЗАО
99	Ярославский	СВАО
100	Метрогородок	ВАО
101	Западное Дегунино	САО
102	Северное Медведково	СВАО
103	Чертаново Южное	ЮАО
104	Бирюлево Восточное	ЮАО
105	Алексеевский	СВАО
106	Северный	СВАО
107	Дмитровский	САО
108	Бибирево	СВАО
109	Лианозово	СВАО
110	Северное Измайлово	ВАО
111	Люблино	ЮВАО
112	Лосиноостровский	СВАО
113	Ховрино	САО
114	Куркино	СЗАО
115	Крылатское	ЗАО
116	Ново-Переделкино	ЗАО
117	Южное Бутово	ЮЗАО
118	Восточный	ВАО
119	Силино	ЗелАО
120	Крюково	ЗелАО
121	Савелки	ЗелАО
122	Кунцево	ЗАО
123	Можайский	ЗАО
124	Теплый Стан	ЮЗАО
125	Восточный	ВАО
126	Косино-Ухтомский	ВАО
127	Восточный	ВАО
128	Тропарево-Никулино	ЗАО
129	Внуково	ЗАО
130	Восточный	ВАО
131	Внуково	ЗАО
132	Кунцево	ЗАО
133	Матушкино	ЗелАО
134	Кунцево	ЗАО
