№ строки	Название объекта	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1136	123181, г. Москва, ул. Кулакова, д. 3, к. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	750-56-76	http://school1136.ru
2	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1025	111672, г. Москва, ул. Новокосинская,  д.  42А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	702-32-37	http://sch1025.moskobr.ru
3	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1349	107370, г. Москва, Открытое ш., д.6, стр.12	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(499) 168-81-01	http://Schoolz-1349/narod2.ru/index.html
4	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 137	119331, г. Москва, улица Кравченко, дом 14, корпус 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(499) 138-38-28	http://schz137.uzao.mskobr.ru/
5	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 29	119607 г.Москва, ул. Удальцова, д. 87, корпус 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	931-40-72	http://29.mskzapad.ru
6	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 60 имени В.С. Опариной	121351 г.Москва, ул.Партизанская, д. 30, корпус 2,стр.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(499) 141-24-17; (499) 141-41-20; (499) 141-30-60	http://schz60.mskzapad.ru
7	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 630	117105 г. Москва, Варшавское шоссе д.12	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(495) 954-93-65; (495) 954-92-05; (495) 954-92-08	http://sch630.edusite.ru/
8	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 533	117461, город Москва, улица Каховка, дом 19, корпус 3	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(499) 121-60-80	http://www.533school.ru
9	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа  "Школа здоровья" № 668 имени Героя Советского Союза В.П.Кислякова	127644, г. Москва, Вагоноремонтная улица, дом 15-А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	485-78-18	http://school668.sk6.ru/
10	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 473	109429, г. Москва, 2-й квартал Капотни, д.19	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	355-01-96	http://school473.ru
11	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1959	107341, г. Москва, Перервинский бульвар, д. 16, корп. 1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	346-45-51	http://1959.shkola.hc.ru/
12	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1115	117209, г.Москва, ул. Перекопская, д.28	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(903) 569-74-44	http://sch1115.mosuzedu.ru
13	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1979	117041, г.Москва, улица Адмирала Лазарева, дом 40, корпус 2	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	715-59-81	http://school1979.ru
14	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 898 имени генерала И.Д.Стаценко	117465, г. Москва, ул. Профсоюзная, дом 156, корпус 6	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	338-17-15	http://school898.ru
15	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 523	117418, г. Москва, ул. Цюрупы, д. 14А	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	128-56-24	http://www.school523.narod.ru
16	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 1065	117624, г.Москва, ул. Скобелевская, дом 28	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	716-78-45	http://1065.mosuzedu.ru
17	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа "Школа здоровья" № 440	105203, г.Москва, Измайловский проспект, дом 115	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа "Школа Здоровья"	(495) 465-51-59	http://school440.ru/
