№ строки	Название	Адрес	Телефон	Режим работы
1	Городской центр профилактики безнадзорности и правонарушений среди несовершеннолетних «Дети улиц»	119034, Малый Левшинский переулок, д. 1/32, стр. 3	495 637-76-91, 499 978-35-42	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, перерыв: 13.00 - 13.45
2	Городской центр профилактики безнадзорности и правонарушений среди несовершеннолетних «Дети улиц»	127055, Москва, ул. Новослободская, д. 3, стр. 1	495 637-76-91, 499 978-35-42	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, перерыв: 13.00 - 13.45
3	Отделение Городского центра   «Дети улиц» в ЦАО города Москвы	127006, Москва, ул. Садовая-Триумфальная, д.16, корп.2	495 650-25-75, 495 650-22-78	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45
4	Отделение Городского центра   «Дети улиц» в САО города Москвы	127644, Москва, Карельский бульвар, д. 21, корп. 1	495 485-11-81, 495 485-11-65	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45
5	Отделение Городского центра   «Дети улиц» в СВАО города Москвы	127221, Москва, ул. Полярная, д.10, стр.1	499 473-81-26	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45
6	Отделение Городского центра   «Дети улиц» в СВАО города Москвы	129347, Москва, Ярославское шоссе, д.144	499 473-81-26	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45
7	Отделение Городского центра   «Дети улиц» в ВАО города Москвы	111625, Москва, ул. Лухмановская, д.1	499 721-97-02	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45
8	Отделение Городского центра   «Дети улиц» в ЮВАО города Москвы	109386, Москва, ул.Таганрогская, д. 9, корп.2	495 350-59-92, 495 352-71-27	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45
9	Отделение Городского центра   «Дети улиц» в ЮАО города Москвы	115408, Москва, ул. Алма-Атинская, д.10, стр. 3	495 341-55-54	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45
10	Отделение Городского центра   «Дети улиц» в ЮЗАО города Москвы	117042, Москва, ул. Адмирала Лазарева, д. 11	499 723-59-00	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45
11	Отделение Городского центра   «Дети улиц» в ЗАО города Москвы	119620, Москва, ул. Волынская, д.3	495 738-02-02, 499 738-02-22	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45
12	Отделение Городского центра   «Дети улиц» в СЗАО города Москвы	125362, Москва, ул. Подмосковная, д. 7	495 491-23-00, 495 491-60-66	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45
13	Отделение Городского центра   «Дети улиц» в СЗАО города Москвы	125362, Москва, ул. Подмосковная, д.12А	495 491-23-00, 495 491-60-66	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45
14	Отделение Городского центра   «Дети улиц» в СЗАО города Москвы	125362, Москва, ул.  Большая Набережная, д. 25/1	495 491-23-00, 495 491-60-66	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45
15	Отделение Городского центра   «Дети улиц» в ЗелАО  города Москвы	124482, Зеленоград, корп.107А	499 736-05-57	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45
16	Отделение Городского центра   «Дети улиц» в ЗелАО  города Москвы	124482, Зеленоград, корп. 418	499 736-05-57	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45
17	Отделение Городского центра   «Дети улиц» в ЗелАО  города Москвы	124482, Зеленоград, корп. 2034	499 736-05-57	пон. - четв.: 09.00 - 18.00, пятн.: 09.00 - 16.45, суббота: 10.00 - 17.00, пон. - пятн.: 11.00 - 20.00 (работа клубов), перерыв: 13.00 - 13.45
