№ строки	Название объекта	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
1	Бар "Чашка"	Россия, Москва, улица Академика Семенова, 3	Общество с ограниченной ответственностью "КРЦ  "Виктория"	12557 ДПРУ	2010-07-27 04:00:00.0	2015-07-27 04:00:00.0	Действует
2	Магазин	Россия, Москва, Изюмская улица, 50	Общество с ограниченной ответственностью "АЛИГАР"	1147 ДПРУ	2006-06-28 04:00:00.0	2014-06-28 04:00:00.0	Действует
3	Магазин	Россия, Москва, Изюмская улица, 53к2	Общество с ограниченной ответственностью "Радуга"	760 ДТУ	2011-08-03 04:00:00.0	2016-08-03 04:00:00.0	Действует
4	Магазин	Россия, Москва, улица Адмирала Лазарева, 52к3	Общество с ограниченной ответственностью "Пивновъ"	11481 ДПРУ	2010-01-13 04:00:00.0	2013-01-13 04:00:00.0	Действует
5	Магазин	Россия, Москва, улица Адмирала Лазарева, 40	Общество с ограниченной ответственностью "ТОРГОВЫЙ ДОМ МЖК БУТОВО"	832 ПРЗЮЗ	2005-06-21 04:00:00.0	2014-06-21 04:00:00.0	Действует
6	Универсам	Россия, Москва, Веневская улица, 15	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	5819 ДПРУ	2007-10-31 04:00:00.0	2017-10-31 04:00:00.0	Действует
7	Универсам	Россия, Москва, Скобелевская улица, 24	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	12012 ДПРУ	2010-04-08 04:00:00.0	2015-04-08 04:00:00.0	Действует
8	Магазин	Россия, Москва, улица Адмирала Лазарева, 38	Общество с ограниченной ответственностью "Ассорти"	13104 ДПРУ	2010-11-03 04:00:00.0	2015-11-03 04:00:00.0	Действует
9	Кафе	Россия, Москва, Скобелевская улица, 20	Общество с ограниченной ответственностью "ДОСУГ-ИНТЕРПРАЙЗ"	4907 ДПРУ	2007-07-02 04:00:00.0	2015-07-20 04:00:00.0	Действует
10	Магазин	Россия, Москва, Скобелевская улица, 20	Общество с ограниченной ответственностью "ПОЛИСТИЛЬ"	51 ДТУ	2011-03-18 04:00:00.0	2015-04-13 04:00:00.0	Действует
11	Магазин	Россия, Москва, Ливенская улица, 11	Общество с ограниченной ответственностью "Лучи"	12290 ДПРУ	2010-05-06 04:00:00.0	2013-05-06 04:00:00.0	Действует
12	Магазин	Россия, Москва, Скобелевская улица, 23	Закрытое акционерное общество "ДИСКОНТцентр"	9213 ДПРУ	2009-03-11 04:00:00.0	2014-03-11 04:00:00.0	Действует
13	Магазин	Россия, Москва, улица Адмирала Лазарева, 36	Общество с ограниченной ответственностью "Рассвет"	11162 ДПРУ	2009-12-23 04:00:00.0	2014-12-23 04:00:00.0	Действует
14	Магазин	Россия, Москва, улица Адмирала Лазарева, 36	Общество с ограниченной ответственностью "КАСЯ"	12757 ДПРУ	2010-08-24 04:00:00.0	2013-08-24 04:00:00.0	Действует
15	Универсам	Россия, Москва, бульвар Адмирала Ушакова, 7	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	725 ДТУ	2011-07-29 04:00:00.0	2016-07-29 04:00:00.0	Действует
16	Бар	Россия, Москва, Скобелевская улица, 23к1	Общество с ограниченной ответственностью "Скиф"	4020 ДПРУ	2007-02-14 04:00:00.0	2015-02-14 04:00:00.0	Действует
17	Универсам	Россия, Москва, улица Адмирала Лазарева, 24	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	4073 ДПРУ	2007-03-05 04:00:00.0	2017-03-05 04:00:00.0	Действует
18	Кафе	Россия, Москва, улица Адмирала Лазарева, 24	Общество с ограниченной ответственностью "ДЖЕЙН"	8233 ДПРУ	2008-10-13 04:00:00.0	2013-10-13 04:00:00.0	Действует
19	Ресторан	Россия, Москва, улица Адмирала Лазарева, 24	Общество с ограниченной ответственностью "АВЭМ"	12094 ДПРУ	2010-04-21 04:00:00.0	2015-04-21 04:00:00.0	Действует
20	Кафе	Россия, Москва, бульвар Адмирала Ушакова, 5	Общество с ограниченной ответственностью "Бут"	1229 ДТУ	2011-12-29 04:00:00.0	2016-12-29 04:00:00.0	Действует
21	Магазин	Россия, Москва, Изюмская улица, 47к2	Общество с ограниченной ответственностью "Эспаньола"	6394 ДПРУ	2011-04-08 04:00:00.0	2017-01-11 04:00:00.0	Действует
22	Магазин	Россия, Москва, Изюмская улица, 47к2	Закрытое акционерное общество "Фирма "ЮНИСТРОЙ"	12735 ДПРУ	2010-08-31 04:00:00.0	2015-08-31 04:00:00.0	Действует
23	Супермаркет	Россия, Москва, улица Адмирала Лазарева, 2	Общество с ограниченной ответственностью "Виктория - Московия"	3436 ДПРУ	2006-12-25 04:00:00.0	2014-12-25 04:00:00.0	Действует
24	Кафе	Россия, Москва, улица Адмирала Лазарева, 2	Общество с ограниченной ответственностью "Джапан Фудс"	5400 ДПРУ	2007-09-07 04:00:00.0	2017-09-26 04:00:00.0	Действует
25	Магазин	Россия, Москва, улица Адмирала Лазарева, 22	Закрытое акционерное общество "КАЛИТТА"	10725 ДПРУ	2009-10-13 04:00:00.0	2014-10-13 04:00:00.0	Действует
26	Супермаркет	Россия, Москва, Изюмская улица, 36	Общество с ограниченной ответственностью "БИЛЛА"	940 ДТУ	2011-10-14 04:00:00.0	2016-10-14 04:00:00.0	Действует
27	Магазин	Россия, Москва, бульвар Адмирала Ушакова, 18	Общество с ограниченной ответственностью "Лучи"	12289 ДПРУ	2010-05-06 04:00:00.0	2013-05-06 04:00:00.0	Действует
28	Магазин	Россия, Москва, Скобелевская улица, 19к1	Общество с ограниченной ответственностью "Гросс 7"	1095 ДТУ	2011-11-22 04:00:00.0	2014-11-22 04:00:00.0	Действует
29	Магазин	Россия, Москва, Скобелевская улица, 19к1	Общество с ограниченной ответственностью "ГУСАР - 2"	8290 ДПРУ	2008-10-23 04:00:00.0	2013-10-23 04:00:00.0	Действует
30	Магазин "Продукты"	Россия, Москва, Изюмская улица, 45к1	Общество с ограниченной ответственностью "БАДО"	7687 ДПРУ	2008-07-25 04:00:00.0	2013-07-25 04:00:00.0	Действует
31	Бар	Россия, Москва, бульвар Адмирала Ушакова, 12	Общество с ограниченной ответственностью "Авангард"	10899 ДПРУ	2009-11-05 04:00:00.0	2014-11-05 04:00:00.0	Действует
32	Кафе	Россия, Москва, бульвар Адмирала Ушакова, 12	Общество с ограниченной ответственностью "Декор"	10160 ДПРУ	2009-08-06 04:00:00.0	2014-08-06 04:00:00.0	Действует
33	Кафе	Россия, Москва, Веневская улица, 4	Общество с ограниченной ответственностью "БРИГ"	11015 ДПРУ	2009-11-16 04:00:00.0	2014-11-16 04:00:00.0	Действует
34	Магазин "Продукты"	Россия, Москва, Плавский проезд, 6	Общество с ограниченной ответственностью "ЗВЕЗДА"	1250 ДПРУ	2006-07-04 04:00:00.0	2014-07-04 04:00:00.0	Действует
35	Ресторан	Россия, Москва, Скобелевская улица, 14	Общество с ограниченной ответственностью "КОМПАНИЯ ТРЕЙД КЛАБ"	12675 ДПРУ	2010-08-18 04:00:00.0	2013-08-18 04:00:00.0	Действует
36	Кафе	Россия, Москва, Скобелевская улица, 14	Общество с ограниченной ответственностью "КОМПАНИЯ ТРЕЙД КЛАБ"	653 ДТУ	2011-07-20 04:00:00.0	2014-07-20 04:00:00.0	Действует
37	Магазин	Россия, Москва, Скобелевская улица, 14	Общество с ограниченной ответственностью "Витанж"	9280 ДПРУ	2009-03-20 04:00:00.0	2015-03-20 04:00:00.0	Приостановлена
38	Магазин	Россия, Москва, аллея Витте, 2	Закрытое акционерное общество "КАЛИТТА"	12356 ДПРУ	2010-05-21 04:00:00.0	2015-05-21 04:00:00.0	Действует
39	Магазин	Россия, Москва, Южнобутовская улица, 117	Закрытое акционерное общество "Вегат Плюс"	1112 ПРЗЮЗ	2005-12-16 04:00:00.0	2013-12-16 04:00:00.0	Действует
40	Кафе	Россия, Москва, Чечерский проезд, 52	Общество с ограниченной ответственностью "ЭкоМаркет-Ф"	13100 ДПРУ	2010-11-16 04:00:00.0	2015-11-16 04:00:00.0	Действует
41	Магазин	Россия, Москва, Южнобутовская улица, 81	Общество с ограниченной ответственностью "Агроаспект"	8387 ДПРУ	2008-11-07 04:00:00.0	2013-11-07 04:00:00.0	Действует
42	Магазин	Россия, Москва, Чечерский проезд, 56к2	Общество с ограниченной ответственностью "КЕДР и Ко"	12357 ДПРУ	2010-05-21 04:00:00.0	2013-05-21 04:00:00.0	Действует
43	Магазин	Россия, Москва, Южнобутовская улица, 77	Общество с ограниченной ответственностью "Эля"	10831 ДПРУ	2009-12-18 04:00:00.0	2014-11-28 04:00:00.0	Действует
44	Магазин	Россия, Москва, Южнобутовская улица, 113	Общество с ограниченной ответственностью "Берегиня"	626 ДТУ	2011-07-08 04:00:00.0	2013-07-08 04:00:00.0	Действует
45	Магазин	Россия, Москва, Южнобутовская улица, 80	Общество с ограниченной ответственностью "Торговый Дом ЛЮДМИЛА"	9363 ДПРУ	2009-04-08 04:00:00.0	2015-04-13 04:00:00.0	Действует
46	Кафе	Россия, Москва, Южнобутовская улица, 97	Общество с ограниченной ответственностью  "ФИРМА "КВАД"	13691 ДПРУ	2011-02-25 04:00:00.0	2016-02-25 04:00:00.0	Действует
47	Магазин "Продукты"	Россия, Москва, Варшавское шоссе, 214	Общество с ограниченной ответственностью "Лагуна-М"	11674 ДПРУ	2010-02-03 04:00:00.0	2013-02-03 04:00:00.0	Действует
48	Магазин	Россия, Москва, улица Академика Понтрягина, 11	Общество с ограниченной ответственностью "Русские просторы+"	10240 ДПРУ	2009-09-04 04:00:00.0	2014-09-04 04:00:00.0	Действует
49	Магазин	Россия, Москва, Южнобутовская улица, 65	Общество с ограниченной ответственностью "М-КАЙЫР"	1690 ДПРУ	2006-08-03 04:00:00.0	2014-08-03 04:00:00.0	Действует
50	Кафе	Россия, Москва, Южнобутовская улица, 75	Общество с ограниченной ответственностью "Зеленый мыс-Елена"	12697 ДПРУ	2010-08-26 04:00:00.0	2013-08-26 04:00:00.0	Действует
51	Магазин	Россия, Москва, Южнобутовская улица, 69	Общество с ограниченной ответственностью "Лабиринт-М"	2023 ДТУ	2012-07-17 04:00:00.0	2017-07-17 04:00:00.0	Действует
52	Ресторан	Россия, Москва, Южнобутовская улица, 69	Общество с ограниченной ответственностью "Вавилон Инвест"	8371 ДПРУ	2008-11-05 04:00:00.0	2013-11-05 04:00:00.0	Действует
53	Магазин "Продукты"	Россия, Москва, Южнобутовская улица, 62	Общество с ограниченной ответственностью "ЛАГУНА+"	13675 ДПРУ	2011-02-14 04:00:00.0	2016-02-14 04:00:00.0	Действует
54	Магазин	Россия, Москва, Чечерский проезд, 26	Общество с ограниченной ответственностью "Дамар"	2893 ДПРУ	2006-11-10 04:00:00.0	2013-11-10 04:00:00.0	Действует
55	Магазин	Россия, Москва, Южнобутовская улица, 55	Общество с ограниченной ответственностью "Ориент-Сервис Плюс"	10663 ДПРУ	2009-10-07 04:00:00.0	2017-10-07 04:00:00.0	Действует
56	Универсам	Россия, Москва, Южнобутовская улица, 58	Общество с ограниченной ответственностью "ТОРГОВЫЙ ДОМ МЖК "БУТОВО"	1581 ДТУ	2012-03-28 04:00:00.0	2015-03-28 04:00:00.0	Действует
57	Магазин	Россия, Москва, Южнобутовская улица, 58	Общество с ограниченной ответственностью "ЛАЗЕРОН"	12706 ДПРУ	2010-08-27 04:00:00.0	2013-08-27 04:00:00.0	Действует
58	Кафе	Россия, Москва, Липецкая улица, 7а	Общество с ограниченной ответственностью "Абриколь"	1136 ДТУ	2011-12-06 04:00:00.0	2012-12-06 04:00:00.0	Действует
59	Магазин	Россия, Московская область, Наро-Фоминский район, Наро-Фоминск	Общество с ограниченной ответственностью "Калашников"	2158 ДТУ	2012-08-15 04:00:00.0	2013-08-15 04:00:00.0	Действует
60	Магазин	Россия, Москва, улица Захарьинские Дворики, 3	Общество с ограниченной ответственностью "Капитан у руля"	1215 ДТУ	2011-12-21 04:00:00.0	2016-12-21 04:00:00.0	Действует
61	Магазин	Россия, Москва, улица Брусилова, 15	Общество с ограниченной ответственностью "Комфорт"	1176 ДТУ	2011-12-16 04:00:00.0	2016-12-16 04:00:00.0	Действует
62	Магазин	Россия, Москва, улица Брусилова, 27к2	Общество с ограниченной ответственностью "Азимут"	12572 ДПРУ	2010-07-30 04:00:00.0	2015-07-30 04:00:00.0	Действует
63	Магазин	Россия, Москва, улица Маршала Савицкого, 22к2	Общество с ограниченной ответственностью "Альянс-групп"	1133 ДТУ	2011-12-07 04:00:00.0	2016-12-07 04:00:00.0	Действует
64	Магазин	Россия, Москва, улица Маршала Савицкого, 22к2	Общество с ограниченной ответственностью "Фактор"	893 ДТУ	2011-09-23 04:00:00.0	2016-09-23 04:00:00.0	Действует
65	Кафе	Россия, Москва, улица Маршала Савицкого, 16к1	Общество с ограниченной ответственностью "Эллин-трейд"	12423 ДПРУ	2010-06-18 04:00:00.0	2015-06-18 04:00:00.0	Действует
66	Магазин	Россия, Москва, улица Маршала Савицкого, 18к1	Общество с ограниченной ответственностью "АНВЛАГ"	12547 ДПРУ	2010-07-23 04:00:00.0	2015-07-23 04:00:00.0	Действует
67	Магазин	Россия, Москва, улица Маршала Савицкого, 28к1	Общество с ограниченной ответственностью "Альянс-групп"	1404 ДТУ	2012-02-02 04:00:00.0	2015-02-02 04:00:00.0	Действует
68	Магазин	Россия, Москва, улица Маршала Савицкого, 12	Общество с ограниченной ответственностью "Пульс"	13290 ДПРУ	2010-12-02 04:00:00.0	2015-12-02 04:00:00.0	Действует
69	Магазин	Россия, Москва, улица Маршала Савицкого, 16	Общество с ограниченной ответственностью "ЭксКапитал"	12420 ДПРУ	2010-06-16 04:00:00.0	2015-06-16 04:00:00.0	Действует
70	Магазин	Россия, Москва, улица Маршала Савицкого, 8	Общество с ограниченной ответственностью "ВИКТОРИ"	11531 ДПРУ	2010-01-26 04:00:00.0	2015-01-26 04:00:00.0	Действует
71	Магазин	Россия, Москва, улица Маршала Савицкого, 20	Общество с ограниченной ответственностью "Каскад"	1121 ДТУ	2011-12-09 04:00:00.0	2016-12-09 04:00:00.0	Действует
72	Магазин	Россия, Москва, улица Маршала Савицкого, 24	Общество с ограниченной ответственностью "Комфорт-С"	12928 ДПРУ	2011-05-10 04:00:00.0	2015-09-28 04:00:00.0	Действует
73	Магазин	Россия, Москва, поселок Липки, Дачная улица, 7	Общество с ограниченной ответственностью "Лучи"	12288 ДПРУ	2010-05-06 04:00:00.0	2013-05-06 04:00:00.0	Действует
74	Магазин	Россия, Москва, Чечерский проезд, 102а	Общество с ограниченной ответственностью "Тебриз"	8323 ДПРУ	2008-10-29 04:00:00.0	2013-10-29 04:00:00.0	Действует
75	Склад-магазин	Россия, Москва, Варшавское шоссе, вл248с10	Общество с ограниченной ответственностью "Отдохни-77"	13273 ДПРУ	2010-12-10 04:00:00.0	2016-12-10 04:00:00.0	Действует
76	Магазин	Россия, Москва, Чечерский проезд, 92	Общество с ограниченной ответственностью "Скорпион"	496 ДТУ	2011-06-24 04:00:00.0	2013-06-24 04:00:00.0	Действует
77	Ресторан	Россия, Москва, Южнобутовская улица, 117	Общество с ограниченной ответственностью "Бумеранг"	9579 ДПРУ	2009-05-19 04:00:00.0	2014-05-19 04:00:00.0	Действует
78	Магазин	Россия, Москва, Южнобутовская улица, 52	Общество с ограниченной ответственностью "Искра"	12377 ДПРУ	2010-06-25 04:00:00.0	2013-06-25 04:00:00.0	Действует
79	Магазин	Россия, Москва, 2-я Мелитопольская улица, 21к2	Общество с ограниченной ответственностью "Алкомас"	9233 ДПРУ	2009-03-13 04:00:00.0	2014-03-13 04:00:00.0	Приостановлена
80	Магазин	Россия, Москва, 2-я Мелитопольская улица, 21к2	Общество с ограниченной ответственностью "МС Групп"	1185 ПРЗЮЗ	2005-12-27 04:00:00.0	2016-12-27 04:00:00.0	Действует
81	Магазин	Россия, Москва, Южнобутовская улица, 29	Общество с ограниченной ответственностью "АЛЬТЭКС"	696 ДТУ	2011-07-29 04:00:00.0	2013-07-29 04:00:00.0	Действует
82	Универсам	Россия, Москва, Южнобутовская улица, 29	Общество с ограниченной ответственностью "РичФор"	8369 ДПРУ	2009-09-11 04:00:00.0	2013-11-05 04:00:00.0	Действует
83	Магазин	Россия, Москва, 2-я Мелитопольская улица, 3а	Открытое акционерное общество "Седьмой Континент"	1867 ДТУ	2012-07-18 04:00:00.0	2017-07-18 04:00:00.0	Действует
84	Кафе	Россия, Москва, Южнобутовская улица, 42	Общество с ограниченной ответственностью "Калабуха"	2776 ДПРУ	2006-10-27 04:00:00.0	2013-10-27 04:00:00.0	Действует
85	Магазин	Россия, Москва, Южнобутовская улица, 23	Общество с ограниченной ответственностью "Клайм Трейд"	13017 ДПРУ	2010-10-22 04:00:00.0	2013-10-22 04:00:00.0	Действует
86	Магазин	Россия, Москва, улица Адмирала Лазарева, 62	Общество с ограниченной ответственностью "Елакс"	13064 ДПРУ	2010-10-19 04:00:00.0	2015-10-19 04:00:00.0	Действует
87	Магазин	Россия, Москва, улица Адмирала Лазарева, 62	Общество с ограниченной ответственностью "Центр"	11503 ДПРУ	2010-01-19 04:00:00.0	2013-01-19 04:00:00.0	Действует
88	Кафе	Россия, Москва, Чечерский проезд, вл3с1	Общество с ограниченной ответственностью "Кафе-Алиса. ру"	155 ДТУ	2011-04-21 04:00:00.0	2014-04-21 04:00:00.0	Действует
89	Магазин	Россия, Москва, улица Адмирала Лазарева, 58	Общество с ограниченной ответственностью "СОРТС-Торкас"	8850 ДПРУ	2009-02-09 04:00:00.0	2014-02-09 04:00:00.0	Действует
90	Магазин	Россия, Москва, улица Адмирала Лазарева, 43	Общество с ограниченной ответственностью "ОмегаПрезент"	11612 ДПРУ	2010-01-27 04:00:00.0	2015-01-27 04:00:00.0	Действует
91	Магазин	Россия, Москва, улица Бунинская Аллея, 2	Общество с ограниченной ответственностью "ЮРГА"	3414 ДПРУ	2006-12-20 04:00:00.0	2014-12-20 04:00:00.0	Действует
92	Универсам	Россия, Москва, улица Адмирала Лазарева, 52	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	12004 ДПРУ	2010-04-02 04:00:00.0	2015-04-02 04:00:00.0	Действует
93	Магазин	Россия, Москва, Синельниковская улица, 47	Общество с ограниченной ответственностью "Марков и КО"	11899 ДПРУ	2010-03-26 04:00:00.0	2015-03-26 04:00:00.0	Действует
94	Кафе	Россия, Москва, Синельниковская улица, 47	Общество с ограниченной ответственностью "Драфт"	7436 ДПРУ	2008-06-19 04:00:00.0	2013-06-19 04:00:00.0	Действует
95	Магазин	Россия, Москва, улица Адмирала Лазарева, 54к1	Общество с ограниченной ответственностью "ГЕРМАН"	12449 ДПРУ	2010-06-15 04:00:00.0	2013-06-15 04:00:00.0	Действует
96	Магазин	Россия, Москва, Южнобутовская улица, 17	Общество с ограниченной ответственностью "ПРОДТЕХСНАБ"	2704 ДТУ	2012-11-07 04:00:00.0	2017-11-07 04:00:00.0	На выдаче
97	Магазин	Россия, Москва, Харьковская улица, 2	Открытое акционерное общество "Седьмой Континент"	1868 ДТУ	2012-07-18 04:00:00.0	2017-07-18 04:00:00.0	Действует
98	Магазин	Россия, Москва, Харьковская улица, 4к3	Общество с ограниченной ответственностью "Агроаспект"	3811 ДПРУ	2007-01-19 04:00:00.0	2017-01-23 04:00:00.0	Действует
99	Магазин	Россия, Москва, Лебедянская улица, 17к1	Закрытое акционерное общество "МОСТОРГ-36"	8001 ДПРУ	2008-09-05 04:00:00.0	2013-09-05 04:00:00.0	Действует
100	Кафе	Россия, Москва, Бирюлевская улица, 38с3	Общество с ограниченной ответственностью "Родина"	1925 ДПРУ	2006-08-25 04:00:00.0	2014-08-25 04:00:00.0	Действует
101	Магазин	Россия, Москва, Бирюлевская улица, 38с3	Общество с ограниченной ответственностью "ИМПЕРИАЛ"	215 ДТУ	2011-04-27 04:00:00.0	2014-04-27 04:00:00.0	Действует
102	Кафе	Россия, Москва, улица Газопровод, 6ас2	Общество с ограниченной ответственностью "АММТ"	13414 ДПРУ	2010-12-29 04:00:00.0	2012-12-29 04:00:00.0	Действует
103	Магазин	Россия, Москва, Бирюлевская улица, 38	Общество с ограниченной ответственностью "Отдохни-77"	8180 ДПРУ	2008-10-03 04:00:00.0	2016-10-03 04:00:00.0	Действует
104	Кафе	Россия, Москва, Дорожная улица, 40	Закрытое акционерное общество "Эколекс компани"	8983 ДПРУ	2009-01-23 04:00:00.0	2014-01-23 04:00:00.0	Действует
105	Магазин	Россия, Москва, улица Газопровод, 6а	Общество с ограниченной ответственностью "Агроаспект"	10415 ДПРУ	2009-09-18 04:00:00.0	2014-09-18 04:00:00.0	Действует
106	Магазин	Россия, Москва, Бирюлевская улица, 37а	Общество с ограниченной ответственностью "Агроаспект"	6829 ДПРУ	2008-03-13 04:00:00.0	2013-03-13 04:00:00.0	Действует
107	Магазин	Россия, Москва, улица Газопровод, 15	Общество с ограниченной ответственностью "Регина"	10859 ДПРУ	2009-11-13 04:00:00.0	2014-11-13 04:00:00.0	Действует
108	Универсам "Авоська"	Россия, Москва, Медынская улица, 6б	Общество с ограниченной ответственностью "Авоська-два"	3053 ДПРУ	2006-11-22 04:00:00.0	2017-11-22 04:00:00.0	Действует
109	Магазин	Россия, Москва, Харьковский проезд, 9к1	Общество с ограниченной ответственностью "МЕГАС-СЕРВИС"	11279 ДПРУ	2009-12-25 04:00:00.0	2015-12-25 04:00:00.0	Действует
110	Магазин	Россия, Москва, Дорожная улица, 34к2	Общество с ограниченной ответственностью "ПИШИ - ЧИТАЙ"	7861 ДПРУ	2008-08-22 04:00:00.0	2016-08-22 04:00:00.0	Действует
111	Ресторан "Замок Огня"	Россия, Москва, Варшавское шоссе, 152к2	Общество с ограниченной ответственностью "ЛИДЕР"	9870 ДПРУ	2009-06-26 04:00:00.0	2014-06-26 04:00:00.0	Невостребована
112	Магазин	Россия, Москва, Варшавское шоссе, 152к2	Общество с ограниченной ответственностью "Агроаспект"	3338 ДПРУ	2006-12-19 04:00:00.0	2016-12-19 04:00:00.0	Действует
113	Кафе	Россия, Москва, Варшавское шоссе, 152к2	Общество с ограниченной ответственностью ФИРМА "ТАТЬЯНА"	1954 ДТУ	2012-06-29 04:00:00.0	2017-06-29 04:00:00.0	Действует
114	Магазин	Россия, Москва, улица Инессы Арманд, 6а	Общество с ограниченной ответственностью "ИНЕССА"	3233 ДПРУ	2006-12-14 04:00:00.0	2014-12-14 04:00:00.0	Действует
115	Магазин	Россия, Москва, Медынская улица, 2к1с2	Общество с ограниченной ответственностью "Фирма Мишелин"	7652 ДПРУ	2008-07-18 04:00:00.0	2013-07-18 04:00:00.0	Действует
116	Магазин	Россия, Москва, Востряковский проезд, 21к4	Общество с ограниченной ответственностью "Абрамян"	10173 ДПРУ	2009-08-07 04:00:00.0	2014-08-07 04:00:00.0	Действует
117	Магазин	Россия, Москва, Старобитцевская улица, 21к2	Общество с ограниченной ответственностью "Санторг"	3150 ДПРУ	2006-11-30 04:00:00.0	2012-11-30 04:00:00.0	Действует
118	Магазин	Россия, Москва, Старобитцевская улица, 21к2	Общество с ограниченной ответственностью "Агроаспект"	44234 ПРИУ	2005-09-16 04:00:00.0	2013-09-16 04:00:00.0	Действует
119	Магазин	Россия, Москва, Липецкая улица, 54/21	Общество с ограниченной ответственностью "АЛИНА"	10731 ДПРУ	2009-10-16 04:00:00.0	2014-10-16 04:00:00.0	Действует
120	Магазин № 15	Россия, Москва, Московская кольцевая автодорога, 33-й километр, вл6	Общество с ограниченной ответственностью "Синмо"	6625 ДПРУ	2008-02-07 04:00:00.0	2014-02-07 04:00:00.0	Действует
121	Магазин №35	Россия, Москва, Московская кольцевая автодорога, 33-й километр, вл6	Общество с ограниченной ответственностью "Альбион"	3413 ДПРУ	2006-12-22 04:00:00.0	2014-12-22 04:00:00.0	Действует
122	Магазин	Россия, Москва, Михневская улица, 4	Открытое акционерное общество "Седьмой Континент"	1688 ДТУ	2012-04-20 04:00:00.0	2017-04-20 04:00:00.0	Действует
123	Универсам	Россия, Москва, Булатниковская улица, 9	Общество с ограниченной ответственностью "КОПЕЙКА-МОСКВА"	3654 ДПРУ	2007-01-09 04:00:00.0	2017-01-16 04:00:00.0	Действует
124	Магазин	Россия, Москва, Булатниковская улица, 9	Закрытое акционерное общество "ТАНДЕР"	1171 ДТУ	2011-12-20 04:00:00.0	2016-12-20 04:00:00.0	Действует
125	Магазин	Россия, Москва, Булатниковская улица, 1к1	Общество с ограниченной ответственностью "Палыч и К"	10564 ДПРУ	2009-09-29 04:00:00.0	2017-09-29 04:00:00.0	Действует
126	Магазин	Россия, Москва, Дорожная улица, 60б	Общество с ограниченной ответственностью "ТРИНИТИ ВАЙН"	9163 ДПРУ	2009-02-25 04:00:00.0	2017-02-25 04:00:00.0	Действует
127	Магазин	Россия, Москва, Булатниковская улица, 1к1а	Общество с ограниченной ответственностью "КОНТРАКТ"	10749 ДПРУ	2009-10-16 04:00:00.0	2014-10-16 04:00:00.0	Действует
128	Магазин	Россия, Москва, Липецкая улица, 52к1	Общество с ограниченной ответственностью "МЕДЬВЕДЪ"	3031 ДПРУ	2006-11-24 04:00:00.0	2014-11-24 04:00:00.0	Действует
129	Магазин	Россия, Москва, Дорожная улица, 60	Общество с ограниченной ответственностью "Галеон Холдинг"	12365 ДПРУ	2010-05-20 04:00:00.0	2013-05-20 04:00:00.0	Действует
130	Магазин	Россия, Москва, Варшавское шоссе, 145к7	Общество с ограниченной ответственностью "Джи-Эн-Эн"	909 ДТУ	2011-09-30 04:00:00.0	2013-09-30 04:00:00.0	Действует
131	Кафе	Россия, Москва, Загорьевская улица, 10к2с2	Общество с ограниченной ответственностью "Сто услуг"	11507 ДПРУ	2010-01-15 04:00:00.0	2015-01-15 04:00:00.0	Действует
132	Магазин "Продукты"	Россия, Москва, Загорьевская улица, 10к2с2	Общество с ограниченной ответственностью "ЛАНЖЕРОН"	11005 ДПРУ	2009-11-19 04:00:00.0	2012-11-19 04:00:00.0	Действует
133	Магазин	Россия, Москва, Михневская улица, вл21а	Общество с ограниченной ответственностью "Компания НЮЭН"	1329 ДТУ	2012-01-20 04:00:00.0	2017-01-20 04:00:00.0	Действует
134	Магазин "Продукты"	Россия, Москва, Липецкая улица, 50с2	Общество с ограниченной ответственностью "Загорье"	7337 ДПРУ	2008-05-29 04:00:00.0	2016-05-29 04:00:00.0	Действует
135	Кафе	Россия, Москва, Московская кольцевая автодорога, 34-й километр, вл6	Общество с ограниченной ответственностью "Тандем"	12836 ДПРУ	2011-07-07 04:00:00.0	2015-09-10 04:00:00.0	Действует
136	Магазин	Россия, Москва, Булатниковский проезд, 14к7	Общество с ограниченной ответственностью "АЛЬТЭКС"	13481 ДПРУ	2010-12-29 04:00:00.0	2012-12-29 04:00:00.0	Действует
137	Универсам "Марка"	Россия, Москва, Булатниковский проезд, 14к7	Общество с ограниченной ответственностью "РичФор"	10517 ДПРУ	2009-09-23 04:00:00.0	2014-09-23 04:00:00.0	Действует
138	Магазин	Россия, Москва, Востряковский проезд, 7к2а	Общество с ограниченной ответственностью "На Горе"	524 ПРЮВЮ	2004-12-22 04:00:00.0	2014-12-22 04:00:00.0	Действует
139	Кафе	Россия, Москва, Загорьевская улица, 3к2	Общество с ограниченной ответственностью "Клеопатра - И"	13200 ДПРУ	2010-11-15 04:00:00.0	2015-11-15 04:00:00.0	Действует
140	Магазин	Россия, Москва, Загорьевская улица, 3к2	Общество с ограниченной ответственностью "Клеопатра - И"	13205 ДПРУ	2010-11-15 04:00:00.0	2015-11-15 04:00:00.0	Действует
