№ строки	Название объекта	Адрес	Наименование и ОПФ	Серия и номер лицензии	Дата начала срока действия лицензии	Дата окончания срока действия лицензии	Текущее состояние лицензии
1861	Кафе	Россия, Москва, улица Дмитрия Ульянова, 24	Общество с ограниченной ответственностью "Галерея-АЛЕКС"	3439 ДПРУ	2009-07-22 04:00:00.0	2012-12-26 04:00:00.0	Действует
1862	Кафе	Россия, Москва, улица Дмитрия Ульянова, 24	Общество с ограниченной ответственностью "ДОНИ"	2509 ДПРУ	2006-10-05 04:00:00.0	2013-10-11 04:00:00.0	Действует
1863	Магазин	Россия, Москва, 1-й Очаковский переулок, 10	Общество с ограниченной ответственностью "Шен"	9567 ДПРУ	2009-05-05 04:00:00.0	2014-05-05 04:00:00.0	Действует
1864	Магазин	Россия, Москва, улица Наташи Ковшовой, 5/2	Общество с ограниченной ответственностью "Рамз"	6288 ДПРУ	2007-12-14 04:00:00.0	2013-12-14 04:00:00.0	Действует
1865	Магазин	Россия, Москва, Коломенская улица, 5а	Общество с ограниченной ответственностью "Артес-торг"	9553 ДПРУ	2009-04-30 04:00:00.0	2017-05-05 04:00:00.0	Действует
1866	Кафе	Россия, Москва, улица Вавилова, 65	Общество с ограниченной ответственностью "КРАФТ"	11660 ДПРУ	2010-02-12 04:00:00.0	2015-02-12 04:00:00.0	Действует
1867	Кафе	Россия, Москва, Очаковское шоссе, 40с5	Общество с ограниченной ответственностью "Панорама Бар"	1375 ДТУ	2012-01-26 04:00:00.0	2017-01-26 04:00:00.0	Действует
1868	Магазин	Россия, Москва, улица Лобачевского, 98к1	Общество с ограниченной ответственностью "Апширон"	11238 ДПРУ	2009-12-15 04:00:00.0	2014-12-15 04:00:00.0	Приостановлена
1869	Магазин	Россия, Москва, проспект Вернадского, 21к2	Закрытое акционерное общество "Т и К ПРОДУКТЫ"	12790 ДПРУ	2010-08-31 04:00:00.0	2015-08-31 04:00:00.0	Действует
1870	Магазин	Россия, Москва, Судостроительная улица, 37/11	Общество с ограниченной ответственностью "НАГАТИНО"	10928 ДПРУ	2009-11-12 04:00:00.0	2014-11-12 04:00:00.0	Действует
1871	Магазин "Продукты"	Россия, Москва, Тарханская улица, 4к1	Закрытое акционерное общество "Элина - Центр"	9899 ДПРУ	2009-07-02 04:00:00.0	2014-07-02 04:00:00.0	Действует
1872	Универсам	Россия, Москва, Большая Очаковская улица, 32	Общество с ограниченной ответственностью "Инвестпроект"	11468 ДПРУ	2010-04-08 04:00:00.0	2013-01-07 04:00:00.0	Действует
1873	Универсам	Россия, Москва, Новочеремушкинская улица, 26к1	Закрытое акционерное общество "Торговый дом "ПЕРЕКРЕСТОК"	13322 ДПРУ	2010-11-29 04:00:00.0	2015-11-29 04:00:00.0	Действует
1874	Ресторан	Россия, Москва, проспект Андропова, 28к2	Общество с ограниченной ответственностью "МАРУКО"	12028 ДПРУ	2010-04-09 04:00:00.0	2015-04-09 04:00:00.0	Действует
1875	Магазин	Россия, Москва, Судостроительная улица, 1	Закрытое акционерное общество "Торкас"	4576 ДПРУ	2007-05-07 04:00:00.0	2013-05-07 04:00:00.0	Действует
1876	Магазин	Россия, Москва, Нахимовский проспект, 67к1	Общество с ограниченной ответственностью "МАРКИАНО"	12964 ДПРУ	2010-11-08 04:00:00.0	2013-11-08 04:00:00.0	Действует
1877	Магазин	Россия, Москва, Варшавское шоссе, вл32бс2	Общество с ограниченной ответственностью "СОЛ МАРКЕТ"	11183 ДПРУ	2009-12-30 04:00:00.0	2014-12-30 04:00:00.0	Действует
1878	Магазин	Россия, Москва, улица Марии Поливановой, 2/19	Общество с ограниченной ответственностью "МАРИЯ ПОЛИВАНОВА"	742 ДПРУ	2006-05-18 04:00:00.0	2014-05-18 04:00:00.0	Действует
1879	Кафе	Россия, Москва, улица Коштоянца, 1/83	Общество с ограниченной ответственностью Виктория ЛС"	7304 ДПРУ	2008-05-27 04:00:00.0	2013-05-27 04:00:00.0	Действует
1880	Кафе	Россия, Москва, улица Коштоянца, 1/83	Общество с ограниченной ответственностью "УГОЛ"	2215 ДТУ	2012-08-31 04:00:00.0	2013-08-31 04:00:00.0	Действует
1881	Бар	Россия, Москва, улица Кржижановского, 15к1	Общество с ограниченной ответственностью "Мобил МиБ"	12777 ДПРУ	2010-09-10 04:00:00.0	2014-09-10 04:00:00.0	Действует
1882	Магазин	Россия, Москва, улица Марии Ульяновой, 6	Общество с ограниченной ответственностью Торговый отдел "ЦВЕТОМ КРАСНОЕ"	11528 ДПРУ	2010-01-15 04:00:00.0	2015-01-15 04:00:00.0	Действует
1883	Магазин	Россия, Москва, Привольная улица, вл64с1	Закрытое акционерное общество "Петрол Комплекс Эквипмент Кампани"	288 ДПРУ	2009-04-10 04:00:00.0	2014-03-21 04:00:00.0	Действует
1884	Универсам	Россия, Москва, Новочеремушкинская улица, 24	Общество с ограниченной ответственностью фирма "РОСТОРГРЕКЛАМА"	2309 ДТУ	2012-09-13 04:00:00.0	2017-09-13 04:00:00.0	Действует
1885	Магазин	Россия, Москва, Судостроительная улица, 11к1	Общество с ограниченной ответственностью "НОВИНКИ - 2"	3757 ДПРУ	2007-01-19 04:00:00.0	2015-01-19 04:00:00.0	Действует
1886	Магазин	Россия, Москва, Рябиновая улица, 65с2	Общество с ограниченной ответственностью "КАЗУМЯН"	10321 ДПРУ	2009-08-28 04:00:00.0	2014-08-28 04:00:00.0	Действует
1887	Кафе	Россия, Москва, улица Дмитрия Ульянова, 51	Общество с ограниченной ответственностью "Чайхона №1"	7168 ДПРУ	2008-05-01 04:00:00.0	2013-05-01 04:00:00.0	Действует
1888	Магазин	Россия, Москва, Большая Черемушкинская улица, 30к2	Общество с ограниченной ответственностью "Лантана-И"	8599 ДПРУ	2008-12-12 04:00:00.0	2012-12-30 04:00:00.0	Действует
1889	Кафе	Россия, Москва, проспект Вернадского, 33	Общество с ограниченной ответственностью "ВОГО - 05"	712 ДТУ	2011-07-29 04:00:00.0	2013-07-29 04:00:00.0	Действует
1890	Кафе	Россия, Москва, Совхозная улица, 55	Общество с ограниченной ответственностью "Коляда"	6356 ДПРУ	2007-12-26 04:00:00.0	2012-12-26 04:00:00.0	Действует
1891	Магазин	Россия, Москва, Совхозная улица, 55	Общество с ограниченной ответственностью "ЮГ - Н"	1812 ДТУ	2012-05-25 04:00:00.0	2015-05-25 04:00:00.0	Действует
