№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы Специальная (коррекционная) школа-интернат № 4 для детей-сирот и детей, оставшихся без попечения родителей, с отклонениями в развитии	109316 г. Москва, ул.Мельникова, д.4	Бюджетное	Образовательное учреждение для детей-сирот и детей, оставшихся без попечения родителей	Специальная (коррекционная) школа-интернат для детей-сирот и детей, оставшихся без попечения родителей, с  ограниченными возможностями здоровья	263-06-64	http://www.4internat.ru/
2	Государственное бюджетное образовательное учреждение города Москвы детский сад № 2111 "Улыбка"	124683, Москва, Зеленоград, корп. 1510	Бюджетное	Дошкольное образовательное учреждение	Детский сад	(499) 738-80-27; (499) 717-31-88	http://d2111.zouo.ru/
3	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 463 имени Героя Советского Союза Д.Н.Медведева	115470 г.Москва,Судостроительная ул. д.10,к.1	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа	(499) 612-34-19	http://sch463.edusite.ru/
4	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка № 1207	115582 г. Москва, ул. Домодедовская, д. 24, корп. 7	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с углубленным изучением отдельных предметов	391-59-10	http://sch1207.edusite.ru/
5	Государственное бюджетное образовательное учреждение города Москвы Центр развития творчества детей и юношества "Тутти"	117519 г. Москва, ул. Красного Маяка д. 4а	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(495) 314-60-24; (495) 313-35-36; (495) 315-87-94; (495) 314-42-32	http://tutti-school.ru
6	Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1647	117647, г.Москва, ул. Академика Капицы, дом 10	Бюджетное	Дошкольное образовательное учреждение	Центр развития ребенка – детский сад	420-37-11	http://www.ds1647.ru
7	Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи	125310, г. Москва, Ангелов переулок, д. 2, корп. 2	Бюджетное	Образовательное учреждение дополнительного образования детей	Дворец	(495) 497-20-00	http://dt-ostrova.ru
8	Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным(еврейским)компонентом образования № 1871	101000 г. Москва, ул. Мясницкая, д.40	Бюджетное	Общеобразовательное учреждение	Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования	730-87-51	
9	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "Рязанский"	109428, г. Москва, ул. Зарайская, д. 70	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	171-24-87	http://cdtryazansky.uvuo.ru
10	Государственное бюджетное образовательное учреждение города Москвы центр внешкольной работы	127422, г. Москва, ул. Тимирязевская, д. 28	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	977-45-91	http://cvr-dubki.ru
11	Государственное бюджетное образовательное учреждение города Москвы Краснопресненская детская художественная школа	123056 г. Москва, ул. Красина, д.27	Бюджетное	Образовательное учреждение дополнительного образования детей	Школа	251-49-21	http://www.kdhsh.ru
12	Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр	117545 г. Москва,ул. Дорожная д.18 А	Бюджетное	Образовательное учреждение дополнительного образования детей	Детско-юношеский центр	381-83-84	http://duc.edusite.ru
13	Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида с приоритетным осуществлением деятельности по художественно-эстетическому развитию детей № 1431	119313, г. Москва, Ленинский проспект, дом 88А	Бюджетное	Дошкольное образовательное учреждение	Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей	138-03-32	http://www.dou1431.ru
14	Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2038	117628, г.Москва, ул.Коктебельская, д.2А	Бюджетное	Дошкольное образовательное учреждение	Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей	711-50-90	http://ds2038.ru/
15	Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр "Восток"	124575, г. Москва, Зеленоград, корп. 907	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 732-95-11	http://vostok.zouo.ru
16	Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр "Союз"	124460, г. Москва, Зеленоград, корп. 1108	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 710-73-11; (499) 731-53-03	http://souz.zouo.ru
17	Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции "Восточный"	105318, г.Москва ул.Щербаковская д.20-24	Бюджетное	Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи	Центр психолого-педагогической реабилитации и коррекции	(499) 369-73-13	http://www.cpprik.ru
18	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 5	127322, город Москва, улица Фонвизина, дом  14 корпус 1	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	(495) 610-13-85; (495) 610-19-28	http://www.ds5.mskobr.ru
19	Государственное бюджетное образовательное учреждение города Москвы детский оздоровительно-образовательный центр "Парк Пресненский"	123342 г. Москва, ул. Дружинниковская, дом. 9,стр.2	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(495) 605-74-15; (495) 605-46-96; (495) 605-64-90; (495) 605-65-83	http://www.ducpresnia.ru
20	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "Южнопортовый"	109432, г. Москва, ул. Трофимова, дом 15а	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(495) 679-24-75; (495) 679-18-10; (495) 677-65-24; (495) 677-65-23	http://cdtugnoportovy.uvuo.ru
21	Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2165	117628, г.Москва, ул.Ратная, д.4А	Бюджетное	Дошкольное образовательное учреждение	Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей	711-16-09	http://www.dou2165.ru
