№ строки	Название объекта ремонта	Адрес	Дата начала работ	Дата окончания работ
1555	Ремонт фасадов ЦАО и исторической часть города	Трёхпрудный пер., д.11/13, стр.1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
1556	Ремонт фасадов ЦАО и исторической часть города	Брюсов пер., д.12, стр.1	2012-06-21 04:00:00.0	2012-12-31 04:00:00.0
1557	Ремонт фасадов ЦАО и исторической часть города	Глинищевский пер., д.5/7, стр.1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
1558	Ремонт фасадов ЦАО и исторической часть города	Гнездниковский Б. пер., д.10, стр.1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
1559	Ремонт фасадов ЦАО и исторической часть города	Гнездниковский М. пер., д.10/25	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
1560	Ремонт фасадов ЦАО и исторической часть города	Денежный пер., д.9/5	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
1561	Ремонт фасадов ЦАО и исторической часть города	Мансуровский пер., д. 6, стр. 1	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
1562	Ремонт фасадов ЦАО и исторической часть города	Плотников пер., д. 10/28, стр. 1	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
1563	АУУ / УУТЭ	Новочерёмушкинская ул. д.57 к.2	2012-08-09 04:00:00.0	2012-12-31 04:00:00.0
1564	Ремонт фасадов ЦАО и исторической часть города	Афанасьевский Б. пер., д. 3, стр. 3	2012-06-29 04:00:00.0	2012-12-31 04:00:00.0
1565	Ремонт фасадов ЦАО и исторической часть города	Машкова ул., д.9, стр.1	2012-07-02 04:00:00.0	2012-12-31 04:00:00.0
1566	Лифты	Перовское ш., д.18/1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1567	Лифты	Барклая ул., д.7/1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
1568	Фасады с облегченной кладкой	Хромова ул., д.5	2012-08-20 04:00:00.0	2012-12-31 04:00:00.0
1569	Лифты	Профсоюзная ул. д.156 к.5	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
1570	Ремонт фасадов ЦАО и исторической часть города	Сергиевский Большой пер., д.5	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
1571	Лифты	Сумская ул., д.6, к.4	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1572	Фасады с облегченной кладкой	Петрозаводская ул., д.28, к.1	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
1573	Лифты	Кастанаевская ул., д.35, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1574	Лифты	Филёвская Малая ул., д.8, к.4	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
1575	Подъемные платформы и работы по ММГН	Ангелов пер., д.6, к.3	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
1576	Лифты	Героев-Панфиловцев ул., д.22, к.3	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
1577	Подъемные платформы и работы по ММГН	Митинская ул., д.48	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
1578	Лифты	Таллинская ул., д.2	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
