№ строки	Название объекта ремонта	Адрес	Дата начала работ	Дата окончания работ
1	Лифты	Мусы Джалиля ул., д.5, к.4	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
2	Подъемные платформы и работы по ММГН	Новомарьинская ул., д.5, к.1	2012-07-20 04:00:00.0	2012-07-27 04:00:00.0
3	Лифты	Задонский пр., д.16, к.2	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
4	Лифты	Шипиловская ул., д.55	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
5	Лифты	Шипиловская ул., д.55	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
6	Лифты	Мусы Джалиля ул., д.7, к.6	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
7	Лифты	Кустанайская ул., д.6, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
8	Лифты	3-й квартал Капотни, д.12	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
9	Лифты	3-й квартал Капотни, д.12	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
10	Лифты	Серпуховский Вал ул., д.9	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
11	Лифты	Пересветов пер., д.5	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
12	Лифты	Вернадского просп., д.89, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
13	Лифты	Карамзина пр. д.9 к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
14	Лифты	Ореховый б-р, д.11, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
15	Подъемные платформы и работы по ММГН	Городецкая ул., д.8, к.3	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
16	Лифты	Елецкая ул., д.23	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
17	Лифты	Ореховый пр., д.15	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
18	Лифты	Булатниковский пр., д.14, к.6	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
19	Лифты	Булатниковский пр., д.16, к.1	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
20	Лифты	Михневский пр., д.4	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
21	Лифты	Лебедянская ул., д.19	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
22	Подъемные платформы и работы по ММГН	Липецкая ул., д.17	2012-07-18 04:00:00.0	2012-12-31 04:00:00.0
23	Лифты	Липецкая ул., д.17	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
24	Лифты	Липецкая ул., д.11	2011-12-08 04:00:00.0	2011-12-31 04:00:00.0
25	Лифты	Липецкая ул., д.15	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
26	Лифты	Шипиловский пр., д.61, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
27	Лифты	Домодедовская ул., д.38, к.1	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
28	Лифты	Каширское ш., д.132, к.1	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
29	Лифты	Каширское ш., д.130	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
30	Лифты	Ясеневая ул., д.10, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
31	Капитальный ремонт	Сиреневый б-р, д.1, к.4	2012-08-15 04:00:00.0	2012-12-31 04:00:00.0
32	Лифты	Прядильная 2-я ул., д.5	2011-12-16 04:00:00.0	2012-12-31 04:00:00.0
33	Лифты	Профсоюзная ул. д.130 к.2	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
34	Лифты	Островитянова ул. д.20	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
35	Лифты	Островитянова ул. д.23 к.2	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
36	Лифты	Островитянова ул. д.26 к.2	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
37	Лифты	Вильнюсская ул. д.3 к.1	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
38	Лифты	Академика Челомея ул. д.8 к.2	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
39	Лифты	Тарусская ул. д.4	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
40	Лифты	Миклухо-Маклая ул. д.57 к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
41	Лифты	Введенского ул. д.22 к.2	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
42	Лифты	Литовский б-р д.26	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
43	Подъемные платформы и работы по ММГН	Ясногорская ул. д.3	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
44	Лифты	5-й квартал Капотни, д.16	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
45	Лифты	Алтайская ул., д.27	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
46	Лифты	Алтайская ул., д.29	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
47	Капитальный ремонт	Сиреневый б-р, д.70	2012-08-15 04:00:00.0	2012-12-31 04:00:00.0
48	Лифты	Сталеваров ул., д.4, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
49	Лифты	Сталеваров ул., д.4, к.4	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
50	Лифты	Полянка Малая ул., д.8	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
51	Лифты	Монетчиковский 1-й пер., д.8	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
52	Ремонт фасадов ЦАО и исторической часть города	Головин Большой пер., д.13	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
53	Ремонт фасадов ЦАО и исторической часть города	Пушкарёв пер., д.15	2012-07-02 04:00:00.0	2012-12-31 04:00:00.0
54	Ремонт фасадов ЦАО и исторической часть города	Пушкарёв пер., д.17	2012-07-02 04:00:00.0	2012-12-31 04:00:00.0
55	Ремонт фасадов ЦАО и исторической часть города	Пушкарёв пер., д.19	2012-07-02 04:00:00.0	2012-12-31 04:00:00.0
56	Ремонт фасадов ЦАО и исторической часть города	Сретенский б-р, д.5	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
57	Подъемные платформы и работы по ММГН	Гиляровского ул., д.48	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
58	Лифты	Озерковская наб., д.2/1	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
59	Лифты	Переяславская Большая ул., д.13	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
60	Лифты	Спасская Большая ул., д.33	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
61	Лифты	Садовая-Черногрязская ул., д.3б	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
62	Лифты	Алтуфьевское ш., д.78	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
63	Лифты	Алтуфьевское ш., д.26в	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
64	Лифты	Паустовского ул. д.8 к.3	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
65	Лифты	Шенкурский пр., д.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
66	Лифты	Шенкурский пр., д.10	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
67	Лифты	Шенкурский пр., д.6	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
68	Лифты	Шенкурский пр., д.14	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
69	Лифты	Алтуфьевское ш., д.58б	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
70	Лифты	Каргопольская ул., д.12	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
71	Лифты	Лескова ул., д.5	2012-07-30 04:00:00.0	2012-12-31 04:00:00.0
72	Лифты	Лескова ул., д.9б	2012-07-30 04:00:00.0	2012-12-31 04:00:00.0
73	Лифты	Плещеева ул., д.1	2012-07-30 04:00:00.0	2012-12-31 04:00:00.0
74	Лифты	Якушкина пр., д.3	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
75	Лифты	Плещеева ул., д.10	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
76	Лифты	Якушкина пр., д.8	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
77	Лифты	Лескова ул., д.17	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
78	Лифты	Лескова ул., д.19	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
79	Лифты	Белозерская ул., д.17	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
80	Лифты	Северный б-р, д.21а	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
81	Подъемные платформы и работы по ММГН	Плещеева ул., д.30	2012-07-18 04:00:00.0	2012-12-31 04:00:00.0
82	Лифты	Алтуфьевское ш., д.8а	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
83	Лифты	Ясный пр., д.26, к.3	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
84	Подъемные платформы и работы по ММГН	Заповедная ул., д.2	2012-03-21 04:00:00.0	2012-12-31 04:00:00.0
85	Лифты	Дежнёва пр., д.27, к.3	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
86	Капитальный ремонт	Полярная ул., д.13, к.3	2012-08-15 04:00:00.0	2012-12-31 04:00:00.0
87	Лифты	Дежнёва пр., д.25, к.2	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
88	Лифты	Заповедная ул., д.14	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
89	Лифты	Молодцова ул., д.1в	2012-07-30 04:00:00.0	2012-12-31 04:00:00.0
90	Подъемные платформы и работы по ММГН	Чичерина ул., д.10, к.1	2012-07-18 04:00:00.0	2012-12-31 04:00:00.0
91	Лифты	Шокальского пр., д.30б	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
92	Лифты	Студёный пр., д.4, к.4	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
93	Лифты	Сухонская ул., д.15	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
94	Лифты	Яблочкова ул., д.35	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
95	Лифты	Самаркандский б-р, д.6, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
96	Лифты	Косинская ул., д.26, к.2	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
97	Лифты	Косинская ул., д.26, к.1	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
98	Лифты	Косинская ул., д.24, к.1	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
99	Лифты	Косинская Большая ул., д.16, к.2	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
100	Подъемные платформы и работы по ММГН	Авиаконструктора Миля ул., д.7	2012-07-20 04:00:00.0	2012-07-27 04:00:00.0
101	Лифты	Дмитровское ш., д.147, к.2	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
102	Лифты	Кирова пр., д.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
103	Лифты	Кирова пр., д.4	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
104	Лифты	Совхозная ул., д.3	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
105	Лифты	Совхозная ул., д.3	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
106	Лифты	40 лет Октября  просп., д.3	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
107	Лифты	40 лет Октября  просп., д.40	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
108	Лифты	Краснодонская ул., д.53	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
109	Лифты	Окская ул., д.16, к.2	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
110	Лифты	Ставропольская ул., д.32	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
111	Лифты	Ореховый б-р, д.39, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
112	Лифты	Мусы Джалиля ул., д.38, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
113	Лифты	Тихорецкий б-р, д.14, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
114	Лифты	Мусы Джалиля ул., д.5, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
115	Лифты	Тихорецкий б-р, д.14, к.1	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
116	Лифты	Тихорецкий б-р, д.12, к.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
117	Лифты	Академика Скрябина ул., д.10	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
118	Лифты	Хлобыстова ул., д.8, к.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
119	Лифты	Ташкентская ул., д.14, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
120	Лифты	Мусы Джалиля ул., д.4, к.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
121	Лифты	Шипиловская ул., д.50, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
122	Лифты	Мусы Джалиля ул., д.2, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
123	Лифты	Мусы Джалиля ул., д.34, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
124	Лифты	Мусы Джалиля ул., д.34, к.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
125	Лифты	Ореховый б-р, д.39, к.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
126	Лифты	Мусы Джалиля ул., д.7, к.4	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
127	Лифты	Мусы Джалиля ул., д.5, к.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
128	Ремонт фасадов ЦАО и исторической часть города	Машкова ул., д.17	2012-07-02 04:00:00.0	2012-12-31 04:00:00.0
129	Ремонт фасадов ЦАО и исторической часть города	Земляной Вал ул., д.10	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
130	Ремонт фасадов ЦАО и исторической часть города	Ленинский просп., д.26	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
131	Ремонт фасадов ЦАО и исторической часть города	Ленинский просп., д.24	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
132	Лифты	Ленинский просп., д.20	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
133	Ремонт фасадов ЦАО и исторической часть города	Ленинский просп., д.20	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
134	Ремонт фасадов ЦАО и исторической часть города	Ленинский просп., д.18	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
135	Лифты	Севастопольский просп. д.15 к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
136	Лифты	Нагорная ул. д.17 к.3	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
137	Лифты	Нагорная ул. д.17 к.3	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
138	Капитальный ремонт	Серпуховский Вал ул., д.30	2012-08-15 04:00:00.0	2012-12-31 04:00:00.0
139	Лифты	Нагорная ул. д.15 к.8	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
140	Лифты	Шухова ул., д.21	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
141	Лифты	Донская ул., д.5	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
142	Ремонт фасадов ЦАО и исторической часть города	Мерзляковский пер., д.14	2012-06-21 04:00:00.0	2012-12-31 04:00:00.0
143	Ремонт фасадов ЦАО и исторической часть города	Бронная Большая ул., д.8	2012-06-27 04:00:00.0	2012-12-31 04:00:00.0
144	Подъемные платформы и работы по ММГН	Вильнюсская ул. д.8 к.2	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
145	Подъемные платформы и работы по ММГН	Венёвская ул. д.25	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
146	Лифты	Тихвинская ул., д.9	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
147	Ремонт фасадов ЦАО и исторической часть города	Палашёвский Малый пер., д.4	2012-07-02 04:00:00.0	2012-12-31 04:00:00.0
148	Лифты	Брюсов пер., д.4	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
149	Ремонт фасадов ЦАО и исторической часть города	Страстной б-р, д.12	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
150	Лифты	Октябрьская ул., д.5	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
151	Лифты	Каховка ул. д.33 к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
152	Лифты	Новгородская ул., д.16	2012-04-13 04:00:00.0	2012-12-31 04:00:00.0
153	Лифты	Алтуфьевское ш., д.18в	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
154	Ремонт фасадов ЦАО и исторической часть города	Денежный пер., д.4	2012-06-26 04:00:00.0	2012-12-31 04:00:00.0
155	Лифты	Гагаринский пер., д.26	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
156	Лифты	Спиридоновка ул., д.19	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
157	Лифты	Спиридоновка ул., д.19	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
158	Лифты	Власьевский Малый пер., д.3	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
159	Лифты	Власьевский Малый пер., д.6	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
160	Лифты	Тверская-Ямская 2-я ул., д.54	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
161	Лифты	Спиридоновка ул., д.12	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
162	Ремонт фасадов ЦАО и исторической часть города	Спиридоновка ул., д.10	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
163	Ремонт фасадов ЦАО и исторической часть города	Остоженка ул., д.47	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
164	Лифты	Спиридоновка ул., д.8	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
165	Лифты	Хлебный пер., д.9	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
166	Ремонт фасадов ЦАО и исторической часть города	Афанасьевский Большой пер., д.22	2012-06-29 04:00:00.0	2012-12-31 04:00:00.0
167	Лифты	Трёхпрудный пер., д.8	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
168	Ремонт фасадов ЦАО и исторической часть города	Никитский б-р, д.25	2012-06-28 04:00:00.0	2012-12-31 04:00:00.0
169	Лифты	Академика Миллионщикова ул., д.14, к.1	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
170	Лифты	Кожевнический 2-й пер., д.1	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
171	Лифты	Нагатинская наб., д.18	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
172	Лифты	Чертановская ул., д.34, к.1	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
173	Лифты	Сумской пр., д.21, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
174	Подъемные платформы и работы по ММГН	Чертановская ул., д.32, к.1	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
175	Подъемные платформы и работы по ММГН	Чертановская ул., д.30, к.1	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
176	Лифты	Сумской пр., д.21, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
177	Лифты	Сумской пр., д.21, к.4	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
178	Лифты	Чертановская ул., д.33, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
179	Лифты	Чертановская ул., д.39, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
180	Лифты	Чертановская ул., д.31, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
181	Лифты	Чертановская ул., д.41, к.3	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
182	Лифты	Балаклавский просп. д.20 к.3	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
183	Лифты	Ярославское ш., д.8, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
184	Лифты	Короленко ул., д.6а	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
185	Лифты	Халтуринская ул., д.10, к.1	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
186	Лифты	Халтуринская ул., д.4, к.2	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
187	Лифты	Черкизовская Большая ул., д.20, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
188	Лифты	Сыромятническая Верхняя ул., д.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
189	Подъемные платформы и работы по ММГН	Николоямский пер., д.2	2012-08-13 04:00:00.0	2012-12-31 04:00:00.0
190	Лифты	Старослободская ул., д.14	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
191	Лифты	Библиотечная ул., д.13	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
192	Лифты	Сокольнический Вал ул., д.40	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
193	Лифты	Библиотечная ул., д.17	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
194	Лифты	Волочаевская ул., д.13	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
195	Лифты	Татищева ул., д.3	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
196	Лифты	Мытная ул., д.48	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
197	Лифты	Люсиновская ул., д.53	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
198	Лифты	Каширское ш., д.4, к.3	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
199	Лифты	Варшавское ш., д.55, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
200	Лифты	Шоссейная ул. (рн. Печатники), д.58, к.3	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
201	Лифты	Шоссейная ул. (рн. Печатники), д.46, к.1	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
202	Лифты	Шоссейная ул. (рн. Печатники), д.22	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
203	Лифты	Гурьянова ул., д.5	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
204	Лифты	Гурьянова ул., д.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
205	Подъемные платформы и работы по ММГН	Шоссейная ул. (рн. Печатники), д.51	2012-07-20 04:00:00.0	2012-07-27 04:00:00.0
206	Лифты	Полбина ул., д.24	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
207	Подъемные платформы и работы по ММГН	Полбина ул., д.12	2012-07-20 04:00:00.0	2012-07-27 04:00:00.0
208	Лифты	Саратовская ул., д.3, к.1	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
209	Лифты	Грайвороновская ул., д.14, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
210	Лифты	Грайвороновская ул., д.18, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
211	Лифты	Бакинская ул., д.29	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
212	Лифты	Кавказский б-р, д.29, к.4	2011-12-08 04:00:00.0	2012-12-31 04:00:00.0
213	Лифты	Маршала Захарова ул., д.10, к.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
214	Лифты	Шипиловский пр., д.41, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
215	Лифты	Балаклавский просп. д.20 к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
216	Лифты	Красного Маяка ул., д.4, к.2	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
217	Лифты	Сумской пр., д.13, к.1	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
218	Лифты	Сумской пр., д.13, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
219	Лифты	Кировоградская ул., д.24, к.4	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
220	Лифты	Сивашская ул. д.6 к.2	2012-07-17 04:00:00.0	2012-12-31 04:00:00.0
221	Лифты	Чертановская ул., д.11, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
222	Лифты	Азовская ул. д.4	2012-07-11 04:00:00.0	2012-12-31 04:00:00.0
223	Лифты	Кировоградская ул., д.24, к.3	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
224	Лифты	Кировоградская ул., д.24, к.1	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
225	Лифты	Кировоградская ул., д.24, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
226	Лифты	Сумская ул., д.6, к.3	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
227	Лифты	Сумская ул., д.6, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
228	Лифты	Кировоградская ул., д.16, к.1	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
229	Лифты	Чертановская ул., д.61, к.2	2012-07-23 04:00:00.0	2012-12-31 04:00:00.0
230	Лифты	Академика Янгеля ул., д.4	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
231	Лифты	Сумской пр., д.5, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
232	Лифты	Черноморский б-р, д.7а	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
233	Лифты	Фруктовая ул., д.16	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
234	Подъемные платформы и работы по ММГН	Кировоградская ул., д.10, к.1	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
235	Лифты	Кировоградская ул., д.10, к.1	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
236	Лифты	Симферопольский б-р д.2в	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
237	Лифты	Болотниковская ул., д.4, к.2	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
238	Лифты	Болотниковская ул., д.4, к.1	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
239	Лифты	Болотниковская ул., д.4, к.1	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
240	Лифты	Академика Миллионщикова ул., д.31	2012-08-07 04:00:00.0	2012-12-31 04:00:00.0
241	Подъемные платформы и работы по ММГН	Академика Миллионщикова ул., д.31	2012-07-20 04:00:00.0	2012-12-31 04:00:00.0
242	Лифты	Академика Миллионщикова ул., д.31	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
243	Лифты	Академика Миллионщикова ул., д.31	2011-12-06 04:00:00.0	2012-12-31 04:00:00.0
244	Лифты	Коломенский пр., д.8, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
245	Лифты	Коломенский пр., д.8, к.3	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
246	Лифты	Коломенский пр., д.8, к.2	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
247	Лифты	Парковая 7-я ул., д.15, к.1	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
248	Лифты	Парковая 9-я ул., д.42	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
249	Лифты	Уральская ул., д.6, к.8	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
250	Лифты	Уральская ул., д.23, к.2	2011-12-16 04:00:00.0	2012-12-31 04:00:00.0
251	Лифты	Байкальская ул., д.38, к.3	2011-12-16 04:00:00.0	2012-12-31 04:00:00.0
252	Утепление фасадов	Фортунатовская ул., д.15	2011-12-08 04:00:00.0	2012-05-30 04:00:00.0
253	Лифты	Щербаковская ул., д.58а	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
254	Лифты	Щербаковская ул., д.58а	2012-07-19 04:00:00.0	2012-12-31 04:00:00.0
255	Лифты	Мастеровая ул., д.8	2012-04-10 04:00:00.0	2012-12-31 04:00:00.0
256	Лифты	Первомайская ул., д.5	2012-04-12 04:00:00.0	2012-12-31 04:00:00.0
