№ строки	Название	Адрес	Дата начала строительства	Дата окончания строительства
1	Места стоянки легковых такси (1 и 2 этап)	УДС Суздальская ул. д.24	20120502	20121231
2	Места стоянки легковых такси (1 и 2 этап)	УДС Каховка ул. д.29а	20120502	20121231
3	Места стоянки легковых такси (1 и 2 этап)	УДС Севастопольский просп. д.11е	20120502	20121231
4	Места стоянки легковых такси (1 и 2 этап)	УДС Севастопольский просп. д.24б	20120502	20121231
5	Места стоянки легковых такси (1 и 2 этап)	УДС Алтуфьевское ш. д.86 к.1	20120502	20121231
6	Места стоянки легковых такси (1 и 2 этап)	УДС Алтуфьевское ш. д.88а	20120502	20121231
7	Места стоянки легковых такси (1 и 2 этап)	УДС Лескова ул. д.18а	20120502	20121231
8	Места стоянки легковых такси (1 и 2 этап)	УДС Хачатуряна ул. д.8	20120502	20121231
9	Места стоянки легковых такси (1 и 2 этап)	УДС Зелёный просп., д.22	20120502	20121231
10	Места стоянки легковых такси (1 и 2 этап)	УДС Дмитровское ш., д.26	20120502	20121231
11	Места стоянки легковых такси (1 и 2 этап)	УДС Масловка Нижняя ул., д.10	20120502	20121231
12	Места стоянки легковых такси (1 и 2 этап)	УДС Хорошёвское ш., д.37	20120502	20121231
13	Места стоянки легковых такси (1 и 2 этап)	УДС Преображенская пл., д.11	20120502	20121231
14	Места стоянки легковых такси (1 и 2 этап)	УДС Коровинское ш., д.16	20120502	20121231
15	Места стоянки легковых такси (1 и 2 этап)	УДС Путейская ул., д.2 к.2	20120502	20121231
16	Места стоянки легковых такси (1 и 2 этап)	УДС Череповецкая ул., д.1	20120502	20121231
17	Места стоянки легковых такси (1 и 2 этап)	УДС Городецкая ул., д.5а	20120502	20121231
18	Места стоянки легковых такси (1 и 2 этап)	УДС Линии Октябрьской Железной Дороги ул., д.1 с.4	20120502	20121231
19	Места стоянки легковых такси (1 и 2 этап)	УДС Зелёный просп., д.21	20120502	20121231
20	Места стоянки легковых такси (1 и 2 этап)	УДС Савеловского вокзала пл., д.2	20120502	20121231
21	Места стоянки легковых такси (1 и 2 этап)	УДС Будённого просп., д.53	20120502	20121231
22	Места стоянки легковых такси (1 и 2 этап)	УДС Сокольническая пл., д.9а	20120502	20121231
23	Места стоянки легковых такси (1 и 2 этап)	УДС Ленинградское ш., д.11	20120502	20121231
24	Места стоянки легковых такси (1 и 2 этап)	УДС Щёлковское ш., д.100	20120502	20121231
25	Места стоянки легковых такси (1 и 2 этап)	УДС Юшуньская Малая ул. вл.1в с.2	20120502	20121231
26	Места стоянки легковых такси (1 и 2 этап)	УДС Череповецкая ул., д.17	20120502	20121231
27	Места стоянки легковых такси (1 и 2 этап)	УДС Менжинского ул., д.36	20120502	20121231
28	Места стоянки легковых такси (1 и 2 этап)	УДС Рижская пл., д.3	20120502	20121231
29	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., р-н Силино, вдоль ул. Болдов ручей	20120614	20121231
30	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., пересечение Центральный пр-т - Проезды 4900-4914	20120614	20121231
31	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Филаретовская ул.	20120613	20121231
32	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., пересечение Центральный пр-т-Савелкинский пр.	20120614	20121231
33	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., 4-ый Западный проезд	20120614	20121231
34	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Объездная дорога 18 микрорайон	20120613	20121231
35	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Привокзальная площадь	20120613	20121231
36	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Зеленоград г., Проезд 4921	20120613	20121231
37	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Молодогвардейская ул., д.57 ООТ Предприятие ВОС	20120628	20121231
38	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Новопеределкинская ул., -Боровское ш. в сторону МКАД	20120609	20121231
39	Передаваемые проекты ЗАО и ЗелАО,СВАО	УДС Скульптора Мухиной ул., - Чоботовская ул. (переходно-скоростная полоса)	20120613	20121231
40	Выполнение локальных мероприятий ЦАО	УДС Щепкина ул.	20120706	20121231
41	Обустройство ТПУ	ТПУ м. Речной вокзал	20120419	20121231
42	Обустройство ТПУ	ТПУ м. Алтуфьево	20120419	20121231
43	Обустройство ТПУ	ТПУ м. ВДНХ	20120419	20121231
44	Обустройство ТПУ	ТПУ м. Водный стадион	20120420	20121231
45	Обустройство ТПУ	ТПУ м. Войковская	20120419	20121231
46	Места стоянки легковых такси (1 и 2 этап)	УДС Зеленый просп. д.24-26	20120502	20121231
47	Места стоянки легковых такси (1 и 2 этап)	УДС Юности ул. д.5	20120502	20121231
48	Места стоянки легковых такси (1 и 2 этап)	УДС Дмитровское ш. д.49	20120502	20121231
49	Места стоянки легковых такси (1 и 2 этап)	УДС Бутырская ул. д.9	20120502	20121231
50	Места стоянки легковых такси (1 и 2 этап)	УДС Костромская ул. д.17	20120502	20121231
51	Места стоянки легковых такси (1 и 2 этап)	УДС Тимирязевская ул. д.17	20120502	20121231
52	Места стоянки легковых такси (1 и 2 этап)	УДС Яблочкова ул. д.19	20120502	20121231
53	Места стоянки легковых такси (1 и 2 этап)	УДС Беговая ул. д.22	20120502	20121231
54	Места стоянки легковых такси (1 и 2 этап)	УДС Хорошевское ш. д.39	20120502	20121231
55	Места стоянки легковых такси (1 и 2 этап)	УДС Хорошевское ш. д.82	20120502	20121231
56	Места стоянки легковых такси (1 и 2 этап)	УДС Хорошевское ш. д.1	20120502	20121231
57	Места стоянки легковых такси (1 и 2 этап)	УДС Хорошевское ш. д.22	20120502	20121231
58	Места стоянки легковых такси (1 и 2 этап)	УДС Автовокзал Щелковский	20120502	20121231
59	Места стоянки легковых такси (1 и 2 этап)	УДС Возле касс стадиона Локомотив	20120502	20121231
60	Места стоянки легковых такси (1 и 2 этап)	УДС Сокольническая пл. д.4а	20120502	20121231
61	Места стоянки легковых такси (1 и 2 этап)	УДС Измайловский Вал, фабрика Красная заря	20120502	20121231
62	Места стоянки легковых такси (1 и 2 этап)	УДС Бухвостова ул. д.12	20120502	20121231
63	Места стоянки легковых такси (1 и 2 этап)	УДС Измайловское ш. д.71 с.1б	20120502	20121231
64	Места стоянки легковых такси (1 и 2 этап)	УДС Первомайская ул. д.106-110	20120502	20121231
65	Места стоянки легковых такси (1 и 2 этап)	УДС Б. Академическая ул. д.35	20120502	20121231
66	Места стоянки легковых такси (1 и 2 этап)	УДС Дмитровское ш. д.89	20120502	20121231
67	Места стоянки легковых такси (1 и 2 этап)	УДС Зеленоградская ул. д.15	20120502	20121231
68	Места стоянки легковых такси (1 и 2 этап)	УДС Коровинское ш. д.23	20120502	20121231
69	Места стоянки легковых такси (1 и 2 этап)	УДС Михалковская ул. д.4	20120502	20121231
70	Места стоянки легковых такси (1 и 2 этап)	УДС Литовский б-р д.22	20120502	20121231
71	Места стоянки легковых такси (1 и 2 этап)	УДС Выход из станции метро Динамо возле Московской аллеи напротив Ленинградский просп., д. 36 стр.39	20120502	20121231
72	Места стоянки легковых такси (1 и 2 этап)	УДС Ленинградский просп. д.37 к.6	20120502	20121231
73	Места стоянки легковых такси (1 и 2 этап)	УДС Ленинградское ш. д.25	20120502	20121231
74	Места стоянки легковых такси (1 и 2 этап)	УДС Мира просп. д.97	20120502	20121231
75	Места стоянки легковых такси (1 и 2 этап)	УДС Фестивальная ул. д.2б	20120502	20121231
76	Места стоянки легковых такси (1 и 2 этап)	УДС Фестивальная ул. д.7	20120502	20121231
77	Места стоянки легковых такси (1 и 2 этап)	УДС в кармане возле входа на платформу Петровско-Разумовское, напртоив остановки Мосгортранса	20120502	20121231
