№ строки	Код по Общероссийскому классификатору видов  экономической деятельности, продукции и услуг (ОКДП)	Наименование по Перечню
90	3110501	Преобразователи частоты
91	3113299	Устройства плавного пуска электродвигателей
92	3120000	Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера
93	3120000	Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ
94	3120246	Светильник светодиодный прожекторный
95	3120246	Светильник светодиодный внутренний
96	3120246	Светильник светодиодный уличный
97	3120250	Светодиодные светильники наружного и внутреннего освещения
98	3140000	Автономное альтернативное освещение
99	3140000	Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера
100	3140000	Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ
101	3149160	Переносной солнечный калорифер из полимерных материалов для обеспечения горячей водой в полевых условиях.
102	3149163	Солнечные батареи
103	3150000	Светодиоды
104	3150000	Лампы галогеновые
105	3150000	Светильники светодиодные для внутреннего освещения
106	3150000	Светодиодный светильник прожекторного типа
107	3150000	Светильник наружного освещения
108	3150000	Светильник внутреннего освещения
109	3150000	Светодиодный светильник промышленных объектов
110	3150000	Уличный светильник
111	3150000	Стойки автономного освещения
112	3150000	Светильники светодиодные
113	3150000	Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера
114	3150000	Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ
115	3150000	Светодиодные светильники для внутреннего освещения
116	3150000	Светодиодные светофоры
117	3150000	Светодиодные светильники для дорожного, уличного освещения различного назначения
118	3150106	Светильник светодиодный офисный
119	3150350	Альтернативные источники освещения
120	3150350	Автономные источники освещения
121	3190000	Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера
122	3190000	Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ
123	3190040	Устройство энергосберегающее цифровое
124	3190040	Малые архитектурные формы антивандальной устойчивости
125	3190190	Комплексы бортового оборудования безопасности
126	3190290	Динамический дизельный источник бесперебойного питания
127	3190785	Углеродная лента FibARM Tape для системы внешнего армирования
128	3190785	Углепластиковая ламель FibARM Lamel для системы внешнего армирования
129	3190785	Углеродные сетки FibARM Grid для системы внешнего армирования
130	3200000	Мачты зоо- и пиромониторинга
131	3200000	Мачты видеонаблюдения
132	3200000	Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера
133	3200000	Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ
134	3210000	Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера
135	3210000	Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ
136	3211022	Светодиодный светильник
137	3211022	Светодиодный медицинский хирургический светильник
138	3220000	Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера
139	3220000	Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ
140	3220111	Системы спутниковой навигации
141	3221020	Навигационное оборудование GPS/ГЛОНАСС
142	3221020	Комплексы бортового мониторинга
143	3221137	Система панорамного видеонаблюдения
144	3221137	Комплексы бортового оборудования безопасности
145	3221138	Комплексы мониторинга транспортных потоков
146	3221138	Телевизионные камеры с возможностью мониторинга транспортных потоков
147	3221200	Комплексы мониторинга транспортных потоков
148	3222305	Шкаф сервисный телекоммуникационный
149	3230000	Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера
150	3230000	Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ
151	3230020	Система видеонаблюдения на основе нано технологических составляющих с компьютерным зрением
152	3230102	Системы коллективного отображения информации
153	3230164	Высокофункциональные устройства для чтения говорящих книг
154	3311020	Светодиодная соска
155	3311030	Генератор морского воздуха
156	3311030	Аппарат для тренировки аккомодации глаз
157	3311030	Комплект первой помощи
158	3311030	Офтальмологический аппарат
159	3311030	Аппарат лазерный физиотерапевтический
160	3311030	Устройство для имплантации ФИОЛ
161	3311030	Расходные материалы для стоматологии
162	3311040	Медицинские морозильники плазмы крови
163	3311040	Термостат сейф
164	3311050	Кушетка аутогравитационная
165	3311050	Комплекс для реабилитации  восстановления двигательных функций нижних конечностей
166	3311224	Комплексы фото- видео фиксации нарушений ПДД
167	3311228	Сигнализаторы звука
168	3311233	Многофункциональная хирургическая навигационная система
169	3311239	Система для внутрисосудистого ультразвукового исследования коронарных артерий и определения фракционного резерва кровотока S5 IVUS VOLCANO, США
170	3311239	Портативная универсальная цветовая ультразвуковая диагностическая система с полностью цифровой программируемой архитектурой с возможностями работы с высокой частотой кадров для проведения ультразвуковых исследований сердца и сосудов с экспертной диагностической точностью.
171	3311239	Конфокальный лазерный эндомикроскоп CELLVIZIO
172	3311264	Мультисуставная лечебно-аналитическая система с биологической обратной связью и аксессуарами,HUMAC NORM, CSMi Medical Solutions, США
173	3311264	Аппарат для реабилитации Power Plate? Pro6™ с дополнительными аксессуарами
174	3311264	Тренажеры - вертикализаторы
175	3311264	Тренажеры медицинские терапевтические
176	3311265	Многофункциональная урологическая установка Dornier Gimini производства фирмы Дорнье МедТех ГмбХ (Германия)
177	3311269	Многофункциональная эксимерная лазерная система CVX-300
178	3311321	Монитор для плазмотерапии и гемодиализа OCTO NOVA, Mesys (Германия)
179	3311321	Медицинские многофункциональные кровати
180	3311323	Мобильный КТ Body Tom
181	3311323	Совмещенный двухфотонный позитронно-эмиссионный и компьютерный томограф (ПЭТ/KТ)
182	3311329	Система прецизионного дистанционного управления процедурой в рентгеноперационной
183	3311329	Комплекс для реканализации окклюзий сосудов Jet 9000 производства Axel International B.V. Нидерланды
184	3311329	Потолочная подъемная система
185	3311329	Медицинские терапевтические тренажеры различных модификаций
186	3311329	Детские вертикализаторы различных модификаций
187	3311329	Детские функциональные ортопедические стулья
188	3311329	Подъемники для ванны
189	3311329	Ортопедические тренажеры для ходьбы
190	3311329	Тренажеры-вертикализаторы различных модификаций
191	3311451	Инвалидные кресла-коляски с электроприводом различных модификаций
192	3311452	Прогулочная коляска для транспортировки детей-инвалидов, страдающих тяжелой формой ДЦП
193	3311452	Поставка детских кресел-колясок активного типа различных модификаций
194	3311477	Костыли для инвалидов
195	3311659	Стулья ортопедические для детей- инвалидов
196	3312000	Средства измерения электромагнитных полей
197	3312000	Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера
198	3312000	Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ
199	3312421	Лаборатория для теледиагностики состояния трубопроводов
200	3312480	Приборы учета водопотребления
201	3313000	Приборы учета расхода холодной и горячей воды с импульсным выходом
202	3313000	Автоматизированный узел учета тепла
203	3313000	Терморегуляторы
204	3313120	Регулятор расхода воды
205	3313126	Индивидуальные приборы учета водопотребления в комплексе с водосберегающей сантехарматурой
206	3313140	ИК оптический датчик газов
207	3313300	Лабораторное оборудование
208	3313330	Аппаратура численного непрерывного долговременного мониторинга технического состояния протяженных  сложнопрофильных и труднодоступных объектов (теплотрасс, трубопроводов, электрических сетей и т.п.)
209	3313330	Технологии и аппаратуры диагностики и  проведения автоматизированного инструментального энергетического аудита промышленных и гражданских объектов
210	3313381	Источник бесперебойного питания на основе литий-ионных АКБ
211	3313530	Информационная система объекта
212	3313551	Программно-технологические комплексы для автоматизации научных исследований физико-химических свойств веществ
213	3313559	Оборудование для контроля факторов воздействия на атмосферный воздух
214	3314119	Лабораторное оборудование
215	3315116	Приборы метеорологические для регистрации озона
216	3315118	Приборы метеорологические для измерения радиоактивности
217	3319000	Технические средства и технологии мониторинга, предупреждения и ликвидации чрезвычайных ситуаций природного и техногенного характера
218	3319000	Технические средства и технологии тушения пожаров и проведения аварийно-спасательный работ
219	3319000	Технологии и аппаратуры диагностики и  проведения автоматизированного инструментального энергетического аудита промышленных и гражданских объектов
220	3319000	Аппаратура численного непрерывного долговременного мониторинга технического состояния протяженных  сложнопрофильных и труднодоступных объектов (теплотрасс, трубопроводов, электрических сетей и т.п.)
221	3319000	Системы противопожарной автоматики (противопожарная сигнализация)
222	3319020	Ручной пожарный извещатель
223	3319020	Комплексы бортового оборудования безопасности
224	3319200	Ручные и опто-электронные пожарные извещатели
225	3319200	Инфракрасные опто-электронные извещатели пламени
226	3319200	Оповещатель звуковой пожарный
227	3319200	Дымовой пожарный извещатель
228	3319203	Дымовой оптико-электронный пожарный извещатель
229	3319224	Звуковой пожарный оповещатель
230	3319270	Звуковые сигнальные устройства
231	3319287	Система видеонаблюдения на основе нано технологических составляющих с компьютерным зрением
232	3319290	Система охраны периметра промышленного объекта
