name	url	id	source	theme
Государственные казенные учреждения дирекции ЖКХ и благоустройства административных округов города Москвы	http://data.mos.ru/datasets/651	651	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	Жилищно-коммунальное хозяйство
Государственные учреждения, подведомственные Департаменту жилищно-коммунального хозяйства и благоустройства города Москвы	http://data.mos.ru/datasets/499	499	Департамент жилищно-коммунального хозяйства и благоустройства города Москвы	Жилищно-коммунальное хозяйство
Границы зон охраны объектов культурного наследия	http://data.mos.ru/datasets/613	613	Департамент культурного наследия города Москвы	Территориальное деление
Границы районов города Москвы	http://data.mos.ru/datasets/617	617	Департамент территориальных органов исполнительной власти города Москвы	Территориальное деление
Границы территорий объектов культурного наследия	http://data.mos.ru/datasets/614	614	Департамент культурного наследия города Москвы	Территориальное деление
График отключения горячей воды	http://data.mos.ru/datasets/801	801	Департамент топливно-энергетического хозяйства города Москвы	Жилищно-коммунальное хозяйство
Гребные базы и каналы	http://data.mos.ru/datasets/901	901	Департамент физической культуры и спорта города Москвы	Физическая культура и спорт
Данные по проверкам Госинспекции по недвижимости с нарушениями за 2012 год	http://data.mos.ru/datasets/761	761	Государственная инспекция по контролю за использованием объектов недвижимости города Москвы	Земля и имущество
Детские дома	http://data.mos.ru/datasets/598	598	Департамент социальной защиты населения города Москвы	Социальная среда
Детские музыкальные школы	http://data.mos.ru/datasets/532	532	Департамент культуры города Москвы	Образование
Детские поликлиники	http://data.mos.ru/datasets/505	505	Департамент здравоохранения города Москвы	Здравоохранение
Детские развивающие центры	http://data.mos.ru/datasets/905	905	Департамент физической культуры и спорта города Москвы	Образование
Детские сады	http://data.mos.ru/datasets/540	540	Департамент образования города Москвы	Образование
Детские сады в составе школ (образовательные комплексы)	http://data.mos.ru/datasets/539	539	Департамент образования города Москвы	Образование
Детские стоматологические поликлиники	http://data.mos.ru/datasets/506	506	Департамент здравоохранения города Москвы	Здравоохранение
Детские художественные школы	http://data.mos.ru/datasets/533	533	Департамент культуры города Москвы	Образование
