dtfrom	dtto	zones	ind_id	ind_name	code	regname	value
19.08.2013	25.08.2013	1|3	1000	Неизвестно (1000)	2	Пресненский район 	Тинистый
19.08.2013	25.08.2013	1|3	1001	Неизвестно (1001)	2	Пресненский район 	Тинистый
19.08.2013	25.08.2013	1|3	1002	Запах при 20C	2	Пресненский район 	1
19.08.2013	25.08.2013	1|3	1003	Неизвестно (1003)	2	Пресненский район 	21.6
19.08.2013	25.08.2013	1|3	1004	Цветность	2	Пресненский район 	8
19.08.2013	25.08.2013	1|3	1005	Мутность	2	Пресненский район 	0.38
19.08.2013	25.08.2013	1|3	1006	Водородный показатель (pH)	2	Пресненский район 	7.3
19.08.2013	25.08.2013	1|3	1013	Железо общее	2	Пресненский район 	<0.05
19.08.2013	25.08.2013	1|3	1050	Термотолерантные колиформные бактерии (ТКБ)	2	Пресненский район 	отс.
19.08.2013	25.08.2013	1|3	1053	Общее микробное число (ОМЧ)	2	Пресненский район 	отс.
19.08.2013	25.08.2013	1|3	1121	Остаточный хлор	2	Пресненский район 	0.32
19.08.2013	25.08.2013	1|3	1200	Запах при 60C	2	Пресненский район 	1-2
19.08.2013	25.08.2013	1|3	5147	Неизвестно (5147)	2	Пресненский район 	1
19.08.2013	25.08.2013	1|3	5148	Неизвестно (5148)	2	Пресненский район 	Тинистый
19.08.2013	25.08.2013	1|3	5501	Общие колиформные бактерии (ОКБ)	2	Пресненский район 	отс.
19.08.2013	25.08.2013	1|2|3	1000	Неизвестно (1000)	7	Таганский район 	Тинистый
19.08.2013	25.08.2013	1|2|3	1001	Неизвестно (1001)	7	Таганский район 	Тинистый
19.08.2013	25.08.2013	1|2|3	1002	Запах при 20C	7	Таганский район 	1
19.08.2013	25.08.2013	1|2|3	1003	Неизвестно (1003)	7	Таганский район 	20.4
19.08.2013	25.08.2013	1|2|3	1004	Цветность	7	Таганский район 	8
19.08.2013	25.08.2013	1|2|3	1005	Мутность	7	Таганский район 	<0.30
19.08.2013	25.08.2013	1|2|3	1006	Водородный показатель (pH)	7	Таганский район 	7.4
19.08.2013	25.08.2013	1|2|3	1013	Железо общее	7	Таганский район 	<0.05
19.08.2013	25.08.2013	1|2|3	1050	Термотолерантные колиформные бактерии (ТКБ)	7	Таганский район 	отс.
19.08.2013	25.08.2013	1|2|3	1053	Общее микробное число (ОМЧ)	7	Таганский район 	отс.
19.08.2013	25.08.2013	1|2|3	1121	Остаточный хлор	7	Таганский район 	0.14
19.08.2013	25.08.2013	1|2|3	1200	Запах при 60C	7	Таганский район 	1-2
19.08.2013	25.08.2013	1|2|3	5147	Неизвестно (5147)	7	Таганский район 	1
19.08.2013	25.08.2013	1|2|3	5148	Неизвестно (5148)	7	Таганский район 	Тинистый
19.08.2013	25.08.2013	1|2|3	5501	Общие колиформные бактерии (ОКБ)	7	Таганский район 	отс.
19.08.2013	25.08.2013	1|3	1000	Неизвестно (1000)	3	Тверской район 	Тинистый
19.08.2013	25.08.2013	1|3	1001	Неизвестно (1001)	3	Тверской район 	Тинистый
19.08.2013	25.08.2013	1|3	1002	Запах при 20C	3	Тверской район 	1
19.08.2013	25.08.2013	1|3	1003	Неизвестно (1003)	3	Тверской район 	21.4
19.08.2013	25.08.2013	1|3	1004	Цветность	3	Тверской район 	8
19.08.2013	25.08.2013	1|3	1005	Мутность	3	Тверской район 	0.35
19.08.2013	25.08.2013	1|3	1006	Водородный показатель (pH)	3	Тверской район 	7.3
19.08.2013	25.08.2013	1|3	1013	Железо общее	3	Тверской район 	<0.05
19.08.2013	25.08.2013	1|3	1050	Термотолерантные колиформные бактерии (ТКБ)	3	Тверской район 	отс.
