0_OBJECTID;0_Shape;0_UID;1_Название;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4213889.9441 7498203.150300004);6921.0;"Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества ""Жулебино""";"ГБОУ ЦРТДиЮ ""Жулебино""";109153, г.Москва, ул. Моршанская, д.6;22371.737475;3321.5428005;61170.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;(495) 706-51-43;http://ctvzul.narod.ru
2;POINT (4177059.1325999983 7494060.550399996);6976.0;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) начальная школа-детский сад V вида № 1708;ГБОУ начальная школа–детский сад  № 1708;119313, г. Москва, Ленинский проспект, д. 90 Б;1568.0131215;929.58984239;12902.0;;;;;Бюджетное;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья;Специальная (коррекционная) начальная школа – детский сад;138-04-69;http://www.logo-sad.ru/
3;POINT (4142846.1768000014 7557333.004500002);7269.0;Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 454;ГБОУ детский сад № 454;124482, г. Москва, Зеленоград, корп. 336а;-17621.8398051;36504.2613166;2106715.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Детский сад компенсирующего вида;"(499) 735-25-81; (499) 735-84-16; (499) 734-11-53";http://www.d454.zouo.ru
4;POINT (4174350.918400001 7492511.799099997);7804.0;"Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2380 ""Жемчужинка""";"ГБОУ ЦРР - детский сад № 2380 ""Жемчужинка""";125464, г. Москва, Пятницкое ш., д. 16, к.3;37.386585;55.842484;73145.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Центр развития ребенка – детский сад;754-70-25;http//crrds2380.mskobr.ru
5;POINT (4197291.281300001 7495537.9081000015);4115.0;"Государственное бюджетное образовательное учреждение города Москвы детский оздоровительно-образовательный центр ""Южный""";"ГБОУ ДООЦ ""Южный""";115142 г. Москва, ул. Коломенская, д. 5, к. 3;13000.1549964;1781.33658888;2124389.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;(499) 615-56-89;http://fizkultcentr.ru/
6;POINT (4193176.4059999995 7523407.986199997);7130.0;Государственное бюджетное образовательное учреждение города Москвы детско-юношеская спортивно-адаптивная школа;ГБОУ ДЮСАШ;129301, г.Москва, улица Касаткина, дом 23;10637.1870683;17461.6002074;2301296.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Школа;"(495) 683-93-96; (495) 682-62-62";http://kasatka-23.ru
7;POINT (4173730.233100001 7498241.515600003);5515.0;"Государственное бюджетное образовательное учреждение города Москвы центр творческого развития и гуманитарного образования ""Дар""";"ГБОУ ЦТРиГО ""Дар""";119192, г.Москва, Мичуринский проспект, д. 40;-313.123675;3286.65916801;2111787.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;"(495) 931-42-27; (495) 931-42-22";http://ctr-dar.ru
8;POINT (4187782.0086999983 7520692.358900003);7134.0;"Государственное бюджетное образовательное учреждение города Москвы детский оздоровительно-образовательный центр ""Северо-Восточный""";"ГБОУ ДООЦ ""Северо-Восточный""";129075 г. Москва, ул. Калибровская, д.24 Б;7602.600100000001;15929.3368325;2126094.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Детский оздоровительно-образовательный (профильный) центр;(495) 616-26-80;http://www.doocsv.ru
9;POINT (4174351.2826999985 7492511.626599997);8516.0;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа III-IV видов № 67;ГБОУ СКОШ № 67;119002 г. Москва, Гагаринский пер., д. 20;37.592537;55.745172;2121163.0;;;;;Бюджетное;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья;Специальная (коррекционная) общеобразовательная школа;(499) 241-00-65;http://schkc67.mskobr.ru
10;POINT (4174351.097100001 7492511.470700003);873.0;"Государственное бюджетное образовательное учреждение города Москвы центр детского творчества ""Созвездие""";"ГБОУ ЦДТ ""Созвездие""";119571, г.Москва, ул. Двадцати шести Бакинских комиссаров, д. 3, корп. 4;37.487643999999996;55.657177;0.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;434-31-04;http://cdt-sozvezdie.mskzapad.ru
