№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества "Жулебино"	109153, г.Москва, ул. Моршанская, д.6	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(495) 706-51-43	http://ctvzul.narod.ru
2	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) начальная школа-детский сад V вида № 1708	119313, г. Москва, Ленинский проспект, д. 90 Б	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) начальная школа – детский сад	138-04-69	http://www.logo-sad.ru/
3	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 454	124482, г. Москва, Зеленоград, корп. 336а	Бюджетное	Дошкольное образовательное учреждение	Детский сад компенсирующего вида	(499) 735-25-81; (499) 735-84-16; (499) 734-11-53	http://www.d454.zouo.ru
4	Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2380 "Жемчужинка"	125464, г. Москва, Пятницкое ш., д. 16, к.3	Бюджетное	Дошкольное образовательное учреждение	Центр развития ребенка – детский сад	754-70-25	http//crrds2380.mskobr.ru
5	Государственное бюджетное образовательное учреждение города Москвы детский оздоровительно-образовательный центр "Южный"	115142 г. Москва, ул. Коломенская, д. 5, к. 3	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 615-56-89	http://fizkultcentr.ru/
6	Государственное бюджетное образовательное учреждение города Москвы детско-юношеская спортивно-адаптивная школа	129301, г.Москва, улица Касаткина, дом 23	Бюджетное	Образовательное учреждение дополнительного образования детей	Школа	(495) 683-93-96; (495) 682-62-62	http://kasatka-23.ru
7	Государственное бюджетное образовательное учреждение города Москвы центр творческого развития и гуманитарного образования "Дар"	119192, г.Москва, Мичуринский проспект, д. 40	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(495) 931-42-27; (495) 931-42-22	http://ctr-dar.ru
8	Государственное бюджетное образовательное учреждение города Москвы детский оздоровительно-образовательный центр "Северо-Восточный"	129075 г. Москва, ул. Калибровская, д.24 Б	Бюджетное	Образовательное учреждение дополнительного образования детей	Детский оздоровительно-образовательный (профильный) центр	(495) 616-26-80	http://www.doocsv.ru
9	Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа III-IV видов № 67	119002 г. Москва, Гагаринский пер., д. 20	Бюджетное	Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья	Специальная (коррекционная) общеобразовательная школа	(499) 241-00-65	http://schkc67.mskobr.ru
10	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "Созвездие"	119571, г.Москва, ул. Двадцати шести Бакинских комиссаров, д. 3, корп. 4	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	434-31-04	http://cdt-sozvezdie.mskzapad.ru
11	Государственное бюджетное образовательное учреждение города Москвы детский оздоровительно-образовательной центр "Северный"	125252 г. Москва, ул. Сальвадора, Альенде, д. 7	Бюджетное	Образовательное учреждение дополнительного образования детей	Детский оздоровительно-образовательный  центр	(499) 198-04-62; (499) 198-04-21	
12	Государственное бюджетное образовательное учреждение города Москвы Детский оздоровительно-образовательный центр "Центральный"	105094 Госпитальный вал улица, д. 1а, стр.1	Бюджетное	Образовательное учреждение дополнительного образования детей	Детский оздоровительно-образовательный  центр	(499) 263-06-73	http://дооц.рф
13	Государственное бюджетное образовательное учреждение города Москвы детский оздоровительно-образовательный центр "Западный"	121351 Молодогвардейская улица, д. 47	Бюджетное	Образовательное учреждение дополнительного образования детей	Детский оздоровительно-образовательный (профильный) центр	(495) 416-59-02; (495) 416-59-03	http://dooc-zapadny.mskzapad.ru
14	Государственное бюджетное образовательное учреждение города Москвы центр внешкольной работы имени Антона Семеновича Макаренко	121351 Екатерины Будановой улица, 18	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(495) 443-11-90; (499) 149-81-81	http://cvr-makarenko.mskzapad.ru
