0_Код;1_Название;1_Адрес;1_Регистрационный знак;1_Допуск;1_Вид парка;1_Период действия талона-допуска на эксплуатацию
186;Аттракцион Wonder Flight;ГУК Измайловский ПКиО;1445-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
656;Паровозик;Сиреневый бульвар, дом 31;0844-77;Действующий, эксплуатация аттракциона разрешена;площадка;04.2013 - 10.2013
44;Аттракцион Мини-джет КАСКАД;ГУК Перовский ПКиО;01428-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
47;Аттракцион Фирменный поезд;ГУК Перовский ПКиО;0863-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
50;Аттракцион Прыгалка;ГУК Перовский ПКиО;01055-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2590;Гусеница;Парк 850-летия Москвы;0637-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
150;Аттракцион Лодка бамперная Китенок;ГУК Перовский ПКиО;1525-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 11.2013
335;Мини-джет;проспект Андропова, дом 39;0858-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;07.2012 -07.2013
339;Дракон;проспект Андропова, дом 39;0908-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;07.2012 - 07.2013
2589;Вертолеты;Парк 850-летия Москвы;0328-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2591;Колейдоскоп;Парк 850-летия Москвы;0879-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
226;Mini ruota panoramica;Большой Московский государственный цирк на проспекте Вернадского;0033-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
228;Marine Bay;Большой Московский государственный цирк на проспекте Вернадского;0034-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
232;Mini Scooter;Большой Московский государственный цирк на проспекте Вернадского;0031-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
441;Автодром;Парк Воронцовский;1489-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;08.2012 - 08.2013
1679;Поезд Деревенский;Парк Воронцовский ;1495 -77;Действующий, эксплуатация аттракциона разрешена;окружной парк;08.2012 - 08.2013
444;Горка Акула (Shark Trip);Парк Воронцовский;1499-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;08.2012 - 08.2013
367;Поезд Медвежонок;улица Щорса, дом 5;1485-77;Действующий, эксплуатация аттракциона разрешена;площадка;08.2012 - 08.2013
370;Карусель Манеж;улица Щорса, дом 5;1483-77;Действующий, эксплуатация аттракциона разрешена;площадка;08.2012 - 08.2013
2592;Каноэ;Парк 850-летия Москвы;0635-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 10.2013
2593;Мини-поезд;Парк 850-летия Москвы;0967-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
3215;Детский манеж;г. Зеленоград мкр. 15;01416-77;Действующий, эксплуатация аттракциона разрешена;площадка;05.2013 - 05.2014
3216;Автодром;г. Зеленоград мкр. 15;1415-77;Действующий, эксплуатация аттракциона разрешена;площадка;05.2013 - 05.2014
3217;Большая цепочная карусель;г Зеленоград мкр 15;01414-77;Действующий, эксплуатация аттракциона разрешена;площадка;05.2013 - 05.2014
197;Merry go round;ВВЦ;1467-77;Действующий, эксплуатация аттракциона разрешена;Площадка;07.2012 - 07.2013
200;Формула Пакс;ВВЦ;1321-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
203;Мини-джет;ВВЦ;0762-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 05.2014
206;Crazy Dance;ВВЦ;1539-77;Действующий, эксплуатация аттракциона разрешена;Площадка;10.2012 - 10.2013
209;Космос;ВВЦ;0094-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
212;Mini Tug;ВВЦ;01345-77;Действующий, эксплуатация аттракциона разрешена;Площадка;07.2012 - 07.2013
216;Карусель цепочная SWIG RIDE;ВВЦ;0146-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
2910;Детсакая цепочка;улица Клинская дом 2;1438-77;Действующий, эксплуатация аттракциона разрешена;окружной парк;05.2012 - 05.2013
223;Катальная гора City Jet;ВВЦ;0201-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
393;Падающая звезда;Новопесчаная улица дом 12;01147-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
396;"Качалка ""Дракон""";Новопесчаная улица дом 12;0983-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
405;"Качалка ""Такси""";Новопесчаная улица дом 12;01148-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
1651;"Качалка ""Полицейская машина""";улица Крылатская, дом 40;0897-77;Действующий, эксплуатация аттракциона разрешена;площадка;09.2012 - 09.2013
1655;"качалка ""Машинка""";улица Крылатская, дом 40;0901-77;Действующий, эксплуатация аттракциона разрешена;площадка;09.2012 - 09.2013
3218;Лавица;г.Зеленоград мкр.15;01412-77;Действующий, эксплуатация аттракциона разрешена;площадка;05.2013 - 05.2014
3219;Паук;г. Зеленоград мкр.15;01418-77;Действующий, эксплуатация аттракциона разрешена;площадка;05.2013 - 05.2014
1661;"Качалка ""Джип""";Парк Дружбы;0846-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
1666;"Качалка ""Слоник""";Парк Дружбы;0830-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
1665;"Качалка ""Машинка""";Парк Дружбы;0829-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
1667;"Качалка ""Собачка""";Парк Дружбы;0827-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
1669;Слоны;Парк Дружбы;0513-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
397;Чашки;Новопесчаная улица дом 12;01151-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
398;Лодки;Новопесчаная улица дом 12;01316-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
409;"Детская цепочка ""Дисней""";Ленинградское шоссе дом 51;01439-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
402;Черепашка Ниндзя;Новопесчаная улица дом 12;01149-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
406;"Паровозик ""Дедушка""";Новопесчаная улица дом 12; 01317-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
407;"Железная дорога детская ""Джипы""";Ленинградское шоссе дом 51;01441-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
411;Полет;Ленинградское шоссе дом 51;1443-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
413;Детские лодки с электродвигателем;Ленинградское шоссе дом 51;1440-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2012
414;Автописта;Ленинградское шоссе дом 51;1512-77;Действующий, эксплуатация аттракциона разрешена;Площадка;02.2013 - 02.2014
427;Карнавал;Коптевский бульвар, вл. 18А;0270-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 05.2014
425;Полет;Коптевский бульвар, вл. 18А;01142-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 05.2014
2257;Аттракцион Мустанг;ГУК Перовский ПКиО;1527-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 10.2013
2258;CONVOY;ГАУК ПКиО Кузьминки;1529-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 10.2014
2259;FARM TRAIN;ГАУК ПКиО Кузьминки;1530-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2260;Air show;ГАУК ПКиО Кузьминки;1531-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2261;Mini jet-4;ГАУК ПКиО Кузьминки;1532-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2262;Drop zone;ГАУК ПКиО Кузьминки;1533-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
1650;"Качалка ""Вертолет ""Апач""";улица Крылатская, дом 40;0899-77;Действующий, эксплуатация аттракциона разрешена;площадка;09.2012 - 09.2013
113;Аттракцион Колокольчик;ГУК ПКиО Фили;0340-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
237;Виртуальная реальность;Парк Победы;01315-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
241;Мотолодки;Парк Победы;0705-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 11.2013
244;Поезд НЕ 240  VW;Парк Победы;0623-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
2263;Поезд А - 72;ВВЦ;0682-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
2264;Поезд Р - 90;ВВЦ;0681-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
1678;Свадебная карусель;ЦПКиО им.  Горького;01506-77;Действующий, эксплуатация аттракциона разрешена;Городские парки;04.2013 - 04.2014
2265;Поезд Р - 90;ВВЦ;0679-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
2266;Поезд F - 87;ВВЦ;0680-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
2267;Поезд A - 72;ВВЦ;0683-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
2;Аттракцион Сказочный Поезд;ГУК ПКиО Таганский;1395-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
375;Космическая башня;ул. Дольская, 1;0663-77;Действующий, эксплуатация аттракциона разрешена;городские парки;07.2012 - 07.2013
38;Аттракцион Колобок;ГУК ПКиО Сокольники;0716-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
324;Мини Джет;улица Адмирала Лазарева, дом 19;0886-77;Действующий, эксплуатация аттракциона разрешена;окружной парк;09.2012 - 09.2013
334;Автодром;Бульвар Дмитрия Донского, дом 12;1011-77;Действующий, эксплуатация аттракциона разрешена;окружной парк;05.2013 - 05.2014
1695;Веселый паровозик ;ВВЦ;01120-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
1696;Веселый паровозик;ВВЦ;01280-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
1697;Веселый паровозик;ВВЦ;01213-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
28;Аттракцион Мини-Гималайя;ГУК ПКиО Сокольники;0058-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
32;Аттракцион Автомобили сталкивающиеся;ГУК ПКиО Сокольники;0051-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
35;Аттракцион Волшебный Байк;ГУК ПКиО Сокольники;0774-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
73;Аттракцион Круговой обзор-М;ГУК ПКиО Сокольники;0055-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
1937;Эскадрилья (Полет);ВВЦ;0092-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
1936;Корабль Мечты;ВВЦ;0087-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
1940;Грибок;ВВЦ;0083-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
1939;Симулятор VENTURER;ВВЦ;0095-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
1941;Трек;ГАУК ПКиО Кузьминки;0809-77;Действующий, эксплуатация аттракциона разрешена;Окружные парки;04.2013 - 04.2014
1942;Crazy Bus;ГАУК ПКиО Кузьминки;0931-77;Действующий, эксплуатация аттракциона разрешена;Окружные парки;04.2013 - 04.2014
408;Мини-джет;Ленинградское шоссе дом 51;01382-77;Срок действия истек, эксплуатация аттракциона не допускается;Площадка;10.2011 - 10.2012
2268;Бабочки;ВВЦ;0082-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
2269;Веселый поезд;ВВЦ;1220-77;Действующий, эксплуатация аттракциона разрешена;Площадка;07.2012 - 07.2013
2270;Камикадзе;ВВЦ;1455;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
2575;Клоун;ВВЦ;0088-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
2576;Мини - поезд;ВВЦ;0124-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 05.2014
2577;Mini  jet 6;ВВЦ;0123-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 05.2014
2578;Утки;ВВЦ;0148-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
2579;Merry go round;ВВЦ;1278-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
428;Мини-вальс;Коптевский бульвар, вл. 18А;0271-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 05.2014
2594;Мотолодки;Парк 850-летия Москвы;0741-77;Действующий, эксплуатация аттракциона разрешена;окружные праки;04.2013 - 10.2013
2905;Вертолет;ГАУК ПКиО Кузьминки;0344-77;Срок действия истек, эксплуатация аттракциона не допускается;Окружные парки;04.2012 - 04.2013
1943;Мини-поезд;ГУК Бабушкинский ПКиО;0356-77;Действующий, эксплуатация аттракциона разрешена;Окружные парки;04.2013 - 04.2014
78;Аттракцион Космос;ГУК Измайловский ПКиО;0818-77;Действующий, эксплуатация аттракциона разрешена;городские парки;12.2012 - 12.2013
81;Аттракцион Солнышко;ГУК Измайловский ПКиО;0819-77;Действующий, эксплуатация аттракциона разрешена;городские парки;12.2012 - 12.2013
84;Аттракцион Рыбка;ГУК Измайловский ПКиО;0867-77;Срок действия истек, эксплуатация аттракциона не допускается;городские парки;04.2011 - 04.2012
87;Аттракцион Вальс;ГУК Измайловский ПКиО;0147-77;Действующий, эксплуатация аттракциона разрешена;городские парки;05.2013 - 05.2014
90;Аттракцион Кенгуру;ГУК Измайловский ПКиО;0776-77;Действующий, эксплуатация аттракциона разрешена;городские парки;07.2012 - 07.2013
94;Аттракцион Деревенский поезд / Hillbilly train;ГУК Измайловский ПКиО;1434-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
97;Аттракцион Летающие слоны / Elefante Rides;ГУК Измайловский ПКиО;1462-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
100;Аттракцион Малая семейная карусель / Merry go round;ГУК Измайловский ПКиО;1397-77;Действующий, эксплуатация аттракциона разрешена;городские парки;12.2012 - 12.2013
104;Аттракцион Шоколадные чашки / Choco cups;ГУК Измайловский ПКиО;1403-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
107;Аттракцион Мини конвой;ГУК Измайловский ПКиО;1402-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
110;Аттракцион Калипсо;ГУК Измайловский ПКиО;0090-77;Действующий, эксплуатация аттракциона разрешена;городские парки;02.2013 - 02.2014
162;Аттракцион Виртуальная реальность;ПКиО Северное Тушино;0630-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;05.2013 - 05.2014
164;Аттракцион Мотолодки;ПКиО Северное Тушино;0629-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;05.2013 - 10.2013
165;Аттракцион Каноэ;ПКиО Северное Тушино;01449-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;05.2013 - 10.2013
2898;"Детская лодка с электродвигателем ""Диназавр""";Улица Хачатуряна д.13;1542-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 11.2013
2899;"Детская лодка с электродвигателем ""Диназавр""";Улица Хачатуряна д.13;1543-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 11.2013
2900;"Детская лодка с электродвигателем ""Дракон"""; Улица Хачатуряна д.13;1544-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 11.2013
2902;"Детская лодка с электродвигателем ""Диназавр""";Улица Хачатуряна д.13;1545-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 11.2013
2903;Лошадки;Улица Хачатуряна д.13;1328-77;Действующий, эксплуатация аттракциона разрешена;;05.2013 - 05.2014
2904;Сказка;Улица Хачатуряна д.13;1160-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 05.2014
185;Аттракцион Большая цепная карусель / Карусель «Family Swinger»;ГУК Измайловский ПКиО;1470-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
187;Аттракцион Карусель Сказка;ГУК ПКиО Таганский;1501-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;10.2012 - 10.2013
190;Аттракцион Качалка ослик;ГУК Лианозовский ПКиО;01208-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
194;Колесо обозрения;ВВЦ;0988-77;Действующий, эксплуатация аттракциона разрешена;Площадка;02.2013 - 02.2014
195;Качели Марс-360;ВВЦ;1057-77;Действующий, эксплуатация аттракциона разрешена;Площадка;11.2012 - 11.2013
196;"Ралли ""Гран При""";ВВЦ;1447-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 05.2014
198;Автодром;ВВЦ;1159-77;Действующий, эксплуатация аттракциона разрешена;Площадка;07.2012 - 07.2013
199;Кобра;ВВЦ;1056-77;Действующий, эксплуатация аттракциона разрешена;Площадка;08.2012 - 08.2013
201;"Аттракцион ""Комната страха""";ВВЦ;1273-77;Действующий, эксплуатация аттракциона разрешена;Площадка;11.2012 - 11.2013
12;Аттракцион Юнга;ГУК Лианозовский ПКиО;0482-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
15;Аттракцион Джет;ГУК Лианозовский ПКиО;0883-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
126;Аттракцион Качалка турбо;ГУК Лианозовский ПКиО;01204-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
130;Аттракцион Качалка мини-f;ГУК Лианозовский ПКиО;01201-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
976;Мини Джет;ул. Санникова, дом 13;0621-77;Действующий, эксплуатация аттракциона разрешена;площадка;04.2013 - 04.2014
137;Аттракцион Веселый светофор;ГУК Бабушкинский ПКиО;0353-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
140;Аттракцион Автодром;ГУК Бабушкинский ПКиО;1289-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2256;Детский манеж;улица Клинская дом 2;1437-77;Действующий, эксплуатация аттракциона разрешена;окружной парк;05.2012 - 05.2013
2580;Полет;Мячковский бульвар д.10 к.1;1127-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2581;Поезд-Медвеженок;Мячковский бульвар д10 к1;1431-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2582;Космос;Мячковский бульвар д.10 к.1;1125-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2583;Автодром;Мячковский бульвар д.10 к.1;1534-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2584;"Качели ""Емеля""";Мячковский бульвар д.10 к.1;1535-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
2585;Ралли;Мячковский бульвар д.10 к.1;1432-77;Действующий, эксплуатация аттракциона разрешена;окружные пакри;04.2013 - 04.2014
2588;Космос;Коптевский бульвар, вл.18;0685-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 05.2014
2587;Бамперные машинки;ВВЦ;1528-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
1658;Хип-Хоп;Парк Дружбы;0847-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
1662;"Качалка ""Самолетик""";Парк Дружбы;0826-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
202;Цепочная карусель;ВВЦ;0761-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 05.2014
205;Кондор;ВВЦ;0770-77;Действующий, эксплуатация аттракциона разрешена;Площадка;07.2012 - 07.2013
207;Дикая мышь;ВВЦ;0735-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 05.2014
208;Мини-джет 5В;ВВЦ;1279-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
210;Каноэ ривер;ВВЦ;0097-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 10.2013
211;Колокольчик;ВВЦ;0691-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
213;Водная гора;ВВЦ;01119-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 10.2013
214;Тройка;ВВЦ;0098-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
215;Автодром;ВВЦ;0086-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
217;Mini coaster;ВВЦ;01277-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
218;Орбита-420;ВВЦ;0100-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
220;Бамперные лодки;ВВЦ;0093-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 10.2013
221;Энтерпрайз III;ВВЦ;0099-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 05.2014
222;Traum boot;ВВЦ;0087-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
224;Башня свободного падения;ВВЦ;0076-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
225;Jumpin star;Большой Московский государственный цирк на проспекте Вернадского;0035-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
227;Clown a round;Большой Московский государственный цирк на проспекте Вернадского;0028-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
229;Crazy bus;Большой Московский государственный цирк на проспекте Вернадского;0026-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
231;Truk stop;Большой Московский государственный цирк на проспекте Вернадского;0029-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
233;Mini jet-6;Большой Московский государственный цирк на проспекте Вернадского;0030-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
234;Цирковой поезд;Большой Московский государственный цирк на проспекте Вернадского;0036-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
235;Чашка чая;Большой Московский государственный цирк на проспекте Вернадского;0032-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
236;Астероид;Парк Победы;0294-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
238;Девятый вал;Парк Победы;0292-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
239;Автодром;Парк Победы;0318-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
240;Пещера ужасов;Парк Победы;0296-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
242;Мини-джет;Парк Победы;0619-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
243;Энтерпрайз;Парк Победы;0704-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
245;Мини-поезд;Парк Победы;0295-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
246;Гусеница;Парк Победы;0752-77;Действующий, эксплуатация аттракциона разрешена;Площадка;04.2013 - 04.2014
247;Карусель Чижик;Парк Дубки;0487-77;Действующий, эксплуатация аттракциона разрешена;Окружной парк;10.2012 - 10.2013
249;Ралли;Парк Дубки;0608-77;Действующий, эксплуатация аттракциона разрешена;Окружной парк;10.2012 - 10.2013
250;Лебеди;Парк дубки;0489-77;Действующий, эксплуатация аттракциона разрешена;Окружной парк;10.2012 - 10.2013
252;Полет;Парк дубки;0483-77;Действующий, эксплуатация аттракциона разрешена;Окружной парк;10.2012 - 10.2013
253;Детская ж\д Ассорти;Парк дубки;0502-77;Действующий, эксплуатация аттракциона разрешена;Окружной парк;10.2012 - 10.2013
254;"Карусель ""Ассорти""";Парк дубки;0488-77;Действующий, эксплуатация аттракциона разрешена;Окружной парк;10.2012 - 10.2013
256;Емеля;Парк дубки;0486-77;Действующий, эксплуатация аттракциона разрешена;Окружной парк;10.2012 - 10.2013
257;Бамперные лодки;Парк дубки;0501-77;Действующий, эксплуатация аттракциона разрешена;Окружной парк;10.2012 - 10.2013
321;Автодром;улица Адмирала Лазарева, дом 19;0689-77;Действующий, эксплуатация аттракциона разрешена;окружной парк;09.2012 - 09.2013
322;Каноэ;улица Адмирала Лазарева, дом 19;1379-77;Действующий, эксплуатация аттракциона разрешена;окружной парк;09.2012 - 09.2013
323;Мини-поезд;улица Адмирала Лазарева, дом 19;0920-77;Действующий, эксплуатация аттракциона разрешена;окружной парк;09.2012 - 09.2013
325;Мираж;улица Адмирала Лазарева, дом 19;1060-77;Действующий, эксплуатация аттракциона разрешена;окружной парк;09.2012 - 09.2013
