0_Код;1_Название;1_Адрес;1_Регистрационный знак;1_Допуск;1_Вид парка;1_Период действия талона-допуска на эксплуатацию
443;Чашки;Парк Воронцовский;1491-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;08.2012 - 08.2013
445;Цепочная карусель;Парк Воронцовский;1494-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;08.2012 - 08.2013
446;Convoy Race;Парк Воронцовский;1498-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;08.2012 - 08.2013
655;Mini Jet 6;Парк Воронцовский;1492-77;Действующий, эксплуатация аттракциона разрешена;окружной парк;08.2012 - 08.2013
657;Мотолодки;Сиреневый бульвар, дом 31;0845-77;Действующий, эксплуатация аттракциона разрешена;площадка;04.2013 - 10.2013
658;Река приключений;Сиреневый бульвар, дом 31;0947-77;Действующий, эксплуатация аттракциона разрешена;площадка;04.2013 - 10.2013
975;Джипы;ул. Санникова, дом 13;0703-77;Действующий, эксплуатация аттракциона разрешена;площадка;04.2013 - 04.2014
977;Колейдоскоп;ул. Санникова, дом 13;0326-77;Действующий, эксплуатация аттракциона разрешена;площадка;04.2013 - 04.2014
3537;Детский манеж;Улица Ферганская д. 17;0892-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2013 - 06.2014
3538;Детская цепочка ;Улица Ферганская д.17;0890-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2013 - 06.2014
3539;Автодром;Улица Ферганская д. 17;0891-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2013 - 06.2014
3540;Цепочная карусель;проспект Андропова, дом 39;1553-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;05.2013 - 05.2014
3542;Карусель свадебная;проспект Андропова, дом 39;1554-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;05.2013 - 05.2014
412;Лебеди;Ленинградское шоссе дом 51;01442-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
1659;Веселые горки;Парк Дружбы;0514-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
1663;"Качалка ""Бычок""";Парк Дружбы;0828-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
1668;Вальс;Парк Дружбы;0981-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
1671;Плавающие лебеди;Парк Дружбы;0515-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
1674;Самолетики;Парк Дружбы;0516-77;Действующий, эксплуатация аттракциона разрешена;Площадка;06.2012 - 06.2013
350;Сафари;Пенягинская улица , 16;1366-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;05.2013 - 05.2014
353;Автодром;Пенягинская улица, 16;1373-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;05.2013 - 05.2014
357;"Качалка ""Формула 1""";Пенягинская улица, 16;1351-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;06.2012 - 06.2013
248;Космос;Парк Дубки;0485-77;Действующий, эксплуатация аттракциона разрешена;Окружной парк;10.2012 - 10.2013
251;Детская ж/д OCEAN LAND;Парк дубки;01030-77;Действующий, эксплуатация аттракциона разрешена;Окружной парк;10.2012 - 10.2013
255;Манеж;Парк дубки;01031-77;Действующий, эксплуатация аттракциона разрешена;Окружной парк;10.2012 - 10.2013
426;Джипы (10);Коптевский бульвар, вл. 18А;0272-77;Действующий, эксплуатация аттракциона разрешена;Площадка;05.2013 - 05.2014
9;Аттракцион Электролодки;ГУК Лианозовский ПКиО;01058-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;06.2013 - 10.2013
101;Аттракцион Детское колесо обозрения / Kiddi wheel;ГУК Измайловский ПКиО;1404-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
102;Аттракцион Горка Акула / Double Coaster;ГУК Измайловский ПКиО;1464-77;Действующий, эксплуатация аттракциона разрешена;городские парки;05.2013 - 05.2014
103;Аттракцион Кунгуру / Happy Kangaroo;ГУК Измайловский ПКиО;1399-77;Действующий, эксплуатация аттракциона разрешена;городские парки;12.2012 - 12.2013
105;Аттракцион Самолетики / Red baron;ГУК Измайловский ПКиО;1401-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
106;Аттракцион Игрушечная цепочка / Toy swing;ГУК Измайловский ПКиО;1398-77;Действующий, эксплуатация аттракциона разрешена;городские парки;12.2012 - 12.2013
108;Аттракцион Колесо обозрения;ГУК Измайловский ПКиО;0537-77;Действующий, эксплуатация аттракциона разрешена;городские парки;05.2013 - 05.2014
109;Аттракцион Автодром;ГУК Измайловский ПКиО;1469-77;Действующий, эксплуатация аттракциона разрешена;городские парки;07.2012 - 07.2013
111;Аттракцион Летающая ферма;ГУК ПКиО Фили;0375-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
112;Аттракцион Сумасшедший пилот;ГУК ПКиО Фили;0376-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
114;Аттракцион Кенгуру;ГУК ПКиО Фили;0374-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
115;Аттракцион Мини-полип;ГУК ПКиО Фили;0377-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
116;Аттракцион Юнга;ГУК ПКиО Фили;0341-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
122;Аттракцион Спутник;ГАУК ПКиО Кузьминки;0865-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
123;Аттракцион Калипсо;ГАУК ПКиО Кузьминки;0918-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
1;Аттракцион Бамперные лодки;ГУК ПКиО Таганский;1380-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 11.2013
3;Аттракцион Вихрь;ГУК Лианозовский ПКиО;0403-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;10.2012 - 10.2013
4;Аттракцион Орбита;ГУК Лианозовский ПКиО;0402-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;10.2012 - 10.2013
5;Аттракцион Веселые горки;ГУК Лианозовский ПКиО;0409-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;06.2013 - 06.2014
7;Аттракцион Автодром;ГУК Лианозовский ПКиО;0496-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
8;Аттракцион Летающая тарелка;ГУК Лианозовский ПКиО;0906-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
10;Аттракцион Солнышко;ГУК Лианозовский ПКиО;0410-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
13;Аттракцион Корсар;ГУК Лианозовский ПКиО;0834-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
14;Аттракцион Сказочный поезд;ГУК Лианозовский ПКиО;0884-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
16;Аттракцион Каноэ-Ривер;ГУК Лианозовский ПКиО;01229-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;06.2013 - 10.2013
17;Аттракцион Падающая звезда;ГУК Лианозовский ПКиО;01230-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
20;Аттракцион Цепочка;ГУК Лианозовский ПКиО;0408-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;12.2012 - 12.2013
29;Аттракцион Гусеница (FamiiY Coaster);ГУК ПКиО Сокольники;0052-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
30;Аттракцион Слоны;ГУК ПКиО Сокольники;0059-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
31;Аттракцион Цепочная карусель;ГУК ПКиО Сокольники;0811-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
33;Аттракцион Осьминог MINI POLYP;ГУК ПКиО Сокольники;0056-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 -04.2014
34;Аттракцион Кенгуру (CANGURO);ГУК ПКиО Сокольники;0749-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
36;Аттракцион FLYNG FARM;ГУК ПКиО Сокольники;0053-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
37;Аттракцион Мини Ботик;ГУК ПКиО Сокольники;0775-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
39;Аттракцион Калипсо;ГУК ПКиО Сокольники;0730-77;Действующий, эксплуатация аттракциона разрешена;городские парки;04.2013 - 04.2014
40;Аттракцион Мини Джет;ГУК Бабушкинский ПКиО;1453-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
42;Аттракцион Корабль на волнах;ГУК Перовский ПКиО;01425-77;Действующий, эксплуатация аттракциона разрешена;окружные парки;04.2013 - 04.2014
