"0_ID";"1_Адрес";"1_Режим работы";"1_Доступность"
"46";"1-й Капотнинский пр-д, д. 12А";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"47";"Краснодарская ул., д. 51, соор. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"48";"Госпитальная пл., д. 2А, соор. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"49";"Авиамоторная ул., д. 41А, соор. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"50";"Зеленодольская ул., д. 43";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"51";"ул. Академика Скрябина, вл. 19";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"52";"Люблинская ул., д. 4, соор. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"53";"Рязанский пр-т, д. 75Б, соор.1";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"54";"Металлургов ул., д. 41, стр. 2";"С 8-00 до 24-00";"Не приспособлен, бесплатный"
"55";"Свободный пр-т, д. 2Д, стр. 6";"С 8-00 до 24-00";"Не приспособлен, бесплатный"
"56";"9 Мая ул., д. 8А";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"57";"1-я Владимирская ул., д. 2А";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"58";"Перовская ул., д. 31";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"59";"Б. Семеновская ул., д. 50, стр. 2";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"60";"Перовская ул., д. 32, стр. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"61";"Кусковская ул., д. 2, стр. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"62";"9-я Парковая ул., д. 18";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"63";"Первомайская ул., д. 107А";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"64";"Измайловский пр-т, вл. 60, стр. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"65";"Лазо ул., д. 7, стр. 4";"С 8-00 до 20-00";"Приспособлен, бесплатный"
"66";"Мартеновская ул., д. 25А";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"67";"Электродная ул., д. 1А";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"68";"9-я Парковая ул., д. 25";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"69";"Юности ул., д. 2, стр. 21 (Усадьба Кусково)";"С 10-00 до 18-00";"Не приспособлен, бесплатный"
"70";"Песочная Аллея ул., вл. 9, стр. 1";"С 10-00 до 22-00";"Не приспособлен, бесплатный"
"71";"Уральская ул., д. 1, соор. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"72";"Челябинская ул., д. 15, стр. 4";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"73";"Измайловский пр-т, д. 61";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"74";"Измайловский пл., д. 1, стр. 2";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"75";"3-я Парковая ул., д. 35";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"76";"Сокольническая пл., д. 2А, соор. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"77";"Измайловский пр-т, вл. 1, стр. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"78";"Песочная аллея ул., вл. 2, стр. 1";"С 9-00 до 21-00";"Приспособлен, бесплатный"
"79";"Вешняковская ул., д. 18Г";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"80";"Каширское ш., д. 42Б, стр. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"81";"Ереванская ул., д. 17 А";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"82";"Варшавское шоссе, д. 65, корп. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"83";"Автозаводская ул., д. 13/1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"84";"Каширское ш., д. 52, стр. 5";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"85";"Каширское ш., д. 25Б, соор. 1";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"86";"Симоновский Вал ул., д. 26, к. 2";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"87";"Россошанская ул., д. 3, к. 1А, соор. 1";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
