0_uidnftn;1_Название;0_label;0_address;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;0_shape_leng;0_shape_area
2121;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,003141914;2,1979E-07
2120;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,000472662;1,208E-08
2119;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,004409854;1,07032E-06
2118;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,005017848;7,739E-07
2118;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,003411436;5,3729E-07
2117;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,011667562;2,23395E-06
2116;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,009185397;4,75297E-06
2115;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,002862755;4,5517E-07
2114;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,011693145;5,06803E-06
2113;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,00072306;3,037E-08
2112;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,000757819;3,29E-08
2111;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,006454764;1,46201E-06
2110;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,000600959;2,484E-08
2109;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,000532749;1,54E-08
2108;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,004097061;1,0872E-07
2108;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,004090588;1,178E-07
2107;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,000708326;3,301E-08
2106;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,000464866;1,507E-08
2105;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,00293823;2,3762E-07
2103;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,003702246;7,1517E-07
2102;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,005591921;1,59859E-06
2101;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,003403975;5,9382E-07
2100;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,002972758;4,3185E-07
2099;Территории объектов культурного наследия                                                                                                                                                                                                                      ;Территории объектов культурного наследия                                                                                                                                                                                                                      ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;0,001629303;1,5415E-07
