0_OBJECTID;0_Shape;0_UID;1_Название;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4174349.9098999985 7492512.067000002);8474.0;"Государственное бюджетное образовательное учреждение города Москвы детский оздоровительно - образовательный центр ""Команда""";"ГБОУ ДООЦ ""Команда""";143513, Московская область, Истринский район, поселок Гидроузла им. Куйбышева, стр. 36;36.816502;55.993637;0.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;"(495) 994-53-76; (496) 316-31-86; (496) 316-33-31";http://komanda-center.ru
2;POINT (4175099.1286999993 7497647.597099997);866.0;"Государственное бюджетное образовательное учреждение города Москвы центр внешкольной работы ""МАРТ""";"ГБОУ ЦВР ""МАРТ""";119607, г.Москва, Мичуринский проспект, д. 29, корп. 3;460.14001838;2951.86341577;71031.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;932-20-38;http://cvr-mart.mskzapad.ru
3;POINT (4179554.713199999 7518598.569499999);8665.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения ""Доверие""";"ГБОУ ЦПМСС ""Доверие""";125167, г. Москва, улица Красноармейская, дом 12;2969.5245;14746.9394196;11442.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-медико-социального сопровождения;612-80-30;http://soudo.ru/udo13
4;POINT (4172777.2947000004 7526345.646300003);8479.0;Государственное бюджетное образовательное учреждение Московский городской детский морской центр имени Петра Великого;ГБОУ МГДМЦ им. Петра Великого;125212 г.Москва, Ленинградское шоссе, 56а;-847.72196246;19099.2529128;2112275.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;452-27-84;http://mkum.ru
5;POINT (4173829.0020999983 7494247.021700002);8716.0;Государственное бюджетное образовательное учреждение дополнительного профессионального образования (повышения квалификации) специалистов города Москвы методический центр Западного окружного управления образования Департамента образования города Москвы;ГБОУ МЦ ЗОУО ДОгМ;119454 г.Москва, ул.Лобачевского, дом 66;-257.549625;1034.54537402;2126911.0;;;;;Бюджетное;Структура управления образования;Центр (структуры управления образования);432-97-25;http://www.omczo.org
6;POINT (4185943.5997 7500517.373400003);8872.0;Государственное бюджетное образовательное учреждение города Москвы центр педагогического мастерства;ГБОУ ЦПМ;115419, Москва, 2-й Верхний Михайловский пр.д.9-а;6583.886825;4573.97847482;0.0;;;;;Бюджетное;Структура управления образования;Центр (структуры управления образования);737-73-70;http://www.pedagog-master.ru
7;POINT (4178273.3444 7520069.4098000005);8664.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения ""Лекотека""";"ГБОУ ЦПМСС ""Лекотека""";125319, г. Москва, ул. Часовая, д. 5а;2247.23059612;15573.3361574;28339.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-медико-социального сопровождения;"(499) 152-02-51; (499) 152-42-24";http://www.lekoteka.edu.ru/
8;POINT (4174351.118900001 7492511.5358000025);849.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения ""Раменки""";"ГБОУ ЦПМСС ""Раменки""";119607, г.Москва, Мичуринский проспект, д. 33, корп. 2;37.499947999999996;55.69399;2119502.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-медико-социального сопровождения;932-93-20;http://www.ramenki.mskzapad.ru
9;POINT (4179521.287300002 7507729.978799999);888.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции ""Благо""";"ГБОУ ЦППРиК ""Благо""";121151 г.Москва, Кутузовский проспект, д. 24;2954.6133;8632.51414398;72044.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;"(499) 243-64-83; (499) 243-50-27; (499) 243-04-23";http://blago.mskzapad.ru
10;POINT (4206206.0348000005 7520141.527999997);7545.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции ""Исток""";"ГБОУ ЦППРиК "" Исток """;105423 3-я Парковая улица, д. 50А;17980.758025;15649.9090978;2116171.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;"(499) 165-42-21; (499) 165-57-27; (499) 166-68-58";http://istokhelp.ru
