0_uidnftn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;0_num_zone;0_shape_leng;0_shape_area
401;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;349;0,003404151;5,2491E-07
400;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;348;0,005412301;1,43326E-06
399;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;347;0,009029639;2,23932E-06
398;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;346;0,023805991;3,15186E-05
397;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;345;0,030945495;4,43933E-05
396;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;344;0,014338527;9,49285E-06
395;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;343;0,005298115;1,54889E-06
394;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;342;0,004902689;1,17974E-06
393;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;341;0,040370325;1,83221E-05
392;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;340;0,017997302;1,41218E-05
391;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;339;0,051481494;4,29347E-05
390;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;338;0,186264412;0,000765507
389;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;337;0,003302105;4,6578E-07
387;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;335;0,005191526;1,59923E-06
386;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;334;0,007424887;3,20935E-06
385;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;333;0,035776562;5,72056E-05
384;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;332;0,011350864;8,04483E-06
383;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;388;0,00862803;4,01854E-06
382;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;387;0,013652806;9,04119E-06
381;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;331;0,063359206;7,1721E-05
380;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;330;0,115459106;0,000562163
379;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;329;0,029831373;3,91698E-05
378;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;328;0,003019406;4,1042E-07
377;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;Охранная (объединенная охранная) зона                                                                                                                                                                                                                         ;                                                                                                                                                                                                                                                              ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;327;0,007379276;2,8475E-06
