№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
1	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1820	117534 г. Москва, ул. Кировоградская д.44-а	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад компенсирующего вида	(495) 386-09-73; (495) 387-01-76	http://www.dou1820.edusite.ru/
2	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1643	109507, г. Москва Самаркандский б-р, д. 11, корп. 2	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад компенсирующего вида	376-41-86	http://gou1643.ru
3	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1883	109542, г. Москва Рязанский пр-т, д. 89, корп. 3	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад компенсирующего вида	371-00-35	http://www.sch1883.ru
4	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1676	117209, г.Москва, ул. Перекопская, д.12, корп.1	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад компенсирующего вида	122-70-74	http://www.school1676.mosuzedu.ru
5	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1850	117133, г. Москва, ул. Тёплый Стан, дом 12 б	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад компенсирующего вида	339-47-33	http://gbou1850.ru
6	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1760	109143, г. Москва, ул. Привольная, д. 17, корп. 2	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад компенсирующего вида	705-80-14	http://www.ou1760.narod.ru
7	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1772	109651,  г. Москва, ул. Донецкая, д. 6	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад компенсирующего вида	356-36-01	http://ds1772.uvuo.ru
8	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1853	124575, г.Москва, Зеленоград, корп.1005А	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад компенсирующего вида	(499) 731-77-26	http://s1853.zouo.ru/
9	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1892	109651, г. Москва Донецкая ул., д. 21	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад компенсирующего вида	356-03-84	http://www.ds1892.uvuo.ru
10	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1851	119311, г.Москва, ул. Крупской, д. 12Б	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад компенсирующего вида	131-85-91	http://www.gou1851.ucoz.ru/
11	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1616	117465, город Москва, улица Профсоюзная, дом 156, корпус 2	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад компенсирующего вида	337-30-77	http://1616.mosuzedu.ru/
12	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1645	109457, г. Москва, ул. Федора Полетаева, д. 2, кор. 4	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад компенсирующего вида с осуществлением квалифицированной коррекции ограниченных возможностей здоровья воспитанников и обучающихся	378-83-33	http://oko1645.ru
13	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1761	111033, г.Москва, ул. Волочаевская, дом 36А	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад компенсирующего вида с осуществлением квалифицированной коррекции ограниченных возможностей здоровья воспитанников и обучающихся	362-83-80	http://www.gou1761.ru
14	Государственное бюджетное образовательное учреждение города Москвы начальная школа - детский сад компенсирующего вида № 1889	119633   г.Москва, ул.Приречная, дом 5,корп. 1	Бюджетное	Образовательное учреждение для детей дошкольного и младшего школьного возраста	Начальная школа – детский сад компенсирующего вида	(495) 733-53-58	http://nschdskvp1889.mskzapad.ru
