№ строки	Вид ППТ	Вид распорядительного документа	Номер распорядительного документа	Дата распорядительного документа
69	Проекты планировки жилых территорий	Постановление Правительства Москвы	952	2000-12-05 04:00:00.0
70	Проекты планировки жилых территорий	Постановление Правительства Москвы	844	2000-10-24 04:00:00.0
71	Проекты планировки жилых территорий	Постановление Правительства Москвы	297	2002-04-16 04:00:00.0
72	Проекты планировки жилых территорий	Постановление Правительства Москвы	1029	2001-11-13 04:00:00.0
73	Проекты планировки жилых территорий	Постановление Правительства Москвы	1108	2001-12-11 04:00:00.0
74	Проекты планировки жилых территорий	Постановление Правительства Москвы	667	2001-07-17 04:00:00.0
75	Проекты планировки жилых территорий	Постановление Правительства Москвы	822	2005-10-18 04:00:00.0
76	Проекты планировки жилых территорий	Постановление Правительства Москвы	814	2005-10-18 04:00:00.0
77	Проекты планировки жилых территорий	Постановление Правительства Москвы	395	2005-05-31 04:00:00.0
78	Проекты планировки жилых территорий	Постановление Правительства Москвы	815	2005-10-18 04:00:00.0
79	Проекты планировки жилых территорий	Постановление Правительства Москвы	384	2005-05-31 04:00:00.0
80	Проекты планировки жилых территорий	Постановление Правительства Москвы	414	2005-06-14 04:00:00.0
81	Проекты планировки жилых территорий	Постановление Правительства Москвы	666	2005-09-06 04:00:00.0
82	Проекты планировки жилых территорий	Постановление Правительства Москвы	851	2003-10-14 04:00:00.0
83	Проекты планировки жилых территорий	Постановление Правительства Москвы	849	2003-10-07 04:00:00.0
84	Проекты планировки жилых территорий	Постановление Правительства Москвы	41	2004-01-27 04:00:00.0
85	Проекты планировки жилых территорий	Постановление Правительства Москвы	1010	2003-12-02 04:00:00.0
86	Проекты планировки жилых территорий	Постановление Правительства Москвы	124	2004-03-09 04:00:00.0
87	Проекты планировки жилых территорий	Постановление Правительства Москвы	709	2002-09-03 04:00:00.0
88	Проекты планировки жилых территорий	Постановление Правительства Москвы	499	2002-07-09 04:00:00.0
89	Проекты планировки жилых территорий	Постановление Правительства Москвы	883	2003-10-21 04:00:00.0
90	Проекты планировки жилых территорий	Постановление Правительства Москвы	368	2004-06-01 04:00:00.0
91	Проекты планировки жилых территорий	Постановление Правительства Москвы	488	2004-07-13 04:00:00.0
92	Проекты планировки жилых территорий	Постановление Правительства Москвы	557	2003-07-15 04:00:00.0
93	Проекты планировки жилых территорий	Постановление Правительства Москвы	710	2001-08-07 04:00:00.0
94	Проекты планировки жилых территорий	Постановление Правительства Москвы	113	2001-02-06 04:00:00.0
95	Проекты планировки жилых территорий	Постановление Правительства Москвы	618	2004-09-07 04:00:00.0
96	Проекты планировки жилых территорий	Постановление Правительства Москвы	942	2004-12-28 04:00:00.0
97	Проекты планировки жилых территорий	Постановление Правительства Москвы	937	2004-12-28 04:00:00.0
98	Проекты планировки жилых территорий	Постановление Правительства Москвы	241	2005-04-19 04:00:00.0
99	Проекты планировки жилых территорий	Постановление Правительства Москвы	187	2005-04-05 04:00:00.0
100	Проекты планировки жилых территорий	Постановление Правительства Москвы	205	2005-04-12 04:00:00.0
101	Проекты планировки жилых территорий	Постановление Правительства Москвы	453	2005-06-21 04:00:00.0
102	Проекты планировки жилых территорий	Постановление Правительства Москвы	367	2005-05-31 04:00:00.0
103	Проекты планировки жилых территорий	Постановление Правительства Москвы	462	2005-06-21 04:00:00.0
104	Проекты планировки жилых территорий	Постановление Правительства Москвы	5	2005-01-11 04:00:00.0
105	Проекты планировки жилых территорий	Постановление Правительства Москвы	365	2005-05-31 04:00:00.0
106	Проекты планировки жилых территорий	Постановление Правительства Москвы	486	2005-06-28 04:00:00.0
107	Проекты планировки жилых территорий	Постановление Правительства Москвы	421	2005-06-14 04:00:00.0
108	Проекты планировки жилых территорий	Постановление Правительства Москвы	358	2005-05-24 04:00:00.0
109	Проекты планировки жилых территорий	Постановление Правительства Москвы	813	2005-10-18 04:00:00.0
110	Проекты планировки жилых территорий	Постановление Правительства Москвы	344	2006-05-30 04:00:00.0
111	Проекты планировки жилых территорий	Постановление Правительства Москвы	677	2006-09-05 04:00:00.0
112	Проекты планировки жилых территорий	Постановление Правительства Москвы	681	2006-09-12 04:00:00.0
113	Проекты планировки жилых территорий	Постановление Правительства Москвы	467	2007-06-19 04:00:00.0
114	Проекты планировки жилых территорий	Постановление Правительства Москвы	1196	2007-12-25 04:00:00.0
115	Проекты планировки жилых территорий	Постановление Правительства Москвы	823	2006-10-24 04:00:00.0
116	Проекты планировки жилых территорий	Постановление Правительства Москвы	814	2006-10-17 04:00:00.0
117	Проекты планировки жилых территорий	Постановление Правительства Москвы	1019	2006-12-19 04:00:00.0
118	Проекты планировки жилых территорий	Постановление Правительства Москвы	1021	2006-12-19 04:00:00.0
119	Проекты планировки жилых территорий	Постановление Правительства Москвы	821	2006-10-24 04:00:00.0
120	Проекты планировки жилых территорий	Постановление Правительства Москвы	905	2006-11-21 04:00:00.0
121	Проекты планировки жилых территорий	Постановление Правительства Москвы	1020	2006-12-19 04:00:00.0
122	Проекты планировки жилых территорий	Постановление Правительства Москвы	1036	2006-12-27 04:00:00.0
123	Проекты планировки жилых территорий	Постановление Правительства Москвы	283	2007-04-24 04:00:00.0
124	Проекты планировки жилых территорий	Постановление Правительства Москвы	367	2007-05-15 04:00:00.0
125	Проекты планировки жилых территорий	Постановление Правительства Москвы	749	2007-08-28 04:00:00.0
126	Проекты планировки жилых территорий	Постановление Правительства Москвы	977	2006-12-12 04:00:00.0
127	Проекты планировки жилых территорий	Постановление Правительства Москвы	851	2006-10-31 04:00:00.0
128	Проекты планировки жилых территорий	Постановление Правительства Москвы	368	2007-05-15 04:00:00.0
129	Проекты планировки жилых территорий	Постановление Правительства Москвы	928	2007-10-23 04:00:00.0
130	Проекты планировки жилых территорий	Постановление Правительства Москвы	690	2005-09-13 04:00:00.0
131	Проекты планировки жилых территорий	Постановление Правительства Москвы	800	2005-10-11 04:00:00.0
132	Проекты планировки жилых территорий	Постановление Правительства Москвы	1103	2005-12-28 04:00:00.0
133	Проекты планировки жилых территорий	Постановление Правительства Москвы	809	2005-10-18 04:00:00.0
134	Проекты планировки жилых территорий	Постановление Правительства Москвы	873	2005-11-08 04:00:00.0
135	Проекты планировки жилых территорий	Постановление Правительства Москвы	513	2005-07-19 04:00:00.0
136	Проекты планировки жилых территорий	Постановление Правительства Москвы	792	2005-10-11 04:00:00.0
137	Проекты планировки жилых территорий	Постановление Правительства Москвы	657	2005-08-30 04:00:00.0
138	Проекты планировки жилых территорий	Постановление Правительства Москвы	981	2005-12-06 04:00:00.0
139	Проекты планировки жилых территорий	Постановление Правительства Москвы	371	2006-06-06 04:00:00.0
