1_Номер;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Телефон;1_Режим работы;0_moddate;0_moduser
1;Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 1, САО                                                                                                                                                                     ;Пансионат для ветеранов труда № 1, САО. 125445, Москва, ул. Правобережная, д. 4                                                                                                                                                                               ;125445, Москва, ул. Правобережная, д. 4                                                                                                                                                                                                                       ;-2803,13375;23483,1737;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 457-14-58                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
2;Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 6, ЮЗАО                                                                                                                                                                    ;Пансионат для ветеранов труда № 6, ЮЗАО. 117437, Москва, ул. Островитянова, д. 10                                                                                                                                                                             ;117437, Москва, ул. Островитянова, д. 10                                                                                                                                                                                                                      ;166,104;-3045,937975;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 330-44-29                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
3;Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 9, СЗАО                                                                                                                                                                    ;Пансионат для ветеранов труда № 9, СЗАО. 123480, Москва, ул. Вилиса Лациса д. 2                                                                                                                                                                               ;123480, Москва, ул. Вилиса Лациса д. 2                                                                                                                                                                                                                        ;-4123,256619;22234,80942;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8(495)495-63-91                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
4;Государственное бюджетное учреждение города Москвы Пансионат «Коньково» для ветеранов войны, ЮЗАО                                                                                                                                                             ;Пансионат «Коньково» для ветеранов войны, ЮЗАО. 117321, Москва, ул. Профсоюзная, д. 140, кор. 6                                                                                                                                                               ;117321, Москва, ул. Профсоюзная, д. 140, кор. 6                                                                                                                                                                                                               ;405,914725;-4090,233753;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 339-91-97                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
5;Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 17, ЮВАО                                                                                                                                                                   ;Пансионат для ветеранов труда № 17, ЮВАО. 109386, Москва, ул. Ставропольская, д. 27а                                                                                                                                                                          ;109386, Москва, ул. Ставропольская, д. 27а                                                                                                                                                                                                                    ;16858,43545;2003,030164;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;8(495)  358-31-34                                                                                                                                                                                                                                             ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
6;Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 19, ВАО                                                                                                                                                                    ;Пансионат для ветеранов труда № 19, ВАО. 105484, Москва, 16-я Парковая ул., д. 16                                                                                                                                                                             ;105484, Москва, 16-я Парковая ул., д. 16                                                                                                                                                                                                                      ;20796,60733;14962,34347;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(499) 464-03-89                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
7;Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 29, ЗАО                                                                                                                                                                    ;Пансионат для ветеранов труда № 29, ЗАО. 119501, Москва, ул. Нежинская , д. 2                                                                                                                                                                                 ;119501, Москва, ул. Нежинская , д. 2                                                                                                                                                                                                                          ;-1530,8285;5629,479204;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 442-54-91                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
8;Государственное бюджетное учреждение города Москвы Пансионат для ветеранов труда № 31, ЮЗАО                                                                                                                                                                   ;Пансионат для ветеранов труда № 31, ЮЗАО. 117321, Москва, ул. Островитянова, д. 16 кор. 5                                                                                                                                                                     ;117321, Москва, ул. Островитянова, д. 16 кор. 5                                                                                                                                                                                                               ;510,0263;-3781,816;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 338-19-27                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
9;Государственное бюджетное учреждение города Москвы Дом ветеранов сцены им. Яблочкиной, ВАО                                                                                                                                                                    ;Дом ветеранов сцены им. Яблочкиной, ВАО. 111123, Москва, шоссе Энтузиастов, 88                                                                                                                                                                                ;111123, Москва, шоссе Энтузиастов, 88                                                                                                                                                                                                                         ;19000,52335;11142,5756;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495) 304-01-90                                                                                                                                                                                                                                               ;круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
10;Государственное бюджетное учреждение города Москвы Пансионат для ветеранов войны и труда «Турист», СВАО                                                                                                                                                       ;Пансионат для ветеранов войны и труда «Турист», СВАО. 141850, Московская обл., Дмитровский р-н, п. Деденево                                                                                                                                                   ;141850, Московская обл., Дмитровский р-н, п. Деденево                                                                                                                                                                                                         ;37,521285;56,241882;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;"8 (495) 993-81-54; 8 (496)22-2-12-12                                                                                                                                                                                                                          ";круглосуточно (администрация пн-пт 09.00 – 18.00)                                                                                                                                                                                                             ;12:00:00 AM;                                                                                                    
11;"Государственное бюджетное учреждение города Москвы  социальный жилой дом ""Марьино""                                                                                                                                                                            ";"Государственное бюджетное учреждение города Москвы  социальный жилой дом ""Марьино""                                                                                                                                                                            ";ул.Верхние Поля, д. 34, корп.2                                                                                                                                                                                                                                ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495)770-72-81                                                                                                                                                                                                                                                ;Круглосуточно (администрация пн-пт 09.00-18-00                                                                                                                                                                                                                ;12.03.2013;egip\osoina                                                                                         
12;"Государственное бюджетное учреждение города Москвы комплекс социальных жилых домов ""Митино""                                                                                                                                                                   ";"Государственное бюджетное учреждение города Москвы комплекс социальных жилых домов ""Митино""                                                                                                                                                                   ";Пятницкое шоссе, д.31, к.2                                                                                                                                                                                                                                    ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495)753-26-10                                                                                                                                                                                                                                                ;Круглосуточно (администрация пн-пт 09.00-18-00                                                                                                                                                                                                                ;12.03.2013;egip\osoina                                                                                         
13;"Государственное бюджетное учреждение города Москвы комплекс социальных жилых домов ""Митино""                                                                                                                                                                   ";"Государственное бюджетное учреждение города Москвы комплекс социальных жилых домов ""Митино""                                                                                                                                                                   ";ул.Митинская, д.25, корп.3                                                                                                                                                                                                                                    ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495)753-26-10                                                                                                                                                                                                                                                ;Круглосуточно (администрация пн-пт 09.00-18-00                                                                                                                                                                                                                ;12.03.2013;egip\osoina                                                                                         
14;"Государственное бюджетное учреждение города Москвы комплекс социальных жилых домов ""Митино""                                                                                                                                                                   ";"Государственное бюджетное учреждение города Москвы комплекс социальных жилых домов ""Митино""                                                                                                                                                                   ";Ангелов пер., д.2, корп.1                                                                                                                                                                                                                                     ;0;0;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;(495)753-26-10                                                                                                                                                                                                                                                ;Круглосуточно (администрация пн-пт 09.00-18-00                                                                                                                                                                                                                ;12.03.2013;egip\osoina                                                                                         
