1_Номер маршрута;1_Наименование маршрута;1_Трасса следования ТС;1_Количество ТС;1_ Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы (рабочие/выходные, начало);1_Режим работы (рабочие/выходные, окончание);1_Наименовние перевозчика;0_Координаты Х;0_Координаты Y
551м;"Ст.м.""""Парк культуры"""" - ул.М.Ульяновой";"Ст.м.""""Парк культуры"""" - Комсомольский проспект - Вернадского проспект - Вернадского проспект (дублер) - Марии Ульяновой улица";5;8;15;16,8;М2 класс В;6.00 /  6.30;22.00 /  21.00;"ООО """"БЕТТА-АВТОТРАНС""""";;
553м;"ст.м.""""Октябрьская"""" - ул.Генерала Тюленева";"Ст.м.""""Октябрьская"""" кольцевая (Ленинский проспект) - Ленинский проспект - Теплостанский проезд - Академика Варги улица - Теплый Стан улица - Генерала Тюленева улица (до универсама)";20;5;10;33;М3 класс А;6.30 / 7.00;23.00 / 22.00;"ООО """"БЕТТА-АВТОТРАНС""""";;
554м;"Ст.м.""""Крылатское"""" - ул.Скульптора Мухиной";"ст.м.""""Крылатское"""" - Осенний бульвар - Рублевское шоссе - Ярцевская улица - ст.м.""""Молодежная"""" - Боженко улица - Кубинка улица - Можайское шоссе - Рябиновая улица - МКАД - Боровское шоссе - Шолохова улица - Скульптора Мухиной улица - Федосьино улица - """"ул.Скульптора Мухиной""""";15;5;15;20,4;М2 класс В;6.30 / 7.00;22.00 / 22.30;"ООО """"Авто-Миллениум""""";;
555м;"Ст.м.""""Калужская"""" - ст.м.""""Южная""""";"Ст.м.""""Калужская"""" - Профсоюзная улица - Наметкина улица - Каховка улица - Чонгарский бульвар - Симферопольский бульвар - Чертановская улица - Днепропетровская улица (обратно: Сумская улица) - ст.м.""""Южная""""";15;5;15;18;М2 класс В;6.30 / 7.00;22.00 / 22.30;"ООО """"Авто-Миллениум""""";;
556м;"ст.м.""""Пионерская"""" - ул.Дорогобужская (ул.Витебская)";"ст.м.""""Пионерская"""" - Малая Филевская улица (обратно: Кастанаевская улица) - Минская улица - Кастанаевская улица - Рублевское шоссе - Можайское шоссе - Рябиновая улица - Дорогобужская улица (Витебская улица)";10;4;10;14,9;М2 класс В;6.30 / 7.00;22.00 / 22.30;"ООО """"Авто-Миллениум""""";;
557м;"ст.м.""""Ясенево"""" - ул.Тарусская";"ст.м.""""Ясенево"""" - Тарусская улица - Голубинская улица - Новоясеневский проспект - Литовский бульвар - Тарусская улица (ст.м.""""Ясенево"""")";8;3;8;4;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"АВТО РАССВЕТ""""";;
558м;"ст.м.""""Ясенево"""" - ул.Ясногорская";"ст.м.""""Ясенево"""" - Ясногорская улица - Айвазовского улица - Тарусская улица -Новоясеневский проспект - ст.м.""""Ясенево"""" (Ясногорская улица)";8;3;8;2,8;М2 класс В;7.00 / вых. не раб.;22.00 / вых. не раб.;"ООО """"АВТО РАССВЕТ""""";;
560м;Киевский вокзал - 66-й кв-л Кунцево;Киевский вкз. - ул.Бол.Дорогомиловская - Кутузовский просп. - Можайское ш. - ул.Толбухина - ул.Барвихинская - 66-й кв-л Кунцево;14;5;10;10;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"ПОПУТЧИК""""";;
564м;"ст.м.""""Домодедовская"""" - ТК """"Эмерал""""";МКАД, 25 км - Каширское ш. - Ясеневая ул. - Домодедовская ул. - Ореховый бульв. - Каширское ш. - МКАД, 25 км;7;20;25;14;М2 класс В;8.00 / 8.00;20.00 / 20.00;"ООО """"АвтоСтрим""""";;
565м;"ст.м.""""Каховская"""" - ул.Днепропетровская";"ст.м.""""Каховская"""" - Чонгарский бульв. - ул.Чертановская -  ул.Днепропетровская";5;5;10;5,2;М2 класс В;7.00 / 7.00;21.00 /  21.00;"ООО """"Авто-Тур""""";;
566м;"ст.м.""""Ул.Акад.Янгеля"""" - ул.Красного Маяка";"ст.м.""""Ул.Акад.Янгеля"""" - платф.Покровская - ул.Чертановская - ул.Дорожная - ул.Подольских Курсантов - ул.Красного Маяка - ст.м.""""Пражская"""" (без отстоя)";4;5;10;6,5;М2 класс В;7.00 / 7.00;21.00 / 21.00;"ООО """"Авто-Тур""""";;
567м;"Ст.м.""""Марксистская"""" -  ул.Войтовича (Смирновская ул.)";"Ст.м.""""Марксистская"""" - Таганская ул. - Товарищеский пер. - Сергия Радонежского ул. - шоссе Энтузиастов - Старообрядческая ул.(быв.ул.Войтовича) - Рогожский поселок ул. - Смирновская ул. (обратно Подъемная ул. - Перовский пр. - Нижегородская ул. - Таганская ул.)";5;7;15;11,2;М2 класс В;7.00 / вых.не раб.;21.00 / вых.не раб.;"ООО """"АвтоТУР""""";;
568м;"ст.Тушинская - ст.м.""""Планерная""""";"ст.Тушинская (Колхозный рынок) - Тушинская ул. - ул.Свободы - Алешкинский пр. - ул.Планерная - ст.м.""""Планерная""""";4;5;10;6;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ООО """"ПОПУТЧИК""""";;
569м;платф.Косино - мкр.Жулебино;платф.Косино - ул.Привольная - ул.Авиаконструктора Миля - ул.Кузнецова - ул.Саранская - Хвалынский бульв. - мкр.Жулебино;6;5;10;3,5;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"АС-Авто""""";;
570м;Платф.Каланчевская - 13-я Парковая улица;"платф.Каланчевская - ст.м.""""Комсомольская"""" - Комсомольская площадь - Краснопрудная улица - ст.м.""""Красносельская"""" - Краснопрудная улица - Русаковская улица - ст.м.""""Сокольники"""" - Стромынка улица - Преображенская улица - Преображенская площадь - ст.м.""""Преображенская пл."""" - Большая Черкизовская улица - Окружной проезд - ст.м.""""Черкизовская"""" - Окружной проезд - Большая Черкизовская улица - Щелковское шоссе - Парковая 9-я улица - Сиреневый бульвар - Парковая 13-я улица";10;7;15;27,4;М2 класс В;7.00 / 8.00;19.00 / 18.00;"ООО """"АСТРОЭКСПО""""";;
571м;"платф.Ховрино -  ст.м.""""Отрадное""""";"платф. Ховрино - Путейская улица -Ангарская улица - Коровинское шоссе - Лобненская улица - Дмитровское шоссе - Лианозовский проезд - Череповецкая улица - Алтуфьевское шоссе - Инженерная улица - Путевой проезд - Алтуфьевское шоссе - Декабристов улица - ст. м.""""Отрадное""""";10;15;18;26;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"АСТРОЭКСПО""""";;
572м;"9-й мкр.Солнцево - ст.м.""""Университет""""";"9-й мкр.Солнцево - Новоорловская улица - Новопеределкинская улица - Боровское шоссе - Озерная улица - Мичуринский проспект - Ломоносовский проспект - Менделеевская улица - Академика Хохлова улица - Лебедева улица - Ломоносовский проспект - ст.м.""""Университет""""";10;8;23;32,9;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ООО """"Вест Лайн""""";;
573м;"ст.м.""""Молодежная"""" - ст.м.""""Филевский Парк""""";"ст.м.""""Молодежная"""" - Ярцевская улица - Партизанская улица - Академика Павлова улица - Бобруйская улица - Молодогвардейская улица - Полоцкая улица - Екатерины Будановой улица - Коцюбинского улица - Ивана Франко улица - Житомирская улица - Кастанаевская улица - Минская улица - ст.м.""""Филевский Парк""""";7;5;15;19,1;М2 класс В;7.00 / 8.00;21.00 / 21.00;"ООО """"МТК-АВТОТРАНС""""";;
574м;"ул.Нарофоминская - ст.м.""""Филевский парк""""";"Нарофоминская улица (платф.""""Солнечная"""") - Попутная улица - Авиаторов улица - Щорса улица - Солнцевский проспект - Богданова улица - Боровское шоссе - Озерная улица - Мичуринский проспект - Лобачевского улица - Аминьевское шоссе - Рублевское шоссе - ст.м.""""Кунцевская"""" - Рублевское шоссе (обратный маршрут) - Житомирская улица (обратный маршрут) - Кастанаевская улица - Минская улица - ст.м.""""Филевский парк""""";6;9;16;37,8;М2 класс В;6.00 / 7.00;22.00 / 21.00;"ООО """"Вест Лайн""""";;
575м;"2-й мкр.Солнцево - ст.м.""""Пионерская""""";"2-й мкр.Солнцево - Волынская улица - 50-летия Октября улица - Боровское шоссе - МКАД - Рябиновая улица - Гвардейская улица - Марш.Неделина улица - Красных Зорь улица - Аминьевское шоссе - Рублевское шоссе - Кастанаевская улица (обратно: Мал.Филевская улица - ст.м.""""Кунцевская"""") - ст.м.""""Пионерская""""";10;8;20;32,1;М2 класс В;6.00 / 7.00;21.00 / 20.00;"ООО """"Вест Лайн""""";;
577м;"ст.м.""""Ясенево"""" - Битцевская аллея";"ст.м.""""Ясенево"""" - Ясногорская улица (обратно: Тарусская улица) - Айвазовского улица - Севастопольский проспект - Балаклавский проспект - Чертановская улица - ст.м.""""Чертановская"""" - Чертановская улица - Днепропетровская улица - Битцевская аллея";8;8;15;21;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Вест Лайн""""";;
579м;пос.Толстопальцево - ул.Шолохова (Новопеределкинский рынок);пос.Толстопальцево - платф.Толстопальцево - ул.Центральная - Марушкино - Внуково-3 - Боровское ш. - Изварино - Внуково - Пыхтинское кладбище - Рассказовка - ул.Шолохова - ул.Лукинская - платф.Переделкино - Чоботовская ал. - Боровское ш. - Новопеределкинский рынок;8;12;15;30;М2 класс В;7.00 / 8.00;21.00 / 20.00;"ООО """"Вест Лайн""""";;
580м;"мкр.Изварино- ст.м.""""Беляево""""";"мкр.Изварино - Боровское шоссе - Ликово - Центральная улица (Внуково) - Киевское шоссе - Ленинский проспект - Вернадского проспект - ст.м.""""Юго-Западная"""" - 26 Бакинских комиссаров улица - Миклухо Маклая улица - Профсоюзная улица (разворот) - ст.м.""""Беляево""""";5;15;25;47,3;М2 класс В;7.30 / 8.30;20.30 / 19.30;"ООО """"Вест Лайн""""";;
581м;"ст.м.""""Полежаевская"""" - Крылатское";"ст.м.""""Полежаевская"""" - Хорошевское шоссе - Мневники улица - Народного ополчения улица - Ниж.Мневники улица - Крылатская улица - Рублевское шоссе (дублер) - Крылатские холмы улица - Осенний бульвар - ст.м.""""Крылатское"""" - Крылатское";12;5;10;25,4;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"ГОРОДСКИЕ МАРШРУТЫ""""";;
582м;"ст.м.""""Полежаевская"""" - ст.м.""""Багратионовская""""";"ст.м.""""Полежаевская"""" - Хорошевское шоссе - 4-я Магистральная улица - 1-я Магистральная улица - 1-й Силикатный проезд (обратно: 2-й Силикатный проезд - Мневники улица - Хорошевское шоссе) - Причальный проезд - Шелепихинская набережная - Шмитовский проезд - Бол.Филевская улица - Новозаводская улица - Барклая улица - ст.м.""""Багратионовская""""";10;4;10;15,3;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"ГОРОДСКИЕ МАРШРУТЫ""""";;
584м;"ст.м.""""Сокол"""" - Больница № 67";"ст.м.""""Сокол"""" - ул.Песчаная - ул.Алабяна - ул.Народного ополчения - ст.м.""""Октябрьское поле"""" - ул.Народного ополчения - Карамышевская наб. - ул.Саляма Адиля - Горбольница №67";10;3;5;6;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"ГОРОДСКИЕ МАРШРУТЫ""""";;
585м;Рынок АСТ - Гольяново;Рынок АСТ - 2-я Советская улица -Измайловский проезд - 2-я Прядильная улица - 3-я Парковая улица (обратно: Никитинская улица - 3-я Прядильная улица) - Сиреневый бульвар - 13-я Парковая улица - Чусовская улица - Байкальская улица - Хабаровская улица - Гольяново;15;3;10;16,2;М2 класс В;6.00 / 6.00;18.00 / 18.00;"ООО """"Империал Лайн""""";;
586м;"Рынок АСТ - ст.м.""""Измайловская""""";"Рынок АСТ - Советская улица - Измайловский проезд - 2-я Прядильная улица - Никитинская улица - Первомайская улица - 1-я Парковая улица - Измайловский проспект - ст.м.""""Измайловская"""" Обратно: ст.м.""""Измайловская"""" - 3-я Парковая улица - 3-я Прядильная улица - Советская улица - Рынок АСТ";12;3;10;5,2;М2 класс В;6.00 / 6.00;18.00 / 18.00;"ООО """"Империал Лайн""""";;
587м;"Рынок АСТ - ст.м.""""Семеновская""""";"Рынок АСТ - 2-я Советская улица - Измайловский проезд - Первомайская улица - Измайловское шоссе - ст.м.""""Партизанская"""" - Ткацкая улица - Вельяминовская улица (обратно: Измайловский Вал улица) - Щербаковская улица - ст.м.""""Семеновская""""";10;3;5;9;М2 класс В;6.00 / 6.00;18.00 / 18.00;"ООО """"Империал Лайн""""";;
588м;"Рынок АСТ - ст.м.""""Перово""""";"Рынок АСТ - 2-я Советская улица - Измайловский проезд - Первомайская улица - Главная аллея - Энтузиастов шоссе - 3-я Владимирская улица - Зеленый проспект - ст.м.""""Перово""""                                                                                                                  Обратно: ст.м.""""Перово"""" - 2-я Владимирская улица - Энтузиастов шоссе - Главная аллея - Измайловское шоссе - местный проезд - 2-я Советская улица - Рынок АСТ";15;3;10;14,2;М2 класс В;6.00 / 6.00;18.00 / 18.00;"ООО """"Империал Лайн""""";;
589м;"Рынок АСТ - ст.м.""""Первомайская""""";"Рынок АСТ - ул.2-я Советская - ул.2-я Прядильная - ст.м.""""Первомайская"""" (обратно: ул.9-я Парковая - ул.Верхняя Первомайская - ул.Никитинская - ул.3-я Прядильная - рынок АСТ)";10;5;15;6,9;М2 класс В;6.00 / 6.00;18.00 / 18.00;"ООО """"Империал Лайн""""";;
590м;"Рынок АСТ - ст.м.""""Ул.Подбельского""""";"Рынок АСТ - Советская улица - Измайловский проезд - Прядильная 2-я улица (обратно Прядильная 3-я улица) - Никитинская улица - Сиреневый бульвар - Щелковский проезд - Щелковское шоссе - Черкизовская Большая улица - Халтуринская улица - Просторная улица - Гражданская 4-я улица - Бойцовая улица - Ивантеевская улица (обратно Открытое шоссе - Монтажная улица) - ст.м.""""Ул.Подбельского""""";15;4;10;16;М2 класс В;6.00 / 6.00;18.00 / 18.00;"ООО """"Империал Лайн""""";;
593м;"ст.м.""""Белорусская"""" - Серебряный бор";"ст.м.""""Белорусская"""" - Ленинградский просп. - ул.Беговая - ст.м.""""Беговая"""" - Хорошевское ш. - ст.м.""""Полежаевская"""" - просп.Марш.Жукова - ул.Таманская - Серебряный бор";12;7;8;26;М2 класс В;6.00 / 6.30;0.00 / 23.30;"ООО """"СТАРПРОФИ""""";;
594м;"ст.м.""""Водный стадион"""" - ул.Петрозаводская";"ст.м.""""Водный Стадион"""" - Кронштадтский бульвар - Смольная улица - Флотская ул. - Онежская улица - Петрозаводская улица - """"ул.Петрозаводская""""";5;5;15;9,9;М2 класс В;7.00 / 7.30;0.00 / 23.30;"ООО """"СТАРПРОФИ""""";;
595м;"Ст.м.""""Водный стади-он"""" - ст.м.""""Динамо""""";"Ст.м.""""Водный стадион"""" - Кронштадский бульвар (дублер) - Кронштадский бульвар - Онежская улица - Михалковская улица - Прянишникова улица - Тимиря-зевская улица - Вучетича улица - Соломенной сто-рожки проезд - Башиловская улица - 4-й Вятский проезд - Петровско-Разумовский проезд - Старый Петровско-Разумовский проезд - Петровско-Разумовская аллея - Театральная аллея (обратно: Театральная аллея - Милицейский проезд) - Москов-ская аллея - ст.м.""""Динамо""""";12;6;20;28,8;М2 класс В;6.00 / 6.30;00.00 / 23.30;"ООО """"СТАРПРОФИ""""";;
597м;"ст.м.""""Сокол"""" - Серебряный бор";"ст.м.""""Сокол"""" - Ленинградский просп. - ул.Новопесчаная - ул.Куусинена - Хорошевское ш. - просп.Марш.Жукова - ул.Ген.Глаголева - ул.Марш.Тухачевского - ул.Живописная - просп.Марш.Жукова - ул.Таманская - Серебряный бор";10;6;7;24;М2 класс В;6.00 / 6.30;0.00 / 23.30;"ООО """"СТАРПРОФИ""""";;
598м;"ст.м.""""Сокол"""" - ул.Живописная";"ст.м.""""Сокол"""" - ул.Песчаная - ул.Алабяна - ул.Народного ополчения - ул.Марш.Бирюзова - ул.Расплетина - ул.Берзарина - ул.Ген.Глаголева - ул.Паршина - ул.Живописная";12;5;7;12;М2 класс В;7.00 / 7.30;23.00 / 22.30;"ООО """"СТАРПРОФИ""""";;
599м;"ул.Милашенкова - ст.м.""""Динамо""""";"ул.Милашенкова - ул.Руставели - ул.Бутырская - ул.2-я Квесисская - П.-Разумовский пр. - П.-Разумовская ал. - Театральная ал. - Московская ал. - ст.м.""""Динамо""""";6;8;10;18;М2 класс В;7.00 / 7.30;23.00 / 22.30;"ООО """"СТАРПРОФИ""""";;
600м;"ул.Петрозаводская - ст.м.""""Водный стадион """"";"Петрозаводская улица - Клинская улица - Фестивальная улица - Онежская улица - Флотская улица - Авангардная улица - Кронштадтский бульвар - ст.м.""""Водный стадион""""";6;5;10;18,9;М2 класс В;7.00 / 7.30;23.00 / 22.30;"ООО """"СТАРПРОФИ""""";;
601м;платф.Лосиноостровская - ул.Абрамцевская;платф.Лосиноостровская - Анадырский пр. - ул.Менжинского - ул.Летчика Бабушкина - ул.Осташковская - ул.Широкая  - ул.Лескова - ул.Череповецкая - ул.Абрамцевская;10;8;10;12;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
602м;"ст.м.""""Выхино"""" - Старое Косино";"ст.м.""""Выхино"""" - Кр.Казанец улица - Вешняковская улица - Молдагуловой улица - Новоухтомское шоссе - МРЭО - Муромская улица - Бол.Косинская улица - (Оренбургская улица - Черное Озеро улица) - Старое Косино (Косинская фабрика)";7;3;8;8,5;М2 класс В;7.00 / 7.00;22.00 / 21.00;"ОАО """"Группа Автолайн""""";;
604м;9 мкр.Кожухово - Некрасовка;9 мкр.Кожухово - Лухмановская улица - Рудневка улица - Татьяны Макаровой улица - Святоозерская улица - Лухмановская улица - 8 марта улица - Урицкого улица - Попова улица - Митрофанова улица - Побратимов улица - Комсомольский проспект - Инициативная улица - 2-я Вольская улица (обратно: пр.пр.№83 - Некрасовская улица - пр.пр.№84 - 1-я Вольская улица) - Некрасовка;5;8;20;20,8;М2 класс В;6.00 / 6.00;22.00 / 22.00;"ООО """"ММТ""""";;
605м;Юрловский пр. - платф.Лось;"Юрловский проезд - Мусоргского улица - Декабристов улица - ст.м.""""Отрадное"""" - Северный бульвар - Дежнева проезд - Менжинского улица - ст.м. """"Бабушкинская"""" - Менжинского улица - Изумрудная улица - 1-я Напрудная улица - Малыгина улица - Челюскинская улица - Анадырский проезд - платф.Лось";9;7;15;22,5;М2 класс В;8.00 / 8.00;20.00 / 20.00;"ООО """"Транс-Вей""""";;
606м;"ст.м.""""Медведково"""" - ул.Корнейчука";"ст.м.""""Медведково"""" - Грекова улица - Широкая улица - Корнейчука улица - ул.Корнейчука, д.24";5;5;15;11;М2 класс В;7.00 / 7.00;23.00 / 23.00;"ОАО """"Группа Автолайн""""";;
607м;"ст.м.""""Варшавская"""" - ст.м.""""Каширская""""";"ст.м.""""Варшавская"""" - Каширский проезд - 1-й Варшавский проезд - 2-й Котляковский переулок - Котляковская улица - Москворечье улица - проект.проезд №3888 - ст.м.""""Каширская""""";6;4;10;7,8;М2 класс В;8.00 / 8.00;20.00 / 20.00;"ОАО """"Группа Автолайн""""";;
609м;"ст.м.""""Отрадное"""" - платф.Лосиноостровская";"ст.м.""""Отрадное - Декабристов улица - Римского-Корсакова улица - Юрловский проезд - Дежнева проезд - Ясный проезд - Молодцова улица - Шокальского проезд - Дежнева проезд - ст.м.""""Бабушкинская - Менжинского улица - Анадырский проезд - платф.Лосиноостровская";15;4;10;21,7;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
610м;"ст.м.""""Выхино"""" - Самаркандский бульвар";"ст.м.""""Выхино"""" - Хлобыстова улица - Ташкентская улица - Ташкентский переулок - Самаркандский бульвар";8;4;8;6,4;М2 класс В;7.00 / 7.00;23.00 / 23.00;"ООО """"МЕНТОР 1""""";;
611м;"ст.м.""""Кузьминки"""" - Волжский бульвар - ст.м.""""Кузьминки""""";"ст.м.""""Кузьминки"""" - Маршала Чуйкова улица - проезд вдоль Волжского бульвара - проезд вдоль Волгоградского проспекта - ст.м.""""Кузьминки"""" (кольцевой)";5;3;10;4,2;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"МЕНТОР 1""""";;
612м;"ст.м.""""Волжская"""" - просп.40-летия Октября";"ст.м.""""Волжская"""" - Краснодонская улица - Тихая улица (обратно: Ставропольская улица) - Ейская улица - 40-летия Октября проспект";6;3;10;5,4;М2 класс В;7.00 / 7.00;23.00 / 23.00;"ООО """"МЕНТОР 1""""";;
613м;"ст.м.""""Кузьминки"""" - ул.Цимлянская";"ст.м.""""Кузьминки"""" - Маршала Чуйкова улица (обратно Юных Ленинцев улица - Зеленодольская улица) - Краснодонская улица - Спортивный проезд - Таганрогская улица - Ставропольская улица - Марьинский Парк улица - Тихорецкий бульвар - Краснодарская улица - Цимлянская улица (обратно - Белореческая улица)";6;5;15;13,9;М2 класс В;7.00 / 7.00;21.00 / 21.00;"ОАО """"Группа Автолайн""""";;
614м;"ст.м.""""Пражская"""" - ул.Медынская";"ст.м.""""Пражская"""" - Красного Маяка улица - Подольских Курсантов улица - Харьковская улица (обратно: Булатниковский проезд - Харьковская улица) - Медынская улица";5;6;12;11,9;М2 класс В;6.30 / 7.30;22.30 / 21.30;"ООО """"Орбита XXI век""""";;
615м;"ст.м.""""Речной вокзал"""" - ст.м.""""Речной вокзал"""" (кольцевой)";"ст.м.""""Речной вокзал"""" - Фестивальная улица - Зеленоградская улица - платф.Ховрино - Дыбенко улица - Лавочкина улица - Фестивальная улица - ст.м.""""Речной вокзал"""" (кольц.)";7;3;6;8,6;М2 класс В;6.00 / 6.00;23.00 / 23.00;"ООО """"Тариконс""""";;
616м;"ст.м.""""Проспект Вернадского"""" - ст.м.""""Новые Черемушки""""";"Ст.м.""""Проспект Вернадского"""" - Вернадского проспект - Кравченко улица - Академика Пилюгина улица - Гарибальди улица - ст.м.""""Новые Черемушки""""";10;3;6;8,3;М2 класс В;8.00 / 8.00;20.00 / 20.00;"ООО """"Транс-Вей""""";;
617м;платф.Перово - Ивановское;"платф.Перово - ул.Кусковская - ст.м.""""Перово"""" - Зеленый просп. - ст.м.""""Новогиреево"""" - Свободный просп. - Саянская ул. - Ивановское";10;10;12;17;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа Автолайн""""";;
618м;Алтуфьевское ш. - Осташковское ш.;"Алтуфьевское ш. - ул.Бибиревская (обратно: ул.Костромская) - ст.м.""""Бибирево"""" - ул.Плещеева - ул.Широкая - ст.м.""""Медведково"""" - ул.Широкая - Осташковское ш.";5;5;7;8;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
619м;"ст.м.""""Марьино"""" - ул.Алма-Атинская";"ст.м.""""Марьино"""" - Люблинская улица - Братеевский мост - Хордовый проезд - Братеевская улица - Ключевая улица - Борисовский пруды улица - Алма-Атинская улица";11;3;10;10,7;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа Автолайн""""";;
620м;"ст.м.""""Царицыно"""" - ул.Бирюлевская";"ст.м.""""Царицыно"""" - Каспийская улица - Липецкая улица - Лебедянская улица - Бирюлевская улица";8;4;10;9,2;М2 класс В;6.30 / 7.30;22.30 / 21.30;"ООО """"Орбита XXI век""""";;
622м;"ст.м.""""Пражская"""" - Востряковский пр.";"ст.м.""""Пражская"""" - Красного Маяка улица - Подольских Курсантов улица - Харьковская улица - Медынская улица - Булатниковская улица - Булатниковский проезд - Востряковский проезд";6;5;10;14,1;М2 класс В;6.30 / 7.30;22.30 / 21.30;"ООО """"Орбита XXI век""""";;
623м;"Ст.м.""""Текстильщики"""" - Ст.м.""""Красногвардейская""""";"Ст.м.""""Текстильщики"""" - Люблинская ул. - ул.Мусы Джалиля -Ст.м.""""Красногвардейская""""";17;4;12;23;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа Автолайн""""";;
624м;"Ст.м.""""Братиславская"""" - Ст.м.""""Марьино""""";"Ст.м.""""Братиславская"""" - Братиславская ул. - Поречная ул. - Луговой пр. - Новомарьинская ул. - Ст.м.""""Марьино""""";6;5;15;8,4;М2 класс В;6.00 / 6.00;23.00 / 23.00;"ООО """"С-Двиг""""";;
625м;"ст.м.""""Кузьминки"""" - Жулебинский бульвар";"ст.м.""""Кузьминки"""" - Волгоградский проспект - Новорязанское шоссе - Маршала Полубоярова улица - Авиаконструктора Миля улица - Привольная улица - Саранская улица - Жулебинский бульвар (пересечение с Саранской улицей)";6;6;15;17,5;М2 класс В;6.00 / 6.00;23.00 / 23.00;"ООО """"С-Двиг""""";;
627м;ул.Плеханова - ул.Саянская;ул Плеханова - Зеленый просп. - ул.Молостовых - ул.Сталеваров - ул.Саянская;8;5;10;7,2;М2 класс В;6.00 / 6.00;23.00 / 23.00;"ООО """"С-Двиг""""";;
628м;"Ст.м.""""Отрадное"""" - Ст.м.""""Ботанический сад""""";"Ст.м.""""Отрадное"""" - Хачатуряна улица - (обратный маршрут: Санникова улица - Декабристов улица) - Отрадная улица - Олонецкая улица - Березовая аллея - Серебрякова проезд - Ст.м.""""Ботанический сад""""";7;5;15;8,9;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
629м;"Ст.м.""""Юго-Западная"""" - Славянский бульвар""""";"Ст.м.""""Юго-Западная"""" (Вернадского проспект) - Покрышкина улица - Никулинская улица - Проектируемый проезд № 1980 - Большая Очаковская улица - Лобачевского улица - Аминьевское шоссе - Матвеевская улица - платф.""""Матвеевская"""" - Веерная улица - Нежинская улица - Давыдковская улица - Кременчугская улица (обратно: Давыдковская улица) - Славянский бульвар";8;8;15;26,6;М3 класс I;7.00 / 7.00;22.00 / 22.00;ЗАО Транспортная фирма Очаково;;
630м;"платф.Очаково - ст.м.""""Юго-Западная""""";"Платф.Очаково - Пржевальского улица - Озерная улица - Проектируемый проезд 1980 - Никулинская улица - Покрышкина улица - Вернадского проспект - ст.м.""""Юго-Западная""""";8;4;10;9;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ОАО """"Группа Автолайн""""";;
631м;"ст.м.""""Тушинская"""" - ст.м.""""Строгино""""";"ст.м.""""Тушинская"""" - Стратонавтов проезд - Сходненский тупик - Волоколамское шоссе - МКАД - Мякининский проезд - Кулакова улица (обратно: Неманский проезд) - Строгинский бульвар - ст.м.""""Строгино""""";6;6;15;15;М2 класс В;7.00 / 7.00;22.00 / 21.45;"ОАО """"Группа Автолайн""""";;
632м;ул.Магнитогорская - платф.Кусково;"Магнитогорская улица - Мал.Купавенский проезд - Челябинская улица - Бол.Купавенский проезд - Свободный проспект - Металлургов улица (обратно: Напольный проезд - 2-й Проспект - Саперный проезд) - 2-я Владимирская улица - ст.м.""""Перово"""" - 2-я Владимирская улица - Новотетерки улица - платф.Кусково";8;5;15;16,9;М2 класс В;6.00 / 6.00;23.00 / 23.00;"ООО """"С-Двиг""""";;
633м;"Ст.м.""""Кузьминки"""" - мкр.Марьино-2";"Ст.м.""""Кузьминки"""" - Маршала Чуйкова улица - Юных Ленинцев улица (обратный маршрут) - Зеленодольская улица (обратный маршрут) - Краснодонская улица - ст.м.""""Волжская"""" - Краснодонская улица - Братиславская улица - Перерва улица - ст.м.""""Братиславская"""" - Мячковский бульвар - Поречная улица - Люблинская улица (боковой проезд) - ст.м.""""Марьино"""" - Новочеркасский бульвар - микрорайон Марьино-2";10;7;15;18,7;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ООО """"СПЕЙССТАЙЛ""""";;
635м;Шипиловский пр. - Ореховый бульвар;"Шипиловский проезд - ст.м.""""Орехово"""" - Шипиловский проезд - Ореховый бульвар - Домодедовская улица - Ясеневая улица - Елецкая улица - Воронежская улица - Ген.Белова улица - Ореховый бульвар";4;7;15;11,7;М2 класс В;7.00 / 8.00;22.00 / 22.00;"ООО """"СПЕЙССТАЙЛ""""";;
