1_Номер маршрута;1_Наименование маршрута;1_Трасса следования ТС;1_Количество ТС;1_ Интервальность движения (минимум);1_Интервальность движения (максимум);1_Протяженность;1_Тип ТС;1_Режим работы (рабочие/выходные, начало);1_Режим работы (рабочие/выходные, окончание);1_Наименовние перевозчика;0_Координаты Х;0_Координаты Y
668м;Внуково - платф.Толстопальцево;ул.Центральная (Внуково) - Боровское шоссе - дорога на Толстопальцево - Советская улица - платф.Толстопальцево;8;4;15;18,3;М2 класс В;7.00 / 8.00;19.00 / 20.00;ЗАО Транспортная фирма Очаково;;
669м;"ст.м.""""Выхино"""" - мкр.Жулебино";"ст.м.""""Выхино"""" - Хлобыстова улица - Рязанский проспект - Лермонтовский проспект - 4-ый Люберецкий проезд - Генерала Кузнецова улица - Авиаконструктора Миля улица - мкр.Жулебино";10;4;8;12;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа Автолайн""""";;
670м;"ст.м.""""Коломенская"""" - Нагатинский затон";"Ст.м.""""Коломенская"""" (Андропова проспект) - Новинки улица - Кленовый бульвар (обратный маршрут) - Коломенская улица - Нагатинский затон";7;4;10;8,6;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа Автолайн""""";;
671м;"ст.м.""""Калужская"""" - Бирюлево Западное";"Ст.м.""""Калужская"""" - Хлебобулочный проезд - Научный проезд - Обручева улица - Балаклавский проспект - Чертановская улица - Сумской проезд - Кировоградская улица - ст.м.""""Южная"""" - ст.м.""""Пражская"""" - Подольских курсантов улица - Харьковская улица - Медынская улица - Булатниковская улица - Булатниковский проезд - Востряковский проезд (Бирюлево-Западное)";12;8;12;32,4;М2 класс В;7.30 / 7.30;21.30 / 21.30;"ОАО """"Группа Автолайн""""";;
672м;"ст.м.""""Октябрьское поле"""" - пос.Главмосстроя";"ст.м.""""Октябрьское поле"""" - Народного Ополчения улица - Ниж.Мневники улица - Главмосстроя проезд - пос.Главмосстроя";5;5;15;10,4;М2 класс В;7.00 / 7.00;23.00 / 23.00;"ООО """"СТАРПРОФИ""""";;
673м;"ст.м.""""Речной вокзал"""" - Бусиново";"ст.м.""""Речной вокзал"""" - Фестивальная улица - Лавочкина улица - Дыбенко улица - Библиотечный проезд - Маршала Федоренко улица - Бусиновская горка улица - Бусиново";5;5;10;10,6;М2 класс В;6.00 / 6.00;23.00 / 23.00;"ОАО """"Группа Автолайн""""";;
674м;"ул.Днепропетровская - ст.м.""""Южная""""";"ул.Днепропетровская - ст.м.""""Южная"""" (обратно: ул.Сумская - ул.Чертановская)";3;8;12;5;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ОАО """"Группа Автолайн""""";;
675м;"платф.Лось - ст.м.""""ВДНХ""""";"платф.Лось - Егора Абакумова улица - Палехская улица - Малыгинский проезд - Проходчиков улица - Ярославское шоссе - Мира проспект - ст.м.""""ВДНХ""""";15;5;5;18,1;М2 класс В;7.00 / 7.00;22.00 / 22.00;"ООО """"Тариконс""""";;
677м;"ст.м.""""Петровско-Разумовская"""" - платф.Лианозово";"ст.м.""""Петровско-Разумовская"""" - Линии Октябрьской ж/д улица - Дмитровское шоссе - Дубнинская улица (обратно: Дегунинский проезд - Бескудниковский бульвар) - Керамический проезд - платф.Лианозово";12;4;10;14,9;М2 класс В;7.00 / 7.00;23.00 / 23.00;"ОАО """"Группа Автолайн""""";;
685м;пос.Северный - ул.Абрамцевская;"пос.Северный - 4-я Северная линия (3-я Северная линия) - 7-я Северная линия - 8-я Северная линия - Дмитровское ш. - Лианозовский пр. - ул.Череповецкая - ст.м.""""Алтуфьево"""" - Алтуфьевское ш. - Вологодский пр. - ул.Абрамцевская";10;8;10;8;М2 класс В;7.00 / 8.00;22.00 / 21.00;"ООО """"Таксомоторный парк № 20""""";;
