0_OBJECTID;0_Shape;0_UID;1_Название;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4202767.521499999 7499359.310800001);6538.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1469;ГБОУ ЦО № 1469;109462, г. Москва, ул. Юных Ленинцев, д. 45, корп. 2;16086.6967039;3945.71196036;2704685.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;(499) 179-88-57;http://co1469.ru
2;POINT (4201903.057700001 7492679.023500003);6555.0;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1877 """"Люблино""""";"ГБОУ ЦО № 1877 """"Люблино""""";109382, г. Москва, ул. Краснодонская, д. 40;15611.791925;177.49452682;2129817.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;351-00-00;http://sch1877.uvuo.ru/
3;POINT (4177067.5909 7493247.394500002);6625.0;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1311 """"Тхия""""";ГБОУ ЦО № 1311 «Тхия»;119421, г.Москва, Ленинский проспект, дом 97, корпус 1;1572.941575;470.97879755;2113288.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;(499) 132-32-56;http://sch1311.msk.ort.ru
4;POINT (4182342.838399999 7472374.3094);6672.0;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1681 """"Бутово-3""""";"ГБОУ ЦО № 1681 """"Бутово-3""""";117216, г. Москва, бульвар Дмитрия Донского, д. 14А;4566.51718275;-11315.694762;2132007.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;711-51-63;http://school1681.mosuzedu.ru
5;POINT (4203915.580400001 7491069.565300003);6536.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1458;ГБОУ ЦО № 1458;109451,  г.Москва Перервинский б-р, д.10, корп. 1;16752.8565;-726.25637623;2703158.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;"(495) 346-25-10; (495) 346-25-11; (495) 346-45-50; (495) 345-34-45; (495) 345-26-01; (499) 772-89-70; (499) 722-79-50; (499) 722-79-51";http://co1458.ru/
6;POINT (4190765.7161 7507554.449299999);6823.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 497;ГБОУ ЦО № 497;109240 г. Москва, 1-ый Котельнический пер., д.5;9298.61330319;8542.38249459;4300369.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;(495) 915-30-55;http://www.co497.cao.mskobr.ru
7;POINT (4184294.5527999997 7514668.041100003);6861.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1447 имени Н.А.Островского;ГБОУ ЦО № 1447;125047 г.Москва, 4-й Лесной переулок, д.6;5642.6392000000005;12539.2498594;4303651.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;"(499) 250-23-03; (499) 251-24-06; (499) 251-50-00; (499) 251-39-95";http://coc1447.mskobr.ru/
8;POINT (4186886.1666 7538257.711900003);7102.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 1682;ГБОУ ЦО № 1682;127543 г. Москва, ул. Белозерская, д.7;7082.2883;25789.604406;2109141.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;"(499) 206-64-77; (499) 206-45-50; (499) 206-82-00; (499) 206-82-01";http://www.co1682.svao.mskobr.ru
9;POINT (4179434.7470999993 7481675.432999998);6676.0;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1694 """"Ясенево""""";"ГБОУ ЦО № 1694 """"Ясенево""""";117593, г. Москва, Литовский бульвар, дом 11, корпус 6;2915.0375000000004;-6060.06510767;3000594.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;426-77-88;http://co1694.ru
10;POINT (4185723.544399999 7512668.247599997);6801.0;Государственное бюджетное образовательное учреждение города Москвы центр образования № 175;ГБОУ ЦО № 175;127006 г.Москва, Старопименовский пер., д.5;6449.7390000000005;11415.3761027;2117991.0;;;;;Бюджетное;Общеобразовательное учреждение;Центр образования;"(495) 699-88-00; (495) 694-20-68";http://175school.ru
