"0_ID";"1_Наименование";"0_LABEL";"1_Адрес";"0_X";"0_Y";"0_BUI_NO_BTI";"0_CAD_NO";"0_STREET_BTI";"0_HOUSE_BTI";"0_HADD_BTI";"1_Округ";"1_Район";"0_UNOM";"0_Площадь";"0_Собственник_СО";"1_Собственник"
"000007808";"Кофе Хаус. Эспрессо и Капучино Бар";"Сокольническая пл. 9";"Сокольническая пл. 9";"37,680862";"55,78998";;;;;;"ВАО";"Сокольники";"260 061";"80";"Кофе Хаус. Эспрессо и Капучинно Бар""";"Кофе Хаус Эспрессо и Капучино Бар"
"000007809";"Кофе Хаус. Эспрессо и капучино Бар ООО";"Сокольническая пл. 9";"Сокольническая пл. 9";"37,680862";"55,789895";;;;;;"ВАО";"Сокольники";"260 061";"80";"КОФЕ ХАУС. ЭСПРЕССО И КАРУЧИНО БАР.";"КОФЕ ХАУС. ЭСПРЕССО И КАПУЧИНО БАР"
"000007810";"ИнтерСтройТрейд";"Сокольническая пл. 9А";"Сокольническая пл. 9А";"37,679616999";"55,790782";;;;;;"ВАО";"Сокольники";"2 402 137";"119";"ИНТЕРСТРОЙТРЕЙД";"ИНТЕРСТРОЙТРЕЙД"
"000007811";"АСЕЛЬ";"Сокольническая пл. 4А";"Сокольническая пл. 4А";"37,678308";"55,790438";;;;;;"ВАО";"Сокольники";"2 402 136";"36";"АСЕЛЬ";"АСЕЛЬ"
"000007812";"Лаззат";"Русаковская ул. 27";"Русаковская ул. 27";"37,677214";"55,7868429999999";;;;;;"ВАО";"Сокольники";"22 198";"45";"Лаззат-кафе";"УГОЛ"
"000007813";"Общественное питание на Жулебинский б-р, 25";"Жулебинский бульв. 25";"Жулебинский бульв. 25";"37,853216999";"55,6903";;;;;;"ЮВАО";"Выхино-Жулебино";"67 407";"50";"Сезонное кафе";"Стрелец"
"000007814";"Общественное питание на Привольная, 65/32";"Привольная ул. 65/32";"Привольная ул. 65/32";"37,849519";"55,681088";;;;;;"ЮВАО";"Выхино-Жулебино";"67 381";"50";"Сезонное кафе, ул. Привольная, д. 65/32";"Вояж"
"000007815";"Общественное питание на Привольная, 13";"Привольная ул. 13 к. 1";"Привольная ул. 13 к. 1";"37,838546";"55,700077";;;;;;"ЮВАО";"Выхино-Жулебино";"31 799";"50";"Сезонное кафе, ул. Привольная, д. 13, к. 1";"ГЛАВЧАЙПРОМ"
"000007816";"Общественное питание на Ул. Хлобыстова, 22";"ул. Хлобыстова 20 к. 2";"ул. Хлобыстова 20 к. 2";"37,8118229999999";"55,716896999";;;;;;"ЮВАО";"Выхино-Жулебино";"27 966";"50";"Сезонное кафе, ул. Хлобыстова, д. 22";"Бар на Ждановской"
"000007818";"Сезонное кафе, ул. Хлобыстова, д. 26";"ул. Хлобыстова 20 к. 2 с. 2";"ул. Хлобыстова 20 к. 2 с. 2";"37,8102";"55,716158";;;;;;"ЮВАО";"Выхино-Жулебино";"2 710 563";"50";"Сезонное кафе, ул. Хлобыстова, д. 26";"НОА ТЦ Выхино"
