0_OBJECTID;0_Shape;0_UID;1_Название;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4178499.905299999 7495673.854099996);6366.0;Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 2558;ГБОУ ЦРР - детский сад № 2558;119261, г.Москва, Ленинский проспект, д. 76 А;2381.83203571;1839.6745103;2101120.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Центр развития ребенка – детский сад;131-91-92;http://ds2558.ru/
2;POINT (4194517.116300002 7529070.9608);7129.0;Государственное бюджетное образовательное учреждение города Москвы дом юного техника;ГБОУ ДЮТ;129337, г.Москва, Ярославское шоссе, д.2. к.2;11383.8182;20643.9748502;30593.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Дом;"(499) 188-78-44; (499) 183-39-91";http://www.goudut.ru
3;POINT (4136048.5122999996 7554520.669500001);7518.0;Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения;ГБОУ ЦПМСС;124683, г. Москва, Зеленоград, корп. 1554;-21440.1987;34948.2146186;32036.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-медико-социального сопровождения;(499) 738-50-20;http://www.cpmss.1gb.ru
4;POINT (4202575.557 7504888.963399999);6927.0;Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества;ГБОУ ЦРТДиЮ;109202, г. Москва, 2-ой Карачаровский проезд, д. 1/1;15966.9798194;7060.58305671;2128877.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр развития творчества детей и юношества;174-72-45;http://www.crtdiju.ru
5;POINT (4177415.2978000008 7495354.402500004);6974.0;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат VIII вида № 108;ГБОУ СКОШИ № 108;119331, г. Москва, ул. Крупской, дом 9;1769.0385;1659.2812993;2113285.0;;;;;Бюджетное;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья;Специальная (коррекционная) общеобразовательная школа-интернат;138-53-29;http://int108.ru
6;POINT (4189033.8222999983 7515053.115500003);8762.0;"Государственное бюджетное образовательное учреждение города Москвы ""Московский дом научно-технического и художественного творчества обучающихся и студентов профессионального образования""";ГБОУ МДНТХТ ОСПО;129110 г. Москва, ул.Щепкина, д.38, стр.1;8313.59850772;12760.0222613;2126238.0;;;;;Бюджетное;Структура управления образования;Центр (структуры управления образования);(495) 684-45-84;http://www.md-ntxt.ru
7;POINT (4157964.9384000003 7516117.201499999);864.0;Государственное бюджетное образовательное учреждение города Москвы дом детского творчества «Рублево»;ГБОУ  ДДТ «Рублево»;121500 Набережная улица, 19;-9196.72271577;13360.9061657;2128167.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Дом детского творчества;(499) 727-10-85;http://ddt-rublevo.mskzapad.ru
8;POINT (4192389.041099999 7505452.192100003);8475.0;Государственное бюджетное образовательное учреждение города Москвы детский центр технического творчества;ГБОУ ДЦТТ;109044 г. Москва, Лавров пер., д.9;10217.200075;7360.70681373;2124600.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;676-45-46;http://dcttm.ru
9;POINT (4163633.1451000012 7506723.808499999);868.0;"Государственное бюджетное образовательное учреждение города Москвы центр внешкольной работы ""Синегория""";"ГБОУ ЦВР ""Синегория""";121359, г.Москва, ул. партизанская, д. 45;-6009.840675;8069.51439008;2127081.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;(499) 141-01-41;http://cvr-sinegoriya.mskzapad.ru
10;POINT (4198119.100400001 7508821.479500003);8480.0;"Государственное бюджетное образовательное учреждение Московский городской детско-юношеский центр ""Юный автомобилист""";"ГБОУ МГДЮЦ ""Юный автомобилист""";111024 Энтузиастов шоссе, д. 16;13445.100025;9266.31870187;2120506.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;918-07-50;http://mgkua.narod.ru
