"0_Код объекта";"1_Наименование объекта";"1_Адрес объекта";"0_Координата X";"0_Координата Y";"1_Округ";"1_Район";"1_Вид объекта";"1_Период размещения";"1_Дата начала срока размещения";"1_Дата окончания срока размещения";"1_Номер свидетельства";"1_Дата выдачи свидетельства";"1_Специализация"
"000000111";"Акватоник";"ул. Амундсена 21Г";"37,654978";"55,855502";"СВАО";"Свиблово";"Модульный объект";"с 1 января по 31 декабря";"31.08.2011";"30.08.2014";"300-000367";"15.09.2011";"Табак"
"000000112";"Анкор";"ул. Пестеля 6Б";"37,618774";"55,864759";"СВАО";"Отрадное";"Модульный объект";"с 1 января по 31 декабря";"01.09.2011";"31.08.2014";"300-000373";"15.09.2011";"Гастрономия"
"000000113";"овощи и фрукты на Дмитровское ш., вл. 165Д, к. 2";"Дмитровское шоссе 165Д к. 2";"37,541202";"55,921472";"СВАО";"Северный";"Модульный объект";"с 1 января по 31 декабря";"23.07.2011";"22.07.2014";"300-000301";"28.07.2011";"Овощи и фрукты"
"000000114";"гастрономия на ул. Новоалексеевская, вл. 5";"Новоалексеевская ул. 5";"37,640772999";"55,807697";"СВАО";"Алексеевский";"Модульный объект";"с 1 января по 31 декабря";"29.08.2011";"28.08.2014";"300-000357";"01.09.2011";"Гастрономия"
"000000115";"Дилинг Сити";"ул. Амундсена 21Г";"37,654925";"55,855616999";"СВАО";"Свиблово";"Модульный объект";"с 1 января по 31 декабря";"30.08.2011";"29.08.2014";"300-000372";"15.09.2011";"Печать"
"000000116";"Маркон 33";"ул. Менжинского 32";"37,665272";"55,86984";"СВАО";"Бабушкинский";"Модульный объект";"с 1 января по 31 декабря";"07.09.2011";"06.09.2014";"300-000359";"01.09.2011";"Кафе"
"000000117";"РБ Комбинат питания";"пр. Русанова 3 с. 1";"37,6511";"55,855154";"СВАО";"Свиблово";"Модульный объект";"с 1 января по 31 декабря";"01.09.2011";"31.08.2014";"300-000387";"19.09.2011";"Хлеб"
"000000107";"БРПИ";"ул. Римского-Корсакова 20";"37,608828";"55,874478";"СВАО";"Отрадное";"Модульный объект";"с 1 января по 31 декабря";"30.08.2011";"29.08.2014";"300-000363";"02.09.2011";"Мороженое"
"000000108";"Васильченко";"ул. Амундсена 21Г";"37,654962";"55,855536";"СВАО";"Свиблово";"Модульный объект";"с 1 января по 31 декабря";"01.09.2011";"31.08.2014";"300-000386";"19.09.2011";"Мороженое"
"000000109";"ЛабутинО.В.";"пр. Русанова 2Г";"37,646143";"55,856001";"СВАО";"Свиблово";"Модульный объект";"с 1 января по 31 декабря";"13.09.2011";"12.09.2014";"300-000426";"20.09.2011";"Бытовые услуги"
"000000110";"Сорокина Г.М.";"Абрамцевская ул. 8А";"37,576491";"55,895974";"СВАО";"Лианозово";"Модульный объект";"с 1 января по 31 декабря";"01.09.2011";"31.08.2014";"300-000390";"19.09.2011";"Овощи и фрукты"
"000000005";"мороженое на ул. Бориса Галушкина, вл. 15";"ул. Бориса Галушкина 15";"37,658047";"55,824675";"СВАО";"Алексеевский";"Модульный объект";"с 1 января по 31 декабря";"01.07.2011";"31.12.2014";;;"Мороженое"
"000000006";"кафе на Рижский проезд, вл. 4-6";"Рижский пр. 6 к. 1";"37,662518";"55,814572";"СВАО";"Алексеевский";"Модульный объект";"с 1 января по 31 декабря";"20.08.2011";"19.08.2014";"300-000346";"29.08.2011";"Кафе"
"000000007";"хлеб на Рижский проезд, вл. 4";"Рижский пр. 4";"37,661469";"55,81383";"СВАО";"Алексеевский";"Модульный объект";"с 1 января по 31 декабря";"21.07.2011";"20.07.2014";;;"Хлеб"
"000000008";"Бытовое обслуживание на ул. Комдива Орлова, вл.6";"ул. Комдива Орлова 6";"37,581904";"55,841682";"СВАО";"Марфино";"Модульный объект";"с 1 января по 31 декабря";"21.07.2011";"20.07.2014";"300-000290";"26.07.2011";"Бытовые услуги"
"000000009";"кафе на проспект Мира, 112-114";"просп. Мира 112";"37,638112";"55,807803";"СВАО";"Алексеевский";"Модульный объект";"с 1 января по 31 декабря";"21.07.2011";"20.07.2014";"300-000286";"26.07.2011";"Кафе"
"000000010";"мороженое на проспект Мира, 112-114";"просп. Мира 112";"37,638096";"55,807815";"СВАО";"Алексеевский";"Модульный объект";"с 1 января по 31 декабря";"21.07.2011";"20.07.2014";"300-000284";"26.07.2011";"Мороженое"
"000000011";"овощи и фрукты на ул. Бориса Галушкина, вл. 15";"ул. Бориса Галушкина 15";"37,658063";"55,824678";"СВАО";"Алексеевский";"Модульный объект";"с 1 января по 31 декабря";"23.07.2011";"22.07.2014";;;"Овощи и фрукты"
"000000012";"табак на Рижский проезд, вл. 4";"Рижский пр. 4";"37,661491";"55,813856";"СВАО";"Алексеевский";"Модульный объект";"с 1 января по 31 декабря";"02.08.2011";"01.08.2014";"300-000335";"05.08.2011";"Табак"
"000000002";"гастрономия на ул. Костромская, вл. 16";"Костромская ул. 16";"37,597788";"55,884475";"СВАО";"Алтуфьевский";"Модульный объект";"с 1 января по 31 декабря";"19.07.2011";"18.07.2014";"300-000261";"22.07.2011";"Гастрономия"
"000000003";"рыба на Рижский проезд, вл. 4";"Рижский пр. 4";"37,661474";"55,813841";"СВАО";"Алексеевский";"Модульный объект";"с 1 января по 31 декабря";"26.07.2011";"25.07.2014";;;"Рыба"
"000000004";"табак на ул. Ярославская, вл. 13";"Ярославская ул. 13 к. 1";"37,646326";"55,819160999";"СВАО";"Алексеевский";"Модульный объект";"с 1 января по 31 декабря";"21.07.2011";"20.07.2014";;;"Табак"
"000000013";"Овощи и фрукты на ул. Белозерская, вл. 23!";"Белозерская ул. 23";"37,622024999";"55,896324";"СВАО";"Бибирево";"Модульный объект";"с 1 января по 31 декабря";"23.07.2011";"22.07.2014";;;"Овощи и фрукты"
"000000118";"Торговый дом ""Столичный""";"пр. Русанова 3 с. 1";"37,650949";"55,855194";"СВАО";"Свиблово";"Модульный объект";"с 1 января по 31 декабря";"30.08.2011";"29.08.2014";;;"Гастрономия"
"000000119";"Ахтамар 2000";"Снежная ул. 18";"37,646936999";"55,851774";"СВАО";"Свиблово";"Модульный объект";"с 1 января по 31 декабря";"01.09.2011";"31.08.2014";"300-000385";"19.09.2011";"Хлеб"
"000000217";"мороженое на Яблочкова,21";"ул. Яблочкова 21";"37,579066";"55,819712";"СВАО";"Бутырский";"Модульный объект";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";"300-000505";"16.11.2011";"Мороженое"
"000013497";"Овощи и фрукты на Садовнический пр.";"Садовнический пр.";"37,628971";"55,741647";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Овощи и фрукты"
"000013498";"РС Айсберри";"Баррикадная ул.";"37,580407";"55,760592999";"ЦАО";"Пресненский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-000543";"20.01.2012";"Мороженое"
"000013499";"Овощи и фрукты на Садовнический пр.";"Садовнический пр.";"37,629011";"55,741668999";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Овощи и фрукты"
"000013500";"Северное агенство печати";"1-я Тверская-Ямская ул. 26";"37,589139";"55,774431";"ЦАО";"Тверской";"Модульный объект";"с 1 января по 31 декабря";"08.11.2011";"08.11.2014";"100-001168";"08.11.2011";"Печать"
"000013501";"Атанасян";"Карманицкий пер.";"37,584044";"55,749682";"ЦАО";"Арбат";"Модульный объект";"с 1 января по 31 декабря";"21.04.2012";"21.04.2015";"100-000712";"21.04.2012";"Бытовые услуги"
"000013502";"Издательстао Пресс-Контакт";"1-я Тверская-Ямская ул. 1/3 с. 2";"37,59415";"55,769651";"ЦАО";"Тверской";"Модульный объект";"с 1 января по 31 декабря";"14.05.2012";"14.05.2015";"100-001199";"14.05.2012";"Печать"
"000013503";"Фирма ""Пеликан""";"Дружинниковская ул. 30 с. 1";"37,576895";"55,759051";"ЦАО";"Пресненский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-000547";"28.04.2012";"Мороженое"
"000013504";"РС Айсберри";"Трифоновская ул. 49";"37,627733";"55,789098";"ЦАО";"Мещанский";"Модульный объект";"с 1 января по 31 декабря";"20.01.2012";"20.01.2015";"100-000164";"20.01.2012";"Мороженое"
"000013505";"Хлеб на Большая Серпуховская ул. 31 к. 10";"Большая Серпуховская ул. 31 к. 10";"37,627164";"55,723214";"ЦАО";"Замоскворечье";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";;;"Хлеб"
"000013506";"Бахчевой развал Гиман 044";"ул. Менжинского 30 с. 1";"37,669532";"55,869012";"СВАО";"Бабушкинский";"Бахчевой развал";"с 1 августа по 1 ноября";"01.08.2011";"01.08.2014";;;"Бахчевые культуры"
"000013508";"ЛОТЕРЕИ МОСКВЫ";"Физкультурный пр.";"37,502252999";"55,752789";"ЗАО";"Филевский парк";"Киоск";"с 1 января по 31 декабря";"01.07.2011";"31.12.2014";"818-000438";"11.03.2012";"Печать"
"000013509";"Мясо на Малый Лёвшинский пер.";"Малый Лёвшинский пер.";"37,589892";"55,741756";"ЦАО";"Хамовники";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";;;"Мясо"
"000013511";"Торговый дом ""Феникс""";"Никитский бульв. 5";"37,600696";"55,754633";"ЦАО";"Арбат";"Павильон";"с 1 января по 31 декабря";"04.10.2011";"04.10.2014";"100-000860";"04.10.2011";"Кафе"
"000013512";"МН-Пресс";"Большая Бронная ул. 29";"37,60287";"55,76452";"ЦАО";"Тверской";"Модульный объект";"с 1 января по 31 декабря";"21.05.2012";"21.05.2015";"100-001160";"21.05.2012";"Печать"
"000013513";"Карт Линк";"ул. Красная Пресня 29";"37,563424";"55,762747";"ЦАО";"Пресненский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-000549";"02.05.2012";"Мороженое"
"000013514";"Мороженое на Большая Серпуховская ул.";"Большая Серпуховская ул.";"37,626263";"55,725499";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Мороженое"
"000013515";"Лотереи Москвы, Солнцевский пр-т, д. 9";"Солнцевский просп. 9";"37,400614";"55,650892";"ЗАО";"Солнцево";"Модульный объект";"с 1 января по 31 декабря";"11.03.2012";"10.03.2015";"800-000119";"11.03.2012";"Печать"
"000013516";"МК-СЕРВИС";"Большая Филёвская ул. 19/18 к. 1";"37,495392";"55,747279";"ЗАО";"Филевский парк";"Киоск";"с 1 января по 31 декабря";"01.07.2011";"31.12.2014";;;"Печать"
"000013517";"Фирма ""Пеликан""";"ул. Красная Пресня 8";"37,573895";"55,761353";"ЦАО";"Пресненский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-000554";"28.04.2012";"Мороженое"
"000013518";"Мясо на Колокольников пер. 11";"Колокольников пер. 11";"37,627496";"55,768052999";"ЦАО";"Мещанский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";;;"Мясо"
"000013519";"Мороженое на Большая Серпуховская ул. 31 к. 10";"Большая Серпуховская ул. 31 к. 10";"37,627143";"55,723181";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Мороженое"
"000013520";"Кафе на Новинский бульв.";"Новинский бульв.";"37,584259";"55,756065";"ЦАО";"Арбат";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";;;"Кафе"
"000013521";"Печать на ул. Бутырский Вал 28";"ул. Бутырский Вал 28";"37,58698";"55,782974";"ЦАО";"Тверской";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";;;"Печать"
"000013522";"АГЕНТСТВО ПЕЧАТИ МОСКОВСКИЙ ЗАПАД";"Большая Филёвская ул. 21 к. 1";"37,494797";"55,747148999";"ЗАО";"Филевский парк";"Киоск";"с 1 января по 31 декабря";"01.07.2011";"31.12.2014";"818-000424";"27.02.2012";"Печать"
"000013523";"Мороженое на Большая Серпуховская ул. 31 к. 1";"Большая Серпуховская ул. 31 к. 1";"37,627711";"55,722001";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Мороженое"
"000013524";"Мороженое на Большая Серпуховская ул.";"Большая Серпуховская ул.";"37,625532";"55,727092999";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Мороженое"
"000013525";"АГЕНТСТВО ПЕЧАТИ МОСКОВСКИЙ ЗАПАД";"Багратионовский пр.";"37,513854";"55,746639";"ЗАО";"Филевский парк";"Киоск";"с 1 января по 31 декабря";"01.07.2011";"31.12.2014";"818-000425";"27.02.2012";"Печать"
"000013526";"РС Айсберри";"Шмитовский пр. 26";"37,53952";"55,75632";"ЦАО";"Пресненский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-000561";"20.01.2012";"Мороженое"
"000013527";"Северное агенство печати";"Долгоруковская ул. 39/6";"37,60068";"55,778764";"ЦАО";"Тверской";"Модульный объект";"с 1 января по 31 декабря";"08.11.2012";"08.12.2014";"100-001165";"08.11.2011";"Печать"
"000013528";"Кяманчан";"Поварская ул.";"37,591984";"55,755213";"ЦАО";"Арбат";"Модульный объект";"с 1 января по 31 декабря";"09.08.2011";"09.08.2014";"100-000865";"23.05.2012";"Бытовые услуги"
"000013529";"Мороженое на Большая Серпуховская ул.";"Большая Серпуховская ул.";"37,625334";"55,726149";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Мороженое"
"000013530";"Овощи и фрукты на ул. Гиляровского 54";"ул. Гиляровского 54";"37,633279";"55,78633";"ЦАО";"Мещанский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";;;"Овощи и фрукты"
"000013531";"Московская промышленная газета";"Долгоруковская ул. 39/6";"37,600209";"55,778623";"ЦАО";"Тверской";"Модульный объект";"с 1 января по 31 декабря";"20.03.2012";"20.03.2015";"100-001243";"20.03.2012";"Печать"
"000013532";"АГЕНТСТВО ПЕЧАТИ МОСКОВСКИЙ ЗАПАД";"Новозаводская ул.";"37,51601";"55,745412";"ЗАО";"Филевский парк";"Киоск";"с 1 января по 31 декабря";"01.07.2011";"31.12.2014";"818-0000426";"27.02.2012";"Печать"
"000013533";"Сувениры/Народные промыслы на Комсомольский просп. 4";"Комсомольский просп. 4";"37,592542";"55,733194";"ЦАО";"Хамовники";"Лоток";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";;;"Сувениры/Народные промыслы"
"000013534";"Кяманчан";"пр. Шломина 6";"37,578852";"55,750259";"ЦАО";"Арбат";"Модульный объект";"с 1 января по 31 декабря";"22.05.2012";"22.05.2015";"100-001276";"23.05.2012";"Бытовые услуги"
"000013535";"Овощи и фрукты на Большая Серпуховская ул.";"Большая Серпуховская ул.";"37,625873";"55,725736999";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Овощи и фрукты"
"000013536";"Колбасный домик";"Средний Тишинский пер. 24-26";"37,576952999";"55,770267";"ЦАО";"Пресненский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-000566";"16.05.2012";"Мясо"
"000013537";"Мороженое Б.Дорогомиловская, вл.7-9";"Большая Дорогомиловская ул.";"37,55631";"55,746077";"ЗАО";"Дорогомилово";"Киоск";"с 1 января по 31 декабря";"25.01.2012";"25.01.2015";"805-000504";"26.01.2012";"Мороженое"
"000013538";"Аргументы и факты";"ул. Каретный Ряд 5/10 с. 17";"37,608356";"55,771885";"ЦАО";"Тверской";"Модульный объект";"с 1 января по 31 декабря";"15.05.2012";"15.05.2015";"100-001205";"15.05.2012";"Печать"
"000013539";"АГЕНТСТВО ПЕЧАТИ МОСКОВСКИЙ ЗАПАД";"ул. Барклая";"37,497816";"55,743565";"ЗАО";"Филевский парк";"Киоск";"с 1 января по 31 декабря";"01.07.2011";"31.12.2014";"818-000427";"27.02.2012";"Печать"
"000013540";"Овощи и фрукты на Большая Серпуховская ул.";"Большая Серпуховская ул.";"37,627168";"55,723177";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Овощи и фрукты"
"000013541";"Орешки";"Большая Екатерининская ул. 27";"37,621649";"55,784019";"ЦАО";"Мещанский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2014";;;"Мороженое"
"000013542";"Трион";"Мантулинская ул. 2";"37,55748";"55,75671";"ЦАО";"Пресненский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-001386";"02.11.2012";"Овощи и фрукты"
"000013543";"Квас на ул. Флотская, вл.50, СибЭС";"Флотская ул. 50";"37,501688";"55,85416";"САО";"Головинский";"Лоток";"с 1 апреля по 1 ноября";"22.05.2012";"22.05.2015";"200-000863";"22.05.2012";"Квас"
"000013544";"Овощи и фрукты на Большая Серпуховская ул. 31 к. 1";"Большая Серпуховская ул. 31 к. 1";"37,627775";"55,721945";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Овощи и фрукты"
"000013545";"Печать Б.Дорогомиловская, вл.7-9";"Большая Дорогомиловская ул.";"37,55613";"55,746132999";"ЗАО";"Дорогомилово";"Киоск";"с 1 января по 31 декабря";"11.03.2012";"11.03.2015";"800-000156";"31.10.2011";"Печать"
"000013546";"Северное агентство печати";"Лесная ул. 1/2";"37,585708";"55,776815";"ЦАО";"Тверской";"Модульный объект";"с 1 января по 31 декабря";"31.10.2011";"31.10.2014";"100-001159";"31.10.2011";"Печать"
"000013547";"ЛОТЕРЕИ МОСКВЫ";"ул. Барклая 18/19 с. 2";"37,495918";"55,746413";"ЗАО";"Филевский парк";"Киоск";"с 1 января по 31 декабря";"01.07.2011";"31.12.2014";"818-000439";"12.04.2012";"Печать"
"000013548";"Овощи и фрукты на Большая Серпуховская ул.";"Большая Серпуховская ул.";"37,625563";"55,727043";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Овощи и фрукты"
"000013549";"Северное агенство печати";"Лесная ул. 4 с. 1";"37,586426";"55,776832999";"ЦАО";"Тверской";"Модульный объект";"с 1 января по 31 декабря";"08.11.2011";"08.11.2014";"100-001161";"08.11.2011";"Печать"
"000013550";"Росиночка-Н";"ул. Лескова 2";"37,590192";"55,897863";"СВАО";"Бибирево";"Бахчевой развал";"с 1 августа по 1 ноября";"01.08.2012";"01.11.2014";;;"Бахчевые культуры"
"000013551";"СЕГОДНЯ-ПРЕСС";"ул. Олеко Дундича 5";"37,496621";"55,741998";"ЗАО";"Филевский парк";"Киоск";"с 1 января по 31 декабря";"01.07.2011";"31.12.2014";"818-000422";"20.02.2012";"Печать"
"000013552";"Овощи и фрукты на Большая Серпуховская ул.";"Большая Серпуховская ул.";"37,625308";"55,726183";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Овощи и фрукты"
"000013553";"Премиум";"Новодевичий пр. 1 с. 2";"37,560184";"55,727975";"ЦАО";"Хамовники";"Лоток";"с 1 января по 31 декабря";"31.10.2011";"31.10.2014";"100-000556";"31.10.2011";"Сувениры/Народные промыслы"
"000013554";"Пашихин В. В.";"ул. Гиляровского 35";"37,630976999";"55,780898";"ЦАО";"Мещанский";"Лоток";"с 1 января по 31 декабря";"27.03.2012";"27.03.2015";"100-001389";"03.11.2011";"Печать"
"000013555";"Краснопресненское агентство печати";"Большая Грузинская ул. 39";"37,554798";"55,763747";"ЦАО";"Пресненский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-001456";"23.01.2013";"Овощи и фрукты"
"000013556";"МОСКОВСКАЯ ПЕРИОДИКА";"2-я Филёвская ул. 14";"37,490506";"55,739383";"ЗАО";"Филевский парк";"Киоск";"с 1 января по 31 декабря";"01.07.2011";"31.12.2014";"818-000429";"27.02.2012";"Печать"
"000013557";"Хлеб на Большая Татарская ул. 24";"Большая Татарская ул. 24";"37,632979";"55,740034";"ЦАО";"Замоскворечье";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";;;"Хлеб"
"000013558";"Табак Брянская ул.,вл.11";"Брянская ул.";"37,558338";"55,744495";"ЗАО";"Дорогомилово";"Киоск";"с 1 января по 31 декабря";"20.02.2012";"20.02.2015";"805-000508";"25.04.2012";"Табак"
"000013559";"Хлеб на Кожевническая ул. 6";"Кожевническая ул. 6";"37,643618";"55,729902";"ЦАО";"Замоскворечье";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";;;"Хлеб"
"000013560";"АРИА АиФ";"ул. Кузнецкий Мост 9/10 с. 1";"37,621563";"55,762143";"ЦАО";"Мещанский";"Модульный объект";"с 1 января по 31 декабря";"01.03.2012";"01.03.2015";"100-000637";"01.03.2012";"Печать"
"000013561";"ТК КАРДОС";"Сеславинская ул. 16 к. 1";"37,49719";"55,744006";"ЗАО";"Филевский парк";"Лоток";"с 1 января по 31 декабря";"01.07.2011";"31.12.2014";"818-000430";"10.01.2012";"Печать"
"000013562";"Мороженое на Кожевническая ул.";"Кожевническая ул.";"37,645828";"55,72937";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Мороженое"
"000013563";"Элинн";"ул. Лескова 25";"37,622342";"55,891544999";"СВАО";"Бибирево";"Бахчевой развал";"с 1 августа по 1 ноября";"01.08.2012";"01.11.2014";;;"Бахчевые культуры"
"000013564";"Печать Киевская ул.,около ст.м. ""Студенческая""";"Киевская ул.";"37,548602";"55,739165";"ЗАО";"Дорогомилово";"Киоск";"с 1 января по 31 декабря";"28.12.2011";"28.12.2014";"805-000488";"29.12.2011";"Печать"
"000013565";"Еськов В.В.";"ул. Рождественка 10/2 с. 1";"37,623848";"55,761938";"ЦАО";"Мещанский";"Модульный объект";"с 1 января по 31 декабря";"16.05.2012";"16.05.2015";"100-000997";"16.05.2012";"Печать"
"000013566";"Мороженое на Кожевническая ул. 2";"Кожевническая ул. 2";"37,642287";"55,728635";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Мороженое"
"000013567";"ТК КАРДОС";"Сеславинская ул. 12 к. 2";"37,498091";"55,744072999";"ЗАО";"Филевский парк";"Лоток";"с 1 января по 31 декабря";"01.07.2011";"31.12.2014";"818-000431";"27.02.2012";"Печать"
"000013568";"Мороженое на Кожевническая ул.";"Кожевническая ул.";"37,643676";"55,727522";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Мороженое"
"000013569";"Норита";"Звенигородское шоссе";"37,555125";"55,763791";"ЦАО";"Пресненский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-001353";"21.06.2012";"Овощи и фрукты"
"000013570";"Пашихин В.В.";"ул. Сретенка 27 с. 1";"37,631768";"55,771589";"ЦАО";"Мещанский";"Лоток";"с 1 января по 31 декабря";"03.11.2011";"03.11.2014";"100-000635";"03.11.2011";"Печать"
"000013571";"Печать Киевская ул.,вл.18";"Киевская ул.";"37,549605";"55,739923";"ЗАО";"Дорогомилово";"Киоск";"с 1 января по 31 декабря";"18.01.2012";"18.01.2015";"800-000157";"27.10.2011";"Печать"
"000013572";"Мороженое на Кожевническая ул.";"Кожевническая ул.";"37,644051";"55,730082";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Мороженое"
"000013573";"СУЛЕЙМАНОВ И.Б.";"Сеславинская ул. 42";"37,484036999";"55,740002";"ЗАО";"Филевский парк";"Лоток";"с 1 января по 31 декабря";"01.07.2011";"31.12.2014";"818-000411";"20.02.2012";"Печать"
"000013574";"Овощи и фрукты на Кожевническая ул.";"Кожевническая ул.";"37,645772";"55,729346";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Овощи и фрукты"
"000013575";"ТК КАРДОС";"просп. Мира 92 с. 1";"37,63576";"55,793327";"ЦАО";"Мещанский";"Лоток";"с 1 января по 31 декабря";"12.03.2012";"12.03.2015";"100-001327";"12.03.2012";"Печать"
"000013576";"Гастрономия Киевская.вл.18";"Киевская ул.";"37,549183";"55,739806";"ЗАО";"Дорогомилово";"Киоск";"с 1 января по 31 декабря";"18.01.2012";"18.01.2015";"805-000500";"24.01.2012";"Гастрономия"
"000013577";"Овощи и фрукты на Кожевническая ул. 2";"Кожевническая ул. 2";"37,642300999";"55,728614";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Овощи и фрукты"
"000013578";"Альфатрейд";"Баррикадная ул.";"37,577293";"55,760598";"ЦАО";"Пресненский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";"100-000084";"21.06.2012";"Овощи и фрукты"
"000013579";"Овощи и фрукты на Кожевническая ул.";"Кожевническая ул.";"37,643772";"55,727654";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Овощи и фрукты"
"000013580";"Прохладительные напитки Киевская.вл.18";"Киевская ул.";"37,549884";"55,739980999";"ЗАО";"Дорогомилово";"Киоск";"с 1 января по 31 декабря";"18.01.2012";"18.01.2015";"805-000501";"19.01.2012";"Прохладительные напитки"
"000013581";"Амирасланов Р.К.";"Стрельбищенский пер. 15";"37,539134";"55,761697";"ЦАО";"Пресненский";"Модульный объект";"с 1 января по 31 декабря";"05.07.2012";"05.07.2015";;;"Овощи и фрукты"
"000013582";"Овощи и фрукты на Кожевническая ул. 5";"Кожевническая ул. 5";"37,643865";"55,730132999";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Овощи и фрукты"
"000013583";"Овощи и фрукты на Кожевническая ул. 6";"Кожевническая ул. 6";"37,64362";"55,729934";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Овощи и фрукты"
"000013584";"Коммерческая компания Торговый дом";"просп. Мира";"37,635897";"55,792464";"ЦАО";"Мещанский";"Модульный объект";"с 1 января по 31 декабря";"03.04.2012";"03.04.2015";"100-001330";"03.04.2012";"Печать; Кафе; Хлеб; Кондитерские изделия; Бытовые услуги; Непродовольственные товары"
"000013585";"Табак Киевская.вл.18";"Киевская ул.";"37,5495";"55,739886";"ЗАО";"Дорогомилово";"Киоск";"с 1 января по 31 декабря";"18.01.2012";"18.01.2015";"800-000158";"01.06.2012";"Табак"
"000013586";"Мороженое на Большой Овчинниковский пер.";"Большой Овчинниковский пер.";"37,632547";"55,743348";"ЦАО";"Замоскворечье";"Лоток";"с 1 апреля по 1 ноября";"05.07.2012";"05.07.2015";;;"Мороженое"
"000013587";"Печать на ул. Малая Дмитровка";"ул. Малая Дмитровка";"37,603734";"55,771886";"ЦАО";"Тверской";"Модульный объект";"с 1 января по 31 декабря";"18.05.2012";"18.02.2015";;;"Печать"
"000013588";"АРИА АиФ";"2-й Крестовский пер. 4";"37,63668";"55,790914";"ЦАО";"Мещанский";"Модульный объект";"с 1 января по 31 декабря";"28.02.2012";"28.02.2015";"100-000636";"28.02.2012";"Печать"
