"0_Код объекта";"1_Наименование объекта";"1_Адрес объекта";"0_Координата X";"0_Координата Y";"1_Округ";"1_Район";"1_Вид объекта";"1_Период размещения";"1_Дата начала срока размещения";"1_Дата окончания срока размещения";"1_Номер свидетельства";"1_Дата выдачи свидетельства";"1_Специализация"
"000003901";"Печать на ул. Маршала Катукова, 33";"ул. Маршала Катукова";"37,4134";"55,805079";"СЗАО";"Строгино";"Модульный объект";"с 1 января по 31 декабря";"24.02.2012";"24.02.2015";"900-002630";"02.03.2012";"Печать"
"000003902";"Печать на Строгинский б-р, вл. 1";"Печать на Строгинском б-р,вл.1";"37,396267";"55,805724999";"СЗАО";"Строгино";"Модульный объект";"с 1 января по 31 декабря";"24.02.2012";"24.02.2015";"900-002449";"02.03.2012";"Печать"
"000003903";"Печать на ул. Свободы, вл. 21";"ул. Свободы, вл.21";"37,453346";"55,832847";"СЗАО";"Покровское-Стрешнево";"Модульный объект";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";"900-002440";"29.02.2012";"Печать"
"000003905";"Мороженое на ул. Народног Ополчения, вл. 1";"ул. Народного Ополчения, вл.1";"37,474031";"55,769175";"СЗАО";"Хорошево-Мневники";"Модульный объект";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";"900-002454";"11.03.2012";"Мороженое"
"000003906";"Мороженое на ул. Генерала Глаголева, вл. 21";"ул. Генерала Глаголева, вл. 21";"37,463612999";"55,785195";"СЗАО";"Хорошево-Мневники";"Модульный объект";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";"900-002456";"11.03.2012";"Мороженое"
"000003907";"Печать на Пятницкое ш., вл. 47";"Пятницкое шоссе 47";"37,349378";"55,859584";"СЗАО";"Митино";"Модульный объект";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";"900-002443";"24.02.2012";"Печать"
"000003908";"Печать на ул. Авиационная, вл. 22";"Авиационная ул. 22 с. 2";"37,476775";"55,81047";"СЗАО";"Щукино";"Модульный объект";"с 1 января по 31 декабря";"22.02.2012";"22.02.2015";"900-002447";"29.02.2012";"Печать"
"000003909";"Печать на пр. Стратонавтов, вл. 8";"пр. Стратонавтов, вл.8";"37,436663";"55,82748";"СЗАО";"Покровское-Стрешнево";"Модульный объект";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";"900-002426";"28.02.2012";"Печать"
"000003910";"Печать на Пятницкое ш., вл. 23";"Пятницкое шоссе 23";"37,369049";"55,849404";"СЗАО";"Митино";"Модульный объект";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";;;"Печать"
"000003911";"Печать на Пятницкое ш., вл. 9";"Пятницкое шоссе 9";"37,38637";"55,839689";"СЗАО";"Митино";"Модульный объект";"с 1 января по 31 декабря";"01.01.2011";"31.12.2013";;;"Печать"
