0_OBJECTID;0_UIDNFTN;1_Наименование объекта;0_Географические координаты Х;0_Географические координаты Y;1_Описание местоположения;1_Количество мест;1_Ведомственная принадлежность;1_Наименование эксплуатирующей организации;1_Телефон эксплуатирующей организации
64;99;"Велосипедная парковка №11019 ""Метро Маяковская""";6166,5583;11390,8843;Метро Маяковская Метро Маяковская;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
65;41;"Велосипедная парковка №21066 ""Китайгородский проезд, 7""";8556,3103;9524,8274;Китайгородский проезд, 7. Поликлиника, почтовое отделение;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
66;42;"Велосипедная парковка №21069 ""Котельническая набережная, 1/15кб""";9051,0179;8940,8248;Котельническая набережная, 1/15кб. Офисно-деловая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
67;43;"Велосипедная парковка №21073 ""Кузнецкий мост, 11с1""";7763,2632;10603,3406;Вблизи д.11с1 на ул.Кузнецкий мост. Парковка расположена в офисно-деловом и туристическом районе;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
68;44;"Велосипедная парковка №21074 ""Кузнецкий мост, 2с2""";7393,2053;10413,4368;Вблизи д. 2с.2.по ул. Кузнецкий мост. Парковка близи пешеходной улицы с плотной сетью предприятий общественного питания;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
69;45;"Велосипедная парковка №21075 ""Лаврушинский переулок, 17с2""";7754,8038;8254,1149;Лаврушинский переулок 17С2 Сквер, жилые дома;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
70;46;"Велосипедная парковка №21076 ""Малая Дмитровка, 6""";6808,1312;11225,2656;Малая Дмитровка, 6 Ленком;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
71;47;"Велосипедная парковка №21080 ""Лубянский проезд, 27/1с1""";8599,9184;9703,051;Лубянский пр-д, 27/1, стр. 1. Офисно-деловая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
72;48;"Велосипедная парковка №21084 ""Малая Сухаревская площадь, 12""";8363,7623;11740,0717;Малая Сухаревская площадь, 12. Рядом торговый центр;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
73;49;"Велосипедная парковка №21089 ""Арбат, 52с1""";5354,6947;8929,7466;Ул. Арбат 52С1. МИД РФ, Макдольдс;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40
