0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Управа;0_moddate;0_moduser;0_dokumenti;0_ploshad;0_kol_prikre
48;ИП Амаева Х.А.                                                                                                                                                                                                                                                ;ИП Амаева Х.А.                                                                                                                                                                                                                                                ;Варшавское ш., д.5 стр.1                                                                                                                                                                                                                                      ;37,621993;55,701189;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Донской                                                                                                                                                                                                                                                    ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;50;100
49;ЗАО «Фирма Эллада»                                                                                                                                                                                                                                            ;ЗАО «Фирма Эллада»                                                                                                                                                                                                                                            ;ул. Братеевская, д. 37 к.1                                                                                                                                                                                                                                    ;37,769307;55,636929;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР  Братеево                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;247,9;760
50;ООО «Янтарь»                                                                                                                                                                                                                                                  ;ООО «Янтарь»                                                                                                                                                                                                                                                  ;ул.Кировогрвдская, д.3А                                                                                                                                                                                                                                       ;37,613647;55,629604;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Чертаново Северное                                                                                                                                                                                                                                         ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;120;350
51;ЗАО «Т и К Продукты»                                                                                                                                                                                                                                          ;ЗАО «Т и К Продукты»                                                                                                                                                                                                                                          ;Сумской пр-д, д.15 к.1                                                                                                                                                                                                                                        ;37,596901;55,63315;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Чертаново Северное                                                                                                                                                                                                                                         ;12:00:00 AM;                                                                                                    ;Аренда у собственника                                                                                                                                                                                                                                         ;234,9;500
52;ЗАО «Т и К Продукты»                                                                                                                                                                                                                                          ;ЗАО «Т и К Продукты»                                                                                                                                                                                                                                          ;Сумской пр-д, д.8 к.1                                                                                                                                                                                                                                         ;37,609998;55,634671;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Чертаново Северное                                                                                                                                                                                                                                         ;12:00:00 AM;                                                                                                    ;Аренда у собственника                                                                                                                                                                                                                                         ;159,4;500
53;ИП Мирзоев И.Н..                                                                                                                                                                                                                                              ;ИП Мирзоев И.Н..                                                                                                                                                                                                                                              ;Варшавское ш., д.145 к.1                                                                                                                                                                                                                                      ;37,598052;55,580591;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Чертаново Южное                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;67;100
54;ООО «Е.А.С.С.»                                                                                                                                                                                                                                                ;ООО «Е.А.С.С.»                                                                                                                                                                                                                                                ;ул. Россошанская, д.1 к.1                                                                                                                                                                                                                                     ;37,607104;55,597345;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Чертаново Южное                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    ;Договор субаренды                                                                                                                                                                                                                                             ;74;100
55;ООО «Теллурии»                                                                                                                                                                                                                                                ;ООО «Теллурии»                                                                                                                                                                                                                                                ;ул. Газопровод, д.1 к.2                                                                                                                                                                                                                                       ;37,602842;55,591577;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Чертаново Южное                                                                                                                                                                                                                                            ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;83;100
56;ООО «СОК-Альянс»                                                                                                                                                                                                                                              ;ООО «СОК-Альянс»                                                                                                                                                                                                                                              ;ул. Шипиловская, д.46 к.1 стр.2                                                                                                                                                                                                                               ;37,734244;55,619337;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Зябликово                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Свидетельство на право собственности                                                                                                                                                                                                                          ;100;100
57;ООО «Лерик – 2000»                                                                                                                                                                                                                                            ;ООО «Лерик – 2000»                                                                                                                                                                                                                                            ;ул. Шипиловская, д. 53 к.2                                                                                                                                                                                                                                    ;37,745999;55,622438;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Зябликово                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Свидетельство на право собственности                                                                                                                                                                                                                          ;100;100
58;ООО «ПродуктТОФФ»                                                                                                                                                                                                                                             ;ООО «ПродуктТОФФ»                                                                                                                                                                                                                                             ;(л. Кустанайская, д.8 корп. 3                                                                                                                                                                                                                                 ;37,750333;55,618677;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Зябликово                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;350;200
59;ООО «Энриал»                                                                                                                                                                                                                                                  ;ООО «Энриал»                                                                                                                                                                                                                                                  ;Каширское ш., д.48 к.1                                                                                                                                                                                                                                        ;37,665802;55,647476;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Москворечье Сабурово                                                                                                                                                                                                                                       ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;100;500
60;ООО «Интраском»                                                                                                                                                                                                                                               ;ООО «Интраском»                                                                                                                                                                                                                                               ;пр-д Одоевского, д. 3 корп. 7                                                                                                                                                                                                                                 ;37,509388;55,600274;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Ясенево                                                                                                                                                                                                                                                    ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;337,3;300
61;ООО «Виктория-П»                                                                                                                                                                                                                                              ;ООО «Виктория-П»                                                                                                                                                                                                                                              ;Новоясеневский пр. д. 22 к. 1                                                                                                                                                                                                                                 ;37,526877;55,606732;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Ясенево                                                                                                                                                                                                                                                    ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;213,4;300
62;ООО «Инициатива М»                                                                                                                                                                                                                                            ;ООО «Инициатива М»                                                                                                                                                                                                                                            ;ул. Изюмская, д.39 к.1                                                                                                                                                                                                                                        ;37,568999;55,54988;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Южное Бутово                                                                                                                                                                                                                                               ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;80;300
63;ООО КП «Воронцово»                                                                                                                                                                                                                                            ;ООО КП «Воронцово»                                                                                                                                                                                                                                            ;ул. Академии Пилюгина, д. 12                                                                                                                                                                                                                                  ;37,537371;55,668669;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Ломоносовский                                                                                                                                                                                                                                              ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;62;500
64;ООО Торговый отдел «Цветом красное»                                                                                                                                                                                                                           ;ООО Торговый отдел «Цветом красное»                                                                                                                                                                                                                           ;ул. М. Ульяновой, д. 6                                                                                                                                                                                                                                        ;37,527115;55,680164;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Ломоносовский                                                                                                                                                                                                                                              ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;57,6;400
65;ООО «Маркиано»                                                                                                                                                                                                                                                ;ООО «Маркиано»                                                                                                                                                                                                                                                ;Нахимовский пр., д.67 к.1                                                                                                                                                                                                                                     ;37,556889;55,680137;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;УР Черемушки                                                                                                                                                                                                                                                  ;12:00:00 AM;                                                                                                    ;Договор аренды                                                                                                                                                                                                                                                ;112;285
