0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Тип;1_Административный округ;0_moddate;0_moduser
10344;6-й мкр. Загорья;6-й мкр. Загорья;ул. Лебедянская, д. 24 (напротив через дорогу);37,68874749;55,58564954;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10345;Универсам;Универсам;ул. Ташкентская, д. 17, (к/тр Волгоград);37,8171121;55,70518384;0;;;;;неавтоматизированный;ЮВАО;12:00:00 AM; 
10346;Москворецкий р-к;Москворецкий р-к;ул. Болотниковская, вл.11/1;37,60833899;55,65640725;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10347;м. Измайловская;м. Измайловская;Измайловский пр-т, ст. м. Измайловская ;37,78506925;55,7880786;0;;;;;автоматизированный;ВАО;12:00:00 AM; 
10349;м. Планерная, сев. вых. ;м. Планерная, сев. вых. ;ул. Планерная, д. 12 м. Планерная;37,43401702;55,86119194;0;;;;;автоматизированный;СЗАО;12:00:00 AM; 
10350;Литейно-механич. завод;Литейно-механич. завод;ул. Люблинская, 133;37,74030646;55,66994414;0;;;;;неавтоматизированный;ЮВАО;12:00:00 AM; 
10351;Ивановское;Ивановское;ул. Саянская, 15 Б;37,83943541;55,76736961;0;;;;;неавтоматизированный;ВАО;12:00:00 AM; 
10352;м. Новогиреево;м. Новогиреево;Зеленый пр-т, 60;37,81812718;55,75136539;0;;;;;автоматизированный;ВАО;12:00:00 AM; 
10353;ст. Перово;ст. Перово;ул. Кусковская, вл. 2 платформа Перово;37,76494341;55,73762817;0;;;;;неавтоматизированный;ВАО;12:00:00 AM; 
10354;Новокосинский универсам;Новокосинский универсам;ул. Новокосинская, 35/5, стр.1;37,86440557;55,74337725;0;;;;;неавтоматизированный;ВАО;12:00:00 AM; 
10355;м. Университет;м. Университет;Ломоносовский пр-т (м. Университет, сев. вых. м-н Сити) ;37,53521558;55,6941755;0;;;;;автоматизированный;ЗАО;12:00:00 AM; 
10356;м. Университет, южн. у рынка;м. Университет, южн. у рынка;пр-т Вернадского (м. Университет, южн. вых.);37,53461183;55,69279438;0;;;;;неавтоматизированный;ЮЗАО;12:00:00 AM; 
10357;м. Ботанический сад;м. Ботанический сад;ул. Вильгельма Пика (д. 13);37,6360678;55,84345092;0;;;;;автоматизированный;СВАО;12:00:00 AM; 
10358;81 гор. Больница;81 гор. Больница;ул. Клязьминская, вл. 17;37,52820803;55,89033678;0;;;;;автоматизированный;САО;12:00:00 AM; 
10359;м. Молодежная зап. вых., конечн.;м. Молодежная зап. вых., конечн.;ул. Ярцевская ст. м. Молодежная, зап. вых.;37,41587491;55,74072267;0;;;;;автоматизированный;ЗАО;12:00:00 AM; 
10360;Крылатское - конечная;Крылатское - конечная;ул. Крылатские Холмы, д. 40;37,4075152;55,76492175;0;;;;;автоматизированный;ЗАО;12:00:00 AM; 
10361;м. Багратионовская;м. Багратионовская;ул. Барклая, ст м. Багратионовская;37,49811398;55,74334703;0;;;;;автоматизированный;ЗАО;12:00:00 AM; 
10362;Ленинский пр-т;Ленинский пр-т;Ломоносовский пр-т, д. 11;37,50776506;55,71131953;0;;;;;неавтоматизированный;ЮЗАО;12:00:00 AM; 
10363;пл. Бирюлево-товарная;пл. Бирюлево-товарная;платформа Бирюлево-Товарная Булатниковский проезд, вл 6 с 2 ;37,65371359;55,59212672;0;;;;;автоматизированный;ЮАО;12:00:00 AM; 
10364;ул. Ак. Янгеля;ул. Ак. Янгеля;ул. Чертановская,вл. 65;37,59005276;55,59522171;0;;;;;автоматизированный;ЮАО;12:00:00 AM; 
10366;Пр-д Карамзина, д.1;Пр-д Карамзина, д.1;Пр-д Карамзина, д. 1;37,53492388;55,59604745;0;;;;;автоматизированный;ЮЗАО;12:00:00 AM; 
