0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Тип;1_Административный округ;0_moddate;0_moduser
10541;м. Новогиреево, запад. вых. ;м. Новогиреево, запад. вых. ;Свободный пр-т, д.22, стр. 4;37,81616773;55,74984729;0;;;;;автоматизированный;ВАО;12:00:00 AM; 
10542;ул. Затонная;ул. Затонная;ул. Судостроительная, вл.31;37,68267855;55,68316829;0;;;;;автоматизированный;ЮАО;12:00:00 AM; 
10543;ул. Артамонова Музыкальная школа;ул. Артамонова Музыкальная школа;Аминьевское ш., вл. 30;37,4512462;55,71832053;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10546;м. Щукинская м-н 12 месяцев;м. Щукинская м-н 12 месяцев;ул. Марш. Василевского, вл. 17;37,46571377;55,80829172;0;;;;;автоматизированный;СЗАО;12:00:00 AM; 
10548;8-ой м/р Митино;8-ой м/р Митино;Уваровский пер., вл. 12;37,35241539;55,82730086;0;;;;;неавтоматизированный;СЗАО;12:00:00 AM; 
10549;м. Пр-т Вернадского;м. Пр-т Вернадского;Пр-т Вернадского, вл. 14 А;37,50481488;55,67602458;0;;;;;автоматизированный;ЗАО;12:00:00 AM; 
10551;Универсам;Универсам;ул. Раменки, д. 6;37,49386004;55,69273977;0;;;;;автоматизированный;ЗАО;12:00:00 AM; 
10558;м. Новые Черемушки;м. Новые Черемушки;ул. Профсоюзная, д. 39 (маг. Охотник) ;37,55568861;55,67111007;0;;;;;неавтоматизированный;ЮЗАО;12:00:00 AM; 
10559;Торговый центр;Торговый центр;Бескудниковский б-р, д. 12;37,55543964;55,67115429;0;;;;;неавтоматизированный;САО;12:00:00 AM; 
10561;м. Бабушкинская;м. Бабушкинская;ул. Менжинского, д. 21;37,6660308;55,86942961;0;;;;;автоматизированный;СВАО;12:00:00 AM; 
10564;м. Киевская;м. Киевская;Площадь Киевского в-ла, вл. 2 (Киевский вокзал);37,56822454;55,7445138;0;;;;;автоматизированный;ЗАО;12:00:00 AM; 
10565;81 гор. больница;81 гор. больница;ул. Лобненская, д. 10 (пересеч.с ул. Клязьминская);37,52807295;55,89101552;0;;;;;неавтоматизированный;САО;12:00:00 AM; 
10566;Абельмановская застава;Абельмановская застава;ул. Нижегородская, д. 1 а;37,67497622;55,73896706;0;;;;;неавтоматизированный;ЦАО;12:00:00 AM; 
10567;м. Дубровка;м. Дубровка;ул. Шарикоподшипниковская, вл. 13;37,67726719;55,71734991;0;;;;;автоматизированный;ЮВАО;12:00:00 AM; 
10572;м. Ул. Горчакова легкое метро;м. Ул. Горчакова легкое метро;ул. Горчакова;37,53254199;55,54262727;0;;;;;неавтоматизированный;ЮЗАО;12:00:00 AM; 
10575;6 м/р Орехово-Борисово;6 м/р Орехово-Борисово;Шипиловский пр-д, д. 71;37,71742347;55,59621334;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10576;23 квартал Новых Черемушек;23 квартал Новых Черемушек;ул. Новочеремушкинская, д.56;37,56539291;55,66940102;0;;;;;неавтоматизированный;ЮЗАО;12:00:00 AM; 
10579;м. Петровско- разумовская;м. Петровско- разумовская;Локомотивный пр-д, д. 3-5;37,57557544;55,8372353;0;;;;;автоматизированный;САО;12:00:00 AM; 
10580;ул. Вяземская;ул. Вяземская;ул. Беловежская (напротив вл. 1);37,40200048;55,71531978;0;;;;;неавтоматизированный;ЗАО;12:00:00 AM; 
10582;ул. Элеваторная;ул. Элеваторная;ул. Элеваторная, д. 14;37,66804387;55,60176787;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10587;м. Сходненская южн. вых.;м. Сходненская южн. вых.;ул. Сходненская, вл. 37;37,43922785;55,85002334;0;;;;;неавтоматизированный;СЗАО;12:00:00 AM; 
10589;15 м/р Орехово - Борисово;15 м/р Орехово - Борисово;ул. Ясеневая, д. 30;37,74444241;55,60830734;0;;;;;автоматизированный;ЮАО;12:00:00 AM; 
10592;Бусиново;Бусиново;ул. Бусиновская горка, д. 2-3;37,49614434;55,88134222;0;;;;;автоматизированный;САО;12:00:00 AM; 
10593;ул. Генерала Белова;ул. Генерала Белова;Борисовский пр-д, вл.1;37,71261137;55,62459717;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10595;ул. Подольских Курсантов;ул. Подольских Курсантов;ул. Дорожная (напротив вл. 14);37,62297823;55,60761949;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10596;Универсам;Универсам;ул. Медынская, вл. 10 (пересеч. с ул. Харьковская);37,64597081;55,58679062;0;;;;;неавтоматизированный;ЮАО;12:00:00 AM; 
10597;пл. Бескудниково;пл. Бескудниково;Керамический пр-д;37,56664539;55,88166471;0;;;;;неавтоматизированный;САО;12:00:00 AM; 
10598;Школа 2720;Школа 2720;ул. Дубнинская, д. 41 (стоит у дома №39);37,56368203;55,8671832;0;;;;;неавтоматизированный;САО;12:00:00 AM; 
10601;м. Рязанский пр-т;м. Рязанский пр-т;Рязанский пр-т, д. 75;37,79342218;55,71732687;0;;;;;автоматизированный;ЮВАО;12:00:00 AM; 
10603;Рынок ст. Люберцы;Рынок ст. Люберцы;г. Люберцы ул. Инициативная, д. 5;37,89864121;55,68310198;0;;;;;неавтоматизированный;Моск. Обл.;12:00:00 AM; 
