0_ID;1_Дата формирования статистики;1_Общее количество зафиксированных нарушений;1_Общее количество нарушений по скорости;1_Общее количество нарушений по полосе общественного транспорта;1_Общее количество нарушений по пропускам ТТК;1_Общее количество нарушений по парковке;1_Общее количество оформленных нарушений;1_Общее количество оформленных нарушений по скорости;1_Общее количество оформленных нарушений по полосе общественного транспорта;1_Общее количество оформленных нарушений по пропускам ТТК;1_Общее количество оформленных нарушений по парковке
7;2013-01-07T00:00:00.000+03:00;4422;2675;0;0;1477;1092;928;0;0;164
13;2013-01-13T00:00:00.000+03:00;6648;4749;0;0;1556;3050;2783;0;0;267
19;2013-01-19T00:00:00.000+03:00;4226;1719;0;0;1628;1628;1267;0;0;361
25;2013-01-25T00:00:00.000+03:00;29735;1785;20167;0;6535;2165;606;184;0;1375
31;2013-01-31T00:00:00.000+03:00;16344;1146;6650;0;7743;3218;759;220;0;2239
36;2013-02-05T00:00:00.000+03:00;30969;1265;22079;0;5393;3385;811;1379;0;1195
42;2013-02-11T00:00:00.000+03:00;59570;12425;36974;0;7379;13815;13379;2150;0;436
44;2013-02-13T00:00:00.000+03:00;59949;12426;37129;0;7784;12136;6752;4586;0;798
49;2013-02-18T00:00:00.000+03:00;53723;12447;30889;0;7977;13711;11585;1807;0;1730
55;2013-02-24T00:00:00.000+03:00;33676;29507;0;0;3060;21500;20748;0;0;752
57;2013-02-26T00:00:00.000+03:00;62571;12875;39159;0;7898;11307;5166;3548;0;2593
6;2013-01-06T00:00:00.000+03:00;3875;1800;0;0;1735;1545;1151;0;0;394
12;2013-01-12T00:00:00.000+03:00;5766;3210;0;0;2080;2806;1641;0;0;490
18;2013-01-18T00:00:00.000+03:00;20646;159;16556;0;2881;971;150;79;0;742
24;2013-01-24T00:00:00.000+03:00;29952;1239;19982;0;7436;2952;561;534;0;1857
30;2013-01-30T00:00:00.000+03:00;30836;1704;20051;0;7765;2236;990;320;0;926
34;2013-02-03T00:00:00.000+03:00;11015;7651;0;0;2450;5627;5463;0;0;164
47;2013-02-16T00:00:00.000+03:00;22556;18580;0;0;2830;13475;12307;0;0;1168
60;2013-03-01T00:00:00.000+03:00;36939;5502;20016;0;8133;7211;2649;2196;0;2366
66;2013-03-07T00:00:00.000+03:00;65621;7524;37119;0;6398;9614;1822;5824;0;1968
72;2013-03-13T00:00:00.000+03:00;49063;7760;32905;0;8398;12404;8062;1626;0;2716
78;2013-03-19T00:00:00.000+03:00;46055;5066;33748;0;7241;5156;1352;1034;0;2770
84;2013-03-25T00:00:00.000+03:00;35203;1716;28904;0;4583;3121;793;254;0;2074
