0_ID;1_Вид транспорта;1_Наименование проездного докумета;1_Стоимость проездного документа;1_Срок действия проездного докумета;0_Использование транспортного приложения к банковской карте
157;Центральная пригородная пассажирская компания;Билет. Абонемент ежедневный на 12 месяцев;12480.0;12 месяцев;1
161;Центральная пригородная пассажирская компания;Билет. Абонемент рабочего дня на 25 дней;729.0;1 месяц;1
162;Центральная пригородная пассажирская компания;Билет. Абонемент рабочего дня на 1 месяц;874.0;1 месяц;1
166;Центральная пригородная пассажирская компания;Билет. Абонемент рабочего дня на 5 месяцев;4370.0;5 месяцев;1
167;Центральная пригородная пассажирская компания;Билет. Абонемент рабочего дня на 6 месяцев;5244.0;6 месяцев;1
171;Московско-Тверская пригородная пассажирская компания;Билет. Разовый льготный;13.0;указанная дата, но не более, чем 10 дней от даты продажи;1
172;Московско-Тверская пригородная пассажирская компания;Билет. Разовый детский;7.0;указанная дата, но не более, чем 10 дней от даты продажи;1
176;Московско-Тверская пригородная пассажирская компания;Билет. 60 поездок;1248.0;60 дней с даты оформления абонементного билета;1
177;Московско-Тверская пригородная пассажирская компания;Билет. 90 поездок;1872.0;60 дней с даты оформления абонементного билета;1
181;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент выходного дня детский;80.0;1 месяц;1
182;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент ежедневный на 5 дней;170.0;1 месяц;1
186;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент ежедневный на 25 дней;700.0;1 месяц;0
187;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент ежедневный на 1 месяц;1040.0;1 месяц;0
191;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент ежедневный на 5 месяцев;5200.0;5 месяцев;0
192;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент ежедневный на 6 месяцев;6240.0;6 месяцев;0
196;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент рабочего дня на 20 дней;450.0;1 месяц;0
197;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент рабочего дня на 25 дней;600.0;1 месяц;0
201;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент рабочего дня на 4 месяца;3400.0;4 месяца;0
202;Автобус, троллейбус, трамвай;Не более 1 поездки;25.0;5 дней, включая день продажи;0
206;Автобус, троллейбус, трамвай;Посадочный талон на 4 поездки, реализуемый водителем в салоне подвижного состава;100.0;5 дней, включая день продажи;0
207;Автобус, троллейбус, трамвай;Не более 5 поездок;100.0;90 дней, включая день продажи;0
211;Автобус, троллейбус, трамвай;Не более 60 поездок;750.0;90 дней, включая день продажи;0
212;Метрополитен, монорельс, автобус, троллейбус, трамвай;Единый билет на ТАТ, ММ, ММТС, но не более 70 поездок на метрополитене  / ММТС;2380.0;Календарный месяц;0
216;Автобус;Пригородный автобус (льготный);410.0;Календарный месяц;0
217;Автобус;400-е маршруты (льготный);440.0;Календарный месяц;0
221;Метрополитен, монорельс;На провоз не более 1 места багажа;50.0;5 дней, включая день продажи;0
222;Метрополитен, монорельс;Единый билет на ТАТ, ММ, ММТС, но не более 70 поездок на метрополитене  / ММТС;2380.0;Календарный месяц;0
226;Метрополитен, монорельс, автобус, троллейбус, трамвай;Не более 5 поездок;150.0;90 дней, включая день продажи;0
227;Метрополитен, монорельс, автобус, троллейбус, трамвай;Не более 11 поездок;300.0;90 дней, включая день продажи;0
231;Метрополитен, монорельс, автобус, троллейбус, трамвай;Смарт-карта на 1 день;200.0;1 день, включая день продажи;0
232;Метрополитен, монорельс, автобус, троллейбус, трамвай;Смарт-карта на 30 дней;2200.0;30 дней, включая день продажи;0
236;Метрополитен, монорельс, автобус, троллейбус, трамвай;«Электронный кошелек» - метро / монорельс;28.0;С момента изготовления на срок действия карты;0
237;Метрополитен, монорельс, автобус, троллейбус, трамвай;«Электронный кошелек» - ТАТ;26.0;С момента изготовления на срок действия карты;0
241;Метрополитен, монорельс, автобус, троллейбус, трамвай;Билеты "90 минут" : Не более 11 поездок;450.0;90 дней, включая день продажи;0
242;Метрополитен, монорельс, автобус, троллейбус, трамвай;Билеты "90 минут" : Не более 20 поездок;750.0;90 дней, включая день продажи;0
246;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 1 поездка в течение календарного месяца;28.0;С момента изготовления на срок действия банковской карты;0
247;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 2 поездки в течение календарного месяца;56.0;С момента изготовления на срок действия банковской карты;0
251;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 6 поездок в течение календарного месяца;168.0;С момента изготовления на срок действия банковской карты;0
252;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 7 поездок в течение календарного месяца;196.0;С момента изготовления на срок действия банковской карты;0
256;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 11 поездок в течение календарного месяца;308.0;С момента изготовления на срок действия банковской карты;0
257;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 12 поездок в течение календарного месяца;336.0;С момента изготовления на срок действия банковской карты;0
261;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 16 поездок в течение календарного месяца;448.0;С момента изготовления на срок действия банковской карты;0
268;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 23 поездки в течение календарного месяца;644.0;С момента изготовления на срок действия банковской карты;
274;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 29 поездок в течение календарного месяца;812.0;С момента изготовления на срок действия банковской карты;
280;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 35 поездок в течение календарного месяца;980.0;С момента изготовления на срок действия банковской карты;
1;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 58 поездок в течение календарного месяца;1624.0;С момента изготовления на срок действия банковской карты;0
6;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 41 поездка в течение календарного месяца;1148.0;С момента изготовления на срок действия банковской карты;0
129;Автобус;Пригород 12;108.0;День продажи;1
134;Центральная пригородная пассажирская компания;Билет. Разовый билет;26.0;указанная дата, но не более, чем 10 дней от даты продажи;1
139;Центральная пригородная пассажирская компания;Билет. 20 поездок;470.0;30 дней с даты оформления абонементного билета;1
144;Центральная пригородная пассажирская компания;Билет. Абонемент выходного дня;250.0;1 месяц;1
149;Центральная пригородная пассажирская компания;Билет. Абонемент ежедневный на 20 дней;693.0;1 месяц;1
154;Центральная пригородная пассажирская компания;Билет. Абонемент ежедневный на 4 месяца;4160.0;4 месяца;1
159;Центральная пригородная пассажирская компания;Билет. Абонемент рабочего дня на 15 дней;437.0;1 месяц;1
164;Центральная пригородная пассажирская компания;Билет. Абонемент рабочего дня на 3 месяца;2622.0;3 месяца;1
169;Центральная пригородная пассажирская компания;Билет. "Большая Москва" свыше 53 км;3500.0;1 месяц;1
174;Московско-Тверская пригородная пассажирская компания;Билет. 10 поездок;260.0;30 дней с даты оформления абонементного билета;1
179;Московско-Тверская пригородная пассажирская компания;Билет. Ручная кладь;80.0;указанная дата, но не более, чем 10 дней от даты продажи;1
184;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент ежедневный на 15 дней;480.0;1 месяц;0
189;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент ежедневный на 3 месяца;3120.0;3 месяца;0
194;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент рабочего дня на 10 дней;250.0;1 месяц;0
199;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент рабочего дня на 2 месяца;1700.0;2 месяца;0
204;Автобус, троллейбус, трамвай;Билет на 1 поездку в автобусе 400 маршрутов;45.0;5 дней, включая день продажи;0
209;Автобус, троллейбус, трамвай;Не более 20 поездок;350.0;90 дней, включая день продажи;0
214;Автобус;400-е маршруты;1400.0;Календарный месяц;0
219;Автобус, троллейбус, трамвай;Смарт-карта на 90 дней;2150.0;90 дней, включая день продажи;0
224;Метрополитен, монорельс, автобус, троллейбус, трамвай;Не более 1 поездки;30.0;5 дней, включая день продажи;0
229;Метрополитен, монорельс, автобус, троллейбус, трамвай;Не более 40 поездок;1000.0;90 дней, включая день продажи;0
234;Метрополитен, монорельс, автобус, троллейбус, трамвай;Смарт-карта на 360 дней;17000.0;360 дней, включая день продажи;0
239;Метрополитен, монорельс, автобус, троллейбус, трамвай;Билеты "90 минут" : Не более 2 поездок, с возможностью реализации  водителем в салоне подвижного состава;100.0;5 дней, включая день продажи;0
244;Метрополитен, монорельс, автобус, троллейбус, трамвай;Билеты "90 минут" : Не более 60 поездок;1800.0;90 дней, включая день продажи;0
249;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 4 поездки в течение календарного месяца;112.0;С момента изготовления на срок действия банковской карты;0
