0_ID;1_Вид транспорта;1_Наименование проездного докумета;1_Стоимость проездного документа;1_Срок действия проездного докумета;0_Использование транспортного приложения к банковской карте
200;Московско-Тверская пригородная пассажирская компания;Билет. Абонемент рабочего дня на 3 месяца;2550.0;3 месяца;0
205;Автобус, троллейбус, трамвай;Не более 2 поездок;50.0;5 дней, включая день продажи;0
210;Автобус, троллейбус, трамвай;Посадочный талон на 40 поездок, реализуемый водителем в салоне подвижного состава;700.0;90 дней, включая день продажи;0
215;Автобус, троллейбус, трамвай;Льготный билет на наземном городском пассажирском транспорте без лимита поездок;230.0;Календарный месяц;0
220;Автобус, троллейбус, трамвай;Смарт-карта на 365 дней;7300.0;365 дней, включая день продажи;0
225;Метрополитен, монорельс, автобус, троллейбус, трамвай;Не более 2 поездок;60.0;5 дней, включая день продажи;0
230;Метрополитен, монорельс, автобус, троллейбус, трамвай;Не более 60 поездок;1200.0;90 дней, включая день продажи;0
235;Метрополитен, монорельс, автобус, троллейбус, трамвай;Смарт-карта на 365 дней;17000.0;365 дней, включая день продажи;0
240;Метрополитен, монорельс, автобус, троллейбус, трамвай;Билеты "90 минут" : Не более 5 поездок;220.0;90 дней, включая день продажи;0
245;Метрополитен, монорельс, автобус, троллейбус, трамвай;Билеты "90 минут" : «Электронный кошелек»;44.0;С момента изготовления на срок действия карты;0
250;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 5 поездок в течение календарного месяца;140.0;С момента изготовления на срок действия банковской карты;0
255;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 10 поездок в течение календарного месяца;280.0;С момента изготовления на срок действия банковской карты;0
260;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 15 поездок в течение календарного месяца;420.0;С момента изготовления на срок действия банковской карты;0
264;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 19 поездок в течение календарного месяца;532.0;С момента изготовления на срок действия банковской карты;0
265;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 20 поездок в течение календарного месяца;560.0;С момента изготовления на срок действия банковской карты;0
270;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 25 поездок в течение календарного месяца;700.0;С момента изготовления на срок действия банковской карты;
276;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 31 поездка в течение календарного месяца;868.0;С момента изготовления на срок действия банковской карты;
282;Метрополитен, монорельс;Банковская карта с транспортным приложеннием. 37 поездок в течение календарного месяца;1036.0;С момента изготовления на срок действия банковской карты;
