0_OBJECTID;0_Shape;0_UID;1_Название объекта;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4163574.2485999987 7521531.475400001);6731.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1136";ГБОУ СОШ № 1136;123181, г. Москва, ул. Кулакова, д. 3, к. 1;-6031.196325;16398.9710285;2114756.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа Здоровья""";750-56-76;http://school1136.ru
2;POINT (4216152.020500001 7507103.3961);7477.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1025";ГБОУ СОШ № 1025;111672, г. Москва, ул. Новокосинская,  д.  42А;23622.498625;8342.04422742;2122191.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа Здоровья""";702-32-37;http://sch1025.moskobr.ru
3;POINT (4200669.532499999 7520569.158699997);7478.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1349";ГБОУ СОШ № 1349;107370, г. Москва, Открытое ш., д.6, стр.12;14861.4256976;15878.5895274;2402904.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа Здоровья""";(499) 168-81-01;http://Schoolz-1349/narod2.ru/index.html
4;POINT (4176635.9624999985 7494760.134099998);3317.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 137";ГБОУ СОШ № 137;119331, г. Москва, улица Кравченко, дом 14, корпус 1;1328.74475;1324.03989928;2101068.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа Здоровья""";(499) 138-38-28;http://schz137.uzao.mskobr.ru/
5;POINT (4172825.1103999987 7495864.320500001);4887.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 29";"ГБОУ СОШ ""Школа здоровья"" № 29";119607 г.Москва, ул. Удальцова, д. 87, корпус 1;-824.6990000000001;1946.61453191;2116790.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа Здоровья""";931-40-72;http://29.mskzapad.ru
6;POINT (4174350.966699999 7492511.611199997);5259.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 60 имени В.С. Опариной";ГБОУ СОШ № 60;121351 г.Москва, ул.Партизанская, д. 30, корпус 2,стр.1;37.413897;55.736477;0.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 141-24-17; (499) 141-41-20; (499) 141-30-60";http://schz60.mskzapad.ru
7;POINT (4187812.8301 7498372.259900004);5265.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 630";ГБОУ СОШ № 630;117105 г. Москва, Варшавское шоссе д.12;7641.510625;3366.73808483;2107281.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа Здоровья""";"(495) 954-93-65; (495) 954-92-05; (495) 954-92-08";http://sch630.edusite.ru/
8;POINT (4183032.1834999993 7489389.872299999);5420.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 533";ГБОУ СОШ № 533;117461, город Москва, улица Каховка, дом 19, корпус 3;4946.686825;-1702.89142336;2108473.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа Здоровья""";(499) 121-60-80;http://www.533school.ru
9;POINT (4178097.9679000005 7537822.737000003);5905.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа  ""Школа здоровья"" № 668 имени Героя Советского Союза В.П.Кислякова";ГБОУ СОШ № 668 имени Героя Советского Союза В.П. Кислякова;127644, г. Москва, Вагоноремонтная улица, дом 15-А;2143.891225;25540.6068701;2109685.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа Здоровья""";485-78-18;http://school668.sk6.ru/
10;POINT (4207663.786200002 7486980.876100004);6380.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 473";ГБОУ СОШ № 473;109429, г. Москва, 2-й квартал Капотни, д.19;18881.9205809;-3025.03858415;2129836.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа Здоровья""";355-01-96;http://school473.ru
