0_OBJECTID;0_Shape;0_UID;1_Название объекта;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
1;POINT (4185791.5507999994 7499194.449199997);4752.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" №196";ГБОУ СОШНО № 196;117334 г. Москва, 5-ый  Донской пр-д, д.21а,корп.29;6499.1081;3828.33115788;3800873.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа надомного обучения""";"(495) 954-47-47; (495) 954-41-75; (495) 954-52-02";http://school196.ru
2;POINT (4170733.5456999987 7491688.585500002);567.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 542";"ГБОУ СОШ ""Школа надомного обучения"" № 542";119602 г.Москва, ул.Покрышкина, д. 9;-2007.68385;-407.99771497;71204.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа надомного обучения""";(499) 792-08-51;http://shnd542.mskzapad.ru
3;POINT (4174351.3904 7492511.789999999);7086.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 410";"ГБОУ СОШ ""Школа надомного обучения"" № 410";129226, г. Москва, ул. Докукина, д. 5 А;37.653376;55.837388999999995;2125335.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа надомного обучения""";(499) 187-89-97;http://shnd410.svao.mskobr.ru/
4;POINT (4157185.3257 7486630.159000002);659.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 1975";"ГБОУ СОШ ""Школа надомного обучения"" № 1975";119634 г.Москва, ул. Шолохова, д.9, корп.3;-9673.49785347;-3252.02781443;2112534.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа надомного обучения""";732-96-80;http://shnd1975.zao.mskzapad.ru
5;POINT (4207061.8145 7519676.576099999);7480.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 334";ГБОУ СОШНО № 334;105425, г. Москва, ул. 7-я Парковая, д.33, кор.5;18463.8894287;15390.5703337;18697.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа надомного обучения""";(499) 164-57-59;http://schv334.mskobr.ru
6;POINT (4183890.278900001 7497004.691299997);6490.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 370";ГБОУ СОШНО № 370;119449, г. Москва, улица Винокурова, дом 3Б;5426.76856641;2592.60639174;2103054.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа надомного обучения""";(499) 126-75-23;http://shkola370.narod.ru
7;POINT (4165537.553199999 7508883.918300003);562.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 379";"ГБОУ СОШ ""Школа надомного обучения"" № 379";121609 г.Москва, ул. Крылатские холмы, д.13;-4933.862925;9284.189552;2127070.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа надомного обучения""";413-27-75;http://shnd379.mskzapad.ru
8;POINT (4141313.2525999993 7553044.074299999);7338.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 367";ГБОУ СОШНО № 367;124527, г. Москва, Зеленоград, корп. 864;-18491.5052;34108.0903427;;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа надомного обучения""";(499) 729-81-82;http://zou.ru/s367test/
9;POINT (4184231.284400001 7530943.715400003);7084.0;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа надомного обучения» № 265;"ГБОУ СОШ ""Школа надомного обучения"" № 265";127562, г. Москва, Алтуфьевское шоссе, д. 24 А;5595.525225;21684.1479504;2114137.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа надомного обучения""";(499) 201-01-01;http://www.scnd265.svao.mskobr.ru
10;POINT (4184503.8660000004 7537254.477799997);7085.0;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 388";"ГБОУ СОШ ""Школа надомного обучения"" № 388";127349, город Москва, Шенкурский проезд, дом 9;5744.285225;25225.0626635;2109128.0;;;;;Бюджетное;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа надомного обучения""";909-15-98;http://www.shnd388.svao.mskobr.ru
