"0_№";"1_Наименование организации";"1_Название проекта";"1_Год предоставления финансовой поддержки";"1_Сумма субсидии, руб."
"19";"ОАО ""ЦНИИ ""Циклон""";"«Разработка и организация производства новых современных образцов тепловизионной техники»";"2011";"5400000"
"20";"ОАО ""МЗ ""Сапфир""";"«Создание высокотехнологичного производства подложек для светодиодов и изделий на основе КНС (кремний на сапфире) из лейкосапфира»";"2011";"30000000"
"21";"ОАО ""НИИМЭ и Микрон""";"«Создание серийного производства микросхем»";"2011";"60062246"
"22";"ООО ""НИИЭМИ""";"«Организация участка серийного выпуска лицевых частей противогазов»";"2011";"15000000"
"23";"ОАО «СкайКомпьютинг»";"Выход на РИИ ММВБ";"2012";"5000000"
"24";"ОАО «Мультисистема»";"Выход на РИИ ММВБ";"2012";"5000000"
"25";"ООО ""СФТ-Трейдинг""";"Социально-финансовое Товарищество по созданию центра детского творчества и развития";"2012";"10000000"
"26";"ООО ""ЭКСПО Наука Интерактив""";"ЦМИТ на базе средней школы в г.Зеленограде (ЦМИТ FAB TOY)";"2012";"9404420"
"27";"ООО ""Центр инновационных разработок ВАО""";"ООО ""Центр инновационных разработок ВАО""";"2012";"10000000"
"28";"ООО ""ДиректФинанс""";"ООО ""ДиректФинанс""";"2012";"10000000"
"29";"ООО ""Управляющая компания Биотехнологического бинес-инкубатора МГУ имени М.В.Ломоносова""";"ЦМИТ при ГБУК ГОРОДА МОСКВЫ ""ГОСУДАРСТВЕННЫЙ ДАРВИНОВСКИЙ МУЗЕЙ""";"2012";"6202680"
"30";"ООО ""Нейроботикс""";"ООО ""Нейроботикс""";"2012";"9600000"
"31";"ООО ""ЭкоЛитАльянс""";"Проект содания центра эко-технического творчества";"2012";"10000000"
"32";"ООО ""Аргон""";"Проект создания и функционирования центра детского инновационного творчества на территории спортивного комплекса ""Лужники""";"2012";"10000000"
"33";"ООО ""Маусвилль""";"ООО ""Маусвилль""";"2012";"10000000"
"34";"ООО ""Станкин - Аддитивные тенологии""";"ООО ""Станкин - Аддитивные тенологии""";"2012";"9600000"
"35";"ООО ""Центр финансового и экономического контроля и анализа""";"Проект центра творчества молодежи";"2012";"10000000"
"36";"ООО ""Кнокет""";"ЦМИТ";"2012";"10000000"
"37";"ООО ""АйИндустри""";"ЦМИТ";"2012";"8121600"
"38";"ООО ""Смарт-Арт""";"ЦМИТ";"2012";"9830000"
"39";"ООО ""ИнтерСтрой""";"ЦМИТ";"2012";"10000000"
"40";"ООО ""Типография графика""";"ООО ""Типография графика""";"2012";"10000000"
"41";"ООО ""Мовиком""";"ООО ""Мовиком""";"2012";"6813120"
"42";"ООО ""Центр прототипирования Высшей школы экономики""";"Центр прототипирования на базе НИУ Высшей школы экономики";"2012";"9964000"
"43";"ООО ""ВебКонсалт""";"ЦМИТ ""ТАФИ""";"2012";"9333000"
"44";"ООО ""Центр быстрого прототипирования и промышленного дизайна МГТУ ""МАМИ""";"Центр быстрого прототипирования и промышленного дизайна МГТУ ""МАМИ""";"2012";"2224446"
"45";"ООО ""Техноспарк-Инвест""";"ООО ""Техноспарк-Инвест""";"2012";"7536000"
"46";"ОАО «ММЗ «Знамя»";"Приобретение не бывшего ранее в эксплуатации производственного оборудования";"2012";"3791902"
"47";"ОАО «ГЗ «Пульсар»";"Приобретение не бывшего ранее в эксплуатации производственного оборудования";"2012";"2524578"
"48";"ОАО «МПО «Металлист»";"Приобретение не бывшего ранее в эксплуатации производственного оборудования";"2012";"26400"
"49";"ЗАО «Эпиэл»";"Приобретение не бывшего ранее в эксплуатации производственного оборудования";"2012";"4924632"
"50";"ОАО «Царицыно»";"Приобретение не бывшего ранее в эксплуатации производственного оборудования";"2012";"9515815"
"51";"ОАО «Полимербыт»";"Приобретение не бывшего ранее в эксплуатации производственного оборудования";"2012";"581385"
"52";"ОАО «Царицыно»";"Приобретение не бывшего ранее в эксплуатации производственного оборудования";"2012";"28400"
