0_uidnftn;1_Наименование;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно=правовая форма;1_Тип учреждения;1_Вид учреждения;1_Телефон;1_Сайт;1_Подчинение
8667;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII  вида № 614                                                                                                                     ;ГБОУ СКОШ № 614                                                                                                                                                                                                                                               ;125239 г. Москва, ул. Михалковская, д. 15-А                                                                                                                                                                                                                   ;1724,612675;19157,02674;2108737;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;(499) 154-60-61                                                                                                                                                                                                                                               ;http://shc614.koptevo.net                                                                                                                                                                                                                                     ;Северное окружное управление образования                                                                                                                                                                                                                      
5883;"Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа I-II видов № 1406 ""Центр на Павелецкой""                                                                                              ";"ГБОУ СКОШ № 1406 ""Центр на Павелецкой""                                                                                                                                                                                                                        ";115035 Садовническая улица, д. 57а, стр.1                                                                                                                                                                                                                     ;9033,5376;8073,694251;2101916;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;"(495) 953-71-77; (495) 953-24-97                                                                                                                                                                                                                              ";http://co1406.cao.mskobr.ru                                                                                                                                                                                                                                   ;Центральное окружное управление образования                                                                                                                                                                                                                   
9006;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 567                                                                                                                      ;ГБОУ СКОШ № 567                                                                                                                                                                                                                                               ;117452 Черноморский бульвар, 8                                                                                                                                                                                                                                ;7201,62325;-2346,870408;3900018;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;(499) 610-19-30                                                                                                                                                                                                                                               ;http://sch567.edusite.ru/                                                                                                                                                                                                                                     ;Южное окружное управление образования                                                                                                                                                                                                                         
6975;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 1111                                                                                                                     ;ГБОУ СКОШ VIII вида № 1111                                                                                                                                                                                                                                    ;117186, г. Москва, ул. Нагорная, дом 16                                                                                                                                                                                                                       ;37,605942;55,680101;2108446;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;127-66-70                                                                                                                                                                                                                                                     ;http://school1111.mosuzedu.ru                                                                                                                                                                                                                                 ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6881;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида №486                                                                                                                       ;ГБОУ СКОШ № 486                                                                                                                                                                                                                                               ;109004 г.Москва, Товарищеский пер., д.3-5, стр.1                                                                                                                                                                                                              ;37,658527;55,741748;0;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Казенное                                                                                                                                                                                                                                                      ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;(495) 911-33-59                                                                                                                                                                                                                                               ;http://myschool486.narod.ru                                                                                                                                                                                                                                   ;Центральное окружное управление образования                                                                                                                                                                                                                   
7116;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 309                                                                                                                      ;ГБОУ СКОШ VIII вида № 309                                                                                                                                                                                                                                     ;129327, г. Москва, ул. Коминтерна, д. 16, стр.1                                                                                                                                                                                                               ;37,67956;55,863364;2124969;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;(499) 184-37-03                                                                                                                                                                                                                                               ;http://spsch309.svao.mskobr.ru                                                                                                                                                                                                                                ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
7117;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная)общеобразовательная школа VIII вида № 957                                                                                                                       ;ГБОУ СКОШ VIII вида № 957                                                                                                                                                                                                                                     ;127081, г. Москва, Ясный проезд, дом 24, корпус 4                                                                                                                                                                                                             ;37,624809;55,876804;30782;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;"(499) 477-21-66; (499) 477-04-11; (499) 473-54-44; (499) 473-52-54                                                                                                                                                                                            ";http://spsch957.svao.mskobr.ru                                                                                                                                                                                                                                ;Северо-Восточное окружное управление образования                                                                                                                                                                                                              
8516;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа III-IV видов № 67                                                                                                                    ;ГБОУ СКОШ № 67                                                                                                                                                                                                                                                ;119002 г. Москва, Гагаринский пер., д. 20                                                                                                                                                                                                                     ;37,592537;55,745172;2121163;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;(499) 241-00-65                                                                                                                                                                                                                                               ;http://schkc67.mskobr.ru                                                                                                                                                                                                                                      ;Центральное окружное управление образования                                                                                                                                                                                                                   
6880;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 359                                                                                                                      ;ГБОУ СКОШ № 359                                                                                                                                                                                                                                               ;101000 г. Москва, Армянский пер., д.3-5, стр.9                                                                                                                                                                                                                ;8681,922719;10470,67418;2116374;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;623-56-23                                                                                                                                                                                                                                                     ;http://sites.google.com/site/359school                                                                                                                                                                                                                        ;Центральное окружное управление образования                                                                                                                                                                                                                   
6882;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная)общеобразовательная школа VIII вида №532                                                                                                                        ;ГБОУ СКОШ № 532                                                                                                                                                                                                                                               ;119017 г.Москва, ул.Пятницкая, д.46, стр.3                                                                                                                                                                                                                    ;8100,524376;7785,112861;2101914;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;953-58-32                                                                                                                                                                                                                                                     ;http://spsch532.cao.mskobr.ru                                                                                                                                                                                                                                 ;Центральное окружное управление образования                                                                                                                                                                                                                   
7413;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 571                                                                                                                      ;ГБОУ СКОШ VIII вида № 571                                                                                                                                                                                                                                     ;119361, г.Москва, ул. Б. Очаковская, д. 25                                                                                                                                                                                                                    ;-2816,474258;1453,779284;2111928;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;(095) 430-63-35                                                                                                                                                                                                                                               ;http://spsch571.mskzapad.ru                                                                                                                                                                                                                                   ;Западное окружное управление образования                                                                                                                                                                                                                      
6641;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 482                                                                                                                      ;ГБОУ СКОШ № 482                                                                                                                                                                                                                                               ;109390, г. Москва, 1-ая Текстильщиков ул., д. 5/8                                                                                                                                                                                                             ;14989,2526;3905,40087;2129824;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;"(499) 178-78-96; (499) 178-02-16; (499) 178-01-81                                                                                                                                                                                                             ";http://school482.e-stile.ru                                                                                                                                                                                                                                   ;Юго-Восточное окружное управление образования                                                                                                                                                                                                                 
6782;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VIII вида № 834                                                                                                                      ;ГБОУ СКОШ № 834                                                                                                                                                                                                                                               ;125362, г. Москва, ул. Свободы, д. 3, корп. 1                                                                                                                                                                                                                 ;-3063,613;17597,02801;2103396;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;"(495) 491-52-92; (495) 491-51-10                                                                                                                                                                                                                              ";http://school834.narod.ru                                                                                                                                                                                                                                     ;Северо-Западное окружное управление образования                                                                                                                                                                                                               
7412;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа VI вида № 47                                                                                                                         ;ГБОУ СКОШ VI вида № 47                                                                                                                                                                                                                                        ;119602, г.Москва, Мичуринский проспект, дом 74                                                                                                                                                                                                                ;-2134,037418;1387,39717;2117388;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;(495) 430-80-31                                                                                                                                                                                                                                               ;http://spsch47.mskzapad.ru                                                                                                                                                                                                                                    ;Западное окружное управление образования                                                                                                                                                                                                                      
7551;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная)общеобразовательная школа VIII вида № 418                                                                                                                       ;ГБОУ СКОШ № 418                                                                                                                                                                                                                                               ;111555, г.Москва, ул.Молостовых, д.3, корп..2                                                                                                                                                                                                                 ;21153,28098;10701,7607;2122240;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с ограниченными возможностями здоровья                                                                                                                                  ;Специальная (коррекционная) общеобразовательная школа                                                                                                                                                                                                         ;300-20-71                                                                                                                                                                                                                                                     ;http://schkv418.mskobr.ru                                                                                                                                                                                                                                     ;Восточное окружное управление образования                                                                                                                                                                                                                     
