0_Код;1_Наименование;0_Код ОМК ТЕ;1_Сокращенная текстовая запись фактического адреса объекта учета;1_Телефон;1_Дата открытия;1_WEB-страница, содержащая сведения о государственных услугах;1_Наименование дополнительной услуги;1_WEB-страница, содержащая сведения о графике работы;1_ФИО руководителя;1_Площадь МФЦ;1_Количество «окон»
0038;МФЦ района Внуково;0813;ул.Базовая, д.2, корп.2;(499) 940 34 81;24.12.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги; доступ к сети Интернет; оплата госпошлин и коммунальных услуг через платёжные терминалы";http://pgu.mos.ru/ru/mfc/;Новиков Андрей Сергеевич;643;23
0051;МФЦ района Сокол;0214;Чапаевский пер., дом 16;8 (495) 531-30-99;6.05.2013;http://pgu.mos.ru/ru/services/#mfc;Фото- и копировальные услуги, доступ к сети Интернет, оплата государственных пошлин и коммунальных услуг через платёжные терминалы;http://pgu.mos.ru/ru/mfc/;Степанов Сергей Викторович;1542,1;38
0057;МФЦ района Академический;0701;Новочерёмушкинская ул., дом 23 корп. 5;(499) 940-30-13;13.06.2013;http://pgu.mos.ru/ru/services/#mfc;Доступ к сети Интернет, фото- и копировальные услуги, оплата госпошлин и коммунальных услуг через платёжные терминалы;http://pgu.mos.ru/ru/mfc/;;1057;40
0011;МФЦ района Нижегородский;0510;пр. Завода Серп и Молот, д. 10;(495) 531-00-80;22.08.2011;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы";http://pgu.mos.ru/ru/mfc/;Куракин Владимир Борисович;2569;26
0001;МФЦ района Замоскворечье;0103;ул. Бахрушина, д. 13;(495) 666-30-80;27.09.2011;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин и коммунальных услуг через платоматы";http://pgu.mos.ru/ru/mfc/;Загрябина Лариса Владимировна;1480;30
0008;МФЦ района Соколина Гора;0417;Большая Семёновская ул., д. 23а;(499) 940-17-12;01.10.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет;оплата госпошлин через платоматы";http://pgu.mos.ru/ru/mfc/;Честнова Ирина Викторовна;912;34
0047;МФЦ района Рязанский;0513;1-я Новокузьминская ул., д.10;(495) 633 66 70;;;;;Акмуратова Светлана Васильевна;823;35
0023;МФЦ района Филёвский Парк;0818;Новозаводская ул., д. 25, корп. 1;(499) 940-34-20;22.10.2012;http://pgu.mos.ru/ru/services/#mfc;доступ к сети Интернет, оплата госпошлин и коммунальных услуг через платёжные терминалы;http://pgu.mos.ru/ru/mfc/;Есина Ольга Викторовна;1315;40
0018;МФЦ района Царицыно;0618;ул. Медиков, д. 1/1, корп. 3;(499) 940-44-68;15.10.2012;http://pgu.mos.ru/ru/services/#mfc;"фото- и копировальные услуги;доступ к сети Интернет; оплата госпошлин и коммунальных услуг через платёжные терминалы";http://pgu.mos.ru/ru/mfc/;Мантрова Светлана Ивановна;1114,7;48
0042;МФЦ района Южное Тушино;0908;ул.Василия Петушкова, д.13, корп.1;(499) 940 92 72;04.02.2013;http://pgu.mos.ru/ru/services/#mfc;"Фото- и копировальные услуги; доступ к сети Интернет; оплата госпошлин и коммунальных услуг через платёжные терминалы";http://pgu.mos.ru/ru/mfc/;Трикоз Марина Владимировна;2449;27
