№ строки	Название	Адрес	Организационно-правовая форма	Тип учреждения	Вид учреждения	Номер телефона секретаря	Сайт
24	Государственное бюджетное образовательное учреждение Московский городской Дворец детского (юношеского) творчества	119334 г. Москва, ул. Косыгина, д. 17	Бюджетное	Образовательное учреждение дополнительного образования детей	Дворец	137-73-88	http://dvorec-pionerov.ru/
25	Государственное бюджетное образовательное учреждение города Москвы центр внешкольной работы	117303, г. Москва, ул. Большая Юшуньская, дом 14	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	318-19-63	http://center-nko.ru
26	Государственное бюджетное образовательное учреждение города Москвы центр дополнительного образования детей "КАЛЕЙДОСКОП"	119602, г.Москва, ул. Покрышкина, д. 11	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр дополнительного образование детей	735-78-88	http://cdod-kaleidoscope.mskzapad.ru
27	Государственное бюджетное образовательное учреждение города Москвы Центр детского творчества "Строгино"	123592, г. Москва, Строгинский бульвар, дом 7, корпус 3	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	757-88-16	http://www.strogin.ru
28	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "Логос"	115304 г. Москва, ул. Каспийская, д. 10а	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр детского творчества	321-09-57	http://cdt-logos.ru/
29	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "На Псковской"	127253, г. Москва, ул. Псковская, дом 2, корп.3	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 209-21-74	
30	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "Печатники"	109548, г. Москва, ул. Гурьянова, д. 2, корп. 4	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499)786-17-21	
31	Государственное бюджетное образовательное учреждение города Москвы детский экологический центр	125362, г. Москва, ул. Мещерякова, дом 2, корпус 2	Бюджетное	Образовательное учреждение дополнительного образования детей	Детский экологический центр	(495) 491-71-16; (495) 491-83-78	
32	Государственное бюджетное образовательное учреждение города Москвы Центр детского творчества "На Вадковском"	103055 г. Москва, Вадковский пер., д.3	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 972-61-55	http://navadkovscom.ru/
33	Государственное бюджетное образовательное учреждение города Москвы дом детского творчества "На Таганке"	109544 г. Москва, ул. Рабочая, дом 30, стр.1	Бюджетное	Образовательное учреждение дополнительного образования детей	Дом	(495) 678-00-94; (495) 678-20-17; (495) 678-21-46; (495) 678-22-45; (495) 678-15-93; (495) 678-70-01	http://ddttaganka.ru
34	Государственное бюджетное образовательное учреждение города Москвы центр внешкольной работы	107140 г. Москва, ул. Русаковская, д.10, стр.6	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 264-70-65	http://cvr.msk.ru
35	Государственное бюджетное образовательное учреждение города Москвы центр развития творчества детей и юношества "Некрасовка"	111674, г. Москва, ул. 1-я Вольская, д. 1, корп. 3	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	706-88-52	http://crtdiu.ucoz.ru
36	Государственное бюджетное образовательное учреждение города Москвы центр внешкольной работы "Ясенево"	117463, г. Москва, проезд Карамзина, дом 9, корпус 2	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	422-63-00	http://cvryasenevo.mosuzedu.ru
37	Государственное бюджетное образовательное учреждение города Москвы центр эстетического воспитания детей "МОЦАРТ"	117628, г. Москва, ул. Старобитцевская, д.17 Б	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	711-92-36	http://www.centr-mozart.ru
38	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "На Молодцова"	127081 г.Москва, улица Молодцова, дом 29, к.4	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	473-52-66	http://na-molodzova.ru/
39	Государственное бюджетное образовательное учреждение города Москвы дом детского творчества	129344, г. Москва, ул. Радужная, д. 13	Бюджетное	Образовательное учреждение дополнительного образования детей	Дом детского творчества	(499) 180-55-14; (499) 189-26-73; (495) 470-28-90	http://go-to-ddt.ru
40	Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр "Ведогонь"	124489, г. Москва, Зеленоград, корп. 617	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 734-60-08	
41	Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр "Каравелла"	124683, г. Москва, Зеленоград, корп. 1551	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 729-28-70	http://karavella.zouo.ru
42	Государственное бюджетное образовательное учреждение города Москвы центр дополнительного образования детей "Черкизовский парк"	107553, Москва, ул.Большая Черкизовская, д.21, строение 2	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	(499) 161-42-92	http://gou-dchp.narod.ru
43	Государственное бюджетное образовательное учреждение города Москвы Центр детского творчества "Царицыно"	115477 г. Москва,Кавказский бульвар,д.12,к.3	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр детского творчества	(495) 325-59-93; (495) 325-37-42	http://tcar.edusite.ru
44	Государственное бюджетное образовательное учреждение города Москвы центр детского творчества "Марьина Роща"	127018, город Москва, 1-й Стрелецкий проезд, д. 5	Бюджетное	Образовательное учреждение дополнительного образования детей	Центр	689-43-00	http://cdt-mr.ru
45	Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2376	117042, г.Москва, Чечёрский проезд, дом 106	Бюджетное	Дошкольное образовательное учреждение	Детский сад комбинированного вида	715-55-30	http://dskvuz2376.mskobr.ru/
