0_udfn;1_Название;0_label;1_Адрес;0_x;0_y;0_bui_no_bti;0_cad_no;0_street_bti;0_house_bti;0_hadd_bti;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт;0_podchineni
6162;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 89                                                                                                                                                     ;ГБОУ детский сад № 89                                                                                                                                                                                                                                         ;117485, г.Москва, ул. Академика Волгина, д. 5 А                                                                                                                                                                                                               ;1482,242764;-1597,075221;2108212;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;336-77-88                                                                                                                                                                                                                                                     ;                                                                                                                                                                                                                                                              ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6192;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 710                                                                                                                                                    ;ГБОУ детский сад № 710                                                                                                                                                                                                                                        ;117209, г. Москва, улица Перекопская, дом 12, корпус 2                                                                                                                                                                                                        ;5295,414725;-764,4269776;2108420;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;(499) 122-70-69                                                                                                                                                                                                                                               ;http://ds710.ru                                                                                                                                                                                                                                               ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6196;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 750                                                                                                                                                    ;ГБОУ детский сад № 750                                                                                                                                                                                                                                        ;117209, г. Москва, Болотниковская ул., дом 52А                                                                                                                                                                                                                ;5344,02875;-384,8806284;2108405;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;(499) 121-54-10                                                                                                                                                                                                                                               ;http://detsad750.ru                                                                                                                                                                                                                                           ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6209;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 974                                                                                                                                                    ;ГБОУ детский сад №974                                                                                                                                                                                                                                         ;117513, г.Москва, Ленинский проспект,  дом № 125, корпус 3                                                                                                                                                                                                    ;-948,348775;-2415,664384;2108122;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;438-40-01                                                                                                                                                                                                                                                     ;http://www.detsad974.ru                                                                                                                                                                                                                                       ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6239;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1335                                                                                                                                                   ;ГБОУ детский сад №1335                                                                                                                                                                                                                                        ;117296, г.Москва, Ломоносовский проспект, дом 6, корпус 1                                                                                                                                                                                                     ;3189,930598;2309,328013;2101094;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;134-43-58                                                                                                                                                                                                                                                     ;http://www.dskv1335.ru                                                                                                                                                                                                                                        ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6240;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1345                                                                                                                                                   ;ГБОУ детский сад № 1345                                                                                                                                                                                                                                       ;117463, Москва, улица Голубинская, дом 31, корпус 2                                                                                                                                                                                                           ;2841,015275;-7787,569872;2108142;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;421-59-22                                                                                                                                                                                                                                                     ;http://detsad1345.ru                                                                                                                                                                                                                                          ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6248;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1421                                                                                                                                                   ;ГБОУ детский сад № 1421                                                                                                                                                                                                                                       ;117593, г.Москва, Литовский бульвар, дом 11, корпус 4                                                                                                                                                                                                         ;2811,24639;-5824,248052;2108165;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;425-30-11                                                                                                                                                                                                                                                     ;http://detsad1421.ru                                                                                                                                                                                                                                          ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
1126;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2471                                                                                                                                                   ;ГБОУ детский сад № 2471                                                                                                                                                                                                                                       ;117546 г. Москва пр. Харьковский, д.5 корп.3                                                                                                                                                                                                                  ;9060,28692;-8253,947569;3806663;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;"(495) 385-78-27; (495) 385-78-26                                                                                                                                                                                                                              ";http://dou2471.edusite.ru                                                                                                                                                                                                                                     ;Южное окружное управление образования                                                                                                                                                                                                                         
5254;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2571                                                                                                                                                   ;ГБОУ детский сад № 2571                                                                                                                                                                                                                                       ;121352, г.Москвва, Славянский бульвар, д. 13, корп. 2                                                                                                                                                                                                         ;-2083,7761;6465,808381;3202996;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;(499) 792-67-34                                                                                                                                                                                                                                               ;http://dskv2571.mskzapad.ru                                                                                                                                                                                                                                   ;Западное окружное управление образования                                                                                                                                                                                                                      
5891;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2334                                                                                                                                                   ;ГБОУ детский сад № 2334                                                                                                                                                                                                                                       ;103064 г. Москва, Фурманный пер., д.8                                                                                                                                                                                                                         ;9521,032979;10773,71894;2115622;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;(499) 624-77-68                                                                                                                                                                                                                                               ;http://ds2334.mskobr.ru                                                                                                                                                                                                                                       ;Центральное окружное управление образования                                                                                                                                                                                                                   
6189;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 602                                                                                                                                                    ;ГБОУ детский сад № 602                                                                                                                                                                                                                                        ;117209, Москва, ул. Перекопская, д. 7, к. 1                                                                                                                                                                                                                   ;5251,06845;-931,4678817;2108418;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;(499) 122-91-70                                                                                                                                                                                                                                               ;http://www.dou602.narod.ru/                                                                                                                                                                                                                                   ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6275;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1944                                                                                                                                                   ;ГБОУ детский сад № 1944                                                                                                                                                                                                                                       ;119331, г. Москва, ул. Марии Ульяновой, дом 25Б                                                                                                                                                                                                               ;1395,67925;1624,394551;2101113;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;138-59-79                                                                                                                                                                                                                                                     ;http://www.ds1944.ru                                                                                                                                                                                                                                          ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
6314;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 2405                                                                                                                                                   ;ГБОУ детский сад № 2405                                                                                                                                                                                                                                       ;117042, г.Москва, ул. Южнобутовская, дом 88                                                                                                                                                                                                                   ;946,729275;-14887,33465;2900169;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;                                                                                                                                                                                                                                                              ;Бюджетное                                                                                                                                                                                                                                                     ;Дошкольное образовательное учреждение                                                                                                                                                                                                                         ;Детский сад комбинированного вида                                                                                                                                                                                                                             ;715-64-63                                                                                                                                                                                                                                                     ;http://cad2405.ucoz.ru                                                                                                                                                                                                                                        ;Юго-Западное окружное управление образования                                                                                                                                                                                                                  
