0_OBJECTID;0_Shape;0_UID;1_Название;0_Подпись;1_Адрес;0_Координата_X;0_Координата_Y;0_Номер_здания_по_реестру_БТИ;0_Кадастровый_номер_объекта_недвижимости;0_Наименование_улицы;0_Номер_основного_здания;0_Корпус_или_строение;1_Организационно-правовая форма;1_Тип учреждения;1_Вид учреждения;1_Номер телефона секретаря;1_Сайт
17;POINT (4199648.735800002 7515147.6592999995);7544.0;"Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции """"Восточный""""";"ГБОУ ЦППР и К """"Восточный""""";105318, г.Москва ул.Щербаковская д.20-24;14296.386625;12828.5267386;30011.0;;;;;Бюджетное;Образовательное учреждение для детей, нуждающихся в психолого-педагогической и медико-социальной помощи;Центр психолого-педагогической реабилитации и коррекции;(499) 369-73-13;http://www.cpprik.ru
18;POINT (4184367.6779999994 7522692.818000004);7864.0;Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 5;ГБОУ детский сад № 5;127322, город Москва, улица Фонвизина, дом  14 корпус 1;5678.12946672;17050.6442823;2306576.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Детский сад комбинированного вида;"(495) 610-13-85; (495) 610-19-28";http://www.ds5.mskobr.ru
19;POINT (4182521.831099998 7510252.681900002);6895.0;"Государственное бюджетное образовательное учреждение города Москвы детский оздоровительно-образовательный центр """"Парк Пресненский""""";"ГБОУ ДООЦ """" Парк Пресненский""""";123342 г. Москва, ул. Дружинниковская, дом. 9,стр.2;4645.97458861;10053.903984;2116482.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;"(495) 605-74-15; (495) 605-46-96; (495) 605-64-90; (495) 605-65-83";http://www.ducpresnia.ru
20;POINT (4193610.7782000005 7499732.591600001);169.0;"Государственное бюджетное образовательное учреждение города Москвы центр детского творчества """"Южнопортовый""""";"ГБОУ ЦДТ """"Южнопортовый""""";109432, г. Москва, ул. Трофимова, дом 15а;10914.6175117;4140.26300321;2124706.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Центр;"(495) 679-24-75; (495) 679-18-10; (495) 677-65-24; (495) 677-65-23";http://cdtugnoportovy.uvuo.ru
21;POINT (4184380.7617999986 7473950.9011999965);6297.0;Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2165;ГБОУ детский сад № 2165;117628, г.Москва, ул.Ратная, д.4А;5720.38815161;-10422.8537783;2132030.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Детский сад общеразвивающего вида с приоритетным осуществлением деятельности по одному из направлений развития детей;711-16-09;http://www.dou2165.ru
22;POINT (4190336.7445 7511811.621200003);2223.0;Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи;ГБОУ ДТДМ;101000 город Москва, переулок Огородная слобода, дом 6, стр. 1.;9051.7001;10937.937321;2115612.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Дворец;"(495) 628-08-71; (495) 628-41-51; (495) 621-81-51; (495) 628-11-12; (495) 623-16-86; (495) 624-34-30; (495) 621-60-06; (495) 623-40-96; (495) 623-46-67; (495) 621-33-70";http://dtdim-stopani.ru
23;POINT (4174351.277800001 7492511.429799996);2873.0;"Государственное бюджетное образовательное учреждение города Москвы дом детского творчества """"Исток""""";"ГБОУ ДДТ """"Исток""""";117648 г. Москва, Северное Чертаново, д. 7г;37.589703;55.634164999999996;0.0;;;;;Бюджетное;Образовательное учреждение дополнительного образования детей;Дом детского творчества;310-81-05;http://gouddtistok.narod.ru
24;POINT (4171260.664500002 7532365.840599999);5896.0;Государственное бюджетное образовательное учреждение города Москвы детский сад № 2084;ГБОУ детский сад № 2084;125445, г. Москва, Смольная улица, дом 61А;-1699.851325;22479.2976663;2112079.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Детский сад;457-70-31;http://dd26.ruclass.ru
25;POINT (4192405.8907999992 7477890.247699998);5916.0;Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 15;ГБОУ СПО ПК № 15;115404 г. Москва, ул.Бирюлевская, д.28;10262.600925;-8187.90356794;3800011.0;;;;;Бюджетное;Образовательное учреждение среднего профессионального образования;Колледж;326-81-29;http://pk15.mskcollege.ru/
26;POINT (4157756.0372 7528606.135300003);5918.0;"Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы Педагогический колледж № 18 """"Митино""""";"ГБОУ СПО ПК № 18 """"Митино""""";125368, г. Москвы, ул. Митинская, д.45, к.3;-9299.144475;20378.8153255;3301038.0;;;;;Бюджетное;Образовательное учреждение среднего профессионального образования;Колледж;751-60-49;http://pk18.mskcollege.ru
27;POINT (4174380.532200001 7497222.3697);4524.0;Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка - детский сад № 1544;ГБОУ ЦРР-детский сад № 1544;119607, г.Москва, ул. Раменки, д. 13, корп. 1;54.19303652;2712.14686666;2111855.0;;;;;Бюджетное;Дошкольное образовательное учреждение;Центр развития ребенка – детский сад;932-20-80;http://www.crrds1544.mskzapad.ru
